ACCEPT;Aceitar
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Deseja mesmo usar esses baralhos? Assim que você se registrar, não poderá alterá-los.
PROMPT_TRANSACTION_FAILED;Falha na transação.
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Pular
PROMPT_USER_NAME_TITLE_TEXT;Nome do Jogador
PROMPT_VICTORY;Vitória!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Continuar
PUBLIC_ARENA_GAME_SEARCH;Pesquisando
PUBLIC_GAME_SEARCH;Pesquisando
QUEST_HINT_WILD_COST;Requer esta quantidade de terrenos especiais (no total).
QUEST_HOW_TO_UNLOCK_LANE;Alcance o nível {0} para desbloquear este caminho.
QUEST_LANE_ACT_NAME;Pacote de Missões
QUEST_LANE_COMPLETED;Caminho Concluído!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Indomável
QUEST_LOCKED_NAME;Missão bloqueada
QUEST_OPPONENT_LEVEL;Nvl {0}
QUEST_PACK_COMPLETED;Pacote de Missões Concluído
QUEST_REQUIRED_LEVEL;Requer\nNível {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;EXP
QUEST_TYPE_CHALLENGE;Desafio
QUEST_TYPE_EPIC;Missão Épica
QUEST_TYPE_EPIC_FORCED_DECK;Missão
QUEST_TYPE_INTRO;Missão
QUEST_TYPE_MYSTERY;Missão Misteriosa
QUEST_TYPE_PUZZLE;Enigma
QUEST_TYPE_QUEST;Missão
QUEST_TYPE_SURVIVAL;Sobrevivência
RANK_DOWN;Caiu de Classificação
RANK_STAR_DEFEAT;Derrota
RANK_STAR_FIRST_WIN_OF_THE_DAY;Primeira vitória do dia!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Você derrotou um oponente muito mais forte!
RANK_STAR_VICTORY;Vitória
RANK_STAR_WIN_STREAK;Vitórias seguidas!
RANK_UP;Subiu de Classificação
RECOVERY_CODE;Código de Recuperação
RECOVERY_STEAM;Eu criei minha conta em um PC/macOS/Linux.
RECOVERY_SUPPORT;A(s) opção(ões) acima não funcionaram para mim.
RECOVERY_VALIDATED;Minha conta Faeria é valida (Eu dei meu endereço de email).
RECRUITER;Recrutador
REFUSE;Recusar
REFUSE_FRIEND_REQUESTS;Recusar solicitações de amizade
REFUSE_FRIEND_SPECTATE;Recusar amigos espectadores
REPLAY_BUTTON_TEXT;Modo Replay
REQUEST_CANCELED_BY_HOST;A solicitação foi cancelada pelo anfitrião.
REROLL;Rolar novamente
RESOLUTION;Resolução: {0}
RUSH_TUTORIAL;Ataque Agressivo
SAVE;SALVAR
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casual
SEARCH_MODE_RANKED_BUTTON_TEXT;Ranqueada
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Construído
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Últimas novidades <u><link={0}>aqui</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;Uma manutenção no servidor está agendada para {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Nossos técniaques estão fazendo uma manutenção nos servidores. Esperamos que os servidores estejam de volta perto de {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Notas da última atualização estão disponíveis <u><link={0}>aqui</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Servidor inativo.
SERVER_IP;IP do servidor
SETTING_ANIMATED_BACKGROUND;Plano de fundo animado
SETTING_BUTTON_TEXT_EXIT;Sair
SETTING_BUTTON_TEXT_OPTIONS;Opções
SETTING_BUTTON_TEXT_PAUSE;Pausar
SETTING_MUTE_IN_BACKGROUND;Mudo quando estiver em segundo plano
SETTING_PERMANENT_DECK_HAND_INFO;Informação de baralho/mão permanente
SETTING_POWER_SAVING_MODE;Modo Economia de Energia
SETTING_TEXT_AUDIO_TITLE;Configurações de áudio
SETTING_TEXT_GAMEPLAY_TITLE;Configurações de jogo
SETTING_TEXT_VIDEO_TITLE;Configurações de vídeo
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Silenciar expressões
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Exibir contagem de terrenos
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Reativar expressões
SETTING_WINDOWED;Modo Janela:
SET_RECRUITER_NAME;Adicione um amigo como recrutador para que vocês recebam recompensas incríveis na sua viagem por Faeria!\nMais informações em <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Clique para abrir a Caixa
SHOP_ANNUITY_DAYS_LEFT;{0} dias restantes
SHOP_INPUT_FIELD_HINT_COUPON;Insira seu cupom aqui.
SIGN_IN;Conectar
SIGN_OUT;Desconectar
SOLO_COMPLETED;Missões completas!
SPECTATORS_CANNOT_PAUSE;Espectadores não podem pausar a partida.
SPECTATOR_JOINED_GAME;{0} entrou como espectador.
SPECTATOR_LEFT_GAME;Espectador {0} saiu da partida.
STOP_SPECTATING;Parar de assistir
SURRENDER;Desistir
TOPBAR_BUTTON_PLAY;JOGAR
TUTORIAL_DECK_CREATED;Esse é o seu novo baralho!
TUTORIAL_DECK_CREATED_BACK;Aperte o botão Voltar para selecionar o modo de jogo.
UPDATE_VERSION_OUTDATED;O seu jogo precisa ser atualizado.
UPDATE_VERSION_TIP_IOS;*Se a versão necessária não está disponível na sua App Store, você precisa esperar pela versão antes de poder jogar.
USER_NAME_WELCOME;Bem-vindo ao Faeria!\nQual será o seu nome?
USE_THIS_SET;Usar Fórmula
USE_TIMEBANK;Uso do banco de tempo:
WELCOME_BUTTON_TEXT_ENTER_GAME;Entrar
WELCOME_BUTTON_TEXT_EXIT;Sair
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Página Oficial
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Clique em qualquer lugar para entrar
WELCOME_BUTTON_TEXT_START_AS_GUEST;Começar como um convidado
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;Eu já tenho uma conta
WELCOME_INPUT_FIELD_HINT_PASSWORD;Senha
WELCOME_INPUT_FIELD_HINT_SERVER_IP;IP do servidor
WELCOME_INPUT_FIELD_HINT_USERNAME;Nome da conta
WELCOME_USE_ANOTHER_ACCOUNT;Desconectar
WINNER;Vencedor
WORLD_BOSS_OBJECTIVE_PROGRESS;Derrote 3 chefões ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Desbloqueia o Orbe dos Campeões
WORLD_BOSS_OBJECTIVE_TEXT2;Aprimora o seu Orbe dos Campeões
WORLD_BOSS_OBJECTIVE_TITLE;Objetivo mundial
WORLD_BOSS_REWARD;Recompensa do chefão
WORLD_LOCATION;Posição
XP;{0} exp
YOU_PLAY_FIRST;Você joga primeiro.
YOU_PLAY_SECOND;Você joga depois.
CARD_WAS_PROMOTED_AS_DECK_COVER;A carta foi promovida para a capa do baralho.
CURRENT_DECK_COVER;Capa atual do Baralho
PROMOTE_DECK_COVER;Colocar como capa do Baralho
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Promover para Capa do Baralho
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Visualizar Página de História
LORE_BOOK_EXPLANATION_TEXT;Colete fragmentos de história, explorando as lendas e os mistérios de Faéria.
LORE_PAGE_ARTISTS;<b>Artistas</b> {0}
LORE_PAGE_NOT_AVAILABLE;Você deve ter pelo menos nível {0} para acessar as Páginas de História
CO_OP_LOBBY;Sala do Cooperativo
LOBBY_CRUCIBLE_RULES_TITLE;Regras da Provação
LOBBY_DECK_FORMAT;Formato do baralho:
LOBBY_DECK_FORMAT_CLASSIC;Clássico
LOBBY_DECK_FORMAT_CRUCIBLE;Provação
LOBBY_MINUTES_PER_GAME;Minutos por jogo:
LOBBY_SECONDS_PER_TURN;Segundos por turno:
LORE_BOOK_EMPTY_SECTION;Não há resultados nessa sessão
LORE_PAGE_NOT_YET_AVAILABLE;Esta página de história ainda não está disponível
LOBBY_GO_TO_COLLECTION;Ir para a coleção
LOBBY_START_OVER;Recomeçar
PROMPT_LOBBY_BACK_CONFIRMATION;Você levará todo mundo de volta para a página de configuração da sala. Continuar?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Isso vai zerar a pontuação da sala e liberar as configurações. Continuar?
REGISTER_YOUR_DECKS;Registre seus baralhos!
TOURNAMENT_DECKS_REGISTERED;Baralhos registrados!
LORE_BOOK_UNAVAILABLE_TOOTIP;É desbloqueado no nível {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Nos avalie na Steam
HOME_CREDITS_BUTTON_TEXT;Créditos
PROMPT_FRIEND_CALLED;Um email foi enviado para o seu iaque perdido.\n Você pode falar com ele através do seu canal de comunicação favorito - ele só precisa estar logado!
PROMPT_FRIENDS_CALLED;Um email foi enviado para cada um dos seus {0} iaques perdidos.\n Você pode falar com eles através do seu canal de comunicação favorito- eles só precisam estar logados!
FRIEND_CALL_SEND;Enviar
FRIEND_CALL_NO_ELIGIBLE;Você já chamou todos os seus amigos!
FRIENDLIST_CALL_FRIEND;Chame seus velhos amigos!
MAINMENU_TITLE_PUZZLES;QUEBRA-CABEÇAS
SETTING_CLEAR_CACHE;Limpar cache
CACHE_CLEARED;Isso será efetivado depois que você reiniciar o jogo.
CACHE_CLEAR_FAIL_PERMISSION;Falha na operação, tente iniciar o Faeria como Administrador.
CACHE_CLEAR_FAIL_IN_USE;Falha na operação, o arquivo está em uso - reinicie sua máquina e tente novamente.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Selecionar cosméticos
PLAY_MENU_SOLO_DRAGONS_LAIR;Covil do Dragão
MARKET_ITEM_SPECIAL_PROMO;Promoção especial
MARKET_ITEM_COMPLETE_YOUR_SET;Complete seu conjunto!
DRAGON_TODAYS_CHALLENGES;Desafios de hoje
DRAGON_SOLO_MISSION;Missão solo
DRAGON_REWARD;Recompensa de Dragão
DRAGON_CO_OP_MISSION;Missão cooperativa
APPLY;Aplicar
MOUSE_PROMPT_CLICK_ANYWHERE;Clique em qualquer lugar para continuar
PLAY_MENU_SOLO_WORLDBOSS_INFO;Difíceis batalhas contra chefões que testarão suas habilidades de construção de deck.
PLAY_MENU_SOLO_STANDARD_INFO;Domine os fundamentos de Faeria em uma variedade de pacotes de missão.
PLAY_MENU_SOLO_OVERSKY_INFO;Campanha cooperativa! Junte-se à batalha com um amigo ou um aliado IA.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Desafios diários! Volte aqui diariamente para matar novos dragões.Batalhas solo e cooperativas.
MAINMENU_TITLE_SOLO_INFO;Descubra o mundo de Faeria nestes desafios Solo e Cooperativos!
MAINMENU_TITLE_PUZZLES_INFO;Complete quebra-cabeças desafiadores e aprenda alguns truques ao longo do caminho.
MAINMENU_TITLE_PANDORA_INFO;Modo draft. Teste novas cartas e faça um baralho único. Sobreviva o máximo que puder!
MAINMENU_TITLE_BATTLE_INFO;Faeria Clássico. Participe do modo multijogador casual ou rankeado, ou pratique contra o IA.
MOUSE_HOME_LINKS_INFO;Clique aqui para ler notícias importantes do nosso blog oficial.
DEFAULT_BUTTON_TEXT;Padrão
BACK_TO_WORLD_BOSSES;Voltar aos Chefões Mundiais
BACK_TO_PUZZLES;Voltar aos Quebra-Cabeças
BACK_TO_PANDORA;Voltar à Pandora
BACK_TO_OVERSKY;Voltar ao Céu-Acima
BACK_TO_MISSIONS;Voltar às Missões
BACK_TO_DRAGONS_LAIR;Voltar ao Covil do Dragão
BACK_TO_BATTLE;Voltar à Batalha
LORE_BOOK_TOGGLE_TEXT;Livro de Histórias
SHOW;Mostrar
INGAME_OPPONENT_DISCOVERING_CARD;Seu adversário está descobrindo uma carta
INGAME_ALLY_DISCOVERING_CARD;Seu aliado está descobrindo uma carta
HIDE;Esconder
GEMS_INFO_POPUP_DESCRIPTION;As Gemas agora são uma moeda promocional obtida apenas através de eventos especiais.
GEMS_INFO_POPUP_TITLE;Sobre gemas
SHORTCUT_TEXT_TOGGLE;Ativar/Desativar
SHORTCUT_TEXT_MODIFY_SLIDER;Modificador
SHORTCUT_TEXT_CLOSE;Fechar
SETTING_TEXT_LANGUAGE_TITLE;Idioma
SERVER_INFO_UNAVAILABLE;Os servidores estão atualmente indisponíveis
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} não é permitido no bate-papo
YOUR_SUPPORT_ID;Seu id:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Houve um problema e o jogo precisa ser reiniciado
MOUSE_PROMPT_CLICK_TO_CLOSE;Clique para fechar
LOADING_HERDING_YAKS;Arrebanhando iaques
LOADING_DOWNLOADING_CONTENT;Baixando Conteúdo
LOADING_CHECKING_CONTENT;Conferindo Conteúdo
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Pressione {GAMEPAD_ACTION_CANCEL} para fechar
GAMEPAD_PROMPT_CLICK_ANYWHERE;Pressione {GAMEPAD_ACTION_CONFIRM} para continuar
GAMEPAD_HOME_LINKS_INFO;Pressione {GAMEPAD_ACTION_CONFIRM} para ler notícias importantes do nosso blog oficial.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Mais de um amigo está usando esse nome de usuário. Por favor use a lista de amigos no menu de contexto para conversar com essa pessoa.
GO_TO_STORE_BUTTON_TEXT;Vá para a loja
CHAT_ERROR_MESSAGE_REFUSED;Sua mensagem foi automaticamente rejeitada pela plataforma do destinatário devido ao conteúdo dela.
CHAT_ERROR_SANITIZATION_ERROR;Sua mensagem foi rejeitada devido ao seu conteúdo.
ID_COPIED_TO_CLIPBOARD;ID copiado para a área de transferência.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Mapas especiais de classificação
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;Jogador desconhecido
PLAYER;Jogador
NOT_ENOUGH_COINS;Você não tem fragmentos suficientes.
NOT_ENOUGH_GEMS;Você não tem gemas suficientes.
LADDER_RANKED_BUTTON;Ranqueado
LADDER_PANDORA_BUTTON;Pandora
HOME_LADDER_BUTTON_TEXT;Classificação
COSMETIC_ITEM_NOT_OWNED;Você não possui este item cosmético
