1.cardName;Menino da Fazenda
324.cardName;Iaque Furioso
324.cardText;{haste}
325.cardName;Centelha de Espinhos
325.cardText;Sempre que você criar uma {green}, ganha +1/+0
328.cardName;Ostregoth, Mão do Esquecimento
328.cardText;{flying}, {haste}, {charge|13}\nOs poços de faeria ficam vazios.
329.cardName;Ladra Degoladora
330.cardName;Cavaleiro Selvagem
331.cardName;Sabedoria
331.cardText;Compra 2 cartas.
332.cardName;Oração da Cura
332.cardText;Você recupera 3 de vida.
333.cardName;Não Sou Jogável.
333.cardText;Você não pode me jogar.
334.cardName;Sabedoria Maior
334.cardText;Compra CINCO cartas.
335.cardName;Atirador Rebelde
335.cardText;{gift} - Causa 2 de dano ao seu oponente.
336.cardName;Espírito do Nexus
336.cardText;{last_words} - Reduz a vida de seu mestre a 1.
337.cardName;Tempestade do Fogo Divino
337.cardText;Cause 10 de dano em TODAS as criaturas patéticas do seu inimigo.
338.cardName;Força da Maré
338.cardText;Mova um terreno.
339.cardName;Vento Arrebatador
339.cardText;Mova uma criatura aliada.
340.cardName;Guerreiro de Syland
342.cardName;Kojin, a Chama Divina
342.cardText;{divine}\nKojin mantem seu mestre Pyhros relaxado enquanto está em jogo.\n{production} - Kojin perde 1 de vida.
350.cardName;Três Desejos
350.cardText;Ganha 3 de Vida. Copia as 3 primeiras cartas do topo do baralho de seu oponente. Elas custam menos {faeria|1} e são {wild}. Você não pode desejar mais Três Desejos.
351.cardName;Planador Rebelde
351.cardText;{flying}, {dash|2}\nNão pode coletar faeria.
352.cardName;Esplendor, Aeronave Imperial
352.cardText;{flying}, {dash|3}\nO custo de faeria da Esplendor é igual à sua Vida.\n{gift} - Você ganha 1 de Vida para cada carta em sua mão.
353.cardName;Biblioteca Proibida
353.cardText;{production} - Compre uma carta, ganhe {faeria|1} e cause 2 de dano a você mesmo.
354.cardName;Saqueador de Sonhos
354.cardText;{dash|3}\n{gift} - Define a vida de um deus em 10.
355.cardName;Kodama Feroz
355.cardText;{jump}\nNão pode coletar faeria.\nSempre que esta criatura atacar um deus, você ganha 5 de Vida.
356.cardName;Caçador de Deuses
356.cardText;{jump}\nSó pode atacar deuses.\nNão pode coletar faeria.
357.cardName;Canto Sanguinário
357.cardText;Reduz o custo de uma carta aleatória na sua mão em {faeria|2} quatro vezes. Causa 4 de dano a você.
358.cardName;Castigo Infernal
358.cardText;Causa 9 de dano, distribuídos aleatoriamente entre inimigos.
359.cardName;Apocalipse
359.cardText;Define sua faeria em {faeria|0}. Diminua sua vida pela metade (arredondado para baixo). Destrói TODAS as criaturas e estruturas. Termina o seu turno.
360.cardName;Mosquito Irritante
360.cardText;{flying}\nNão pode coletar faeria.\n{last_words} - Causa 2 de dano a você. Invoca esta criatura em um espaço aleatório.
361.cardName;Iaque Longo-Chifre
361.cardText;{last_words} - A próxima criatura que você comprar ganha ataque igual ao desta criatura.
362.cardName;Era das Lendas
362.cardText;Compre a carta Lendária mais próxima do topo no seu baralho. Se não houver uma, adicione uma carta lendária à sua mão. Ela se torna {wild}.
363.cardName;Treinador Tritão
363.cardText;{jump}\n{gift} - Dá à próxima criatura com {jump} que você invocar +1/+1.
364.cardName;Voz da Verdade
364.cardText;{gift} - Você pode retornar uma criatura para seus valores originais de Ataque e Vida.
365.cardName;Arauto da Guerra
365.cardText;{combat} - Dá +1/+1 à proxima criatura com {combat} que você invocar.
366.cardName;Guia Magistral
366.cardText;{flying}\nCriaturas aliadas invocadas adjacentes a esta criatura ganham {dash|2} e {flying}.
367.cardName;Guardiã Divina
367.cardText;{divine}\nQuando você for receber dano fatal, ignore-o e destrua esta criatura no lugar.
368.cardName;A Ordem do Imperador
368.cardText;Escolha um alvo:\n- criatura: -2/-1\n- estrutura: 3 de dano\n- deus: 4 de Vida
369.cardName;Ilusão da Grandeza
369.cardText;{charge|2}\n Sempre que você invocar uma criatura com o custo de {faeria|1} ou menos, esta criatura ganha Ataque e Vida iguais àquela criatura (enquanto estiver na sua mão ou no seu baralho).
370.cardName;Perseguidor da Mata Densa
370.cardText;{gift} - Pode lutar com uma criatura inimiga.
371.cardName;Jantar do Krog
371.cardText;Seu Krog custa {faeria|7} a menos. Quando você invocar Krog, destrua esta criatura.\n{gift} - Se Krog morreu ou está em seu baralho, compre-o.
372.cardName;Sorriso de Iona
372.cardText;Compra as 2 próximas criaturas com {flying} do seu baralho.
400.cardName;Fragmento de Pandora
401.cardName;A Pandora Desperta!
401.cardText;A Pandora se abre, ambos os jogadores recebem um <b>Tesouro</b>!
402.cardName;Tesouro encontrado!
402.cardText;Ambos os jogadores recebem um <b>Tesouro</b>!\nCompra uma carta.
403.cardName;Cristal Sombrio
403.cardText;Drena 4 de vida do seu oponente, causa 3 de dano em todas criaturas inimigas e compra 2 cartas.
404.cardName;Berrante de Guerrra Iaque
404.cardText;Invoca três <b>Iaques da Pradaria Furiosos</b> com {haste}.
405.cardName;Arma Astral
405.cardText;{flying}\n{gift} - Destrói todos os terrenos, as criaturas e as estruturas adjacentes.
406.cardName;Ocarina
406.cardText;Ganhe um turno extra depois deste.
407.cardName;A Lâmpada do Gênio
407.cardText;{options|Adiciona 3 cartas verdes aleatórias à sua mão. Elas custam {faeria|3} a menos.|Adiciona 3 cartas azuis aleatórias à sua mão. Elas custam {faeria|3} a menos.|Adiciona 3 cartas vermelhas aleatórias à sua mão. Elas custam {faeria|3} a menos.|Adiciona 3 cartas amarelas aleatórias à sua mão. Elas custam {faeria|3} a menos.}\nEscolha uma cor. Adiciona 3 cartas aleatórias daquela cor à sua mão. Elas custam {faeria|3} a menos.
408.cardName;Urna de Gabria
408.cardText;Compra 2 cartas e ganha {faeria|2}.
409.cardName;Espelho de Iona
409.cardText;Adiciona duas cópias à sua mão do último <b>Tesouro</b> que seu oponente jogou.
410.cardName;Golem de Pedra de Sangue
410.cardText;{production} - Reabastece todos os poços de faeria.\nSempre que faeria for coletada, causa 1 de dano ao seu oponete.
411.cardName;O Cálice do Palácio
411.cardText;Dá +6/+6 dividido aleatoriamente entre as criaturas aliadas.
412.cardName;Tambor de Eredon
412.cardText;Dá +2/+2 a todas suas criaturas, onde quer que estejam.
413.cardName;Máquina de Nuvens
413.cardText;Criaturas aliadas têm +1/+0, {flying}, e {jump}.
414.cardName;Anel do Domínio
414.cardText;{options|Transforma um terreno em uma {green}. Ele fica sob seu controle.|Transforma um terreno em um {blue}. Ele fica sob seu controle.|Transforma um terreno em uma {red}. Ele fica sob seu controle.|Transforma um terreno em um {yellow}. Ele fica sob seu controle.}\nTransforma um terreno em uma cor à sua escolha. Ele fica sob seu controle.
415.cardName;A Lágrima do Mundo
415.cardText;Transforma uma criatura que atacou um deus neste turno em um <b>Engolidor de Céus</b> 10/10 com {flying}.
416.cardName;Iaque Mecânico
416.cardText;{dash|2}
417.cardName;Autômato do Equinócio
417.cardText;{gift} - Ganhe 6 de vida.\n{last_words} - Causa 6 de dano a seu oponete.
418.cardName;Rosa de Magda
418.cardText;Ganhe controle sobre uma criatura inimiga.
419.cardName;Bule de Aurora
419.cardText;Altera todas as criaturas aliadas para 6/6.
420.cardName;Pedra da Fortuna
420.cardText;Embaralha 3 <b>Tesouros</b> aleatórios no seu baralho.
421.cardName;Segredo da Força
421.cardText;Dá a uma criatura +4/+4, {flying}, e {charge|3}.
422.cardName;Guardião do Vazio
422.cardText;{gift} - Destrói seu baralho.
423.cardName;Dragão de Cristal
423.cardText;{flying}, {charge|3}
424.cardName;Rubi da Explosão de Chamas
424.cardText;{options|Causa 3 de dano.|Causa 3 de dano em tudo.}\n- Causa 3 de dano.\n- Causa 3 de dano em tudo.
425.cardName;Martelo da Destruição
425.cardText;Causa 5 de dano. Embaralha o <b>Martelo</b> no seu baralho.
426.cardName;Destruidor Ígneo
426.cardText;{gift} - Dá dois de dano a todos os inimigos. Ganha +2/+2 para cada inimigo destruido.
427.cardName;Desejo da Morte
427.cardText;Destrói uma criatura. O seu controlador ganha {faeria|1} igual ao seu custo e compra 2 cartas.
428.cardName;Raio Aprisionado
428.cardText;Causa 6 de dano a uma criatura e 3 de dano a todos os inimigos adjacentes.
429.cardName;Lâmina Dançante
429.cardText;{flying}, {jump}\nCausa 3 de dano a todos inimigos adjacentes no fim do seu turno.
430.cardName;Foice da Destruição
430.cardText;Destrói uma criatura. Invoca uma <b>Sombra Assassina</b> 6/1 no lugar dela.
431.cardName;Corvo Adornado
431.cardText;{flying}, {haste}\nSempre que essa criatura atacar um deus, adicione um <b>Tesouro</b> aleatório a sua mão.
432.cardName;Roda do Caos
432.cardText;{options|Destrói 2 terrenos desocupados.|Destrói uma criatura com 5 de ataque ou menos.|Recupera 7 de vida.}\n- Destrói 2 terrenos desocupados.\n- Destrói uma criatura com 5 de ataque ou menos.\n- Recupere 7 de vida.
433.cardName;Medalhão de Ulani
433.cardText;Escolha uma criatura aliada. Todas as suas outras criaturas tornam-se uma cópia dela.
500.cardName;Macaco Gênio
500.cardText;{taunt}\n{gift} - No próximo turno do seu oponente, esta criatura ganha +2/+2 sempre que uma criatura inimiga coletar faeria.
501.cardName;Explorador Intrépido
501.cardText;{gift} - Acrescenta uma carta <b>Explorar</b> à mão de cada jogador.
502.cardName;Flor de Cristal
502.cardText;{gift} - {swallow} uma criatura.\nAo final dos seus turnos, esta estrutura sofre 1 de dano.
503.cardName;Iaquepulta
503.cardText;{ranged_attack}\nSempre que esta criatura atacar, invoca um <b>Iaque Furioso</b> 2/2 em um hexágono adjacente aleatório ao alvo.
504.cardName;Goki, Minerador Camarada
504.cardText;{gift} - Acrescenta um <b>Tesouro</b> aleatório à mão do seu aliado.
505.cardName;Mobie, Baleia Celestial Lazúli
505.cardText;{flying}, {charge|3}\nNão pode coletar faeria.\n{gift} - {swallow} uma criatura.
506.cardName;Peixe Balão
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} uma criatura aliada. Se não puder, o Peixe Balão morre.
507.cardName;Imperador Kaios
507.cardText;{production} - Dá -1/-0 a todas as criaturas inimigas. Em seguida, destrói todas as criaturas inimigas com 0 de Ataque.
508.cardName;Semente do Paraíso
508.cardText;{flying}, {dash|1}\n{gift} - {options|Quando esta criatura coletar faeria sobre o oceano, ela morre e cria uma {green}.|Quando esta criatura coletar faeria sobre o oceano, ela morre e cria um {blue}.|Quando esta criatura coletar faeria sobre o oceano, ela morre e cria uma {red}.|Quando esta criatura coletar faeria sobre o oceano, ela morre e cria um {yellow}.}\nQuando esta criatura coletar faeria sobre o oceano, ela morre e cria um terreno da cor escolhida.\n
509.cardName;A Árvore da Vida Eterna
509.cardText;{production} - Você recupera 7 de Vida.\nDá +7/+7 a uma criatura aleatória na sua mão.
510.cardName;Presente dos Rakoanos
510.cardText;Dá a uma criatura +1/+1 para cada criatura que você controla.
511.cardName;Biomante Curioso
511.cardText;{gift} - Compra uma criatura não-azul do seu baralho para cada criatura inimiga.
512.cardName;Fugoro, Mercador de Maravilhas
512.cardText;{jump}\n{gift} - {options|Compra uma <b>Urna de Gabria</b>|Compra um <b>Dragão de Cristal</b>|Compra um <b>Medalhão de Ulani</b>}\n- Compra uma <b>Urna de Gabria</b>\n- Compra um <b>Dragão de Cristal</b>\n- Compra um <b>Medalhão de Ulani</b>
513.cardName;Fugu Saltitante
513.cardText;{jump}\n{gift} - Se você controlar 8 ou mais terrenos especiais, ganha +3/+3.
514.cardName;Arpéu
514.cardText;Dá {ranged_attack} a uma criatura durante este turno. Após esta criatura atacar, você pode movê-la para um terreno adjacente ao alvo.
515.cardName;Revelador Rakoano
515.cardText;{last_words} - Ganha {faeria|1} igual ao ataque dessa criatura.
516.cardName;CAP-10, Pirata Celeste
516.cardText;{combat} - Compra um <b>Dom do Aço</b> do seu baralho. Se não há nenhum, embaralhe um no seu baralho.
517.cardName;Salmão Ligeiro
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nNão pode coletar faeria.\nNo final de seu turno, destroi essa criatura e compra uma carta.
518.cardName;Cavalga-Raia
518.cardText;{flying}\n{last_words} - Invoca uma <b>Raia</b> 2/2 com {flying} e {charge|2} onde esta criatura morrer.
519.cardName;Istanu, Luz Eterna
519.cardText;{flying}, {charge|3}\n{last_words} - Uma criatura aliada aleatória se torna o novo <b>Istanu</b>.
520.cardName;Polvo Mutável
520.cardText;{options|Ganha +2/+0.|Ganha +0/+2.|Ganha {jump}.|Ganha {taunt}.}, duas vezes:\n- Ganha +2/+0\n- Ganha +0/+2\n- Ganha {jump}\n- Ganha {taunt}
521.cardName;Lançador de Sapos
521.cardText;{gift} - Luta com uma criatura inimiga. Invoca um <b>Sapo</b> 2/2 com {jump} em um espaço aleatório adjacente ao alvo.
522.cardName;Caminho para o Paraíso
522.cardText;{options|Cria uma {green}.|Cria um {blue}.|Cria uma {red}.|Cria um {yellow}.} - Cria um terreno especial.\nDá +2/+0 a primeira criatura invocada neste terreno neste turno.
523.cardName;Salamandra Esmeralda
523.cardText;{gift} - Causa 2 de dano às criaturas inimigas adjacentes. Dá +2/+2 às criaturas aliadas adjacentes.
524.cardName;Peixe-Espada Vigia Celeste
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Enxame de Carassius
525.cardText;{flying}\nPode ser invocado adjacente a uma criatura aliada.\n{gift} - Invoca um <b>Enxame de Carassius</b> para cada outro Carassius amigo que morreu neste jogo.
526.cardName;Protedor de Sonhos
526.cardText;{taunt}\n{gift} - Reduz o custo de todas as cartas da sua mão em {faeria|1}. Em seguida, as embaralha no seu baralho e compra a mesma quantidade de cartas.
527.cardName;Tartaruga Casco-de-Gemas
527.cardText;{gift} - Compre uma carta e copie ela. As duas custam {faeria|2} a menos.
528.cardName;Voo das Raias
528.cardText;Quando você comprar esta carta, copie-a.\nInvoca uma <b>Raia</b> 2/2 com {flying} e {charge|2}.
529.cardName;Nave-Reboque do Céu-Acima
529.cardText;{flying}, {dash|1}\nSempre que esta criatura for se mover para fora de um terreno, ela traz o terreno em que estiver com ela.
530.cardName;Chefe Rakoano
530.cardText;{dash|1}\nCriaturas aliadas adjacentes possuem +1/+0.
531.cardName;Anêmona Celeste
531.cardText;{flying}, {taunt}\nPode ser invocada em qualquer lugar.
532.cardName;Ulani, Xamã do Céu-Acima
532.cardText;{gift} - Compra uma carta verde, uma carta azul, uma carta vermelha e uma carta amarela do seu baralho.
549.cardName;Disruptor de Realidade
549.cardText;{flying}\n{production} - Ganha +0/+2.\nQuando tiver 10 ou mais de Vida, <b>buga o jogo</b>.
550.cardName;Flor de Cristal
550.cardText;Algo está preso dentro.
551.cardName;Flor de Cristal
551.cardText;Algo está preso dentro.
552.cardName;Flor de Cristal
552.cardText;Algo está preso dentro.
553.cardName;Raia Voadora
553.cardText;{flying}, {charge|2}
555.cardName;Iaque Furioso
556.cardName;Você é o Vencedor!
556.cardText;Causa 100 de dano ao seu oponente.
557.cardName;Imperador Kaios, o Grande
557.cardText;{production} - Dá a todas as criaturas inimigas -1/-0. Então destroi todas que estão com 0 de Ataque.
601.cardName;Laya, Senhora dos Pesares
601.cardText;{deathtouch}\n{last_words} - Invoca uma <b>Estátua Cintilante</b> no lugar de Laya.
602.cardName;Cavaleiro de Daconídeo
602.cardText;{flying}, {charge|2}\n{corrupt} - Ganha +2/+2.
603.cardName;Macaco enlouquecido
603.cardText;{gift} - Esvazia todos os poços de faeria. Ganha +1/+1 para cada poço esvaziado.
604.cardName;Soldado Imperial
604.cardText;{corrupt} - Ganhe controle do terreno em que esta criatura está.
605.cardName;Explorador Perdido
605.cardText;{corrupt} - Compre uma carta e ganhe {faeria|1}.
606.cardName;Cavaleiro da Espada da Ruína
606.cardText;Todo dano sofrido por esta criatura também é inflingido a você.
607.cardName;Fada de Seda da Sombra
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - Compre dois eventos de seu baralho.
608.cardName;Kaios, Mentalista Ensandecido
608.cardText;{divine}\nKaios tem Ataque sempre igual à sua Vida.\n{corrupt} - Drena 1 de Vida de TUDO.
609.cardName;Chuva de Peixes
609.cardText;Invoca 6 <b>Peixes-Rubi</b> em espaços aleatórios. Cada peixe que atinge um terreno causa 1 de dano aos inimigos adjacentes.
610.cardName;Piranha Voadora
610.cardText;{flying}\nQuando uma criatura adjacente morre, ganha {deathtouch} e {jump}.
611.cardName;Hidra Monstruosa
611.cardText;{corrupt} - Invoca uma <b>Cabeça de Hidra</b> com 2/1 e {haste} em cada terreno adjacente. Elas morrem ao final do turno.
612.cardName;Salgueiro Assombrado
612.cardText;{taunt}
613.cardName;Javali Decrépto
613.cardText;{dash|1}\n{corrupt} - Compre próxima criatura com 5 ou mais de vida do seu baralho. Ela ganha +2/+2.
614.cardName;Nekomata
614.cardText;{taunt}\n{corrupt} - Dobra o ataque desta criatura.
615.cardName;Baldurion, Armeiro Maligno
615.cardText;{protection}\n{corrupt} - Adicione um <b>Martelo da Destruição</b> à sua mão.
616.cardName;Duende Despeitoso
616.cardText;{last_words} - Causa 2 de dano a você.
617.cardName;Devastação
617.cardText;Causa 9 de dano a uma criatura ou estrutura inimiga.
618.cardName;Salmão Demoníaco
618.cardText;{haste}, {flying}, {charge|2}\nNão pode coletar faeria.\nSempre que ataca um deus, esta criatura ganha +1/+1.
619.cardName;Roubo de Espírito
619.cardText;Drene 1 de Vida de uma criatura inimiga, se isto a matar, adicione uma cópia dela à sua mão. Ela se torna {wild}
620.cardName;Solem
620.cardText;{flying}, {divine}\n{corrupt} - Destrua um poço de faeria.
622.cardName;Mãe de Todos os Iaques
622.cardText;{gift} - Invoca dois <b>Guardas Iaques</b> 4/4 com {taunt} e {flying} adjacentes à Mãe dos Iaques.\nCusta {faeria|1} a menos para cada Iaque aliado que morreu neste jogo.
623.cardName;Campeão Rakoano
623.cardText;{dash|2}\n{gift} - Ganha +1/+1 para cada outro Rakoano aliado em jogo.
624.cardName;Fugu Orfão
624.cardText;Tem +2/+0 e {jump} enquanto você controla outra fera.
625.cardName;Rapala, o Peixe Dopado
625.cardText;{aquatic}\n{gift} - Enche a mão do seu oponente de <b>Peixe-Rubi</b>. Que idiota.
626.cardName;Iaque Safira
626.cardText;Sempre que um Iaque aliado coletar faeria de um poço inimigo, dá ao iaque +2/+2.
627.cardName;Caçada
627.cardText;Dá a uma fera aliada +2/+0. Então ela luta com uma criatura inimiga.
628.cardName;Iaque Esmeralda
628.cardText;{gift} - Invoca um <b>Iaque Bebê</b> 1/1 com {taunt} que <b>Não pode coletar faeria</b>, em uma pradaria que você controla.
629.cardName;Majinata, Espírito da Vida Eterna
629.cardText;{protection}, {divine}\n{gift} - Uma criatura aliada engole Majinata. Dá a ela +5/+5, {flying} e {charge|2}.
630.cardName;Axolotles Ímpeto-de-Lava
640.cardName;Rakoacóptero
640.cardText;{flying}, {dash|1}\n{gift} - Causa 2 de dano a criaturas inimigas adjacentes.
641.cardName;Iaque Rubi
641.cardText;Sempre que um iaque aliado sofrer dano, causa 1 de dano ao seu oponente.
642.cardName;Dragão Fantasma
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Peixe Leão
643.cardText;{flying}, {deathtouch}
644.cardName;Iaque Topázio
644.cardText;Pode ser invocado próximo a iaques aliados. Caso seja, ganha {haste}.
645.cardName;Máquina de Guerra Rakoana
645.cardText;{charge|2}\n{gift} - Se desejar, {swallow} um outro rakoano aliado para ganhar +2/+0.
646.cardName;Canhoneiro Rakoano
646.cardText;{gift} - Você pode sacrificar outro Rakoano. Se o fizer, cause 3 de dano a uma criatura inimiga.
647.cardName;Ilusionista Rakoano
647.cardText;{gift}- Você pode transformar outro Rakoano aliado em um 4/4 {flying} {charge|2} <b>Dragonete das Dunas</b> até o início de seu próximo turno.
648.cardName;Companheiros de Escudo Rakoanos
648.cardText;{last_words} - Invoca um Rakoano 1/1 onde isto morreu.
649.cardName;Líder de Guerra Rakoano
649.cardText;{combat}- Dá a um Rakoano aleatório em sua mão +1/+1.
650.cardName;Recrutador Rakoano
650.cardText;{gift}- Adicione um Rakoano 1/1 à sua mão. Ele custa {faeria|0}.
653.cardName;Torre das Maldições
653.cardText;{activate} - Dá -1/-1 a uma criatura. Causa 1 de dano a esta estrutura.
654.cardName;Shozen, o Devorador dos Céus
654.cardText;{flying}, {charge|3}\nA primeira vez em que Shozen mataria uma criatura em combate, ao invés disso, engole e ganha controle dela.
655.cardName;Posto Imperial
655.cardText;Todas as criaturas neutras aliadas têm +1/+0.
656.cardName;Disparo Destrutivo
656.cardText;Causa 2 de dano a uma criatura. Se ela é uma criatura com {flying}, dê 5 de dano.
658.cardName;Esplendor, Flagelo de de Céu-Acima
658.cardText;{flying}\n{gift} - Criaturas inimigas não podem se mover no próximo turno.
659.cardName;Hipopótamo explosivo
659.cardText;{combat} - Causa 2 de dano a todos os inimigos adjacentes.
660.cardName;Treinador de Feras
660.cardText;{gift} - Reduz o custo de uma Fera aleatória em sua mão em {faeria|5}.
661.cardName;Contrabandista Kobold
661.cardText;{corrupt} - Invoca um 4/3 <b>Forragem de Seifer</b> em um terreno adjacente aleatório.
662.cardName;Ira de Ignus
662.cardText;Causa {dynamic_number|0|0} de dano dividido aleatoriamente entre os inimigos.\nCausa +1 de dano para cada vez que você selecionou +{faeria|1} na roda do poder este jogo (enquanto na sua mão ou baralho).
663.cardName;Ritualista de Ignus
663.cardText;{gift} - Renova a sua roda do poder.\n{corrupt} - Renova a sua roda do poder.
664.cardName;Fogueirinho
664.cardText;Sempre que você selecionar +{faeria|1} na sua roda do poder, esta criatura ganha +1/+1.
665.cardName;Verme do Céu Estéril
665.cardText;{gift} - Esta criatura luta contra o seu adversário.
666.cardName;Mosca Mutante Vil
666.cardText;{flying}\n{corrupt} - Adicione uma <b>Mosca Mutante Vil</b> a sua mão.
667.cardName;Espectro Nascido da Ruína
667.cardText;{charge|2}\n{production} - Se o seu oponente tiver 4 ou mais cartas na mão, esta criatura ganha +1/+1.
668.cardName;Espectro Emissário da Poeira
668.cardText;{corrupt} - Aumenta o custo de cada carta na mão do seu oponente em {faeria|1}.
669.cardName;Abutre do Céu Estéril
669.cardText;{flying}\n{gift} - Destrói uma criatura com 1 ponto de vida e drena seu ataque.
671.cardName;Enguia do Trovão
671.cardText;{flying}\n{gift} - Você pode causar 2 de dano a uma criatura. Se ela estiver sobre o oceano, causa 4.
676.cardName;Iaque Perambulante
676.cardText;{gift} - Cria uma pradaria.\n{dash|1}
677.cardName;Pastor de Iaques
677.cardText;{gift} - Dê +2/+0 e {charge|2} a dois iaques aliados até o final do turno.
678.cardName;Iaque do Céu-Acima
678.cardText;{flying}\nTem +2/+2 enquanto você controla 6 pradarias.
679.cardName;Sapo Inchado
679.cardText;{jump}\nEsta criatura entra em jogo com um <b>Sapo</b> 2/2 com {jump} engolido.
680.cardName;Fantasma do Espelho
680.cardText;{gift} - Transforma uma criatura inimiga em um <b>ohlepsE od amsatnaF</b> 5/3.
685.cardName;Crisálida
685.cardText;{gift} - {swallow} uma criatura aliada.\n{production} - A criatura engolida ganha +1/+1.\n{activate} - Destrói esta estrutura.
686.cardName;Emissário Verdurano
686.cardText;{last_words} - Dá +1/+1 a todas criaturas em sua mão.
692.cardName;Salvador dos Dóceis
692.cardText;{gift} - Dá +2/+2 e {divine} a outra criatura aliada com exatamente 1 de Ataque.
694.cardName;Cabeça de Hidra
694.cardText;{haste}\nMorre ao final do turno.
695.cardName;Guarda Iaque
695.cardText;{flying}, {taunt}
696.cardName;Bebê Iaque
696.cardText;{taunt}\nNão pode coletar faeria.
697.cardName;Dragonete das Dunas
697.cardText;{charge|2}, {flying}\nNão pode coletar faeria.
698.cardName;amsatnaF oxelfeR
698.cardText;{gift} - Transforma uma criatura aliada em um <b>Fantasma do Espelho</b> 3/5.
699.cardName;Rakoano
9991.cardName;Dá Rapidez
9992.cardName;Me Dá Faeria
9992.cardText;Ganha {faeria|100} e cria um terreno de cada tipo aleatoriamente.
9993.cardName;Você, Morra!
9993.cardText;Causa 100 de dano.
9994.cardName;Montanha
9995.cardName;Lago
9996.cardName;Deserto
9997.cardName;Floresta
9998.cardName;Pradaria
9999.cardName;Orbe
682.cardName;Senhor da Maré
682.cardText;{jump}\nPode ser invocado adjacente a tritões aliados. Se ele for, ganha +1/+1.
670.cardName;Tronco Assombrado
670.cardText;No final do seu turno, se o seu oponente tiver 4 ou mais cartas na mão, compre 1 carta e drene 1 ponto de vida do seu oponente.
675.cardName;Lhamacórnio
675.cardText;{combat} - Cada jogador compra uma carta e ganha 2 de Vida.
681.cardName;Tritão Estrategista
681.cardText;{jump}\n{gift} - Ganha +1/+0 para cada tritão aliado adjacente.
683.cardName;Banquete Animado
683.cardText;{dash|1}\nAo final de seu turno, uma criatura adjacente aleatória engole esta e ganha +1/+1.
688.cardName;Kodama Desabrochante
688.cardText;{gift} - Cria {green}{green}{green} aleatoriamente.
689.cardName;Zéfiro Sagaz
689.cardText;Sempre que esta criatura entra em uma {green}, você pode teleportá-la para uma {green} aliada.
691.cardName;Celebração de Vitória
691.cardText;Pelo resto do jogo, cada jogador ganha {faeria|1} extra a cada turno.
9989.cardName;Ganha Controle de Terreno
9990.cardName;Ganha Controle
657.cardText;{flying}\nAs cartas em sua mão são {wild}.\n{gift} - Adicione um membro da tripulação Gagana aleatório à sua mão. Ele custa {faeria|0}.
657.cardName;Ganana, o Navio Pássaro Arco-Íris
652.cardText;Sempre que uma criatura que você controla ativa uma habilidade {corrupt}, você drena 2 de vida de seu oponente.
652.cardName;Sacerdote Escravizado
9988.cardText;Dá {haste} a uma criatura.
9988.cardName;Atacar!
9987.cardText;{activate} - Compre uma carta.
9987.cardName;Torre da Sabedoria
690.cardText;Sempre que Dwordia se move para uma {green}, você pode teleportá-lo para uma {green} aliada. Se você fizer isso ele ganha +1/+1.
690.cardName;Dwordia, Chefe da Tribo das Raposas Brilhantes
687.cardText;{gift} - Dá +2/+4 à próxima criatura que você comprar.
687.cardName;Sacerdote da Vida Eterna
684.cardText;Esta criatura pode coletar faeria no turno em que é invocada.\n{gift} - Você pode mover o terreno desta criatura.
684.cardName;Girino do Coral
674.cardText;{gift} - Se Ulani for sua única criatura, ganha {taunt}, {protection} e {divine}.
674.cardName;Ulani, Defensora de Céu-Acima
673.cardText;{gift} - Se você não tiver nenhuma criatura restando em seu baralho, embaralhe <b>Esplendor, Aeronave Imperial</b> e 10 criaturas neutras aleatórias em seu baralho. Elas ganham +2/+2.
673.cardName;Banon, Capitão da Esplendor
9986.cardText;Descarta a mão dele
9986.cardName;Mostrar mão da IA
800.cardText;Compre uma carta.\nDepois de jogar três <b>Mapas do Tesouro</b>, ao invés disso, {discover} um <b>Tesouro de Gagana</b>.\nMapas jogados: {dynamic_number|0|0}.
800.cardName;Mapa do Tesouro
749.cardText;Bip bip.
749.cardName;Mecha
746.cardText;Bip bop.
746.cardName;Mecha
745.cardText;{taunt}, {divine}
745.cardName;Guardião
744.cardText;{taunt}, {divine}
744.cardName;Guardião
743.cardText;Invoca dois Guardiões 5/5 com {taunt} e {divine}.
743.cardName;Chave dos Guardiões
742.cardText;{discover} uma criatura. Ela ganha +6/+6 e se torna {wild}.
742.cardName;Chave dos Gigantes
741.cardText;{options|{discover} uma criatura verde.|{discover} uma criatura azul.|{discover} uma criatura vermelha.|{discover} uma criatura amarela.}\nEscolha uma cor. {discover} uma criatura da mesma cor. Ela se torna {wild} e custa {faeria|3} a menos.
741.cardName;Chave dos Elementos
740.cardText;{divine},{flying},{dash|5}\nDeve ser invocado ao lado de uma criatura aliada.
740.cardName;Lança dos Guardiões
739.cardText;Cartas em sua mão custam {faeria|1} a menos.
739.cardName;Simulacro da Obediência
738.cardText;{flying}, {dash|5}\n{gift} - Preencha sua mão com <b>Ventos Ligeiros</b>. Eles se tornam {wild}.
738.cardName;Tapete Mágico
