ACCEPT;Принять
PROMPT_TRANSACTION_FAILED;Ошибка транзакции
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Пропустить
PROMPT_USER_NAME_TITLE_TEXT;Имя игрока
PROMPT_VICTORY;Победа!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Продолжить
PUBLIC_ARENA_GAME_SEARCH;Поиск
PUBLIC_GAME_SEARCH;Поиск
QUEST_HINT_WILD_COST;Требует это количество особых земель (суммарно).
QUEST_HOW_TO_UNLOCK_LANE;Достигните уровня {0}, чтобы открыть этот путь.
QUEST_LANE_ACT_NAME;Набор миссий
QUEST_LANE_COMPLETED;Путь завершен!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Случайная
QUEST_LOCKED_NAME;Миссия закрыта
QUEST_OPPONENT_LEVEL;Уровень {0}
QUEST_PACK_COMPLETED;Набор миссий пройден
QUEST_REQUIRED_LEVEL;Требуется\nуровень {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;Испыiтание
QUEST_TYPE_EPIC;Эпическая миссия
QUEST_TYPE_EPIC_FORCED_DECK;Миссия
QUEST_TYPE_INTRO;Миссия
QUEST_TYPE_MYSTERY;Таинственная миссия
QUEST_TYPE_PUZZLE;Головоломка
QUEST_TYPE_QUEST;Задание
QUEST_TYPE_SURVIVAL;Выживание
RANK_DOWN;Рейтинг понижен
RANK_STAR_DEFEAT;Поражение
RANK_STAR_FIRST_WIN_OF_THE_DAY;Первая победа дня!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Вы победили более сильного противника!
RANK_STAR_VICTORY;Победа
RANK_STAR_WIN_STREAK;Серия побед!
RANK_UP;Рейтинг повышен
RECOVERY_CODE;Код восстановления
RECOVERY_STEAM;Я создал аккаунт на PC/macOS/Linux.
RECOVERY_SUPPORT;Приведённый(ые) выше вариант(ы) не помогли.
RECOVERY_VALIDATED;Мой аккаунт Faeria подтверждён (я дал свой адрес электронной почты).
RECRUITER;Наниматель
REFUSE;Отклонить
REFUSE_FRIEND_REQUESTS;Отказывать в запросах на добавление в друзья
REFUSE_FRIEND_SPECTATE;Отказывать в наблюдении за игрой
REPLAY_BUTTON_TEXT;Режим повтора
REQUEST_CANCELED_BY_HOST;Запрос отменён.
REROLL;Заменить
RESOLUTION;Разрешение : {0}
RUSH_TUTORIAL;Агрессивное начало
SAVE;СОХРАНИТЬ
SEARCH_MODE_CASUAL_BUTTON_TEXT;Обычная
SEARCH_MODE_RANKED_BUTTON_TEXT;Рейтинговая
SEARCH_TIME_ARENA_MODE_NAME;Пандора
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Битва
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Последние новости <u><link={0}>здесь</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;Профилактика сервера назначена на {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Наши технояки проводят профилактику сервера. Надеемся, что наши сервера возобновят работу около {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Список последних изменений в обновлении находится <u><link={0}>здесь</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Сервер недоступен.
SERVER_IP;IP сервера
SETTING_ANIMATED_BACKGROUND;Анимированный фон:
SETTING_BUTTON_TEXT_EXIT;Выход из игры
SETTING_BUTTON_TEXT_OPTIONS;Настройки
SETTING_BUTTON_TEXT_PAUSE;Пауза
SETTING_MUTE_IN_BACKGROUND;Убрать звук в фоновом режиме
SETTING_PERMANENT_DECK_HAND_INFO;Число карт в колоде и руке
SETTING_POWER_SAVING_MODE;Энергосберегающий режим
SETTING_TEXT_AUDIO_TITLE;Настройки звука
SETTING_TEXT_GAMEPLAY_TITLE;Настройки игры
SETTING_TEXT_VIDEO_TITLE;Настройки изображения
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Заглушить эмоции
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Показать количество земель
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Восстановить эмоции
SETTING_WINDOWED;Оконный режим:
SET_RECRUITER_NAME;Добавьте друга в качестве нанимателя, и вас обоих ждут потрясающие награды в ходе вашего путешествия по миру Faeria!\nПодробнее по ссылке: <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Щёлкните, чтобы открыть ящик
SHOP_ANNUITY_DAYS_LEFT;Осталось {0} дн.
SHOP_INPUT_FIELD_HINT_COUPON;Введите здесь свой купон
SIGN_IN;Войти
SIGN_OUT;Выйти из аккаунта
SOLO_COMPLETED;Миссии выполнены!
SPECTATORS_CANNOT_PAUSE;Наблюдатели не могут приостанавливать игру.
SPECTATOR_JOINED_GAME;{0} присоединился к игре в качестве наблюдателя.
SPECTATOR_LEFT_GAME;Наблюдатель {0} покинул игру.
STOP_SPECTATING;Прекратить наблюдение
SURRENDER;Сдаться
TOPBAR_BUTTON_PLAY;ИГРАТЬ
TUTORIAL_DECK_CREATED;Это ваша новая колода!
TUTORIAL_DECK_CREATED_BACK;Нажмите Назад, чтобы выбрать режим игры
UPDATE_VERSION_OUTDATED;Требуется обновить клиент.
UPDATE_VERSION_TIP_IOS;*Если требуемая версия недоступна в вашем магазине приложений, вам нужно будет дождаться её, прежде чем вы сможете играть.
USER_NAME_WELCOME;Добро пожаловать в Faeria!\nКак вас зовут?
USE_THIS_SET;Использовать Формулу
USE_TIMEBANK;Использовать запас времени:
WELCOME_BUTTON_TEXT_ENTER_GAME;Войти
WELCOME_BUTTON_TEXT_EXIT;Выход
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Официальная страница
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Щёлкните, чтобы войти
WELCOME_BUTTON_TEXT_START_AS_GUEST;Начать в качестве гостя
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;У меня уже есть аккаунт
WELCOME_INPUT_FIELD_HINT_PASSWORD;Пароль
WELCOME_INPUT_FIELD_HINT_SERVER_IP;IP сервера
WELCOME_INPUT_FIELD_HINT_USERNAME;Имя учетной записи
WELCOME_USE_ANOTHER_ACCOUNT;Выйти из учётной записи
WINNER;Победитель
WORLD_BOSS_OBJECTIVE_PROGRESS;Победить трёх боссов ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Разблокировать Сферу Чемпионов
WORLD_BOSS_OBJECTIVE_TEXT2;Улучшить вашу Сферу Чемпионов
WORLD_BOSS_OBJECTIVE_TITLE;Всемирная цель
WORLD_BOSS_REWARD;Награда за босса
WORLD_LOCATION;Расположение
XP;{0} XP
YOU_PLAY_FIRST;Ваш ход - первый
YOU_PLAY_SECOND;Ваш ход - второй
CARD_WAS_PROMOTED_AS_DECK_COVER;Карта была помещена на обложку колоды.
CURRENT_DECK_COVER;Текущая обложка колоды
PROMOTE_DECK_COVER;Поместить на обложку колоды
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Объявить Обложкой Колоды
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Посмотреть Страницу Истории
LORE_BOOK_EXPLANATION_TEXT;Собирайте фрагменты истории, изучая легенды и мифы мира Faeria.
LORE_PAGE_ARTISTS;<b>Художники</b> {0}
LORE_PAGE_NOT_AVAILABLE;Вы должны иметь как минимум {0} уровень, чтобы получить доступ к Страницам Истории
CO_OP_LOBBY;Совместное лобби
LOBBY_CRUCIBLE_RULES_TITLE;Правила формата "Горнило"
LOBBY_DECK_FORMAT;Формат колод:
LOBBY_DECK_FORMAT_CLASSIC;Классика
LOBBY_DECK_FORMAT_CRUCIBLE;Горнило
LOBBY_MINUTES_PER_GAME;Минут на игру:
LOBBY_SECONDS_PER_TURN;Секунд на ход:
LORE_BOOK_EMPTY_SECTION;Ничего не найдено
LORE_PAGE_NOT_YET_AVAILABLE;Эта страница истории пока недоступна
LOBBY_GO_TO_COLLECTION;В коллекцию
LOBBY_START_OVER;Начать заново
PROMPT_LOBBY_BACK_CONFIRMATION;Это действие вернёт всех на экран настроек лобби. Продолжить?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Это действие сбросит счёт лобби и разблокирует настройки. Продолжить?
REGISTER_YOUR_DECKS;Зарегистрируйте ваши колоды!
TOURNAMENT_DECKS_REGISTERED;Колоды зарегистрированы!
LORE_BOOK_UNAVAILABLE_TOOTIP;Откроется на {0} уровне
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Оцените нас в Steam
HOME_CREDITS_BUTTON_TEXT;Титры
PROMPT_FRIEND_CALLED;Вашему потерянному яку был отправлен email.\nВы можете также связаться с ним на вашем любимом коммуниякционном канале: ему надо лишь войти в игру!
PROMPT_FRIENDS_CALLED;Каждому из ваших {0} потерянных яков был отправлен email.\nВы можете также связаться с ними на вашем любимом коммуниякционном канале: им надо лишь войти в игру!
FRIEND_CALL_SEND;Отправить
FRIEND_CALL_NO_ELIGIBLE;Вы уже позвали всех ваших друзей!
FRIENDLIST_CALL_FRIEND;Позвать старых друзей!
MAINMENU_TITLE_PUZZLES;ГОЛОВОЛОМКИ
SETTING_CLEAR_CACHE;Очистить кэш
CACHE_CLEARED;Операция выполнена успешно. Пожалуйста, перезапустите игру.
CACHE_CLEAR_FAIL_PERMISSION;Операция не выполнена. Попробуйте перезапустить игру от имени администратора.
CACHE_CLEAR_FAIL_IN_USE;Операция не выполнена, файл используется другой программой. Перезапустите компьютер и попробуйте ещё раз.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Комплект косметики
PLAY_MENU_SOLO_DRAGONS_LAIR;Логово Дракона
MARKET_ITEM_SPECIAL_PROMO;Особая акция
MARKET_ITEM_COMPLETE_YOUR_SET;Завершите ваш набор!
DRAGON_TODAYS_CHALLENGES;Сегодняшние испытания
DRAGON_SOLO_MISSION;Одиночная миссия
DRAGON_REWARD;Награда Дракона
DRAGON_CO_OP_MISSION;Совместная миссия
APPLY;Применить
MOUSE_PROMPT_CLICK_ANYWHERE;Щёлкните где угодно, чтобы продолжить
PLAY_MENU_SOLO_WORLDBOSS_INFO;Очень сложные битвы с боссами, которые испытают ваше мастерство колодостроения.
PLAY_MENU_SOLO_STANDARD_INFO;Освойте основы Faeria в разнообразных наборах миссий.
PLAY_MENU_SOLO_OVERSKY_INFO;Совместная кампания! Сразитесь плечом к плечу с другом или ИИ-союзником.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Ежедневные задания! Возвращайтесь каждый день, чтобы одержать верх над новыми драконами. Одиночные и совместные бои.
MAINMENU_TITLE_SOLO_INFO;Исследуйте мир Faeria в этих одиночных и совместных боях!
MAINMENU_TITLE_PUZZLES_INFO;Решите сложные головоломки и научитесь при этом новым хитростям.
MAINMENU_TITLE_PANDORA_INFO;Режим драфта. Попробуйте новые карты и соберите уникальную колоду. Продержитесь так долго, как только сможете!
MAINMENU_TITLE_BATTLE_INFO;Классический режим Faeria. Сыграйте в Обычную или Рейтинговую игру против других игроков, или опробуйте свои силы против ИИ.
MOUSE_HOME_LINKS_INFO;Щёлкните здесь, чтобы прочитать важные новости в нашем официальном блоге.
DEFAULT_BUTTON_TEXT;По умолчанию
BACK_TO_WORLD_BOSSES;Назад к мировым боссам
BACK_TO_PUZZLES;Назад к головоломкам
BACK_TO_PANDORA;Назад к Пандоре
BACK_TO_OVERSKY;Назад к Сверхнебесью
BACK_TO_MISSIONS;Назад к миссиям
BACK_TO_DRAGONS_LAIR;Назад к Логову дракона
BACK_TO_BATTLE;Назад к выбору битвы
LORE_BOOK_TOGGLE_TEXT;Книга знаний
SHOW;Показать
INGAME_OPPONENT_DISCOVERING_CARD;Ваш соперник открывает карту
INGAME_ALLY_DISCOVERING_CARD;Ваш союзник открывает карту
HIDE;Скрыть
GEMS_INFO_POPUP_DESCRIPTION;Самоцветы теперь являются особой валютой, которую можно заработать только при участии в определённых событиях.
GEMS_INFO_POPUP_TITLE;О самоцветах
SHORTCUT_TEXT_TOGGLE;Переключить
SHORTCUT_TEXT_MODIFY_SLIDER;Изменить бегунок
SHORTCUT_TEXT_CLOSE;Закрыть
SETTING_TEXT_LANGUAGE_TITLE;Язык
SERVER_INFO_UNAVAILABLE;Серверы временно отключены
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} не может общаться в чате
YOUR_SUPPORT_ID;Ваш идентификатор:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Возникла ошибка. Необходимо перезапустить игру.
MOUSE_PROMPT_CLICK_TO_CLOSE;Щёлкните, чтобы закрыть
LOADING_HERDING_YAKS;Выпас яков
LOADING_DOWNLOADING_CONTENT;Загрузка материалов
LOADING_CHECKING_CONTENT;Проверка материалов
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Нажмите {GAMEPAD_ACTION_CANCEL}, чтобы закрыть
GAMEPAD_PROMPT_CLICK_ANYWHERE;Нажмите {GAMEPAD_ACTION_CONFIRM}, чтобы продолжить
GAMEPAD_HOME_LINKS_INFO;Нажмите {GAMEPAD_ACTION_CONFIRM}, чтобы прочитать новости из официального блога.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Такое имя носят несколько друзей. Выберите нужного из списка друзей в контекстном меню, чтобы поговорить.
GO_TO_STORE_BUTTON_TEXT;В магазин
CHAT_ERROR_MESSAGE_REFUSED;Платформа получателя автоматически отклонила ваше сообщение из-за его содержания.
CHAT_ERROR_SANITIZATION_ERROR;Ваше сообщение отклонено из-за его содержания.
ID_COPIED_TO_CLIPBOARD;Идентификатор скопирован в буфер
SPECIAL_LADDER_MAPS_EVENT_TITLE;Особые карты рейтингового сезона
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;Неизвестный игрок
PLAYER;Игрок
NOT_ENOUGH_COINS;Недостаточно осколков.
NOT_ENOUGH_GEMS;Недостаточно самоцветов.
LADDER_RANKED_BUTTON;Рейтинг
LADDER_PANDORA_BUTTON;Пандора
HOME_LADDER_BUTTON_TEXT;Рейтинговый сезон
COSMETIC_ITEM_NOT_OWNED;У вас нет данного косметического предмета
