ACCEPT;Accetta
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Se abbandoni il gruppo del torneo prima del completamento delle partite restanti, le perderai. Vuoi davvero abbandonare?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Vuoi davvero scegliere questi mazzi? Una volta confermati, non potrai più tornare indietro.
PROMPT_TRANSACTION_FAILED;Operazione non riuscita
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Salta
PROMPT_USER_NAME_TITLE_TEXT;Nome del giocatore
PROMPT_VICTORY;Vittoria!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Continua
PUBLIC_ARENA_GAME_SEARCH;Ricerca
PUBLIC_GAME_SEARCH;Ricerca
QUEST_HINT_WILD_COST;Richiede questo numero di terre speciali (totale).
QUEST_HOW_TO_UNLOCK_LANE;Raggiungi il livello {0} per sbloccare questo percorso.
QUEST_LANE_ACT_NAME;Pacchetto missioni
QUEST_LANE_COMPLETED;Percorso completato!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Selvaggio
QUEST_LOCKED_NAME;Missione bloccata
QUEST_OPPONENT_LEVEL;Livello {0}
QUEST_PACK_COMPLETED;Pacchetto missioni completato
QUEST_REQUIRED_LEVEL;Richiede\nLivello {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;Sfida
QUEST_TYPE_EPIC;Missione epica
QUEST_TYPE_EPIC_FORCED_DECK;Missione
QUEST_TYPE_INTRO;Missione
QUEST_TYPE_MYSTERY;Missione misteriosa
QUEST_TYPE_PUZZLE;Puzzle
QUEST_TYPE_QUEST;Missione
QUEST_TYPE_SURVIVAL;Sopravvivenza
RANK_DOWN;Sceso di grado
RANK_STAR_DEFEAT;Sconfitta
RANK_STAR_FIRST_WIN_OF_THE_DAY;Prima vittoria del giorno!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Hai sconfitto un nemico molto più forte!
RANK_STAR_VICTORY;Vittoria
RANK_STAR_WIN_STREAK;Serie di vittorie!
RANK_UP;Salito di grado
RECOVERY_CODE;Codice di recupero
RECOVERY_STEAM;Ho creato il mio account su PC/macOS/Linux.
RECOVERY_SUPPORT;La suddetta(e) opzione(i) non ha/hanno funzionato.
RECOVERY_VALIDATED;Il mio account di Faeria è stato convalidato (Ho dato il mio indirizzo e-mail).
RECRUITER;Reclutatore
REFUSE;Rifiuta
REFUSE_FRIEND_REQUESTS;Rifiuta richiesta d'amicizia
REFUSE_FRIEND_SPECTATE;Rifiuta richiesta spettatore
REPLAY_BUTTON_TEXT;Modalità replay
REQUEST_CANCELED_BY_HOST;La richiesta è stata annullata dall'host
REROLL;Rilancia
RESOLUTION;Risoluzione: {0}
RUSH_TUTORIAL;Apertura aggressiva
SAVE;SALVA
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casuale
SEARCH_MODE_RANKED_BUTTON_TEXT;Classificata
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Costruito
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Clicca <u><link={0}>qui</link></u> per le ultime novità
SERVER_INFO_MAINTENANCE_SCHEDULED;Una manutenzione del server è in programma per {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;I nostri tecni-yak stanno effettuando la manutenzione del server. Prevediamo che i nostri servers torneranno operativi intorno alle {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Le ultime note della patch sono disponibili <u><link={0}>qui</link></u>
SERVER_INFO_SERVER_IS_DOWN;Server non disponibile.
SERVER_IP;Server IP
SETTING_ANIMATED_BACKGROUND;Sfondo animato:
SETTING_BUTTON_TEXT_EXIT;Esci
SETTING_BUTTON_TEXT_OPTIONS;Opzioni
SETTING_BUTTON_TEXT_PAUSE;Metti in pausa
SETTING_MUTE_IN_BACKGROUND;Silenzioso
SETTING_PERMANENT_DECK_HAND_INFO;Mazzo permanente/informazione sulla mano
SETTING_POWER_SAVING_MODE;Modalità risparmio energetico
SETTING_TEXT_AUDIO_TITLE;Impostazioni audio
SETTING_TEXT_GAMEPLAY_TITLE;Impostazioni di gioco
SETTING_TEXT_VIDEO_TITLE;Impostazioni video
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Disattiva emote
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Mostra conteggio territori
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Riattiva emote
SETTING_WINDOWED;Riduci a finestra:
SET_RECRUITER_NAME;Aggiungi un amico come reclutatore così che entrambi possiate ricevere fantastiche ricompense nel corso della vostra avventura su Faeria!\nPer saperne di più: <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Fai clic per aprire la scatola
SHOP_ANNUITY_DAYS_LEFT;{0} giorni rimasti
SHOP_INPUT_FIELD_HINT_COUPON;Digita qui il codice del tuo buono
SIGN_IN;Connetti
SIGN_OUT;Disconnetti
SOLO_COMPLETED;Missioni completate!
SPECTATORS_CANNOT_PAUSE;Gli spettatori non possono mettere in pausa la partita.
SPECTATOR_JOINED_GAME;{0} si è aggiunto come spettatore.
SPECTATOR_LEFT_GAME;Lo spettatore {0} ha lasciato la partita.
STOP_SPECTATING;Smetti di assistere alla partita
SURRENDER;Arrenditi
TOPBAR_BUTTON_PLAY;GIOCA
TUTORIAL_DECK_CREATED;Ecco qui il tuo nuovo mazzo!
TUTORIAL_DECK_CREATED_BACK;Premi il pulsante Indietro per selezionare la modalità di gioco
UPDATE_VERSION_OUTDATED;Il tuo client deve essere aggiornato.
UPDATE_VERSION_TIP_IOS;*Se la versione richiesta non è disponibile nell'App Store, avrai bisogno di aspettare la sua uscita per giocare.
USER_NAME_WELCOME;Benvenuto a Faeria!\nCome ti chiami?
USE_THIS_SET;Usa Formula
USE_TIMEBANK;Usa la banca del tempo:
WELCOME_BUTTON_TEXT_ENTER_GAME;Accedi
WELCOME_BUTTON_TEXT_EXIT;Esci
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Pagina ufficiale
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Clicca dove vuoi per connetterti
WELCOME_BUTTON_TEXT_START_AS_GUEST;Comincia come ospite
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;Possiedo già un account
WELCOME_INPUT_FIELD_HINT_PASSWORD;Password
WELCOME_INPUT_FIELD_HINT_SERVER_IP;IP server
WELCOME_INPUT_FIELD_HINT_USERNAME;Nome account
WELCOME_USE_ANOTHER_ACCOUNT;Disconnetti
WINNER;Vincitore
WORLD_BOSS_OBJECTIVE_PROGRESS;Sconfiggi 3 boss ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Sblocca la Sfera dei Campioni
WORLD_BOSS_OBJECTIVE_TEXT2;Potenzia la tua Sfera dei Campioni
WORLD_BOSS_OBJECTIVE_TITLE;Obiettivo del Mondo
WORLD_BOSS_REWARD;Ricompensa del Boss
WORLD_LOCATION;Luogo
XP;{0} PE
YOU_PLAY_FIRST;Giochi per primo
YOU_PLAY_SECOND;Giochi per secondo
CARD_WAS_PROMOTED_AS_DECK_COVER;Questa carta è stata promossa a copertina del mazzo.
CURRENT_DECK_COVER;Copertina del Mazzo corrente
PROMOTE_DECK_COVER;Promuovi come Copertina del Mazzo
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Promuovi a Copertina del Mazzo
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Visualizza Pagina di Storia
LORE_BOOK_EXPLANATION_TEXT;Colleziona frammenti di storia, esplorando le leggende e i misteri del passato di Faeria.
LORE_PAGE_ARTISTS;<b>Artisti</b> {0}
LORE_PAGE_NOT_AVAILABLE;Devi essere di livello {0} o superiore per accedere alle Pagine di Storia.
CO_OP_LOBBY;Lobby co-op
LOBBY_CRUCIBLE_RULES_TITLE;Regole del Crogiolo
LOBBY_DECK_FORMAT;Formato del Mazzo:
LOBBY_DECK_FORMAT_CLASSIC;Classico
LOBBY_DECK_FORMAT_CRUCIBLE;Crogiolo
LOBBY_MINUTES_PER_GAME;Minuti per partita:
LOBBY_SECONDS_PER_TURN;Secondi per turno:
LORE_BOOK_EMPTY_SECTION;Nessun risultato in questa sezione
LORE_PAGE_NOT_YET_AVAILABLE;Questa pagina di storia non è ancora disponibile
LOBBY_GO_TO_COLLECTION;Vai alla collezione
LOBBY_START_OVER;Ricomincia
PROMPT_LOBBY_BACK_CONFIRMATION;Riporta tutti alla schermata di impostazioni della lobby. Continuare?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Resetta i punteggi della lobby e sblocca le impostazioni. Continuare?
REGISTER_YOUR_DECKS;Registra i tuoi mazzi!
TOURNAMENT_DECKS_REGISTERED;Mazzi registrati!
LORE_BOOK_UNAVAILABLE_TOOTIP;Disponibile a livello {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Votaci su Steam
HOME_CREDITS_BUTTON_TEXT;Crediti
PROMPT_FRIEND_CALLED;Un'e-mail è stata inviata al tuo yak perduto.\nPuoi anche raggiungerlo nel tuo canale di comuniyakzione preferito - deve solo accedere!
PROMPT_FRIENDS_CALLED;Un'e-mail è stata inviata ad ogniuno dei tuoi {0} yak perduti.\nPuoi anche raggiungerli nel tuo canale di comuniyakzione preferito - devono solo accedere!
FRIEND_CALL_SEND;Inviato
FRIEND_CALL_NO_ELIGIBLE;Hai già richiamato tutti i tuoi amici!
FRIENDLIST_CALL_FRIEND;Richiama il vecchio amico!
MAINMENU_TITLE_PUZZLES;PUZZLES
SETTING_CLEAR_CACHE;Pulisci la cache
CACHE_CLEARED;Sarà effettivo dal prossimo riavvio del gioco.
CACHE_CLEAR_FAIL_PERMISSION;Operazione fallita, prova a lanciare Faeria come Amministratore.
CACHE_CLEAR_FAIL_IN_USE;Operazione fallita, file in uso - riavvia il computer e prova ancora.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Imposta cosmetici
PLAY_MENU_SOLO_DRAGONS_LAIR;Nido del Drago
MARKET_ITEM_SPECIAL_PROMO;Promozione Speciale
MARKET_ITEM_COMPLETE_YOUR_SET;Completa il tuo set!
DRAGON_TODAYS_CHALLENGES;Sfide del giorno
DRAGON_SOLO_MISSION;Missioni in solitario
DRAGON_REWARD;Ricompense del Drago
DRAGON_CO_OP_MISSION;Missioni cooperative
APPLY;Applica
MOUSE_PROMPT_CLICK_ANYWHERE;Premi ovunque per continuare
PLAY_MENU_SOLO_WORLDBOSS_INFO;Battaglie boss ad alta difficoltà che testeranno la tua abilità nel costruire un mazzo.
PLAY_MENU_SOLO_STANDARD_INFO;Mastera le basi di Faeria con dei variegati pacchetti di missioni.
PLAY_MENU_SOLO_OVERSKY_INFO;Campagna Co-op! Unisciti alla battaglia con un amico o con un'IA alleata.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Sfide giornaliere! Torna qui ogni giorno per sconfiggere nuovi draghi. Battaglie sia Solo che Co-op.
MAINMENU_TITLE_SOLO_INFO;Scopri il mondo di Faeria in queste sfide Solo e Co-op!
MAINMENU_TITLE_PUZZLES_INFO;Completa difficili puzzle e impara qualche trucco interessante nel mentre.
MAINMENU_TITLE_PANDORA_INFO;Modalità Draft. Prova nuove carte e costruisci un mazzo unico. Sopravvivi più a lungo che puoi.
MAINMENU_TITLE_BATTLE_INFO;Faeria Classico. Unisciti nel multiplayer Amichevole o Classificato, o fai pratica contro l'IA.
MOUSE_HOME_LINKS_INFO;Clicca quà per leggere importanti news dal nostro blog ufficiale
DEFAULT_BUTTON_TEXT;Normale
BACK_TO_WORLD_BOSSES;Ai Boss del mondo
BACK_TO_PUZZLES;Ai Puzzle
BACK_TO_PANDORA;A Pandora
BACK_TO_OVERSKY;Ad Altocielo
BACK_TO_MISSIONS;Alle missioni
BACK_TO_DRAGONS_LAIR;Al nido del Drago
BACK_TO_BATTLE;Alla battaglia
LORE_BOOK_TOGGLE_TEXT;Libro della Storia
SHOW;Mostra
INGAME_OPPONENT_DISCOVERING_CARD;Il tuo avversario sta scoprendo una carta
INGAME_ALLY_DISCOVERING_CARD;Il tuo alleato sta scoprendo una carta
HIDE;Nascondi
GEMS_INFO_POPUP_DESCRIPTION;Le gemme sono ora una valuta premium che si può ottenere solo tramite eventi speciali.
GEMS_INFO_POPUP_TITLE;Riguardo le gemme
SHORTCUT_TEXT_TOGGLE;Attiva/disattiva
SHORTCUT_TEXT_MODIFY_SLIDER;Modifica indicatore scorrevole
SHORTCUT_TEXT_CLOSE;Chiudi
SETTING_TEXT_LANGUAGE_TITLE;Lingua
SERVER_INFO_UNAVAILABLE;I server sono temporaneamente non disponibili
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;A {0} non è consentito chattare
YOUR_SUPPORT_ID;Il tuo ID:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Si è verificato un errore e il gioco deve essere riavviato
MOUSE_PROMPT_CLICK_TO_CLOSE;Fai clic per chiudere
LOADING_HERDING_YAKS;Pascolo di yak
LOADING_DOWNLOADING_CONTENT;Download del contenuto
LOADING_CHECKING_CONTENT;Controllo del contenuto
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Premi {GAMEPAD_ACTION_CANCEL} per chiudere
GAMEPAD_PROMPT_CLICK_ANYWHERE;Premi {GAMEPAD_ACTION_CONFIRM} per continuare.
GAMEPAD_HOME_LINKS_INFO;Premi {GAMEPAD_ACTION_CONFIRM} per leggere notizie importanti dal nostro blog ufficiale.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Più amici usano questo nome utente. Usa il menu di scelta rapida dell'elenco amici per chattare con questa persona.
GO_TO_STORE_BUTTON_TEXT;Vai al negozio
CHAT_ERROR_MESSAGE_REFUSED;Il tuo messaggio è stato rifiutato automaticamente dalla piattaforma del destinatario per via del suo contenuto.
CHAT_ERROR_SANITIZATION_ERROR;Il tuo messaggio è stato rifiutato per via del suo contenuto.
ID_COPIED_TO_CLIPBOARD;ID copiato negli appunti.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Mappe classifica speciale
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;Giocatore sconosciuto
PLAYER;Giocatore
NOT_ENOUGH_COINS;Schegge insufficienti.
NOT_ENOUGH_GEMS;Gemme insufficienti.
LADDER_RANKED_BUTTON;Classificato
LADDER_PANDORA_BUTTON;Pandora
HOME_LADDER_BUTTON_TEXT;Classifica
COSMETIC_ITEM_NOT_OWNED;Non possiedi questo elemento estetico
