1.cardName;Giovane Contadino
317.cardName;Soldato Gabriano
317.cardText;{aquatic}, {charge|3}
318.cardName;Rana
318.cardText;{jump}
319.cardName;Cartografo
319.cardText;{last_words} - Crea {green}{blue}{red}{yellow} casuali.
321.cardName;Divoratore di Cieli
321.cardText;{flying}
322.cardName;Yak Arrabbiati della Prateria
322.cardText;{haste}
323.cardName;Esplora
323.cardText;Crea una prateria e ottiene {faeria|2}.
324.cardName;Yak Arrabbiato
324.cardText;{haste}
325.cardName;Spiritello delle Spine
325.cardText;Ottiene +1/+0 ogniqualvolta crei una {green}
328.cardName;Ostregoth, Mano dell'Oblio
328.cardText;{flying}, {haste}, {charge|13}\nI pozzi di Faeria sono vuoti.
329.cardName;Bandito Tagliagole
330.cardName;Cavaliere Selvaggio
331.cardName;Saggezza
331.cardText;Pesca 2 carte.
332.cardName;Preghiera Curativa
332.cardText;Ottieni 3 punti vita.
333.cardName;Io No Giocabile
333.cardText;Non puoi mettermi in gioco.
334.cardName;Saggezza Superiore
334.cardText;Pesca CINQUE carte.
335.cardName;Fromboliere Ribelle
335.cardText;{gift} - Infliggi 2 danni al tuo avversario.
336.cardName;Spirito del Nexus
336.cardText;{last_words} - Riduce il suo padrone a 1 punto vita.
337.cardName;Tempesta di Fuoco Divino
337.cardText;Infligge 10 danni a TUTTE le patetiche creature dell'avversario.
338.cardName;Forza delle Maree
338.cardText;Sposta un territorio.
339.cardName;Vento Impetuoso
339.cardText;Sposta una creatura amica.
340.cardName;Guerriero di Syland
342.cardName;Kojin, Fiamma Divina
342.cardText;{divine}\nKojin mantiene rilassato il suo maestro Pyhros mentre è in gioco.\n{production} - Kojin perde 1 punto vita.
350.cardName;Tre Desideri
350.cardText;Ottieni 3 vite. Copia le prime 3 carte del mazzo del tuo avversario. Costano {faeria|1} in meno e sono {wild}. Non puoi desiderare altri desideri.
351.cardName;Aliante Ribelle
351.cardText;{flying}, {dash|2}\nNon può estrarre faeria.
352.cardName;Splendore, Dirigibile Imperiale
352.cardText;{flying}, {dash|3}\n Il costo di Splendore è uguale ai tuoi punti vita.\n{gift} - Ottieni 1 punto vita per ogni carta nella tua mano.
353.cardName;Biblioteca Proibita
353.cardText;{production} - Pesca una carta, ottieni {faeria|1} e infliggi 2 danni a te stesso.
354.cardName;Saccheggiasogni
354.cardText;{dash|3}\n{gift} - Imposta l'ammontare dei punti vita di un dio a 10.
355.cardName;Kodama Feroce
355.cardText;{jump}\nNon può raccogliere faeria.\nOgniqualvolta questa creatura attacca un dio, tu ottieni 5 punti vita.
356.cardName;Cacciatore di Dei
356.cardText;{jump}\nPuò attaccare solo dei.\nNon può estrarre faeria.
357.cardName;Canzone del Sangue
357.cardText;Riduci il costo di una carta a caso nella tua mano di {faeria|2} per quattro volte. Infliggi 4 danni a te stesso.
358.cardName;Fuoco Infernale
358.cardText;Infliggi 9 danni distribuiti a caso tra i tuoi nemici.
359.cardName;Giorno del Giudizio
359.cardText;Imposta il tuo totale di faeria a {faeria|0}. Dimezza il totale dei tuoi punti vita (per difetto). Distrutti TUTTE le creature e strutture. Termina il turno.
360.cardName;Moscerino Fastidioso
360.cardText;{flying}\nNon può raccogliere faeria.\n{last_words} - Infliggi 2 danni a te stesso. Evoca questa creatura in una casella casuale.
361.cardName;Yak dalle Lunghe Corna
361.cardText;{last_words} - La prossima creatura che peschi ottiene un valore di attacco pari a quello di questa creatura.
362.cardName;Il tempo delle Leggende
362.cardText;Pesca la leggendaria più in cima nel to mazzo. Se non ci sono leggendarie, aggiungi una leggendaria casuale alla tua mano. Diventa {wild}.
363.cardName;Tritone Addestratore
363.cardText;{jump}\n{gift} - La prossima creatura con {jump} che evochi ottiene +1/+1.
364.cardName;Voce della Verità
364.cardText;{gift} - Puoi far tornare una creatura ai suoi valori originali di attacco e vita.
365.cardName;Messaggero di Guerra
365.cardText;{combat} - Dona alla prossima creatura con {combat} che evochi +1/+1.
366.cardName;Guida delle Nebbie
366.cardText;{flying}\nLe creature alleate evocate in una casella adiacente a questa creatura ottengono {dash|2} e {flying}.
367.cardName;Guardiano Divino
367.cardText;{divine}\nQuando dovresti subire del danno letale, previenilo e distruggi questa creatura.
368.cardName;Il comando dell'Imperatore
368.cardText;Scegli un bersaglio:\n- creatura: ottiene -2/-1\n- struttura: infliggi 3 danni\n- dio: ottiene 4 punti vita
369.cardName;Illusione di grandezza
369.cardText;{charge|2}\n Ogniqualvolta evochi una creatura con un costo pari o inferiore a {faeria|1}, questa creatura ottiene un valore di attacco e punti vita pari all'ammontare di quello della creatura evocata (se questa carta si trova nella tua mano o nel tuo mazzo).
370.cardName;Cacciatore di Bosco Cupo
370.cardText;{gift} - Può combattere con una creatura nemica.
371.cardName;Banchetto di Krog
371.cardText;Il tuo Krog costa {faeria|7} in meno. Quando evochi Krog, distruggi questa creatura.\n{gift} - Se Krog è morto o è nel tuo mazzo, pescalo.
372.cardName;Sorriso di Iona
372.cardText;Pesca le prime 2 creature con {flying} nel tuo mazzo.
400.cardName;Scheggia di Pandora
401.cardName;Pandora si risveglia!
401.cardText;Pandora si è aperta, entrambi i giocatori ricevono un <b>Tesoro</b>!
402.cardName;Tesoro trovato!
402.cardText;Entrambi i giocatori ricevono un <b>Tesoro</b>!\nPesca una carta.
403.cardName;Cristallo delle Tenebre
403.cardText;Sottrai 4 punti vita al tuo avversario, infliggi 3 danni a tutte le creature nemiche e pesca 2 carte.
404.cardName;Olifante da Guerra
404.cardText;Evoca 3 <b>Yak Arrabbiati</b> 2/4 con {haste}.
405.cardName;Arma Astrale
405.cardText;{flying}\n{gift} - Distruggi tutte le creature, strutture e territori confinanti.
406.cardName;Ocarina
406.cardText;Gioca un altro turno dopo questo.
407.cardName;Lampada del Genio
407.cardText;{options|Aggiungi alla tua mano 3 carte verdi casuali. Ti costeranno {faeria|3} in meno|Aggiungi alla tua mano 3 carte blu casuali. Ti costeranno {faeria|3} in meno|Aggiungi alla tua mano 3 carte rosse casuali. Ti costeranno {faeria|3} in meno|Aggiungi alla tua mano 3 carte gialle casuali. Ti costeranno {faeria|3} in meno}\nScegli un colore. Aggiungi alla tua mano 3 carte casuali di quel colore. Ti costeranno {faeria|3} in meno.
408.cardName;Urna di Gabria
408.cardText;Pesca 2 carte e ottiene {faeria|2}.
409.cardName;Specchio di Iona
409.cardText;Aggiungi alla tua mano due copie dell'ultimo <b>Tesoro</b> che il tuo avversario ha giocato.
410.cardName;Golem di Sanguipietra
410.cardText;{production} - Riempi tutti i pozzi di faeria.\nOgniqualvolta viene raccolta faeria, infliggi un danno al tuo avversario.
411.cardName;Calice col Salice
411.cardText;Distribuisci casualmente +6/+6 tra le tue creature amiche.
412.cardName;Tamburo di Eredon
412.cardText;Dona +2/+2 a tutte le tue creature, ovunque si trovino.
413.cardName;Macchina delle Nuvole
413.cardText;Le creature alleate hanno +1/+0, {flying} e {jump}.
414.cardName;Anello del Dominio
414.cardText;{options|Trasforma una terra in una {green}. Prendine il controllo.|Trasforma una terra in un {blue}. Prendine il controllo.|Trasforma una terra in una {red}. Prendine il controllo.|Trasforma una terra in un {yellow}. Prendine il controllo.}\nTrasforma una terra in un colore a tua scelta. Prendine il controllo.
415.cardName;La Lacrima del Mondo
415.cardText;Trasforma in un <b>Divoratore di Cieli</b> 10/10 con {flying} una creatura che ha attaccato un dio in questo turno.
416.cardName;Yak Meccanico
416.cardText;{dash|2}
417.cardName;Equinozio Meccanico
417.cardText;{gift} - Ottieni 6 punti vita.\n{last_words} - Infliggi 6 danni al tuo avversario.
418.cardName;Rosa di Magda
418.cardText;Ottieni il controllo di una creatura nemica.
419.cardName;Teiera di Aurora
419.cardText;L'attacco e la salute di tutte le creature alleate diventano 6/6.
420.cardName;Pietra della Fortuna Imparziale
420.cardText;Mescola 3 <b>Tesori</b> casuali nel tuo mazzo.
421.cardName;Segreto della Forza
421.cardText;Una creatura ottiene +4/+4, {flying} e {charge|3}.
422.cardName;Guardiano del Vuoto
422.cardText;{gift} - Distruggi il tuo mazzo.
423.cardName;Drago di Cristallo
423.cardText;{flying}, {charge|3}
424.cardName;Rubino delle Fiamme
424.cardText;{options|Infliggi 3 danni.|Infliggi 3 danni a tutto.}\n- Infliggi 3 danni.\n- Infliggi 3 danni a tutto.
425.cardName;Martello della Distruzione
425.cardText;Infliggi 5 danni. Mescola il <b>Hammer</b> nel tuo mazzo.
426.cardName;Scuotitore Primordiale
426.cardText;{gift} - Infliggi 2 danni a tutti i nemici. Ottiene +2/+2 per ogni nemico distrutto.
427.cardName;Desiderio di Morte
427.cardText;Distruggi una creatura. Il suo controllore ottiene {faeria|1} pari al suo costo e pesca 2 carte.
428.cardName;Fulmini in Bottiglia
428.cardText;Infliggi 6 danni a una creatura e 3 danni a tutti i nemici adiacenti.
429.cardName;Lama Danzante
429.cardText;{flying}, {jump}\nAlla fine del tuo turno, infliggi 3 danni a tutti i nemici adiacenti.
430.cardName;Falce del Destino
430.cardText;Distruggi una creatura. Al suo posto, posiziona un'<b>Ombra Sterminatrice</b> 6/1.
431.cardName;Gazza Dorata
431.cardText;{flying}, {haste}\nOgniqualvolta attacca un dio, aggiungi un <b>Tesoro</b> casuale nella tua mano.
432.cardName;Ruota del Caos
432.cardText;{options|Distruggi 2 territori non occupati.|Distruggi una creatura con un valore di attacco pari o inferiore a 5.|Ottieni 7 punti Vita.}\n- Distruggi 2 territori non occupati.\n- Distruggi una creatura con un valore di attacco pari o inferiore a 5.\n- Ottieni 7 punti vita.
433.cardName;Medaglione di Ulani
433.cardText;Scegli una ceatura alleata. Tuttte le tue altre creature ne diventano una copia.
500.cardName;Genio Scimmia
500.cardText;{taunt}\n{gift} - Nel prosimo turno del tuo avversario, ottiene +2/+2 ogniqualvolta una creatura nemica raccoglie faeria.
501.cardName;Esploratore Intrepido
501.cardText;{gift} - Aggiungi una carta <b>Esplorazione</b> nella mano di ogni giocatore.
502.cardName;Fiore di Cristallo
502.cardText;{gift} - {swallow} una creatura.\nAlla fine del tuo turno, infliggi un danno a questa struttura.
503.cardName;Yakkapulta
503.cardText;{ranged_attack}\nOgniqualvolta questa creatura attacca, evoca un <b>Yak Arrabbiato</b> 2/2 in una casella casuale adiacente al bersaglio.
504.cardName;Goki, Minatore Amichevole
504.cardText;{gift} – Aggiungi un <b>Tesoro</b> casuale alla mano del tuo alleato
505.cardName;Mobie, Balenottera Celeste
505.cardText;{flying}, {charge|3}\nNon può estrarre faeria.\n{gift} - {swallow} una creatura.
506.cardName;Pesce Palloncino
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} una creatura alleata. Se non può, questa creatura muore.
507.cardName;Imperatore Kaios
507.cardText;{production} - dona a tutte le creature nemiche -1/-0. Distruggi tutte le creature nemiche con un valore di attacco pari a 0.
508.cardName;Seme del Paradiso
508.cardText;{flying}, {dash|1}\n{gift} - {options|Quando questa creatura raccoglie faeria sopra l'oceano, muore e crea una {green}|Quando questa creatura raccoglie faeria sopra l'oceano, muore e crea un {blue}|Quando questa creatura raccoglie faeria sopra l'oceano, muore e crea una {red}|Quando questa creatura raccoglie faeria sopra l'oceano, muore e crea un {yellow}}\nQuando questa creatura raccoglie faeria sopra l'oceano, muore e crea una terra del colore scelto.\n
509.cardName;L'Albero di Eternavita
509.cardText;{production} - Guadagna 7 punti vita.\nDona +7/+7 a una creatura casuale nella tua mano.
510.cardName;Dono dei Rakoa
510.cardText;Una creatura ottiene +1/+1 per ogni creatura alleata.
511.cardName;Biomante Curioso
511.cardText;{gift} - Per ogni creatura nemica, pesca una creatura non blu dal tuo mazzo.
512.cardName;Fugoro, Mercante di Meraviglie
512.cardText;{jump}\n{gift} - {options|Pesca una <b>Urna di Gabria</b>|Pesca un <b>Drago di Cristallo</b>|Pesca <b>Medaglione di Ulani</b>}\n- Pesca una <b>Urna di Gabria</b>\n- Pesca un <b>Drago di Cristallo</b>\n- Pesca <b>Medaglione di Ulani</b>
513.cardName;Fugu Saltellante
513.cardText;{jump}\n{gift} - Se controlli 8 o più terre speciali, ottiene +3/+3.
514.cardName;Rampino
514.cardText;Dona ad una creatura {ranged_attack} durante questo turno. Dopo aver attaccato, puoi muoverla in una terra adiacente al bersaglio.
515.cardName;Rakoano Festaiolo
515.cardText;{last_words} - Ottieni {faeria|1} pari all'attacco di questa creatura.
516.cardName;CAP-10, Pirata dei Cieli
516.cardText;{combat} - Pesca un <b>Dono d'Acciaio</b> dal tuo mazzo. Se non ce ne sono, mescolane uno nel mazzo.
517.cardName;Salmone Guizzante
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nNon può raccogliere faeria.\nAlla fine del turno, distruggi questa creatura e pesca una carta.
518.cardName;Cavalcatore di Manta
518.cardText;{flying}\n{last_words} - Evoca una <b>Manta</b> 2/2 con {flying} e {charge|2} nella casella dove questa creatura è stata distrutta.
519.cardName;Istanu, Luce Eterna
519.cardText;{flying}, {charge|3}\n{last_words} - Una creatura amica casuale diventa la nuova <b>Istanu</b>.
520.cardName;Polpo Mutevole
520.cardText;{options|Ottiene +2/+0.|Ottiene +0/+2.|Ottiene {jump}.|Ottiene {taunt}.}, due volte:\n- Ottiene +2/+0\n- Ottiene +0/+2\n- Ottiene {jump}\n- Ottiene {taunt}
521.cardName;Lancia-Rane
521.cardText;{gift} - Combattte con una creatura nemica. Evoca una <b>Rana</b> 2/2 con {jump} in uno spazio casuale adiacente al bersaglio.
522.cardName;Strada per il Paradiso
522.cardText;{options|Crea una {green}|Crea un {blue}|Crea una {red}|Crea un {yellow}} - Crea una terra speciale.\nLa prima creatura evocata su di essa in questo turno ottiene +2/+0.
523.cardName;Salamandra Smeraldina
523.cardText;{gift} - Infliggi 2 danni alle creature nemiche adiacenti. Dona alle creature amiche adiacenti +2/+2.
524.cardName;Pesce Spada Guardiano del Cielo
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Banco di carassi
525.cardText;{flying}\nPuò essere evocato in una casella adiacente ad una creatura alleata.\n{gift} - Evoca un <b>Banco di Carassi</b> per ogni creatura alleata che è morta in questa partita.
526.cardName;Custode dei Sogni
526.cardText;{taunt}\n{gift} - Riduci il costo di tutte le carte nella tua mano di {faeria|1}, quindi rimescolale nel tuo mazzo e pesca un uguale numero di carte.
527.cardName;Tartaruga Gemmata
527.cardText;{gift} – Pesca una carta e copiala. Costano {faeria|2} in meno.
528.cardName;Volo delle Mante
528.cardText;Quando peschi questa carta, copiala.\nEvoca una <b>Manta</b> 2/2 con {flying} e {charge|2}.
529.cardName;Cittadina di Altocielo
529.cardText;{flying}, {dash|1}\nOgniqualvolta questa creatura lascia una terra, porta con se la sua terra.
530.cardName;Capotribù Rakoano
530.cardText;{dash|1}\nLe creature alleate adiacenti hanno +1/+0.
531.cardName;Anemone del Cielo
531.cardText;{flying}, {taunt}\nPuò essere evocato ovunque.
532.cardName;Ulani, Sciamano di Altocielo
532.cardText;{gift} - Pesca una carta verde, una carta blue, una carta rossa e una carta gialla dal tuo mazzo.
549.cardName;Spezzarealtà
549.cardText;{flying}\n{production} - Ottiene 2 punti vita.\nQuando ha 10 o più punti vita, <b>Crasha la partita</b>.
550.cardName;Fiore di Cristallo
550.cardText;Un prigioniero è intrappolato all'interno.
551.cardName;Fiore di Cristallo
551.cardText;Un prigioniero è intrappolato all'interno.
552.cardName;Fiore di Cristallo
552.cardText;Un prigioniero è intrappolato all'interno.
553.cardName;Manta Volante
553.cardText;{flying}, {charge|2}
555.cardName;Yak Arrabbiato
556.cardName;Tu Essere Vincitore!
556.cardText;Infliggi 100 danni al tuo avversario.
557.cardName;Imperatore Kaios
557.cardText;{production} - Le creature nemiche ottengono -1/-0. Poi distruggi tutte le creature nemiche con 0 attacco.
601.cardName;Laya, Dama del Dolore
601.cardText;{deathtouch}\n{last_words} - Evoca una <b>Statua Scintillante</b> dove si trovava Laya.
602.cardName;Cavalcadraghi Imperiale
602.cardText;{flying},{charge|2}\n{corrupt} - Ottiene +2/+2.
603.cardName;Scimmia Impazzita
603.cardText;{gift} – Svuota tutti i pozzi di faeria. Ottiene +1/+1 per ogni pozzo svuotato.
604.cardName;Fante Imperiale
604.cardText;{corrupt} - Ottieni il controllo della terra su cui si trova questa creatura.
605.cardName;Esploratore Smarrito
605.cardText;{corrupt}- Pesca una carta e ottieni {faeria|1}.
606.cardName;Cavaliere dalla Spada Rovinata
606.cardText;Il danno inflitto a questa creatura viene anche inflitto a te.
607.cardName;Ombra di Seta
607.cardText;{flying},{charge|2},{protection}\n{corrupt} - Pesca due eventi dal tuo mazzo.
608.cardName;Kaios, Mente Corrotta
608.cardText;{divine}\nL'attacco di Kaios è sempre uguale alla sua vita.\n{corrupt} - Sottrai 1 punto vita da TUTTO.
609.cardName;Pioggia di Pesci
609.cardText;Evoca 6 <b>Pesce Rubino</b> in caselle casuali. Ogni pesce che colpisce una terra infligge 1 danno a tutti i nemici adiacenti.
610.cardName;Piranha Volante
610.cardText;{flying}\nQuando una creatura adiacente muore, questa creatura ottiene {deathtouch} e {jump}.
611.cardName;Idra Mostruosa
611.cardText;{corrupt} – Evoca una <b>Testa di Idra</b> 2/1 con {haste} in ogni terra adiacente. Muoiono alla fine del turno
612.cardName;Salice Infestato
612.cardText;{taunt}
613.cardName;Cinghiale Putrescente
613.cardText;{dash|1}\n{corrupt} - Pesca la creatura con 5 o più punti vita in cima al tuo mazzo. Ottiene +2/+2.
614.cardName;Nekomata
614.cardText;{taunt}\n{corrupt} - Raddoppia l'attacco di questa creatura.
615.cardName;Baldurion, Arcifabbro Funesto
615.cardText;{protection}\n{corrupt} – Aggiungi un <b>Martello della Distruzione</b> alla tua mano
616.cardName;Folletto Dispettoso
616.cardText;{last_words} - Infliggi 2 danni a te stesso.
617.cardName;Rovina
617.cardText;Infliggi 9 danni ad una creatura o struttura nemica.
618.cardName;Salmone Demoniaco
618.cardText;{haste}, {flying}, {charge|2}\nNon può raccogliere faeria.\nOgniqualvolta questa creatura attacca un dio, ottiene +1/+1.
619.cardName;Furto dello Spirito
619.cardText;Sottrai 1 punto vita ad una creatura nemica. Se muore, aggiungine una copia alla tua mano. Diventa {wild}
620.cardName;Solem
620.cardText;{flying},{divine}\n{corrupt} - Distruggi un pozzo di faeria.
622.cardName;Madre degli Yak
622.cardText;{gift} - Evoca 2 <b>Guardie Yak</b> 4/4 con {taunt} e {flying} adiacenti alla Madre degli Yak.\nCosta {faeria|1} in meno per ogni yak alleato morto in questa partita.
623.cardName;Campione Rakoano
623.cardText;{dash|2}\n{gift} - Ottiene +1/+1 per ogni altro Rakoa alleato.
624.cardName;Fugu Orfano
624.cardText;Ha +2/+0 e {jump} finchè controlli un'altra bestia.
625.cardName;Rapala, il Pesce Idiota
625.cardText;{aquatic}\n{gift} - Riempi la mano del tuo avversario di <b>Pesci Rubino</b>. Che idiota.
626.cardName;Yak di Zaffiro
626.cardText;Ogniqualvolta uno Yak alleato raccoglie faeria da un pozzo nemico, esso ottiene +2/+2.
627.cardName;Cacciare
627.cardText;Una bestia alleata ottiene +2/+0. Poi combatte con una creatura nemica.
628.cardName;Yak di Smeraldo
628.cardText;{gift} - Evoca un <b>Cucciolo di Yak</b> 1/1 con {taunt} e <b>Non può raccogliere faeria<b> in una prateria che controlli.
629.cardName;Majinata, Spirito di Eternavita
629.cardText;{protection}, {divine}\n{gift} - Una creatura alleata divora Majinata. Ottiene +5/+5, {flying} e {charge|2}.
630.cardName;Axolotl impeto di lava
640.cardName;Rakoakoptero
640.cardText;{flying}, {dash|1}\n{gift} - Infliggi 2 danni alle creature nemice adiacenti.
641.cardName;Yak di Rubino
641.cardText;Ogniqualvolta uno yak alleato subisce danno, infliggi 1 danno al tuo avversario.
642.cardName;Drago Fantasma
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Pesce Leone
643.cardText;{flying}, {deathtouch}
644.cardName;Yak di Topazio
644.cardText;Può essere evocato vicino ad uno yak alleato. Se lo fai, questa creatura ottiene {haste}-
645.cardName;Macchina da guerra Rakoana
645.cardText;{charge|2}\n{gift} - Puoi {swallow} un Rakoa alleato, se lo fai questa creatura ottiene +2/+0.
646.cardName;Cannoniere Rakoano
646.cardText;{gift} - Puoi sacriificare un altro Rakoa. Se lo fai, infliggi 3 danni ad una creatura nemica.
647.cardName;Illusionista Rakoano
647.cardText;{gift} - Puoi trasformare un altro Rakoa alleato in un <b>Draghetto delle Dune</b> 4/4 con {flying} e {charge|2} fino all'inizio del tuo prossimo turno.
648.cardName;Compagni di scudo Rakoani
648.cardText;{last_words} - Evoca un Rakoa 1/1 dove è morta questa creatura.
649.cardName;Capoguerra Rakoano
649.cardText;{combat} - Un Rakoa casuale nella tua mano ottiene +1/+1.
650.cardName;Reclutatore Rakoano
650.cardText;{gift} - Aggiungi un Rakoa 1/1 alla tua mano. Costa {faeria|0}.
653.cardName;Torre delle maledizioni
653.cardText;{activate} - Una creatura ottiene -1/-1. Infliggi un danno a questa struttura.
654.cardName;Shozen, il Mangia Cielo
654.cardText;{flying}, {charge|3}\nLa prima volta che Shozen ucciderebbe una creatura in combattimento, divorala e prendine il controllo.
655.cardName;Avamposto Imperiale
655.cardText;Tutte le creature neutrali alleate hanno +1/+0.
656.cardName;Raffica Distruttiva
656.cardText;Infliggi 2 danni ad una creatura. Se è una creatura con {flying}, infliggi invece 5 danni.
658.cardName;Splendore, Flagello di Altocielo
658.cardText;{flying}\n{gift} - Le creature nemiche non possono muoversi nel prossimo turno.
659.cardName;Ippopotamo Prorompente
659.cardText;{combat} - Infliggi 2 danni a tutti i nemici adiacenti.
660.cardName;Addestratore di Bestie
660.cardText;{gift} - Riduci il costo di una Bestia casuale nella tua mano di {faeria|5}.
661.cardName;Contrabbandiere Koboldo
661.cardText;{corrupt} - Evoca uno <b>Scagnozzo di Seifer</b> 4/5 in una terra adiacente casuale.
662.cardName;Ira di Ignius
662.cardText;Infliggi {dynamic_number|0|0} danni divisi casualmente tra i nemici.\nInfligge 1 danno in più per ogni volta che hai selezionato +{faeria|1} dalla ruota del potere in questa partita (mentre si trova in mano o nel mazzo).
663.cardName;Ritualista di Ignius
663.cardText;{gift} - Ricarica la tua ruota del potere.\n{corrupt} - Ricarica la tua ruota del potere.
664.cardName;Fuochista
664.cardText;Ottiene +1/+1 ogniqualvolta selezioni +{faeria|1} dalla ruota del potere.
665.cardName;Parassiti del Cielo Arido
665.cardText;{gift} - Combatte con il tuo avversario.
666.cardName;Moscone Spregevole
666.cardText;{flying}\n{corrupt} - Aggiungi un <b>Moscone Spregievole</b> alla tua mano.
667.cardName;Spettro del Dolore
667.cardText;{charge|2}\n{production} - Se il tuo avversario ha 4 o più carte in mano, ottiene +1/+1.
668.cardName;Spettro della Polvere
668.cardText;{corrupt} - Aumenta il costo di ogni carta nella mano del tuo avversario di {faeria|1}-
669.cardName;Avvoltoio del Cielo Arido
669.cardText;{flying}\n{gift} - Distruggi una creatura con 1 punto vita e sottrae il suo attacco.
671.cardName;Anguilla Tuonante
671.cardText;{flying}\n{gift} - Puoi infliggere 2 danni ad una creatura. Se si trova su di un oceano, infliggi invece 4 danni.
676.cardName;Yak Vagabondo
676.cardText;{gift} - Crea una prateria.\n{dash|1}
677.cardName;Pastore di Yak
677.cardText;{gift} - 2 yak alleati ottengono +2/+0 e {charge|2} fino alla fine del turno.
678.cardName;Yak di Altocielo
678.cardText;{flying}\nHa +2/+2 finchè controlli 6 praterie.
679.cardName;Rospo Gonfio
679.cardText;{jump}\nEntra in gioco con una <b>Rana</b> 2/2 con {jump} nemica divorata.
680.cardName;Fantasma Riflesso
680.cardText;{gift} - Trasforma una creatura nemica in un <b>osselfiR amsatnaF</b> 5/3.
685.cardName;Crisalide
685.cardText;{gift} - {swallow} una creatura alleata.\n{production} - La creatura divorata ottiene +1/+1.\n{activate} - Distruggi questa struttura.
686.cardName;Emissario Verde del Bosco
686.cardText;{last_words} - Le creature nella tua mano ottengono +1/+1.
692.cardName;Salvatore dei Mansueti
692.cardText;{gift} - Un'altra creatura alleata con esattamente 1 di attacco ottiene +2/+2 e {divine}-
694.cardName;Testa di Idra
694.cardText;{haste}\nMuore alla fine del turno.
695.cardName;Guardia Yak
695.cardText;{flying}, {taunt}
696.cardName;Cucciolo di Yak
696.cardText;{taunt}\nNon può raccogliere faeria.
697.cardName;Draghetto delle Dune
697.cardText;{charge|2}, {flying}\nNon può raccogliere faeria.
698.cardName;osselfiR amsatnaF
698.cardText;{gift} - Trasforma un'altra creatura alleata in un <b>Fantasma Riflesso</b> 3/5.
699.cardName;Rakoa
9991.cardName;Dai Rapidità
9992.cardName;Faeria, a Me
9992.cardText;Ottiene {faeria|100} e crea un territorio di ogni colore in posizioni casuali.
9993.cardName;Tu, muori!
9993.cardText;Infliggi 100 danni.
9994.cardName;Montagna
9995.cardName;Lago
9996.cardName;Deserto
9997.cardName;Foresta
9998.cardName;Prateria
9999.cardName;Sfera
682.cardName;Signore della marea
682.cardText;{jump}\nPuò essere evocato vicino ad un tritone alleato. Se lo fa, ottien +1/+1.
670.cardName;Guscio Posseduto
670.cardText;Alla fine del tuo turno, se il tuo avversario ha 4 o più carte in mano, pesca una carta e assorbi 1 punto vita dal tuo avversario.
675.cardName;Lamacorno
675.cardText;{combat} - Ogni giocatore pesca una carta e ottiene 2 di Vita.
681.cardName;Stratega Tritone
681.cardText;{jump}\n{gift} - Ottiene +1/+0 per ogni tritone alleato adiacente.
683.cardName;Banchetto Animato
683.cardText;{dash|1}\nAlla fine del tuo turno, una creatura adiacente casuale divora questa creatura ed ottiene +1/+1.
688.cardName;Kodama Fiorente
688.cardText;{gift} - Crea {green}{green}{green} casualmente.
689.cardName;Volpe dello Zefiro
689.cardText;Ogniqualvolta questa creatura si muove in una {green}, puoi teletrasportarla in una {green} alleata.
691.cardName;Celebrazione della Vitttoria
691.cardText;Per il resto della partita, ogni giocatore ottiene {faeria|1} extra ogni turno.
9989.cardName;Controlla Terra
9990.cardName;Furto
657.cardText;{flying}\nLe carte nella tua mano sono {wild}.\n{gift} - Aggiungi un membro della ciurma di Gagana casuale alla tua mano. Costa {faeria|0}
657.cardName;Gagana, Navevolatile Arcobaleno
652.cardText;Ogni qualvolta una creatura che controlli attiva un'abilità {corrupt}, sottrai 2 punti vita al tuo avversario.
652.cardName;Sacerdote Schiavizzato
9988.cardText;Una creatura ottiene {haste}.
9988.cardName;Carica!
9987.cardText;{activate} - Pesca una carta.
9987.cardName;Torre della saggezza
690.cardText;Ogniqualvolta Dwordia si muove in una {green}, puoi teletrasportarlo in una {green} alleata. Se lo fai ottiene+1/+1.
690.cardName;Dwordia, Comandante della Tribù delle Volpi Chiare
687.cardText;{gift} - La prossima creatura che peschi ottiene +2/+4.
687.cardName;Sacerdote di Eternavita
684.cardText;Questa creatura può raccogliere faeria nel turno in cui la giochi.\n{gift} - Puoi muovere la terra in cui si trova questa creatura.
684.cardName;Girino di Corallo
674.cardText;{gift} - Se Ulani è la tua unica creatura, ottiene {taunt}, {protection} e {divine}-
674.cardName;Ulani, Difenditrice di Altocielo
673.cardText;{gift} - Se non ci sono altre creature nel tuo deck, mischia <b>Splendore, Dirigibile Imperiale</b> e 10 creature neutrali casuali nel tuo mazzo. Ottengono +2/+2.
673.cardName;Banon, Capitano di Splendore
9986.cardText;Scarta la sua mano
9986.cardName;Mostra la mano dell'IA
800.cardText;Pesca una carta.\nDopo aver giocato tre <b>Mappe del Tesoro</b>, {discover} invece un <b>Tesoro di Gagana</b>.\nMappe giocate:{dynamic_number|0|0}.
800.cardName;Mappa del Tesoro
749.cardText;Beep beep.
749.cardName;Mech
746.cardText;Beep boop.
746.cardName;Mech
745.cardText;{taunt}, {divine}
745.cardName;Guardiano
744.cardText;{taunt}, {divine}
744.cardName;Guardiano
743.cardText;Evoca due Guardiani 5/5 con {taunt} e {divine}.
743.cardName;Chiave dei Guardiani
