1.cardName;소년 농부
309.cardText;{ranged_attack}\n이벤트를 사용할 때 마다 이번 턴 동안 +1/+0을 얻습니다.
310.cardName;모래폭풍 기수
310.cardText;{charge|2}\n이벤트를 사용할 때 마다 이번 턴 동안 +2/+0 을 얻습니다. (최대 +6/+0).
311.cardName;꼭대기 포식자
311.cardText;{jump}\n{gift} - 다른 생물 하나의 공격력과 생명력만큼 각각 공격력과 생명력을 얻습니다.
312.cardName;얼음바위 베히모스
312.cardText;{taunt}, {protection}
313.cardName;쌍둥이영혼 정령
313.cardText;{flying} \n아군 생물 근처에 소환할 수 있습니다.\n{gift} - 또다른 <b>쌍둥이영혼 정령</b>을 소환합니다.
314.cardName;거친가시 야수
314.cardText;{dash|2}\n{gift} - 적들에게 무작위로 4 피해를 나누어 입힙니다. 아군에게 무작위로 +4/+4를 나누어 줍니다.
315.cardName;영혼 탐식자
315.cardText;{flying}, {charge|3}\n이번 게임에 죽은 아군 생물의 수만큼 +1/+1을 얻습니다. (덱 또는 손에 있을 때)
316.cardName;고통불꽃 악령
316.cardText;{flying}, {haste},\n{charge|2}\n{combat} - 상대에게 3 피해를 줍니다.
317.cardName;게이브리아 병사
317.cardText;{aquatic}, {charge|3}
318.cardName;개구리
318.cardText;{jump}
319.cardName;지도제작자
319.cardText;{last_words} - 무작위 공간에 {green}{blue}{red}{yellow}을 만듭니다.
321.cardName;하늘을 삼키는 자
321.cardText;{flying}
322.cardName;화난 초원 야크
322.cardText;{haste}
323.cardName;탐사
323.cardText;평원을 만들고 {faeria|2}를 얻습니다.
324.cardName;화난 야크
324.cardText;{haste}
325.cardName;가시덩굴 위습
325.cardText;내가 {green}을 만들 때마다 +1/+0을 얻습니다.
328.cardName;종말의 칼날 오스트레고스
328.cardText;{flying}, {haste}, {charge|13}\n페어리아 우물이 비워집니다.
329.cardName;무자비한 강도
330.cardName;야만 기수
331.cardName;지혜
331.cardText;카드를 2장 뽑습니다.
332.cardName;치유의 기도
332.cardText;생명력을 3 얻습니다.
333.cardName;사용 불가능
333.cardText;사용 불가능한 카드
334.cardName;더 큰 지혜
334.cardText;카드를 <b>다섯 장</b> 뽑습니다.
335.cardName;반군 투척수
335.cardText;{gift} - 상대에게 2 피해를 줍니다.
336.cardName;원소집합체
336.cardText;{last_words} - 주인의 생명력을 1로 만듭니다.
337.cardName;신의 불길
337.cardText;불쌍한 <b>모든</b> 어리석은 적 생물들에게 10 피해를 줍니다.
338.cardName;파도의 힘
338.cardText;땅을 이동시킵니다.
339.cardName;몰아치는 바람
339.cardText;아군 생물을 이동시킵니다.
340.cardName;사일랜드 전사
342.cardName;성스러운 불꽃의 코진
342.cardText;{divine}\n코진이 있는 동안은 파이로스를 진정시킬 수 있습니다.\n{production} - 코진이 1 피해를 입습니다.
350.cardName;세가지 소원
350.cardText;생명력을 3 얻습니다. 상대방 덱의 맨 위 세 장을 복사합니다. 복사된 카드는 비용이 {faeria|1} 줄어들고 {wild} 카드가 됩니다. 세가지 소원은 이 효과로 복사되지 않습니다.
351.cardName;반군 글라이더
351.cardText;{flying}, {dash|2}\n페어리아를 수확할 수 없습니다.
352.cardName;제국 비행선 래디언스
352.cardText;{flying}, {dash|3}\n이 카드의 비용은 항상 내 생명력과 같습니다.\n{gift} - 손에 있는 카드 수 만큼 생명력을 회복합니다.
353.cardName;금단의 도서관
353.cardText;{production} - 카드를 한 장 뽑고, {faeria|1}를 얻고, 내가 피해를 2 입습니다.
354.cardName;꿈 약탈자
354.cardText;{dash|3}\n{gift} - 신 하나의 생명력을 10으로 바꿉니다.
355.cardName;거친 코다마
355.cardText;{jump}\n페어리아를 수확할 수 없습니다.\n신을 공격할 때 마다 생명력을 5 회복합니다.
356.cardName;신 사냥꾼
356.cardText;{jump}\n신만 공격할 수 있습니다, 페어리아 수확을 할 수 없습니다.
357.cardName;피의 노래
357.cardText;손에 있는 카드의 비용을 {faeria|2}씩 무작위로 네 번 줄입니다. 내가 4피해를 입습니다.
358.cardName;지옥불
358.cardText;모든 적에게 9 피해를 무작위로 나눠 입힙니다.
359.cardName;종말의 날
359.cardText;내 페어리아를 {faeria|0}으로 설정합니다.\n생명력을 반으로 줄입니다(내림).\n모든 생물과 건물을 파괴합니다. 턴을 종료합니다.
360.cardName;성가신 각다귀
360.cardText;{flying}\n페어리아를 수확할 수 없습니다.\n{last_words} - 내가 2 피해를 입고 무작위 공간에 이 생물을 소환합니다.
361.cardName;긴뿔 야크
361.cardText;{last_words} - 내가 다음번에 뽑는 생물은 이 생물의 공격력만큼 공격력을 얻습니다.
362.cardName;전설의 시간
362.cardText;내 덱의 맨 위 전설카드를 한장 뽑습니다. 만약 덱에 전설 카드가 없다면 무작위 전설 카드 한장을 내 손으로 가져옵니다. 그 카드의 요구 땅이 {wild}이 됩니다.
363.cardName;트라이튼 교관
363.cardText;{jump}\n{gift} - 내가 다음에 소환하는 {jump} 생물에게 +1/+1을 부여합니다.
364.cardName;진실의 목소리
364.cardText;{gift} - 생물 하나의 공격력과 생명력을 원래 수치로 바꿀 수 있습니다.
365.cardName;전쟁의 전령
365.cardText;{combat} - 내가 다음번에 소환하는 {combat} 생물에게 +1/+1을 줍니다.
366.cardName;미스트랄 인도자
366.cardText;{flying}\n이 생물의 인접한 곳에 아군 생물이 소환되면 그 생물에게 {dash|2}와 {flying}을 부여합니다.
367.cardName;성스러운 수호자
367.cardText;{divine}\n내가 치명적인 피해를 입을 때 그 피해를 무효화하고 대신 이 생물을 파괴합니다.
368.cardName;황제의 지령
368.cardText;생물, 건물, 신 중 하나를 지정합니다. 지정한 대상이:\n생물이라면 -2/-1을 부여합니다.\n건물이라면 3의 피해를 줍니다.\n신이라면 생명력을 4 회복합니다.
369.cardName;웅장한 환상
369.cardText;{charge|2}\n내가 비용이 {faeria|1} 이하인 생물을 소환할 때마다 그 생물의 공격력과 생명력만큼 공격력과 생명력을 얻습니다(손이나 덱에 있는 동안).
370.cardName;깊은숲 추적자
370.cardText;{gift} - 적 생물과 싸울 수 있습니다.
371.cardName;크로그의 저녁거리
371.cardText;내 <b>크로그</b>의 비용이 {faeria|7} 줄어듭니다. 내가 크로그를 소환하면 이 생물을 파괴합니다.\n{gift} - <b>크로그</b>를 덱에서 뽑습니다. <b>크로그</b>가 죽었다면 <b>크로그</b>를 손으로 가져옵니다.
372.cardName;이오나의 미소
372.cardText;덱에서 {flying} 생물 두장을 뽑습니다.
400.cardName;판도라 조각
401.cardName;판도라 개방!
401.cardText;판도라가 열립니다, 양 플레이어들은 <b>보물</b>을 얻습니다!
402.cardName;보물 발견!
402.cardText;양 플레이어가 <b>보물</b>을 얻습니다!\n카드를 한 장 뽑습니다.
403.cardName;암흑 수정
403.cardText;상대로부터 4 생명력을 흡수하고, 모든 적 생물들에게 3 피해를 주고, 카드를 2장 뽑습니다.
404.cardName;야크 뿔피리
404.cardText;{haste} 능력을 가진 2/4 <b>화난 평원 야크</b>를 세 마리 소환합니다.
405.cardName;별의 무기
405.cardText;{flying}.\n{gift} - 인접한 모든 생물과 건물, 땅을 파괴합니다.
406.cardName;오카리나
406.cardText;추가로 턴을 한번 더 얻습니다.
407.cardName;지니의 램프
407.cardText;{options|무작위 녹색 카드 3장을 손에 얻습니다. 비용이 {faeria|3} 줄어듭니다.|무작위 청색 카드 3장을 손에 얻습니다. 비용이 {faeria|3} 줄어듭니다.|무작위 적색 카드 3장을 손에 얻습니다. 비용이 {faeria|3} 줄어듭니다.|무작위 황색카드 3장을 손에 얻습니다. 비용이 {faeria|3} 줄어듭니다.}\n색상을 선택합니다. 그 색상의 무작위 카드 3장을 손에 얻습니다. 비용이 {faeria|3} 줄어듭니다.
408.cardName;게이브리아 항아리
408.cardText;카드를 2장 뽑고 {faeria|2}를 얻습니다.
409.cardName;이오나의 거울
409.cardText;적이 사용한 마지막 <b>보물</b> 2장을 내손으로 복사해 가져옵니다.
410.cardName;혈석 골렘
410.cardText;{production} - 페어리아 우물들을 다시 채웁니다. \n페어리아가 수확될 때 마다 적에게 1 피해를 줍니다.
411.cardName;왕궁의 성배
411.cardText;무작위 아군 생물에게+1/+1을 여섯번 부여합니다.
412.cardName;에레돈의 북
412.cardText;모든 아군 생물에게 +2/+2를 부여합니다. 그것이 어디에 있던지간에
413.cardName;구름 생성기
413.cardText;아군 생물들에게 {flying}, {jump}, +1/+0을 부여합니다.
414.cardName;지배의 반지
414.cardText;{options|땅 하나를 {green}으로 바꿉니다. 그 땅의 소유권을 얻습니다.|땅 하나를 {blue}로 바꿉니다. 그 땅의 소유권을 얻습니다.|땅 하나를 {red}으로 바꿉니다. 그 땅의 소유권을 얻습니다.|땅 하나를 {yellow}으로 바꿉니다. 그 땅의 소유권을 얻습니다.}\n땅 하나를 내가 선택한 색으로 바꿉니다. 그 땅의 소유권을 얻습니다.
415.cardName;세계의 눈물
415.cardText;이번턴에 상대방 신을 공격한 생물을 10/10의 {flying} 을 가진 <b>하늘을 삼키는자</b> 로 변환 시킵니다.
416.cardName;시계태엽 야크
416.cardText;{dash|2}
417.cardName;자동기계 균형수호자
417.cardText;{gift} - 내 생명력을 6 회복합니다.\n{last_words} - 상대에게 6 피해를 줍니다.
418.cardName;마그다의 장미
418.cardText;적 생물 하나의 소유권을 얻습니다.
419.cardName;오로라의 찻주전자
419.cardText;모든 아군 생물들을 6/6으로 바꿉니다.
420.cardName;공정한 행운의 돌
420.cardText;무작위 <b>보물</b> 3장을 내 덱에 섞어 넣습니다.
421.cardName;힘의 비밀
421.cardText;생물에게 {flying}, {charge|3}, +4/+4를 부여합니다.
422.cardName;공허의 파수꾼
422.cardText;{gift} - 내 덱을 파괴합니다.
423.cardName;수정용
423.cardText;{flying}, {charge|3}
424.cardName;타오르는 루비
424.cardText;{options|3 피해를 입힙니다.|모두에게 3 피해를 입힙니다.}\n- 3 피해를 입힙니다.\n- 모두에게 3 피해를 입힙니다.
425.cardName;파괴의 망치
425.cardText;5 피해를 줍니다. <b>파괴의 망치</b>를 덱에 섞어 넣습니다.
426.cardName;세계를 흔드는 거상
426.cardText;{gift} - 모든 적에게 2 피해를 줍니다. 적이 파괴된 수 만큼 +2/+2를 얻습니다.
427.cardName;사신의 기원
427.cardText;생물을 하나 파괴합니다. 그 생물의 소유자는 파괴한 카드의 비용만큼 {faeria|1}를 얻고 카드를 2장 뽑습니다.
428.cardName;번개가 담긴 병
428.cardText;생물에게 6 피해를 주고 인접한 적에게 3 피해를 입힙니다.
429.cardName;춤추는 칼날
429.cardText;{flying}, {jump}\n턴이 끝날 때, 모든 인접한 적에게 3 피해를 입힙니다.
430.cardName;종언의 낫
430.cardText;생물을 파괴합니다. 그 자리에 6/1 <b>학살의 그림자</b> 을 소환합니다.
431.cardName;보석 까치
431.cardText;{flying}, {haste},\n신을 공격하면 무작위 <b>보물</b>을 손으로 가져옵니다.
432.cardName;혼돈의 바퀴
432.cardText;{options| 점령되지 않은 땅 2개를 파괴합니다.|공격력 5 이하의 생물을 파괴합니다.|생명력을 7 얻습니다.}\n- 점령되지 않은 땅 2개를 파괴합니다.\n- 공격력 5 이하의 생물을 파괴합니다.\n- 생명력을 7 얻습니다.
433.cardName;울라니의 훈장
433.cardText;아군 생물 하나를 선택합니다. 내 모든 생물이 그 생물의 복사본이 됩니다.
500.cardName;천재 원숭이
500.cardText;{taunt}\n{gift} - 상대의 다음 턴에 적 생물이 페어리아를 수확할 때 마다 +2/+2를 얻습니다.
501.cardName;용감한 탐험가
501.cardText;{gift} - <b>탐사</b> 카드를 각 플레이어의 손에 넣습니다.
502.cardName;수정꽃
502.cardText;{gift} - 생물 하나를 {swallow}합니다. 내 턴이 끝날 때, 이 건물에 1 피해를 줍니다.
503.cardName;야크펄트
503.cardText;{ranged_attack}\n이 생물이 공격하면, 2/2 <b>화난 야크</b> 를 공격 대상 근처에 소환합니다.
504.cardName;친절한 광부 고키
504.cardText;{gift} - 무작위 <b>보물</b>을 동료의 손에 쥐어줍니다.
505.cardName;푸른 하늘고래 모비
505.cardText;{flying}, {charge|3}\n페어리아를 수확할 수 없습니다.\n{gift} - 생물 하나를 {swallow}합니다.
506.cardName;풍선 복어
506.cardText;{flying}, {dash|2}\n{gift} - 아군 생물 하나를 {swallow}합니다. {swallow}하지 못하면, 이 생물은 죽습니다.
507.cardName;황제 카이오스
507.cardText;{production} - 모든 적 생물에게 -1/-0을 줍니다. 그리고 공격력이 0인 모든 적 생물을 파괴합니다.
508.cardName;낙원의 씨앗
508.cardText;{flying}, {dash|1}\n{gift} - {options|이 생물이 바다 위에서 수확하면, 이 생물이 죽고 그 자리에 {green}을 만듭니다|이 생물이 바다 위에서 수확하면, 이 생물이 죽고 그 자리에 {blue}를 만듭니다|이 생물이 바다 위에서 수확하면, 이 생물이 죽고 그 자리에 {red}을 만듭니다|이 생물이 바다 위에서 수확하면, 이 생물이 죽고 그 자리에 {yellow}을 만듭니다}\n이 생물이 바다 위에서 수확하면, 이 생물이 죽고 그 자리에 선택한 색의 땅을 만듭니다.\n
509.cardName;영생의 나무
509.cardText;{production} - 생명력을 7 얻습니다.\n내 손에 있는 무작위 생물에게 +7/+7을 줍니다.
510.cardName;라코아의 선물
510.cardText;생물에게 내가 조종하는 생물 수 만큼 +1/+1을 부여합니다.
511.cardName;괴짜 생물술사
511.cardText;{gift} - 적 생물 하나 당 청색이 아닌 생물 하나를 덱에서 뽑습니다.
512.cardName;보물상 후고로
512.cardText;{jump}\n{gift} - {options|<b>게이브리아 항아리</b>를 뽑습니다.|<b>수정용</b>을 뽑습니다.|<b>울라니의 훈장</b>을 뽑습니다.}\n- <b>게이브리아 항아리</b>를 뽑습니다.\n- <b>수정용</b>을 뽑습니다.\n- <b>울라니의 훈장</b>을 뽑습니다.
513.cardName;뛰는 복어
513.cardText;{jump}\n{gift} - 색이 있는 땅을 8개 이상가지고 있다면, +3/+3을 얻습니다.
514.cardName;갈고리 닻
514.cardText;생물 하나에게 {ranged_attack}을 줍니다. 그 생물이 공격한 후 인접 공간으로 이동시킬 수 있습니다.
515.cardName;라코아 놀이꾼
515.cardText;{last_words} - 이 생물의 공격력만큼 {faeria|1}을 얻습니다.
516.cardName;하늘 해적 CAP-10
516.cardText;{combat} - 덱에서 <b>강철의 선물</b>을 뽑습니다. 덱에 없다면, 한 장을 섞어 넣습니다.
517.cardName;반짝 연어
517.cardText;{divine}, {flying}, {haste}, {charge|2}\n페어리아를 수확할 수 없습니다.\n턴이 끝날 때 파괴하고 카드 한장을 뽑습니다.
518.cardName;만타 기수
518.cardText;{flying}\n{last_words} - 이 생물이 있던 자리에 {charge|2}  {flying} 를 가진 <b>만타</b>를 소환합니다.
519.cardName;영원한 빛 이스타누
519.cardText;{flying}, {charge|3}\n{last_words} - 무작위 아군 생물이 새로운 이스타누가 됩니다.
520.cardName;변신 문어
520.cardText;두 번 {options|+2/+0을 얻습니다.|+0/+2를 얻습니다.|{jump}를 얻습니다.|{taunt}을 얻습니다.} 합니다:\n- +2/+0을 얻습니다.\n- +0/+2를 얻습니다.\n- {jump}를 얻습니다.\n- {taunt}를 얻습니다.
521.cardName;개구리 투척수
521.cardText;{gift} - 적 생물과 싸웁니다. {jump}를 가진 2/2 <b>개구리</b>를 싸운 대상과 인접한 무작위 공간에 소환합니다.
522.cardName;낙원을 향해
522.cardText;{options|{green}을 만듭니다|{blue}를 만듭니다|{red}을 만듭니다|{yellow}을 만듭니다} - 색이 있는 땅을 하나 만듭니다.\n이번 턴 이 땅 위에 처음 소환되는 생물에게 +2/+0을 줍니다.
523.cardName;에메랄드 불도마뱀
523.cardText;{gift} - 인접한 모든 적 생물들에게 2 피해를 줍니다. 인접한 모든 아군 생물들에게 +2/+2를 줍니다.
524.cardName;하늘방패 칼치
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;무리 붕어
525.cardText;{flying}\n아군 생물 근처에 소환할 수 있습니다.\n{gift} - 이번 게임에서 죽은 아군 <b>무리 붕어</b> 수 만큼 <b>무리 붕어</b>를 소환합니다.
526.cardName;꿈지기
526.cardText;{taunt}\n{gift} 손에 있는 모든 카드의 비용을 {faeria|1} 줄입니다. 그 후 손에 있는 모든 카드를 덱에 넣고 그만큼 다시 뽑습니다.
527.cardName;보석껍질 거북
527.cardText;{gift} - 카드를 한 장 뽑아 복사합니다. 그 카드들의 비용이 {faeria|2} 감소합니다.
528.cardName;만타의 비행
528.cardText;이 카드를 뽑으면, 이 카드를 복사합니다.\n2/2 {flying}, {charge|2} <b>만타</b>를 소환합니다.
529.cardName;창공 수송선
529.cardText;{flying}, {dash|1}\n이 생물이 땅 밖으로 나가면, 그 땅을 가져갑니다.
530.cardName;라코아 족장
530.cardText;{dash|1}\n인접한 아군 생물에게 +1/+0을 부여합니다.
531.cardName;하늘 아네모네
531.cardText;{flying}, {taunt}\n어디에든 소환할 수 있습니다.
532.cardName;창공의 주술사 울라니
532.cardText;{gift} - 녹색 카드, 청색 카드, 적색 카드, 황색 카드를 덱에서 한 장씩 뽑습니다.
549.cardName;시공간 파괴자
549.cardText;{flying}\n{production} - 생명력을 2 얻습니다.\n생명력이 10 이상이 되면 <b>게임을 끝냅니다.</b>
550.cardName;수정꽃
550.cardText;안에 죄수가 갇혀 있습니다.
551.cardName;수정꽃
551.cardText;안에 죄수가 갇혀 있습니다.
552.cardName;수정꽃
552.cardText;안에 죄수가 갇혀 있습니다.
553.cardName;비행 만타
553.cardText;{flying}, {charge|2}
555.cardName;화난 야크
556.cardName;당신의 승리입니다!
556.cardText;상대에게 100 피해를 줍니다.
557.cardName;위대한 황제 카이오스
557.cardText;{production} - 모든 적 생물에게 -1/-0을 부여합니다. 그 후 공격력이 0인 모든 적 생물을 파괴합니다.
601.cardName;슬픈 여인 라야
601.cardText;{deathtouch}\n{last_words} - 라야가 있던 자리에 <b>반짝이는 조각상</b>을 소환합니다.
602.cardName;제국 비룡기수
602.cardText;{flying}, {charge|2}\n{corrupt} - +2/+2를 얻습니다.
603.cardName;정신나간 원숭이
603.cardText;{gift} - 모든 우물을 비웁니다. 비워진 우물의 갯수만큼 +1/+1을 얻습니다.
604.cardName;제국 기병
604.cardText;{corrupt} - 이 생물이 서 있는 땅의 소유권을 얻습니다.
605.cardName;길 잃은 탐험가
605.cardText;{corrupt} - 카드를 한 장 뽑고 {faeria|1} 을 얻습니다.
606.cardName;역병을 옮기는 기사
606.cardText;이 생물이 받는 피해는 나도 받습니다.
607.cardName;어둠결 요정
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - 이벤트 2장을 뽑습니다.
608.cardName;이성 잃은 초월체 카이오스
608.cardText;{divine}\n카이오스의 공격력은 언제나 생명력과 같습니다.\n{corrupt} - 모든 것에게 피해 1 을 주고 그만큼 생명력을 얻습니다.
609.cardName;물고기 비
609.cardText;<b>루비 피시</b> 6마리를 무작위 공간에 소환합니다. 루비 피시가 땅에 맞으면 근처 적에게 피해를 1 줍니다.
610.cardName;하늘 피라냐
610.cardText;{flying}\n인접한 생물이 죽으면 {deathtouch}와 {jump}를 얻습니다.
611.cardName;소름끼치는 히드라
611.cardText;{corrupt} - {haste} 2/1 <b>히드라 머리</b>를 모든 인접한 땅에 소환합니다. 히드라 머리들은 턴이 끝날 때 파괴됩니다.
612.cardName;귀신 들린 버드나무
612.cardText;{taunt}
613.cardName;썩어가는 멧돼지
613.cardText;{dash|1}\n{corrupt} - 덱 가장 위에 있는 체력이 5 이상인 생물을 하나 뽑습니다. 그 생물에게 +2/+2를 줍니다.
614.cardName;네코마타
614.cardText;{taunt}\n{corrupt} - 공격력이 2배가 됩니다.
615.cardName;사악한 수석대장장이 발듀리온
615.cardText;{protection}\n{corrupt} - <b>파괴의 망치</b>를 내 손으로 가져옵니다.
616.cardName;앙심 품은 도깨비
616.cardText;{last_words} - 내가 2 피해를 입습니다.
617.cardName;대파괴
617.cardText;적 생물이나 건물에게 9 피해를 입힙니다.
618.cardName;악마 연어
618.cardText;{haste}, {flying}, {charge|2}\n페어리아를 수확할 수 없습니다. 신을 공격할 때 마다 +1/+1을 얻습니다.
619.cardName;영혼 절도
619.cardText;적 생물 하나에게서 1 생명력을 흡수합니다. 만약 그 생물이 파괴된다면, 그 생물의 복사본을 손으로 가져옵니다. 그 생물의 요구 땅은 {wild}이 됩니다.
620.cardName;솔렘
620.cardText;{flying}, {divine}\n{corrupt} - 페어리아 우물 하나를 파괴합니다.
622.cardName;야크 군단의 어머니
622.cardText;{gift} - {taunt}과 {flying}을 가진 4/4 <b>야크 수비대</b> 두 마리를 인접한 공간에 소환합니다.\n이번 게임에서 아군 야크가 죽을 때 마다 비용이 {faeria|1} 씩 감소합니다.
623.cardName;라코아 투사
623.cardText;{dash|2}\n{gift} - 내 전장의 다른 아군 라코아 수 만큼 +1/+1을 얻습니다.
624.cardName;어미 여읜 복어
624.cardText;전장에 내 야수가 있을 때 +2/+0과 {jump}를 얻습니다.
625.cardName;멍청한 물고기 라팔라
625.cardText;{aquatic}\n{gift} - 상대의 손에 <b>루비 피시</b>를 가득 채웁니다. 이게 무슨 멍청한 짓이야!
626.cardName;사파이어 야크
626.cardText;아군 야크가 상대 우물에서 페어리아를 수확할 때마다 그 야크에게 +2/+2을 줍니다.
627.cardName;추적
627.cardText;아군 야수에게 +2/+0을 부여합니다. 이후 적 생물 하나와 싸웁니다.
628.cardName;에메랄드 야크
628.cardText;{gift} - <b>페어리아를 수확할 수 없고</b> {taunt}을 가진 1/1 <b>아기 야크</b>를 내 평원에 소환합니다.
629.cardName;영생의 정령 마지나타
629.cardText;{protection}, {divine}\n{gift} - 아군 생물이 마지나타를 포식합니다. 그 생물에게 +5/+5, {flying}과 {charge|2}를 부여합니다.
630.cardName;용암을 휘감는 우파루파
640.cardName;라코아콥터
640.cardText;{flying}, {dash|1}\n{gift} - 인접한 모든 적 생물에게 2 피해를 줍니다.
641.cardName;루비 야크
641.cardText;아군 야크가 피해를 입을 때 마다 상대에게 1 피해를 줍니다.
642.cardName;유령용
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;독가시 볼락
643.cardText;{flying}, {deathtouch}
644.cardName;토파즈 야크
644.cardText;아군 야크 근처에 소환할 수 있습니다. 아군 야크 근처에 소환하면 {haste}를 얻습니다.
645.cardName;라코아 전쟁 기계
645.cardText;{charge|2}\n{gift} - 다른 아군 라코아를 {swallow}하고 +2/+0을 얻을 수 있습니다.
646.cardName;라코아 포수
646.cardText;{gift} - 다른 아군 라코아를 하나 희생시키고, 적 생물에게 피해를 3 입힙니다.
647.cardName;라코아 환영술사
647.cardText;{gift} - 다른 아군 라코아 하나를 내 다음 턴이 오기까지 {flying}, {charge|2}를 가진 4/4 <b>사막 비룡</b>으로 변신시킬 수 있습니다.
648.cardName;라코아 방패병
648.cardText;{last_words} - 이 생물이 있던 자리에 1/1 <b>라코아</b>를 하나 소환합니다.
649.cardName;라코아 전투대장
649.cardText;{combat} - 손에 있는 무작위 라코아 하나에게 +1/+1을 부여합니다.
650.cardName;라코아 모병관
650.cardText;{gift} - 1/1 라코아를 내 손으로 가져옵니다. 그 카드의 비용은 {faeria|0}이 됩니다.
653.cardName;저주의 탑
653.cardText;{activate} - 생물 하나에게 -1/-1을 줍니다. 이 건물에 피해를 1 줍니다.
654.cardName;하늘을 먹는 자 쇼즌
654.cardText;{flying}, {charge|3}\n쇼즌이 교전을 통해 처음으로 생물을 죽였을 시, 대신 그 생물을 포식하고 그 생물의 소유권을 얻습니다.
655.cardName;제국 전초기지
655.cardText;모든 아군 중립 생물들이 +1/+0을 얻습니다.
656.cardName;일제 사격
656.cardText;생물 하나에게 피해를 2 줍니다. 만약 그 생물이 {flying} 생물이라면, 피해를 5 줍니다.
658.cardName;창공의 재앙 래디언스
658.cardText;{flying}\n{gift} - 다음 턴에 적 생물들이 움직일 수 없습니다.
659.cardName;폭발하는 하마
659.cardText;{combat} - 인접한 적들에게 피해를 2 줍니다.
660.cardName;야수 조련사
660.cardText;{gift} - 내 손에 있는 무작위 야수 하나의 비용을 {faeria|5} 줄입니다.
661.cardName;코볼트 밀수꾼
661.cardText;{corrupt} - 4/3 <b>사이퍼의 화살받이</b>를 근처 무작위 땅 하나에 소환합니다.
662.cardName;이그누스의 분노
662.cardText;모든 적에게 {dynamic_number|0|0} 피해를 무작위로 나눠 입힙니다.\n이번 게임에 능력 바퀴에서 +{faeria|1}능력을 선택할 때마다 피해량이 +1됩니다(덱 또는 손에 있을 때).
663.cardName;이그누스교 의식술사
663.cardText;{gift} - 능력 바퀴를 재생합니다. \n{corrupt} - 능력 바퀴를 재생합니다.
664.cardName;불꽃 먹보
664.cardText;능력 바퀴에서 +{faeria|1}을 선택할 때마다 이 생물은 +1/+1을 얻습니다.
665.cardName;황폐한 하늘의 해충
665.cardText;{gift} - 상대와 싸웁니다.
666.cardName;사악한 거대파리
666.cardText;{flying}\n{corrupt} - <b>사악한 거대파리</b> 한 장을 손으로 가져옵니다.
667.cardName;역병이 낳은 악령
667.cardText;{charge|2}\n{production} - 만약 상대방이 손에 카드를 4장 이상 들고 있다면, 이 생물은 +1/+1을 얻습니다.
668.cardName;모래먼지 유령
668.cardText;{corrupt} - 적이 손에 들고 있는 카드들의 비용을 {faeria|1}만큼 올립니다.
669.cardName;황폐한 하늘의 독수리
669.cardText;{flying}\n{gift} - 생명력이 1인 생물 하나를 파괴하고 그 공격력을 얻습니다.
671.cardName;번개 뱀장어
671.cardText;{flying}\n{gift} - 생물 하나에게 피해를 2 줍니다. 그 생물이 바다 위에 있다면, 피해를 4 줍니다.
676.cardName;방랑 야크
676.cardText;{gift} - 평지를 하나 만듭니다. \n{dash|1}
677.cardName;야크치기
677.cardText;{gift} - 턴 종료시까지 아군 야크 두 마리에게 +2/+0과 {charge|2}를 부여합니다.
678.cardName;창공 야크
678.cardText;{flying}\n내 평지가 6개면 +2/+2를 얻습니다.
679.cardName;배부른 개구리
679.cardText;{jump}\n이 생물은 적 소유의 {jump}, 2/2 <b>개구리</b>를 포식한 채 소환됩니다.
680.cardName;들여다보이는 환영
680.cardText;{gift} - 적 생물 하나를 5/3 <b>영환 는이보다여들</b>로 바꿉니다.
685.cardName;번데기
685.cardText;{gift} - 아군 생물 하나를 {swallow}합니다. \n{production} - 포식된 생물이 +1/+1을 얻습니다. \n{activate} - 이 건물을 파괴합니다.
686.cardName;신록의 전령
686.cardText;{last_words} - 패의 모든 생물들에게 +1/+1을 부여합니다.
692.cardName;약자들의 구원자
692.cardText;{gift} - 공격력이 정확히 1인 아군 생물에게 +2/+2와 {divine}을 부여합니다.
694.cardName;히드라 머리
694.cardText;{haste}\n턴이 끝날 때 파괴됩니다.
695.cardName;야크 경비병
695.cardText;{flying}, {taunt}
696.cardName;아기 야크
696.cardText;{taunt}\n페어리아를 수확할 수 없습니다.
697.cardName;사막 비룡
697.cardText;{charge|2}, {flying}\n페어리아를 수확할 수 없습니다.
698.cardName;영환 는이보로꾸거
698.cardText;{gift} - 다른 아군 생물을 3/5 <b>들여다보이는 환영</b>으로 바꿉니다.
699.cardName;라코아
9991.cardName;신속 부여
9992.cardName;페어리아를 내놔
9992.cardText;{faeria|100} 얻고 모든 색의 땅을 각각 하나씩 무작위로 만듭니다.
9993.cardName;너, 죽어!
9993.cardText;피해를 100 줍니다.
9994.cardName;산
9995.cardName;호수
9996.cardName;사막
9997.cardName;숲
9998.cardName;평원
9999.cardName;오브
682.cardName;파도 군주
682.cardText;{jump}\n아군 트라이튼 옆에 소환할 수 있습니다. 그렇게 한 경우 +1/+1을 얻습니다.
670.cardName;귀신 들린 껍질
670.cardText;내 턴이 끝날 때 상대방의 손에 카드가 4장 이상 있다면, 카드를 1장 뽑고 상대로부터 생명력을 1 흡수합니다.
675.cardName;라마콘
675.cardText;{combat} - 각 플레이어는 카드를 한 장 뽑고 생명력을 2 얻습니다.
