ACCEPT;동의
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;정말로 이 덱들을 등록하시겠습니까? 등록한 후에는 변경할 수 없습니다.
PROMPT_TRANSACTION_FAILED;결제 실패
PROMPT_USERNAME_SKIP_BUTTON_TEXT;건너뛰기
PROMPT_USER_NAME_TITLE_TEXT;플레이어 이름
PROMPT_VICTORY;승리!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;계속
PUBLIC_ARENA_GAME_SEARCH;검색중
PUBLIC_GAME_SEARCH;검색중
QUEST_HINT_WILD_COST;색이 있는 땅 요구치(총량).
QUEST_HOW_TO_UNLOCK_LANE;이 경로를 사용하려면 레벨 {0}이 되어야 합니다.
QUEST_LANE_ACT_NAME;미션 팩
QUEST_LANE_COMPLETED;경로 정복!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;무작위
QUEST_LOCKED_NAME;잠긴 미션
QUEST_OPPONENT_LEVEL;레벨 {0}
QUEST_PACK_COMPLETED;미션 팩 완료
QUEST_REQUIRED_LEVEL;요구\n레벨 {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;도전
QUEST_TYPE_EPIC;에픽 미션
QUEST_TYPE_EPIC_FORCED_DECK;미션
QUEST_TYPE_INTRO;미션
QUEST_TYPE_MYSTERY;미스테리 미션
QUEST_TYPE_PUZZLE;퍼즐
QUEST_TYPE_QUEST;퀘스트
QUEST_TYPE_SURVIVAL;생존
RANK_DOWN;랭크 하락
RANK_STAR_DEFEAT;패배
RANK_STAR_FIRST_WIN_OF_THE_DAY;오늘 첫 승리 보너스!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;아주 강한 상대 보너스!
RANK_STAR_VICTORY;승리
RANK_STAR_WIN_STREAK;연승 보너스!
RANK_UP;랭크 상승
RECOVERY_CODE;복구 코드
RECOVERY_STEAM;PC/macOS/Linux로 계정을 만들었습니다.
RECOVERY_SUPPORT;윗쪽 방법들을 시도했지만 성공적이지 않았습니다.
RECOVERY_VALIDATED;내 페어리아 계정은 인증되었습니다(이메일 인증을 했습니다).
RECRUITER;추천인
REFUSE;거절
REFUSE_FRIEND_REQUESTS;친구 요청 받지 않기
REFUSE_FRIEND_SPECTATE;친구 관전 받지 않기
REPLAY_BUTTON_TEXT;리플레이 모드
REQUEST_CANCELED_BY_HOST;방장이 요청을 거절했습니다.
REROLL;다시 뽑기
RESOLUTION;해상도 : {0}
RUSH_TUTORIAL;러시 오프닝
SAVE;저장
SEARCH_MODE_CASUAL_BUTTON_TEXT;캐주얼
SEARCH_MODE_RANKED_BUTTON_TEXT;경쟁전
SEARCH_TIME_ARENA_MODE_NAME;판도라
SEARCH_TIME_CONSTRUCTED_MODE_NAME;컨스트럭티드
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;최근 공지를 확인하려면 <u><link={0}>클릭하세요</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;{0}에 서버 점검이 예정되어 있습니다.
SERVER_INFO_MAINTENANCE_IN_PROGRESS;우리 야크 기술자들이 서버를 점검하는 중입니다. {0}에 다시 서버가 열릴 예정입니다.
SERVER_INFO_NEW_VERSION_CHANGELOG;최근 패치 노트를 확인하려면 <u><link={0}>클릭하세요</link></u>.
SERVER_INFO_SERVER_IS_DOWN;서버가 닫혀 있습니다.
SERVER_IP;Ip 서버
SETTING_ANIMATED_BACKGROUND;움직이는 배경 화면
SETTING_BUTTON_TEXT_EXIT;종료
SETTING_BUTTON_TEXT_OPTIONS;설정
SETTING_BUTTON_TEXT_PAUSE;일시 정지
SETTING_MUTE_IN_BACKGROUND;백그라운드일 때 음소거
SETTING_PERMANENT_DECK_HAND_INFO;항상 덱/패 정보 표시하기
SETTING_POWER_SAVING_MODE;절전 모드
SETTING_TEXT_AUDIO_TITLE;음향 설정
SETTING_TEXT_GAMEPLAY_TITLE;게임 설정
SETTING_TEXT_VIDEO_TITLE;비디오 설정
SETTING_TOGGLE_TEXT_MUTE_EMOTES;감정 표현 차단
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;땅 정보 보기
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;감정 표현 차단 해제
SETTING_WINDOWED;창 모드:
SET_RECRUITER_NAME;친구를 추천인으로 등록하면 다양한 보상을 받을 수 있습니다!\n자세한 정보는 링크를 확인하세요. <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>
SHOP;상자를 열려면 클릭
SHOP_ANNUITY_DAYS_LEFT;{0}일 남음
SHOP_INPUT_FIELD_HINT_COUPON;쿠폰 번호를 입력하세요
SIGN_IN;로그인
SIGN_OUT;로그아웃
SOLO_COMPLETED;미션 완료!
SPECTATORS_CANNOT_PAUSE;관전자는 일시정지할 수 없습니다.
SPECTATOR_JOINED_GAME;{0}님이 게임을 관전합니다.
SPECTATOR_LEFT_GAME;관전자 {0}님이 떠났습니다.
STOP_SPECTATING;그만 관전하기
SURRENDER;항복
TOPBAR_BUTTON_PLAY;플레이
TUTORIAL_DECK_CREATED;새로운 덱입니다!
TUTORIAL_DECK_CREATED_BACK;뒤로 버튼을 눌러 게임 모드를 선택하세요.
UPDATE_VERSION_OUTDATED;클라이언트 업데이트가 필요합니다.
UPDATE_VERSION_TIP_IOS;*앱스토어에 최신 버전이 업로드되지 않았다면, 업로드될 때까지 기다려야 합니다.
USER_NAME_WELCOME;페어리아에 오신 것을 환영합니다!\n사용할 이름을 입력해주세요.
USE_THIS_SET;추천 덱 사용
USE_TIMEBANK;시간 제한 사용:
WELCOME_BUTTON_TEXT_ENTER_GAME;로그인
WELCOME_BUTTON_TEXT_EXIT;종료
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;공식 페이지
WELCOME_BUTTON_TEXT_STEAM_LOGIN;로그인하면 아무곳이나 클릭하세요.
WELCOME_BUTTON_TEXT_START_AS_GUEST;손님으로 시작하기
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;계정을 가지고 있습니다
WELCOME_INPUT_FIELD_HINT_PASSWORD;패스워드
WELCOME_INPUT_FIELD_HINT_SERVER_IP;서버 IP
WELCOME_INPUT_FIELD_HINT_USERNAME;계정명
WELCOME_USE_ANOTHER_ACCOUNT;로그아웃
WINNER;승리
WORLD_BOSS_OBJECTIVE_PROGRESS;보스 3명 물리치기({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;챔피언 오브 얻기
WORLD_BOSS_OBJECTIVE_TEXT2;챔피언 오브 강화하기
WORLD_BOSS_OBJECTIVE_TITLE;월드 목표
WORLD_BOSS_REWARD;보스 보상
WORLD_LOCATION;위치
XP;{0} xp
YOU_PLAY_FIRST;선공
YOU_PLAY_SECOND;후공
CARD_WAS_PROMOTED_AS_DECK_COVER;이 카드가 덱 표지가 되었습니다.
CURRENT_DECK_COVER;현재 덱 표지
PROMOTE_DECK_COVER;덱 표지로 지정하기
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;덱 표지로 지정하기
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;이야기 보기
LORE_BOOK_EXPLANATION_TEXT;이야기 조각들을 모아 페어리아 역사의 전설과 미스터리를 탐방하세요.
LORE_PAGE_ARTISTS;<b>미술가들<\b> {0}
LORE_PAGE_NOT_AVAILABLE;이 이야기를 보시려면 레벨 {0} 이상이어야 합니다.
CO_OP_LOBBY;협동 모드 로비
LOBBY_CRUCIBLE_RULES_TITLE;규칙: 시련
LOBBY_DECK_FORMAT;덱 형식:
LOBBY_DECK_FORMAT_CLASSIC;클래식
LOBBY_DECK_FORMAT_CRUCIBLE;시련
LOBBY_MINUTES_PER_GAME;게임 당 시각 (분):
LOBBY_SECONDS_PER_TURN;턴 당 시각 (초):
LORE_BOOK_EMPTY_SECTION;결과가 없습니다.
LORE_PAGE_NOT_YET_AVAILABLE;아직 활성화되지 않은 설화입니다.
LOBBY_GO_TO_COLLECTION;카드 콜렉션 보기
LOBBY_START_OVER;다시 시작
PROMPT_LOBBY_BACK_CONFIRMATION;모든 참가자가 로비 설정 화면으로 돌아갑니다. 계속하시겠습니까?
PROMPT_LOBBY_START_OVER_CONFIRMATION;로비 점수와 설정이 초기화됩니다. 계속하시겠습니까?
REGISTER_YOUR_DECKS;덱을 등록하세요!
TOURNAMENT_DECKS_REGISTERED;덱이 등록되었습니다!
LORE_BOOK_UNAVAILABLE_TOOTIP;{0} 레벨에 해제
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;스팀 평가하기
HOME_CREDITS_BUTTON_TEXT;제작진
PROMPT_FRIEND_CALLED;당신이 잃어버린 야크들에게 이메일을 보냈습니다. \n커뮤니야크션 채널을 통해서도 그에게 연락하실 수 있습니다. 그가 로그인만 한다면요!
PROMPT_FRIENDS_CALLED;당신이 잃어버린 {0}명의 야크들에게 이메일을 보냈습니다. \n커뮤니야크션 채널을 통해서도 그에게 연락하실 수 있습니다. 그가 로그인만 한다면요!
FRIEND_CALL_SEND;보내기.
FRIEND_CALL_NO_ELIGIBLE;이미 모든 친구들에게 연락했습니다.
FRIENDLIST_CALL_FRIEND;오랜 친구에게 연락하세요!
MAINMENU_TITLE_PUZZLES;퍼즐
SETTING_CLEAR_CACHE;캐시 삭제
CACHE_CLEARED;이제 변경사항을 적용하기 위해 페어리아를 다시 실행하십시오.
CACHE_CLEAR_FAIL_PERMISSION;작업이 중지되었습니다. 페어리아를 관리자 권한으로 실행하십시오.
CACHE_CLEAR_FAIL_IN_USE;작업이 중지되었습니다. 파일이 이미 사용 중입니다. 기기를 다시 시작한 다음 다시 시도하십시오.
XP_WITH_NEXT_LEVEL;{0}/{1}경험치
SET_COSMETICS;치장품 설정
PLAY_MENU_SOLO_DRAGONS_LAIR;용의 둥지
MARKET_ITEM_SPECIAL_PROMO;특별 할인
MARKET_ITEM_COMPLETE_YOUR_SET;세트를 완성하세요!
DRAGON_TODAYS_CHALLENGES;오늘의 도전
DRAGON_SOLO_MISSION;솔로 미션
DRAGON_REWARD;용의 전리품
DRAGON_CO_OP_MISSION;협동 미션
APPLY;적용하기
MOUSE_PROMPT_CLICK_ANYWHERE;계속하려면 아무곳이나 클릭하세요.
PLAY_MENU_SOLO_WORLDBOSS_INFO;매우 어려운 보스 배틀을 통해 여러분의 덱을 만드는 능력을 시험해보세요.
PLAY_MENU_SOLO_STANDARD_INFO;다양한 미션 팩을 통해 페어리아의 기본을 익히세요.
PLAY_MENU_SOLO_OVERSKY_INFO;협동전 캠페인! 친구, 혹은 AI 동료와 함께 싸우세요.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;매일 새로운 도전! 이곳에서 매일 새로운 드래곤을 무찔러보십시오. 혼자서도, 동료와 함께도 도전해볼 수 있습니다.
MAINMENU_TITLE_SOLO_INFO;솔로 미션과 협동 미션을 통해 페어리아의 세계를 탐험하세요!
MAINMENU_TITLE_PUZZLES_INFO;어려운 퍼즐들을 풀어보고 기발한 묘수 몇 가지를 익히세요.
MAINMENU_TITLE_PANDORA_INFO;드래프트 모드. 독특한 덱을 만들어 새로운 카드들을 시험해볼 수 있습니다. 가능한 오래 살아남아 보세요!
MAINMENU_TITLE_BATTLE_INFO;클래식 페어리아. 캐주얼이나 경쟁전에서 온라인으로 대결하거나, AI를 상대로 연습전을 할 수 있습니다.
MOUSE_HOME_LINKS_INFO;공식 블로그에서 중요한 소식들을 확인하세요.
DEFAULT_BUTTON_TEXT;기본설정
BACK_TO_WORLD_BOSSES;월드 보스로 돌아가기
BACK_TO_PUZZLES;퍼즐로 돌아가기
BACK_TO_PANDORA;판도라로 돌아가기
BACK_TO_OVERSKY;창공으로 돌아가기
BACK_TO_MISSIONS;미션으로 돌아가기
BACK_TO_DRAGONS_LAIR;용의 둥지로 돌아가기
BACK_TO_BATTLE;대전으로 돌아가기
LORE_BOOK_TOGGLE_TEXT;설화 모음
SHOW;보이기
INGAME_OPPONENT_DISCOVERING_CARD;상대가 카드를 발견중입니다.
INGAME_ALLY_DISCOVERING_CARD;동료가 카드를 발견중입니다.
HIDE;숨기기
GEMS_INFO_POPUP_DESCRIPTION;이제부터 젬은 특별한 이벤트를 통해서만 얻을 수 있게 되었습니다.
GEMS_INFO_POPUP_TITLE;젬에 대하여
SHORTCUT_TEXT_TOGGLE;토글
SHORTCUT_TEXT_MODIFY_SLIDER;슬라이더 조정
SHORTCUT_TEXT_CLOSE;닫기
SETTING_TEXT_LANGUAGE_TITLE;언어
SERVER_INFO_UNAVAILABLE;현재 서버에 접속할 수 없습니다.
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} 님은 채팅이 허용되지 않은 플레이어입니다.
YOUR_SUPPORT_ID;ID:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;문제가 발생하여 게임을 다시 시작해야합니다
MOUSE_PROMPT_CLICK_TO_CLOSE;클릭해서 닫기
LOADING_HERDING_YAKS;야크를 방목하는 중
LOADING_DOWNLOADING_CONTENT;컨텐츠 다운로드 중
LOADING_CHECKING_CONTENT;컨텐츠 확인 중
GAMEPAD_PROMPT_CLICK_TO_CLOSE;{GAMEPAD_ACTION_CANCEL}을 눌러 닫으세요
GAMEPAD_PROMPT_CLICK_ANYWHERE;계속하려면 {GAMEPAD_ACTION_CONFIRM}을 누르세요
GAMEPAD_HOME_LINKS_INFO;{GAMEPAD_ACTION_CONFIRM}을 눌러 공식 블로그에서 중요한 소식을 확인하세요.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;여러 친구들이 이 사용자 이름을 사용합니다. 이 친구와 채팅하려면 친구 목록 컨텍스트 메뉴를 사용하세요.
GO_TO_STORE_BUTTON_TEXT;상점으로
CHAT_ERROR_MESSAGE_REFUSED;내용 때문에 수신자의 플랫폼이 자동으로 메시지를 거부했습니다.
CHAT_ERROR_SANITIZATION_ERROR;내용 때문에 메시지가 거부되었습니다.
ID_COPIED_TO_CLIPBOARD;ID 클립보드에 복사됨.
SPECIAL_LADDER_MAPS_EVENT_TITLE;특별 래더 맵
PLAYER_PLATFORM_XBOX_LIVE;엑스박스 라이브
PLAYER_PLATFORM_PS4;플레이스테이션 4
PLAYER_PLATFORM_SWITCH;스위치
PLAYER_UNKNOWN_USER_NAME;알수 없는 플레이어
PLAYER;플레이어
NOT_ENOUGH_COINS;샤드가 부족합니다.
NOT_ENOUGH_GEMS;젬이 부족합니다.
LADDER_RANKED_BUTTON;순위
LADDER_PANDORA_BUTTON;판도라
HOME_LADDER_BUTTON_TEXT;래더
COSMETIC_ITEM_NOT_OWNED;소유하지 않은 아이템 입니다.
