1.cardName;ファームボーイ
314.cardText;{dash|2}\n{gift} - 合計4ダメージをランダムに敵（ゴッドを含む）へ与える。味方クリーチャーはランダムに合計+4/+4を得る。
315.cardName;ソウルイーター
315.cardText;{flying}, {charge|3}\nこのゲーム中に破壊された味方クリーチャーの数だけ、+1/+1を得る。（デッキと手札の中にある間）
316.cardName;惨めな炎の霊
316.cardText;{flying}, {haste}, {charge|2}\n{combat} - 対戦相手に3ダメージを与える。
317.cardName;ギャブリアの兵士
317.cardText;{aquatic}, {charge|3}
318.cardName;カエル
318.cardText;{jump}
319.cardName;地図製作者
319.cardText;{last_words} - ランダムな場所に{blue}と{green}と{red}と{yellow}をそれぞれ一つ作成する。
321.cardName;空を飲み込むもの
321.cardText;{flying}
322.cardName;怒れる草原のヤク
322.cardText;{haste}
323.cardName;探検
323.cardText;草原を一つ作成して{faeria|2}を得る。
324.cardName;怒ったヤク
324.cardText;{haste}
325.cardName;とげウィスプ
325.cardText;あなたが{green}を作成するたび、+1/+0を得る。
328.cardName;忘却の支配　オストレゴス
328.cardText;{flying}, {haste}, {charge|13}\nフェアリアの井戸を空にする。
329.cardName;残酷なバンデット
330.cardName;粗野な馬術家
331.cardName;知恵
331.cardText;カードを2枚引く。
332.cardName;治癒の祈り
332.cardText;あなたは3ライフを得る。
333.cardName;俺をプレイできない
333.cardText;僕をプレイできません。
334.cardName;大いなる叡智
334.cardText;カードを5枚を引く。
335.cardName;レベルスリンガー
335.cardText;{gift} - 対戦相手に2ダメージを与える。
336.cardName;霊魂の絆
336.cardText;{last_words} - このクリーチャーのオーナーのライフを1にする。
337.cardName;神の炎
337.cardText;全ての愚かな敵クリーチャーへ10ダメージ与える。
338.cardName;タイダルフォース
338.cardText;土地を1つ移動させる。
339.cardName;突風
339.cardText;対象の味方クリーチャー1体を移動させる。
340.cardName;サイランドの戦士
342.cardName;神聖の炎　コジン
342.cardText;{divine}\nコジンのマスターであるパイロスは、彼がいる間落ち着いている。\n{production} - コジンは1ライフを失う。
350.cardName;3つの願い
350.cardText;あなたは3ライフを得る。対戦相手のデッキの上から3枚のコピーをあなたの手札に加える。それらのコストは{faeria|1}少なくなり、{wild}になる。3つの願いが含まれていた場合、それを飛ばす。
351.cardName;反逆者
351.cardText;{flying}, {dash|2}\nフェアリアを収穫できない。
352.cardName;帝国の飛行船　レディアンス
352.cardText;{flying}, {dash|3}\nこのクリーチャーのコストはあなたのライフと等しい数値になる。\n{gift} - あなたの手札の枚数だけ、あなたはライフを得る。
353.cardName;禁忌の図書館
353.cardText;{production} - カードを1枚引き、{faeria|1}を得る。あなたに2ダメージを与える。
354.cardName;夢の強奪者
354.cardText;{dash|3}\n{gift} - 対象のゴッド1体のライフを10にする。
355.cardName;野生のコダマ
355.cardText;{jump}\nフェアリアを収穫できない。\nこのクリーチャーがゴッドを攻撃するたび、あなたは5ライフを得る。
356.cardName;ゴッドハンター
356.cardText;{jump}\nゴッドにのみ攻撃することが出来る。\nフェアリアを収穫できない。
357.cardName;血の歌
357.cardText;ランダムに選ばれたあなたの手札1枚のコストを{faeria|2}少なくする。これを4回行う。あなたに4ダメージを与える。
358.cardName;地獄の火
358.cardText;合計9ダメージをランダムに敵(ゴッドを含む)へ与える。
359.cardName;この世の終わり
359.cardText;あなたのフェアリアは{faeria|0}.になり、ライフは半分になる（小数切捨て）。全てのクリーチャーとストラクチャーを破壊する。あなたのターンを終了する。
360.cardName;うるさいブヨ
360.cardText;{flying}\nフェアリアを収穫できない。\n{last_words} - あなたに2ダメージを与える。ランダムに選ばれたマスにこのクリーチャーを召喚する。
361.cardName;長い角のヤク
361.cardText;{last_words} - あなたが次に引くクリーチャーは、このクリーチャーの攻撃値と等しい攻撃値を得る。
362.cardName;伝説の到来
362.cardText;あなたのデッキからレジェンドのカードを1枚引く。該当するカードがない場合、ランダムなレジェンドのカードを1枚手札に加え、それを{wild}にする。
363.cardName;トライトントレーナー
363.cardText;{jump}\n{gift} - あなたが次に召喚する{jump}を持つクリーチャーに+1/+1を与える。
364.cardName;真実の声
364.cardText;{gift} - 対象のクリーチャー1体の攻撃値とライフを元の数値にしてもよい。
365.cardName;戦争の伝令
365.cardText;{combat} - あなたが次に場に出す{combat}を持つクリーチャーは+1/+1を得る。
366.cardName;ミストラルガイド
366.cardText;{flying}\nこのクリーチャーに隣接して召喚された味方クリーチャーに、{flying}と{dash|2}を与える。
367.cardName;神聖なる守護者
367.cardText;{divine}\nあなたが致命的なダメージを受ける時、それを防ぎ、代わりにこのクリーチャーを破壊する。
368.cardName;皇帝の命令
368.cardText;対象に以下の効果を与える。\n- クリーチャー: -2/-1\n- ストラクチャー: 3ダメージ\n- ゴッド: 4ライフを得る
369.cardName;壮大な幻影
369.cardText;{charge|2}\n{faeria|1}以下のクリーチャーを召喚したとき、このクリーチャーは召喚したクリーチャーの攻撃値とライフと同数の攻撃値とライフを得る。（あなたの手札とデッキの中にある間）
370.cardName;深森の追跡者
370.cardText;{gift} - このクリーチャーは対象の敵クリーチャーと戦闘してもよい。
371.cardName;クログの食事
371.cardText;あなたのクログのコストは{faeria|7}少なくなる。あなたがクログを召喚した時、このクリーチャーは破壊される。\n{gift} - クログがあなたのデッキの中にあるか、既に破壊されている場合、クログを1枚引く。
372.cardName;アイオナの微笑み
372.cardText;あなたのデッキから{flying}を持つクリーチャーを2枚引く。
400.cardName;パンドラの破片
401.cardName;パンドラの覚醒！
401.cardText;パンドラが開いた。両プレイヤーは<b>トレジャー</b>をもらう。
402.cardName;トレジャーを見つけた！
402.cardText;両プレイヤーは<b>トレジャー</b>をもらう。カード1枚を引く。
403.cardName;闇の結晶
403.cardText;対戦相手から4ライフ吸収し、全ての敵クリーチャーへ3ダメージ与える。カードを2枚引く。
404.cardName;ヤク呼びの角笛
404.cardText;{haste}を持つ2/4の<b>怒れる草原のヤク</b>を3体召喚する。
405.cardName;アストラルウェポン
405.cardText;{flying}\n{gift} - 隣接する全てのクリーチャーとストラクチャー、土地を破壊する。
406.cardName;オカリナ
406.cardText;この後追加のターンを得る。
407.cardName;ジンのランプ
407.cardText;{options|ランダムの緑カードを3枚手札に加え、それらのコストを{faeria|3}少なくする|ランダムの青カードを3枚手札に加え、それらのコストを{faeria|3}少なくする|ランダムの赤カードを3枚手札に加え、それらのコストを{faeria|3}少なくする|ランダムの黄カードを3枚手札に加え、それらのコストを{faeria|3}少なくする}\n色を選ぶ。ランダムに選ばれた「あなたが選んだ色のカードを3枚手札に加え、それらのコストを{faeria|3}少なくする。
408.cardName;ギャブリアの壺
408.cardText;カードを2枚引く。{faeria|2}を得る。
409.cardName;アイオナの鏡
409.cardText;対戦相手が最後にプレイした<b>トレジャー</b>をコピーし、それを2枚手札に加える。
410.cardName;血石ゴーレム
410.cardText;{production} - 全ての井戸にフェアリアが再び湧く。\nフェアリアが収穫されるたび、対戦相手に1ダメージを与える。
411.cardName;パラスの聖杯
411.cardText;味方クリーチャーはランダムに合計+6/+6を得る。
412.cardName;エラドンのドラム
412.cardText;あらゆる場所のあなたのクリーチャーは+2/+2を得る。（場の味方クリーチャー、手札、デッキ）
413.cardName;クラウドマシーン
413.cardText;全ての味方クリーチャーは+1/+0と{flying}、{jump}を得る。
414.cardName;支配の指輪
414.cardText;{options|対象の土地1つを{green}に変身させ、それのコントロールを得る。|対象の土地1つを{blue}に変身させ、それのコントロールを得る。|対象の土地1つを{red}に変身させ、それのコントロールを得る。|対象の土地1つを{yellow}に変身させ、それのコントロールを得る。}\n対象の土地1つを「あなたが選んだ地形」に変身させ、それのコントロールを得る。
415.cardName;世界の涙
415.cardText;対象のこのターン中にゴッドを攻撃したクリーチャー1体を{flying}の10/10<b>Sky Swallower</b>に変身させる。
416.cardName;クロックワークヤク
416.cardText;{dash|2}
417.cardName;イークウィナックスオートマトン
417.cardText;{gift} - あなたは6ライフを得る。\n{last_words} - 対戦相手に6ダメージを与える。
418.cardName;マグダーの薔薇
418.cardText;対象の敵クリーチャー1体のコントロールを得る。
419.cardName;アーロラーのティーポット
419.cardText;全ての味方クリーチャーの攻撃値とライフを6/6に変える。
420.cardName;公平な幸福の石
420.cardText;ランダムに選ばれた3枚の<b>トレジャー</b>をあなたのデッキにまぜる。
421.cardName;強さの秘密
421.cardText;対象のクリーチャー1体に+4/+4と{flying}、{charge|3}を与える。
422.cardName;虚空の守護者
422.cardText;{gift} - あなたのデッキを破壊する。（0枚にする）
423.cardName;クリスタルドラゴン
423.cardText;{flying}, {charge|3}
424.cardName;フレイムバーストルビー
424.cardText;{options|対象のクリーチャーか構造物、またはゴッド1体に3ダメージを与える。|全てのクリーチャー、構造物、ゴッドに3ダメージを与える。}\n- 対象のクリーチャーか構造物、またはゴッド1体に3ダメージを与える。\n-全てのクリーチャー、構造物、ゴッドに3ダメージを与える。
425.cardName;破壊の鉄槌
425.cardText;対象のクリーチャーか構造物、またはゴッド1体に5ダメージを与える。<b>破壊の鉄槌</b>を1枚デッキにまぜる。
426.cardName;アースファイアシェイカー
426.cardText;{gift} - 全ての敵に2ダメージを与える。破壊された敵1体につき、+2/+2を得る。
427.cardName;死のデザイア
427.cardText;対象のクリーチャー1体を破壊する。そのコントローラーはカードを2枚引き、破壊されたクリーチャーのコストと等しい{faeria|1}を得る。
428.cardName;瓶詰めのライトニング
428.cardText;対象のクリーチャー1体に6ダメージを与え、それに隣接する全ての敵に3ダメージを与える。
429.cardName;踊る刃
429.cardText;{flying}, {jump}\nあなたのターン終了時、隣接する全ての敵クリーチャーと構造物、ゴッドに3ダメージを与える。
430.cardName;破滅の鎌
430.cardText;対象のクリーチャー1体を破壊し、その場所に6/1<b>畜殺する影</b>を1体召喚する。
431.cardName;宝石で飾られたカササギ
431.cardText;{flying}, {haste}\nこのクリーチャーがゴッドを攻撃するたび、ランダムに選ばれた<b>トレジャー</b>を1枚手札に加える。
432.cardName;混沌の車輪
432.cardText;{options|対象の空いている土地2つを破壊する。|対象の攻撃値5以下のクリーチャー1体を破壊する。|あなたは7ライフを得る。}\n- 対象の空いている土地2つを破壊する。\n- 対象の攻撃値5以下のクリーチャー1体を破壊する。\n- あなたは7ライフを得る。
433.cardName;ウラニのメダリオン
433.cardText;味方クリーチャー1体を選ぶ。あなたの他のすべてのクリーチャーはそれのコピーになる。
500.cardName;サルの守護霊
500.cardText;{taunt}\n{gift} - 次の対戦相手のターン、敵クリーチャーがフェアリアを収穫するたび、+2/+2を得る。
501.cardName;勇敢な探検家
501.cardText;{gift} - <b>探検</b>のカードをそれぞれのプレイヤーの手札に加える。
502.cardName;水晶の花
502.cardText;{gift} - 対象のクリーチャー1体を{swallow}する。\nあなたのターン終了時、このストラクチャーに1ダメージを与える。
503.cardName;ヤカパルト
503.cardText;{ranged_attack}\nこのクリーチャーが攻撃するたび, 2/2の<b>怒ったヤク</b>を対象に隣接するランダムなマスに召喚する。
504.cardName;優しき鉱夫 ゴキ
504.cardText;{gift} - 味方ゴッドの手札にランダムな<b>トレジャー</b>を1枚加える。
505.cardName;紺碧の空鯨 モービィ
505.cardText;{flying}, {charge|3}\nフェアリアを収穫できない。\n{gift} - クリーチャー1体を{swallow}する。
506.cardName;バルーンフィッシュ
506.cardText;{flying}, {dash|2}\n{gift} - 味方のクリーチャー1体を{swallow}する。もしできなければ、これを破壊する。
507.cardName;カイオス皇帝
507.cardText;{production} - 全ての敵クリーチャーに-1/-0を与える。攻撃値が0の敵クリーチャーを全て破壊する。
508.cardName;楽園の種
508.cardText;{flying}, {dash|1}\n{gift} - {options|このクリーチャーが海の上で収穫したとき、これを破壊し{green}を作成する。|このクリーチャーが海の上で収穫したとき、これを破壊し{blue}を作成する。|このクリーチャーが海の上で収穫したとき、これを破壊し{red}を作成する。|このクリーチャーが海の上で収穫したとき、これを破壊し{yellow}を作成する。}\nこのクリーチャーが海の上で収穫したとき、これを破壊し選択した色の土地を作成する。\n
509.cardName;永遠の命の樹
509.cardText;{production} - あなたは7ライフを得る。\nランダムに選ばれたあなたの手札のクリーチャー1体に+7/+7を与える。
510.cardName;ラコア族の贈り物
510.cardText;対象のクリーチャー1体に、味方クリーチャー1体につき+1/+1を与える。
511.cardName;好奇心旺盛なバイオマンサー
511.cardText;{gift} - 敵クリーチャー1体につき、青以外のクリーチャーをデッキからドローする。
512.cardName;不思議の商人 フーゴロ
512.cardText;{jump}\n{gift} - {options|<b>ギャブリアの壺</b>を引く。|<b>クリスタルドラゴン</b>を引く。|<b>ウラニのメダリオン</b>を引く。}\n- <b>ギャブリアの壺</b>を引く。\n- <b>クリスタルドラゴン</b>を引く。\n- <b>ウラニのメダリオン</b>を引く。
513.cardName;飛び跳ねるフグ
513.cardText;{jump}\n{gift} - あなたが特殊な土地を8個以上コントロールしている場合、+3/+3を得る。
514.cardName;グラップリングフック
514.cardText;クリーチャー1体にこのターン{ranged_attack}を与える。攻撃後、攻撃した対象に隣接する土地にこのクリーチャーを移動させてもよい。
515.cardName;ラコア族のお祭り好き
515.cardText;{last_words} - このクリーチャーの攻撃値に等しい{faeria|1}を得る。
516.cardName;空賊 CAP-10
516.cardText;{combat} - デッキから<b>鋼の贈り物</b>を1枚引く。もし無かった場合、1枚をデッキにシャッフルする。
517.cardName;フラッシュサーモン
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nフェアリアを収穫できない。\nあなたのターン終了時、このクリーチャーを破壊しカードを1枚引く。
518.cardName;マンタライダー
518.cardText;{flying}\n{last_words} - {flying} と{charge|2} を持つ2/2の<b>マンタ</b>をこの場所に召喚する。
519.cardName;不滅の光 イスタヌ
519.cardText;{flying}, {charge|3}\n{last_words} - ランダムな味方クリーチャー1体は新しい<b>イスタヌ</b>になる。
520.cardName;変移するタコ
520.cardText;2回{options|+2/+0を得る。|+0/+2を得る。|{jump}を得る。|{taunt}を得る。}:\n- +2/+0を得る\n- +0/+2を得る\n- {jump}を得る\n- {taunt}を得る。
521.cardName;フロッグトサー
521.cardText;{gift} - このクリーチャーは対象の敵クリーチャーと戦闘する。対象に隣接するランダムのマスに{jump}を持つ2/2の<b>カエル</b>を召喚する。
522.cardName;楽園への通り道
522.cardText;{options|{green}を1つ作成する。|{blue}を1つ作成する。|{red}を1つ作成する。|{yellow}を1つ作成する。} - 選択した特殊な土地を1つ作成する。\nこのターンに初めて作成した土地に召喚したクリーチャーに+2/+0を与える。
523.cardName;エメラルドのサラマンダー
523.cardText;{gift} - 隣接する敵クリーチャー全てに2ダメージを与える。 隣接する味方クリーチャー全てに+2/+2を与える。
524.cardName;天空のカジキ
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;群泳するキンギョ
525.cardText;{flying}\n味方クリーチャーの隣接するマスに召喚できる。\n{gift} - このゲームで破壊された味方の<b>群泳するキンギョ</b>をその数だけ召喚する。
526.cardName;夢の護り手
526.cardText;{taunt}\n{gift} - あなたの全ての手札のカードのコストを {faeria|1}下げ、デッキにシャッフルする。その後、同じ枚数だけカードを引く。
527.cardName;宝石殻の亀
527.cardText;{gift} - カードを1枚引き、そのコピーを手札に加える。それらのカードのコストは{faeria|2}少なくなる。
528.cardName;マンタの群れ
528.cardText;このカードを引く時、それをコピーする。\n{flying}と{charge|2}を持つ2/2の<b>マンタ</b>を召喚する。
529.cardName;オーバースカイの牽引船
529.cardText;{flying}, {dash|1}\nこのクリーチャーが土地から離れて移動するとき、その土地も一緒に移動する。
530.cardName;ラコア族の族長
530.cardText;{dash|1}\n隣接する味方クリーチャーは+1/+0を得る。
531.cardName;スカイアネモネ
531.cardText;{flying}, {taunt}\nどこにでも召喚できる。
532.cardName;オーバースカイの祈祷師 ウラニ
532.cardText;{gift} - あなたのデッキから緑のカード、青のカード、赤のカード、黄色のカードを1枚ずつ引く。
549.cardName;現実破壊装置
549.cardText;{flying}\n{production} - 2ライフを得る。\nこのストラクチャーのライフが10以上になった時、<b>ゲームをクラッシュする</b>。
550.cardName;水晶の花
550.cardText;中に閉じ込められている。
551.cardName;水晶の花
551.cardText;中に閉じ込められている。
552.cardName;水晶の花
552.cardText;中に閉じ込められている。
553.cardName;飛行マンタ
553.cardText;{flying}, {charge|2}
555.cardName;怒ったヤク
556.cardName;勝者は君だ！
556.cardText;あなたの対戦相手に100ダメージを与える。
557.cardName;偉大なる皇帝 カイオス
557.cardText;{production} - 全ての敵クリーチャーに-1/-0を与える。攻撃値が0の敵クリーチャーを全て破壊する。
601.cardName;悲しみの貴婦人 ラヤ
601.cardText;{deathtouch}\n{last_words} - <b>キラキラ光る像</b>をこの場所に召喚する。
602.cardName;帝国のドレイクライダー
602.cardText;{flying}, {charge|2}\n{corrupt} - +2/+2を得る。
603.cardName;気が狂ったサル
603.cardText;{gift} - 全ての井戸を空にする。空にした井戸の数だけ+1/+1を得る。
604.cardName;帝国の機動兵
604.cardText;{corrupt} - このクリーチャーがいる土地のコントロールを得る。
605.cardName;失意の探検家
605.cardText;{corrupt} - カードを1枚引き、{faeria|1}を得る。
606.cardName;邪剣の騎士
606.cardText;このクリーチャーにダメージが与えられるたび、あなたはそれと等しいダメージを受ける。
607.cardName;シャドウシルクの妖精
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - あなたのデッキからイベントを2枚引く。
608.cardName;狂乱の超越精神体 カイオス
608.cardText;{divine}\nこのクリーチャーの攻撃力は常にライフと等しい数値となる。\n{corrupt} - あらゆるものから1ライフを吸収する。
609.cardName;魚の雨
609.cardText;ランダムに選ばれた場所に<b>ルビーフィッシュ</b>を6体召喚する。それらのうち土地に乗ったものは隣接する全ての敵に1ダメージを与える。
610.cardName;空飛ぶピラニア
610.cardText;{flying}\n隣接するマスでクリーチャーが破壊された時、{deathtouch}と{jump}を得る。
611.cardName;怪物ヒドラ
611.cardText;{corrupt} - 隣接する全ての土地に{haste}を持つ2/1の<b>ヒドラヘッド</b>を召喚する。それらはターン終了時に破壊される。
612.cardName;呪われた柳
612.cardText;{taunt}
613.cardName;腐りゆくイノシシ
613.cardText;{dash|1}\n{corrupt} - あなたのデッキからライフ5以上のクリーチャーを1枚引き、それに+2/+2を与える。
614.cardName;ネコマタ
614.cardText;{taunt}\n{corrupt} - このクリーチャーの攻撃値を倍にする。
615.cardName;邪悪なる鍛冶師の王 バルデュリオン
615.cardText;{protection}\n{corrupt} - <b>破壊の鉄槌</b>1枚を手札に加える。
616.cardName;スパイトスプライト
616.cardText;{last_words} - あなたに2ダメージを与える。
617.cardName;大破壊
617.cardText;対象の敵クリーチャーかストラクチャー1体に9ダメージを与える。
618.cardName;デモニックサーモン
618.cardText;{haste}, {flying}, {charge|2}\nフェアリアを収穫できない。\nこのクリーチャーがゴッドを攻撃するたび、+1/+1を得る。
619.cardName;魂の略奪
619.cardText;対象の敵クリーチャー1体から1ライフを吸収する。そのクリーチャーが破壊された場合、それをコピーする。それは{wild}になる。
620.cardName;ソレム
620.cardText;{flying}, {divine}\n{corrupt} - 対象の井戸を1つ破壊する。
622.cardName;母なるヤク
622.cardText;{gift} - このクリーチャーに隣接するマスに{taunt}と{flying}を持つ4/4の<b>ヤクの用心棒</b>を2体召喚する。\nこのゲーム中に破壊された味方のヤクの数だけ、コストが{faeria|1}少なくなる。
623.cardName;ラコア族の王者
623.cardText;{dash|2}\n{gift} - 他の味方のラコア族の数だけ+1/+1を得る。
624.cardName;孤独なフグ
624.cardText;他のビーストをコントロールしている間、+2/+0と{jump}を得る。
625.cardName;イカれたサカナ ラパラー
625.cardText;{aquatic}\n{gift} - <b>ルビーフィッシュ</b>で対戦相手の手札をいっぱいにしてやろう。バーカ！
626.cardName;サファイアヤク
626.cardText;味方のヤクが対戦相手の井戸からフェアリアを回収したとき、それに+2/+2を与える。
627.cardName;追い討ち
627.cardText;対象の味方のビースト1体に+2/+0を与える。その後、そのクリーチャーは敵クリーチャーと戦闘する。
628.cardName;エメラルドヤク
628.cardText;{gift} - {taunt}と<b>フェアリアを収穫できない</b>を持つ1/1の<b>ベイビーヤク</b>1体を、あなたがコントロールしている草原に召喚する。
629.cardName;永遠の命の樹霊 マジナタ
629.cardText;{protection}, {divine}\n{gift} - 対象の味方クリーチャー1体に嚥下される。そのクリーチャーに+5/+5と{flying}、{charge|2}を与える。
630.cardName;溶岩波のサンショウウオ
640.cardName;ラコアコプター
640.cardText;{flying}, {dash|1}\n{gift} - 隣接する全ての敵クリーチャーに2ダメージを与える。
641.cardName;ルビーヤク
641.cardText;味方のヤクがダメージを受けるたび、対戦相手に1ダメージを与える。
642.cardName;ゴーストドラゴン
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;ミノカサゴ
643.cardText;{flying}, {deathtouch}
644.cardName;トパーズヤク
644.cardText;味方のヤクの隣の土地に召喚することができる。その場合、このクリーチャーは{haste}を得る。
645.cardName;ラコア族の戦闘機関
645.cardText;{charge|2}\n{gift} - 味方のラコア族を{swallow}してもよい。そうした場合、+2/+0を得る。
646.cardName;ラコア族の砲撃手
646.cardText;{gift} - 対象の他の味方のラコア族1体を破壊してもよい。そうした場合、敵クリーチャー1体に3ダメージを与える。
647.cardName;ラコア族の奇術師
647.cardText;{gift} - あなたの次のターン開始時まで、他の味方のラコア族1体を{flying}と{charge|2}を持つ4/4の<b>デューンドレイク</b>に変身させてもよい。
648.cardName;ラコア族の盾兵
648.cardText;{last_words} - 1/1のラコア族をこの場所に召喚する。
649.cardName;ラコア族の戦隊長
649.cardText;{combat} - ランダムに選ばれた手札のラコア族1体に+1/+1を与える。
650.cardName;ラコア族の募兵官
650.cardText;{gift} - 1/1のラコア族1枚をあなたの手札に加え、それのコストを{faeria|0}にする。
653.cardName;呪いの塔
653.cardText;{activate} - 対象のクリーチャー1体に-1/-1を与える。このストラクチャーに1ダメージを与える。
654.cardName;空の捕食者 ショーズン
654.cardText;{flying}, {charge|3}\nこのクリーチャーが初めて戦闘によって敵クリーチャーを破壊する時、代わりにそのクリーチャーを嚥下しコントロールを得る。
655.cardName;帝国の前哨
655.cardText;全ての味方のニュートラルのクリーチャーは+1/+0を持つ。
656.cardName;破壊的な斉射
656.cardText;対象のクリーチャー1体に2ダメージを与える。それが{flying}を持っている場合、代わりに5ダメージを与える。
658.cardName;オーバースカイの厄災 レディアンス
658.cardText;{flying}\n{gift} - 次のターンの間、敵クリーチャーは移動することができない。
659.cardName;爆発するカバ
659.cardText;{combat} - 隣接する全ての敵に2ダメージを与える。
660.cardName;ビーストトレーナー
660.cardText;{gift} - ランダムに選ばれたあなたの手札のビースト1体のコストを{faeria|5}少なくする。
661.cardName;コボルトの密輸人
661.cardText;{corrupt} - ランダムに選ばれた隣接する土地に4/3の<b>サイファーの雑兵</b>1体を召喚する。
662.cardName;イグナスの怒り
662.cardText;合計{dynamic_number|0|0}ダメージを敵へランダムに与える。\nこのゲーム中にあなたがパワーホイールから+{faeria|1}を選ぶたび、与えるダメージを1増やす。（デッキと手札の中にある間）
663.cardName;イグナスの儀式執行者
663.cardText;{gift} - あなたのパワーホイールを再び使用できるようにする。\n{corrupt} - あなたのパワーホイールを再び使用できるようにする。
664.cardName;炎を焼べるもの
664.cardText;あなたがパワーホイールから+{faeria|1}を選ぶたび、+1/+1を得る。
665.cardName;荒れ果て空の害獣
665.cardText;{gift} - このクリーチャーは対戦相手と戦闘する。
666.cardName;卑しいフクレアブ
666.cardText;{flying}\n{corrupt} - <b>卑しいフクレアブ</b>1枚をあなたの手札に加える。
667.cardName;邪より生まれし霊
667.cardText;{charge|2}\n{production} - 対戦相手の手札が4枚以上の時、+1/+1を得る。
668.cardName;塵をもたらす死霊
668.cardText;{corrupt} - 対戦相手の手札のカードそれぞれのコストを{faeria|1}増やす。
669.cardName;荒れ果て空のハゲタカ
669.cardText;{flying}\n{gift} - 対象のライフ1のクリーチャー1体を破壊し、その攻撃値を吸収する。
671.cardName;カミナリウナギ
671.cardText;{flying}\n{gift} - 対象のクリーチャー1体に2ダメージを与えてもよい。そのクリーチャーが海の上にいる場合、代わりに4ダメージを与える。
676.cardName;放浪するヤク
676.cardText;{gift} - 草原を1つ作成する。\n{dash|1}
677.cardName;ヤク飼いの少女
677.cardText;{gift} - ターン終了時まで味方のヤク2体に+2/+0と{charge|2}を与える。
678.cardName;オーバースカイのヤク
678.cardText;{flying}\nあなたが草原を6つコントロールしている間、+2/+2を得る。
679.cardName;フクレカエル
679.cardText;{jump}\n{jump}を持つ2/2の対戦相手の<b>カエル</b>を嚥下した状態で召喚される。
680.cardName;姿見の幻影
680.cardText;{gift} - 対象のクリーチャー1体を5/3の<b>影幻の見姿</b>に変身させる。
685.cardName;サナギ
685.cardText;{gift} - 対象の味方のクリーチャー1体を{swallow}する。\n{production} - 嚥下されたクリーチャーは+1/+1を得る。\n{activate} - このストラクチャーを破壊する。
686.cardName;バーダランの密偵
686.cardText;{last_words} - あなたの手札の全てのクリーチャーに+1/+1を与える。
692.cardName;弱きものの救世主
692.cardText;{gift} - 攻撃値が1の他の味方クリーチャー1体に+2/+2と{divine}を与える。
694.cardName;ヒドラヘッド
694.cardText;{haste}\nターン終了時に破壊される。
695.cardName;ヤクの用心棒
695.cardText;{flying}, {taunt}
696.cardName;ベイビーヤク
696.cardText;{taunt}\nフェアリアを収穫できない。
697.cardName;デューンドレイク
697.cardText;{charge|2}, {flying}\nフェアリアを収穫できない。
698.cardName;影幻の見姿
698.cardText;{gift} - 対象のクリーチャー1体を3/5の<b>姿見の幻影</b>に変身させる。
699.cardName;ラコア族
9991.cardName;速攻を与える
9992.cardName;フェアリアをください
9992.cardText;{faeria|100}を得てランダムな場所に池と森と山と砂漠をそれぞれ一つ作成する。
9993.cardName;死ね！
9993.cardText;100ダメージを与える。
9994.cardName;山
9995.cardName;池
9996.cardName;砂漠
9997.cardName;森
9998.cardName;草原
9999.cardName;オーブ
682.cardName;潮汐の王
682.cardText;{jump}\n味方のトライトンに隣接する土地に召喚することができる。その場合、このクリーチャーは+1/+1を得る。
670.cardName;霊を生む骸
670.cardText;あなたのターン終了時、対戦相手の手札が4枚以上ならば、カードを1枚引き、対戦相手から1ライフを吸収する。
675.cardName;ラマコーン
675.cardText;{combat} - それぞれのプレイヤーはカードを1枚引き、2ライフを得る。
681.cardName;トライトンの戦術家
681.cardText;{jump}\n{gift} - 隣接する味方のトライトンの数だけ+1/+0を得る。
683.cardName;動き回るごちそう
683.cardText;{dash|1}\nあなたのターン終了時、隣接するランダムな味方クリーチャーに嚥下される。そのクリーチャーは+1/+1を得る。
688.cardName;開花のコダマ
688.cardText;{gift} - {green} {green} {green}を作成する。
689.cardName;そよ風のキツネ
689.cardText;このクリーチャーが{green}に移動するたび、このクリーチャーをあなたがコントロールする{green}にテレポートさせてもよい。
691.cardName;勝利の祝典
691.cardText;このゲーム中、それぞれのプレイヤーはターン毎に{faeria|1}を追加で得る。
9989.cardName;土地のコントロールを得る
9990.cardName;コントロールを得る
657.cardText;{flying}\nあなたの手札のカードを{wild}として扱う。\n{gift} - ランダムに選ばれたガガナーの船員1枚をあなたの手札に加える。それのコストを{faeria|0}にする。
657.cardName;虹の鳥舟 ガガナー
652.cardText;あなたがコントロールするクリーチャーが{corrupt}を発動するたび、あなたは対戦相手から2ライフを吸収する。
652.cardName;隷属する聖職者
9988.cardText;対象のクリーチャー1体に{haste}を与える。
9988.cardName;襲撃！
9987.cardText;{activate} - カードを1枚引く。
9987.cardName;知恵の塔
690.cardText;このクリーチャーが{green}に移動するたび、このクリーチャーをあなたがコントロールする{green}にテレポートさせてもよい。そうした場合、これは+1/+1を得る。
690.cardName;ブライトフォックス族の長 ドゥオーディア
687.cardText;{gift} - あなたが次に引くクリーチャーに+2/+4を与える。
687.cardName;永遠の命の聖職者
684.cardText;このクリーチャーはプレイしたターンでもフェアリアを収穫できる。\n{gift} - あなたはこのクリーチャーがいる土地を移動させてもよい。
684.cardName;珊瑚のオタマジャクシ
