ACCEPT;引き受ける
QUEST_LOCKED_NAME;ミッションはロックされている
QUEST_OPPONENT_LEVEL;レベル{0}
QUEST_PACK_COMPLETED;ミッションパックをコンプリートしました
QUEST_REQUIRED_LEVEL;必要\nレベル{0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;経験値
QUEST_TYPE_CHALLENGE;チャレンジ
QUEST_TYPE_EPIC;エピックミッション
QUEST_TYPE_EPIC_FORCED_DECK;ミッション
QUEST_TYPE_INTRO;ミッション
QUEST_TYPE_MYSTERY;ミステリーミッション
QUEST_TYPE_PUZZLE;パズル
QUEST_TYPE_QUEST;クエスト
QUEST_TYPE_SURVIVAL;生存
RANK_DOWN;ランクダウン
RANK_STAR_DEFEAT;負け
RANK_STAR_FIRST_WIN_OF_THE_DAY;本日の初勝利！
RANK_STAR_HIGHER_LEAGUE_OPPONENT;より強い相手に勝利！
RANK_STAR_VICTORY;ビクトリー！
RANK_STAR_WIN_STREAK;連勝
RANK_UP;ランクアップ
RECOVERY_CODE;リカバリーコード
RECOVERY_STEAM;PC/マックOS/リナックスでアカウントを作りました。
RECOVERY_SUPPORT;上記のオプションは機能しませんでした。
RECOVERY_VALIDATED;My Faeriaのアカウントが有効になっています（Eメールアドレスをおくりました）。
RECRUITER;招待者
REFUSE;断る
REFUSE_FRIEND_REQUESTS;フレンドリクエストを断る
REFUSE_FRIEND_SPECTATE;フレンド観戦を断る
REPLAY_BUTTON_TEXT;リプレイモード
REQUEST_CANCELED_BY_HOST;ホストはリクエストをチャンセルした
REROLL;再抽選する
RESOLUTION;解決:{0}
RUSH_TUTORIAL;ラッシュの初手
SAVE;セーブ
SEARCH_MODE_CASUAL_BUTTON_TEXT;カジュアル
SEARCH_MODE_RANKED_BUTTON_TEXT;ランク
SEARCH_TIME_ARENA_MODE_NAME;パンドラ
SEARCH_TIME_CONSTRUCTED_MODE_NAME;構築戦
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;最新のアナウンスメントがある<u><link={0}>here</link></u>。
SERVER_INFO_MAINTENANCE_SCHEDULED;サーバーメンテナンスが{0}に行われる。
SERVER_INFO_MAINTENANCE_IN_PROGRESS;我らがヤクニシャンがサーバーのメンテナンスを行っている。{0}頃にサーバーは再開される。
SERVER_INFO_NEW_VERSION_CHANGELOG;最新のパッチノートを得られている<u><link={0}>here</link></u>。
SERVER_INFO_SERVER_IS_DOWN;サーバーがダウンしています。
SERVER_IP;IPサーバー
SETTING_ANIMATED_BACKGROUND;背景のアニメーション
SETTING_BUTTON_TEXT_EXIT;出口
SETTING_BUTTON_TEXT_OPTIONS;オプション
SETTING_BUTTON_TEXT_PAUSE;ポーズ
SETTING_MUTE_IN_BACKGROUND;バックグラウンド時にミュート
SETTING_PERMANENT_DECK_HAND_INFO;デッキと手札の枚数を表示
SETTING_POWER_SAVING_MODE;節電モード
SETTING_TEXT_AUDIO_TITLE;音声設定
SETTING_TEXT_GAMEPLAY_TITLE;ゲームプレイ設定
SETTING_TEXT_VIDEO_TITLE;ビデオ設定
SETTING_TOGGLE_TEXT_MUTE_EMOTES;エモートをミュートにする
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;土地の総数を見る
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;エモートを復活させる
SETTING_WINDOWED;ウィンドウ表示：
SET_RECRUITER_NAME;友人を招待者として追加すると、フェアリアの旅を通じて素晴らしい報酬を受け取ることができます！\ n詳細については、<link = faeria.com/recruit-your-friends> faeria.com/recruit-your-friends </ link >。
SHOP;クリックでボックスを開ける
SHOP_ANNUITY_DAYS_LEFT;残り{0}日
SHOP_INPUT_FIELD_HINT_COUPON;クーポンを入力する
SIGN_IN;サインイン
SIGN_OUT;サインアウト
SOLO_COMPLETED;ミッションコンプリート！
SPECTATORS_CANNOT_PAUSE;観戦者はゲームを止めれません。
SPECTATOR_JOINED_GAME;{0}があなたの試合を観戦し始めました。
SPECTATOR_LEFT_GAME;{0}があなたの試合の観戦をやめました。
STOP_SPECTATING;観戦をやめる
SURRENDER;降参する
TOPBAR_BUTTON_PLAY;プレイ
TUTORIAL_DECK_CREATED;これはあなたの新しいデッキです！
TUTORIAL_DECK_CREATED_BACK;ゲームモード選びのために戻るボタンを押す
UPDATE_VERSION_OUTDATED;クライアントをアップデートする必要があります。
UPDATE_VERSION_TIP_IOS;*必要なバージョンがあなたのApp Storeで利用できない場合、あなたが遊ぶことができる前にそれを待つ必要があります。
USER_NAME_WELCOME;フェアリアにようこそ。\nお名前は何ですか。
USE_THIS_SET;フォーミュラを使う
USE_TIMEBANK;持ち時間制:
WELCOME_BUTTON_TEXT_ENTER_GAME;ログイン
WELCOME_BUTTON_TEXT_EXIT;出口
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;オフィシャルページ
WELCOME_BUTTON_TEXT_STEAM_LOGIN;クリックどこでもログインできます
WELCOME_BUTTON_TEXT_START_AS_GUEST;ゲストで始める
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;もうアカウントを持っている
WELCOME_INPUT_FIELD_HINT_PASSWORD;パスワード
WELCOME_INPUT_FIELD_HINT_SERVER_IP;サーバーのIP
WELCOME_INPUT_FIELD_HINT_USERNAME;アカウントの名前
WELCOME_USE_ANOTHER_ACCOUNT;ログアウト
WINNER;勝利者
WORLD_BOSS_OBJECTIVE_PROGRESS;3体のボスを倒す ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;チャンピオンのオーブをアンロックする
WORLD_BOSS_OBJECTIVE_TEXT2;チャンピオンのオーブをグレードアップする
WORLD_BOSS_OBJECTIVE_TITLE;ワールド目標
WORLD_BOSS_REWARD;ボスの報酬
WORLD_LOCATION;ロケーション
XP;{0} xp
YOU_PLAY_FIRST;あなたは先攻です
YOU_PLAY_SECOND;あなたは後攻です
CARD_WAS_PROMOTED_AS_DECK_COVER;このカードをデッキカバーに設定しました。
CURRENT_DECK_COVER;現在のデッキカバー
PROMOTE_DECK_COVER;デッキカバーに設定する。
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;デッキカバーに設定する。
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;伝承の頁を見る。
LORE_BOOK_EXPLANATION_TEXT;フェアリアの歴史上の伝説と謎を探り、伝承の断片を集める。
LORE_PAGE_ARTISTS;<b>アーティスト</b> {0}
LORE_PAGE_NOT_AVAILABLE;伝承の頁にアクセスするには、レベル{0}以上でなければいけません。
CO_OP_LOBBY;協力プレイロビー
LOBBY_CRUCIBLE_RULES_TITLE;クルーシブルルール
LOBBY_DECK_FORMAT;デッキフォーマット:
LOBBY_DECK_FORMAT_CLASSIC;クラシック
LOBBY_DECK_FORMAT_CRUCIBLE;クルーシブル
LOBBY_MINUTES_PER_GAME;1ゲームの制限時間（分）
LOBBY_SECONDS_PER_TURN;1ターンの制限時間（秒）
LORE_BOOK_EMPTY_SECTION;このセクションには何もありません。
LORE_PAGE_NOT_YET_AVAILABLE;この伝承の頁はまだ閲覧できません。
LOBBY_GO_TO_COLLECTION;コレクション画面に行く
LOBBY_START_OVER;やりなおし
PROMPT_LOBBY_BACK_CONFIRMATION;全員ロビーセットアップ画面に戻ります。続行しますか？
PROMPT_LOBBY_START_OVER_CONFIRMATION;ロビーのスコアがリセットされ、設定の変更が可能になります。続行しますか？
REGISTER_YOUR_DECKS;デッキを登録してください！
TOURNAMENT_DECKS_REGISTERED;デッキが登録されました！
LORE_BOOK_UNAVAILABLE_TOOTIP;レベル{0}でアンロックされます。
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Steamで評価する
HOME_CREDITS_BUTTON_TEXT;クレジット
PROMPT_FRIEND_CALLED;迷子になったあなたのヤクダチにEメールを送信しました。あなたもお好きな連ヤク手段で見つけ出してください。ログインしてくれるだけでいいんです。
PROMPT_FRIENDS_CALLED;迷子になったあなたのヤクダチ{0}人にEメールを送信しました。あなたもお好きな連ヤク手段で見つけ出してください。ログインしてくれるだけでいいんです。
FRIEND_CALL_SEND;送る
FRIEND_CALL_NO_ELIGIBLE;既に全てのフレンドに呼びかけました！
FRIENDLIST_CALL_FRIEND;旧友に呼びかけよう！
MAINMENU_TITLE_PUZZLES;パズル
SETTING_CLEAR_CACHE;キャッシュを削除する
CACHE_CLEARED;変更はゲームを再起動すると有効になります。
CACHE_CLEAR_FAIL_PERMISSION;操作が失敗しました。Faeriaのアプリケーションを管理者として実行して下さい。
CACHE_CLEAR_FAIL_IN_USE;操作が失敗しました。ファイルが使用中です。コンピューターを再起動してからもう一度試して下さい。
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;装飾品をセットする
PLAY_MENU_SOLO_DRAGONS_LAIR;ドラゴンの巣
MARKET_ITEM_SPECIAL_PROMO;スペシャル
MARKET_ITEM_COMPLETE_YOUR_SET;セットをコンプリートしよう！
DRAGON_TODAYS_CHALLENGES;今日の挑戦
DRAGON_SOLO_MISSION;ソロミッション
DRAGON_REWARD;竜の報酬
DRAGON_CO_OP_MISSION;協力プレイミッション
APPLY;保存する
MOUSE_PROMPT_CLICK_ANYWHERE;続けるには任意の場所をクリックしてください
PLAY_MENU_SOLO_WORLDBOSS_INFO;あなたのデッキ構築能力を試す、非常に難易度の高いボスバトルです。
PLAY_MENU_SOLO_STANDARD_INFO;様々なミッションパックでフェアリアの基本をマスターしよう。
PLAY_MENU_SOLO_OVERSKY_INFO;協力プレイキャンペーン！フレンドや味方AIとの戦いに参加しよう。
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;デイリーチャレンジ！新しい竜を倒すため毎日ここを訪れよう。ソロと協力プレイ両方の戦いがあります。
MAINMENU_TITLE_SOLO_INFO;これらのソロと協力プレイの挑戦で、フェアリアの世界を知ろう。
MAINMENU_TITLE_PUZZLES_INFO;やりがいのあるパズルを完遂し、その過程で巧妙な技術を学ぼう。
MAINMENU_TITLE_PANDORA_INFO;ドラフトモード。新たなカードを試し、唯一無二のデッキを作り上げよう。できるだけ長く生き残れ！
MAINMENU_TITLE_BATTLE_INFO;クラシックフェアリア。カジュアルまたはランクの対人戦に参加するか、AIを相手に練習できます。
MOUSE_HOME_LINKS_INFO;公式ブログからの重要なニュースを読むためには、ここをクリックしてください。
DEFAULT_BUTTON_TEXT;デフォルト
BACK_TO_WORLD_BOSSES;ワールドボスに戻る
BACK_TO_PUZZLES;パズルに戻る
BACK_TO_PANDORA;パンドラに戻る
BACK_TO_OVERSKY;オーバースカイに戻る
BACK_TO_MISSIONS;ミッションに戻る
BACK_TO_DRAGONS_LAIR;ドラゴンの巣に戻る
BACK_TO_BATTLE;バトルに戻る
LORE_BOOK_TOGGLE_TEXT;伝承の書
SHOW;見る
INGAME_OPPONENT_DISCOVERING_CARD;あなたの対戦相手がカードを発見しています
INGAME_ALLY_DISCOVERING_CARD;あなたの仲間がカードを発見しています
HIDE;隠す
GEMS_INFO_POPUP_DESCRIPTION;ジェムは、特別なイベントでのみ入手できるプロモーション通貨になりました。
GEMS_INFO_POPUP_TITLE;ジェムについて
SHORTCUT_TEXT_TOGGLE;トグル
SHORTCUT_TEXT_MODIFY_SLIDER;スライダーを変更
SHORTCUT_TEXT_CLOSE;閉める
SETTING_TEXT_LANGUAGE_TITLE;言語
SERVER_INFO_UNAVAILABLE;現在サーバーは利用できません
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} はチャットできません
YOUR_SUPPORT_ID;あなたのID：
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;エラーが発生したためゲームを再起動してください。
MOUSE_PROMPT_CLICK_TO_CLOSE;クリックして閉める
LOADING_HERDING_YAKS;ヤクの群れ
LOADING_DOWNLOADING_CONTENT;コンテンツをダウンロード中
LOADING_CHECKING_CONTENT;コンテンツを確認中
GAMEPAD_PROMPT_CLICK_TO_CLOSE;閉めるには {GAMEPAD_ACTION_CANCEL}.を押してください
GAMEPAD_PROMPT_CLICK_ANYWHERE;続行するには {GAMEPAD_ACTION_CONFIRM}.を押してください
GAMEPAD_HOME_LINKS_INFO;公式ブログからの重要なニュースを読むためには {GAMEPAD_ACTION_CONFIRM}.を押してください。
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;複数のフレンドがこのユーザー名を使用しています。代わりにフレンドリストのコンテキストメニューを使用してこの人とチャットしてください。
GO_TO_STORE_BUTTON_TEXT;ショップに行く
CHAT_ERROR_MESSAGE_REFUSED;メッセージは、その内容が原因で受信者のプラットフォームによって自動的に拒否されました。
CHAT_ERROR_SANITIZATION_ERROR;あなたのメッセージはその内容が理由で拒否されました。
ID_COPIED_TO_CLIPBOARD;IDをクリップボードにコピーしました。
SPECIAL_LADDER_MAPS_EVENT_TITLE;スペシャルラダーマップ
PLAYER_PLATFORM_XBOX_LIVE;エックスボックスライブ
PLAYER_PLATFORM_PS4;プレーステーション４
PLAYER_PLATFORM_SWITCH;スイッチ
PLAYER_UNKNOWN_USER_NAME;不明プレイヤー
PLAYER;プレイヤー
NOT_ENOUGH_COINS;シャードが足りないようです。
NOT_ENOUGH_GEMS;ジェムが足りないようです。
LADDER_RANKED_BUTTON;ランク
LADDER_PANDORA_BUTTON;パンドラ
LADDER_ARENA_DESCRIPTION;パンドラポイント順 トップ64プレイヤー
LADDER_RANKED_DESCRIPTION;ELO順 ゴッドランクプレイヤー
HOME_LADDER_BUTTON_TEXT;ラダー
COSMETIC_ITEM_NOT_OWNED;あなたはこの装飾品アイテムがありません
SETTING_BUTTON_TEXT_CHANGE_PROFILE;プロフィールを変更する
DOWNLOADED;ダウンロード済
PROMPT_LANGUAGE_CHANGED_PROMPT_SIGNOUT;ゲームで使用する言語を変更しました。サインアウトします
