1.cardName;Chlapec z farmy
324.cardName;Zuřivý jak
324.cardText;{haste}
325.cardName;Trnová bludička
325.cardText;Kdykoliv vytvoříte {green}, získá tato bytost +1/+0.
328.cardName;Ostregoth, ruka Zapomnění
328.cardText;{flying}, {haste}, {charge|13}\nStudny faerie jsou prázdné.
329.cardName;Bezohledný bandita
330.cardName;Krutý jezdec
331.cardName;Moudrost
331.cardText;Líznete si 2 karty.
332.cardName;Léčivá modlitba
332.cardText;Získáte 3 body života.
333.cardName;Já nehratelná
333.cardText;Nemůžete mě zahrát.
334.cardName;Větší moudrost
334.cardText;Líznete si PĚT karet.
335.cardName;Povstalecký vrhač
335.cardText;{gift} - Udělí vašemu protivníku 2 poškození.
336.cardName;Duch Nexusu
336.cardText;{last_words} - Sníží život svého pána na 1
337.cardName;Božská bouře
337.cardText;Udělí 10 poškození VŠEM vašim směšným bytostem.
338.cardName;Síla přílivu
338.cardText;Posune pevninu.
339.cardName;Ženoucí se vítr
339.cardText;Posune spojeneckou bytost.
340.cardName;Sylandský válečník
342.cardName;Kojin, plamen boží
342.cardText;{divine}\nZatímco je Kojin ve hře, udržuje svého pána Pyrhose v klidu a pokoji.\n{production} - Kojin ztratí -0/-1.
350.cardName;Tři přání
350.cardText;Vyléčíte si 3 životy. Zkopírujete 3 vrchní karty ze soupeřova balíčku. Každá taková karta stojí o {faeria|1} a je {wild}. Nelze si přát mít více přání.
351.cardName;Povstalecký kluzák
351.cardText;{flying}, {dash|2}\nNemůže sklízet faerii.
352.cardName;Třpyt, říšská vzducholoď
352.cardText;{flying}, {dash|3}\nCena Třpytu se rovná vašemu životu.\n{gift} - Získáte 1 život za každou kartu ve své ruce.
353.cardName;Zakázaná knihovna
353.cardText;{production} - Líznete si kartu, získáte {faeria|1} a budou vám udělena 2 poškození.
354.cardName;Plenitel snů
354.cardText;{dash|3}\n{gift} - Nastaví život boha na 10.
355.cardName;Krvelačná kodama
355.cardText;{jump}\nNeumí sklízet faerii.\nVylečte si 5 životů, kdykoliv tato bytost zaútočí na boha.
356.cardName;Lovec bohů
356.cardText;{jump}\nMůže útočit jen na bohy.\nNemůže sklízet faerii.
357.cardName;Krvavá píseň
357.cardText;Čtyřikrát sníží cenu náhodné karty ve vaší ruce o {faeria|2}. Udělí vám 4 poškození.
358.cardName;Pekelný oheň
358.cardText;Náhodně rozdělí 9 poškození mezi nepřátele.
359.cardName;Soudný den
359.cardText;Nastaví vaši faerii na {faeria|0}. Zkrátí váš život na polovinu (zaokrouhleno dolů). Zničí VŠECHNY bytosti a budovy. Ukončí tah.
360.cardName;Otravná havěť
360.cardText;{flying}\nNemůže sklízet faerii.\n{last_words} - Ztratíte 2 životy a tato bytost se znovu vyvolá na náhodném místě.
361.cardName;Dlouhorohý jak
361.cardText;{last_words} - Další bytost, co si líznete, získá útok rovný útoku této bytosti.
362.cardName;Čas Legend
362.cardText;Líznete Legendu, která je ve vašem balíčku nejvýše. Pokud takovou v balíčku nemáte, přidá do vaší ruky jednu náhodnou, která bude {wild}.
363.cardName;Tritonský trenér
363.cardText;{jump}\n{gift} - Další bytost s vlastností {jump}, kterou vyvoláte, získá +1/+1.
364.cardName;Hlas pravdy
364.cardText;{gift} - Můžete obnovit bytosti její původní útok a život.
365.cardName;Posel války
365.cardText;{combat} - Další bytost se schopností {combat}, kterou přivoláte, získá +1/+1.
366.cardName;Průvodce mistrálu
366.cardText;{flying}\nSpojenecké bytosti přilehlé k této získají vlastnosti {dash|2} a {flying}.
367.cardName;Božský ochránce
367.cardText;{divine}\nKdyž by vám mělo být uděleno smrtelné poškození, zabrání mu a zničí místo toho tuto bytost.
368.cardName;Císařův příkaz
368.cardText;Zvolené(mu):\n- bytosti: ubere -2/-1\n- budově: udělí 3 poškození.\n- bohu: přidá 4 životy.
369.cardName;Iluze vznešenosti
369.cardText;{charge|2}\nKdykoliv přivoláte bytost, která stojí {faeria|1} nebo méně, získá její útok a život (zatímco je ve vašem balíčku nebo ruce).
370.cardName;Stopař z hlubin lesa
370.cardText;{gift} - Může zaútočit na libovolnou nepřátelskou bytost.
371.cardName;Krogova večeře
371.cardText;Váš Krog stojí o {faeria|7} méně. Když jej vyvoláte, zničte tuto bytost.\n{gift} - Pokud Krog zemřel nebo jej máte v balíčku, líznete si jej.
372.cardName;Ionin úsměv
372.cardText;Líznete dvě bytosti s vlastností {flying}, které jsou ve vašem balíčku nejvýše.
400.cardName;Střep pandory
401.cardName;Pandora se probouzí!
401.cardText;Pandora se otevírá, oba hráči obdrží <b>poklad</b>!
402.cardName;Poklad nalezen!
402.cardText;Pandora se otevírá, oba hráči obdrží <b>poklad</b>!\nLíznete si kartu.
403.cardName;Temný krystal
403.cardText;Vysajete 4 životy z vašeho protivníka, udělí 3 poškození všem nepřátelským jednotkám a líznete si 2 karty.
404.cardName;Válečný roh jaků
404.cardText;Vyvolá tři <b>Rozhněvané stepní jaky</b> (2/4) a přidá jim vlastnost {haste}.
405.cardName;Hvězdná zbraň
405.cardText;{flying}\n{gift} - Zničí všechny přilehlé bytosti, budovy a pevniny.
406.cardName;Okarína
406.cardText;Po tomto tahu hrajte ještě jednou.
407.cardName;Džinova lampa
407.cardText;{options|Přidat do vaší ruky 3 náhodné zelené karty. Získané karty budou stát o {faeria|3} méně|Přidat do vaší ruky 3 náhodné modré karty. Získané karty budou stát o {faeria|3} méně|Přidat do vaší ruky 3 náhodné červené karty. Získané karty budou stát o {faeria|3} méně|Přidat do vaší ruky 3 náhodné žluté karty. Získané karty budou stát o {faeria|3} méně}\nVyberte barvu. Přidá do vaší ruky 3 náhodné karty té barvy. Získané karty stojí o {faeria|3} méně.
408.cardName;Urna Gabrie
408.cardText;Líznete si 2 karty a získáte {faeria|2}.
409.cardName;Ionino zrcadlo
409.cardText;Přidá dvě kopie posledního <b>pokladu</b>, který váš protivník zahrál.
410.cardName;Golem z krvavých skal
410.cardText;{production} - Doplňte studny faerie.\nKdykoliv je sklizena faerie, udělí 1 poškození nepříteli.
411.cardName;Kalich z paláce
411.cardText;Náhodně mezi spojeneckými bytostmi rozdělí +6/+6.
412.cardName;Eredonův buben
412.cardText;Přidá všem vašim bytostem +2/+2, ať jsou kdekoliv.
413.cardName;Stroj na mraky
413.cardText;Přátelské bytosti mají +1/+0 a vlastnosti {flying} a {jump}.
414.cardName;Prsten nadvlády
414.cardText;{options|Získat vládu na pevninou a přetvořit ji v {green}. |Získat vládu na pevninou a přetvořit ji v {blue}.|Získat vládu na pevninou a přetvořit ji v {red}.|Získat vládu na pevninou a přetvořit ji v {yellow}.}\nZískáte vládu nad pevninou a přetvoříte ji na barvu vašeho výběru.
415.cardName;Slza světa
415.cardText;Přetvoří bytost, co tento tah zaútočila na boha, na <b>Polykače nebes</b> (10/10) se schopností {flying}.
416.cardName;Mechanický jak
416.cardText;{dash|2}
417.cardName;Automaton rovnodennosti
417.cardText;{gift} - Vylečte si 6 životů.\n{last_words} - Udělí 6 poškození vašemu nepříteli.
418.cardName;Magdina růže
418.cardText;Získáte vládu nad nepřátelskou bytostí.
419.cardName;Aurořina konvice na čaj
419.cardText;Změní všechny spojenecké bytosti na 6/6.
420.cardName;Kámen poctivého bohatství
420.cardText;Přidá do vašeho balíčku 3 náhodné <b>poklady</b>.
421.cardName;Tajemství síly
421.cardText;Přidá zvolené bytosti +4/+4 a vlastnosti {flying} a {charge|3}.
422.cardName;Prázdný ochránce
422.cardText;{gift} - Zničí váš balíček.
423.cardName;Krystalový drak
423.cardText;{flying}, {charge|3}
424.cardName;Rubín vzplanutí
424.cardText;{options|Udělit 3 poškození.|Udělit 3 poškození všemu.}\n- Udělí 3 poškození.\n- Udělí 3 poškození všemu.
425.cardName;Kladivo zkázy
425.cardText;Udělí 5 poškození. Přidá <b>Kladivo zkázy</b> do vašeho balíčku.
426.cardName;Zeměohnivý otřes
426.cardText;{gift} - Udělí 2 poškození všem nepřátelům a za každého takto zničeného získá +2/+2.
427.cardName;Touha smrti
427.cardText;Zničí bytost. Její majitel získá {faeria|1} rovnou její ceně a lízne si 2 karty.
428.cardName;Blesk v láhvi
428.cardText;Udělí 6 poškození bytosti a 3 poškození všem přilehlým nepřátelům.
429.cardName;Tančící čepel
429.cardText;{flying}, {jump}\nNa konci vašeho tahu udělí 3 poškození všem přilehlým nepřátelům.
430.cardName;Kosa zkázy
430.cardText;Zničí bytost. Přivolá na jejím místě <b>Vraždící Stín</b> (6/1).
431.cardName;Vyzdobená straka
431.cardText;{flying}, {haste}\nPřidá do vaší ruky náhodný <b>Poklad</b>, kdykoliv zaútočí na boha.
432.cardName;Kolo chaosu
432.cardText;{options|Zničit 2 neobsazené pevniny|Zničit bytost s útokem 5 nebo méně.|Získat 7 životů.}\n- Zničí 2 neobsazené pevniny.\n- Zničí bytost s útokem 5 nebo méně.\n- Získáte 7 životů.
433.cardName;Ulanin medailonek
433.cardText;Zvolte spojeneckou bytost. Všechny vaše zbylé bytosti se stanou její kopií.
500.cardName;Opičí génius
500.cardText;{taunt}\n{gift} - V soupeřově příštím tahu získá +2/+2 pokaždé, když nepřátelská bytost sklidí faerii.
501.cardName;Neohrožený průzkumník
501.cardText;{gift} - Přidá kartu <b>Průzkum</b> do ruky každého hráče.
502.cardName;Krystalová květina
502.cardText;{gift} - {swallow} bytost.\nNa konci každého vašeho tahu udělí této budově 1 poškození.
503.cardName;Jakapult
503.cardText;{ranged_attack}\nKdykoliv zaútočí, vyvolejte na náhodném místě vedle cíle <b>Zuřivého jaka</b> (2/2).
504.cardName;Goki, přátelský horník
504.cardText;{gift} - Přidá náhodný <b>Poklad</b> do ruky vašeho spojence.
505.cardName;Mobie, nebeská velryba
505.cardText;{flying}, {charge|3}\nNemůže sklízet Faerii.\n{gift} - {swallow} bytost.
506.cardName;Nafukovací ryba
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} přátelskou bytost. Pokud to nejde, ihned zemře.
507.cardName;Císař Kaios
507.cardText;{production} - Ubere všem nepřátelským bytostem -1/-0. Poté zničí všechny nepřátelské bytosti s útokem 0.
508.cardName;Semínko ráje
508.cardText;{flying}, {dash|1}\n{gift} - {options|Když tato bytost sklízí nad oceánem, zemře a změní se v {green}|Když tato bytost sklízí nad oceánem, zemře a změní se v {blue}|Když tato bytost sklízí nad oceánem, zemře a změní se v {red}|Když tato bytost sklízí nad oceánem, zemře a změní se v {yellow}}\nKdyž tato bytost sklízí faerii, zatímco stojí na volném poli, zemře a změní se ve vybraný typ pevniny.\n
509.cardName;Strom Nesmrtelna
509.cardText;{production} - Získáte 7 životů.\nPřidá náhodné bytosti ve vaší ruce +7/+7.
510.cardName;Rakoanský dar
510.cardText;Zvolená bytost získá +1/+1 za každou přátelskou bytost ve hře.
511.cardName;Zvědavý biomant
511.cardText;{gift} - Líznete si ze svého balíčku 1 bytost (ne modrou) za každou nepřátelskou bytost ve hře.
512.cardName;Fugoro, obchodník se zázraky
512.cardText;{jump}\n{gift} - {options|Líznete si <b>Urnu Gabrie</b>|Líznete si <b>Krystalového draka</b>|Líznete si <b>Ulanin medailonek</b>}\n- Líznout <b>Urnu Gabrie</b>\n- Líznout <b>Krystalového draka</b>\n- Líznout <b>Ulanin medailonek</b>
513.cardName;Skákající fugu
513.cardText;{jump}\n{gift} - Má +3/+3, pokud ovládáte alespoň 8 speciálních pevnin.
514.cardName;Cestovní hák
514.cardText;Zvolená bytost získá pro tento tah schopnost {ranged_attack}. Poté, co zaútočí, ji smíte přesunout na pole přilehlé k cíli.
515.cardName;Rakoanský buřič
515.cardText;{last_words} - Získejte {faeria|1} rovnou útoku této bytosti.
516.cardName;CAP-10, pirát nebes
516.cardText;{combat} - Líznete si z balíčku kartu <b>Dar z oceli</b>. Pokud v něm žádná není, jednu do něho zamíchejte.
517.cardName;Bleskový losos
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nNemůže sklízet faerii.\nNa konci tahu zničte tuto bytost a lízněte si kartu.
518.cardName;Jezdec na mantě
518.cardText;{flying}\n{last_words} - Pokid tato bytost zemře, vyvolejte na jejím místě 2/2 <b>Mantu</b> se schopnostmi {flying} a {charge|2} .
519.cardName;Istanu, večné světlo
519.cardText;{flying}, {charge|3}\n{last_words} - Z náhodné přátelské bytosti se stane nová <b>Istanu</b>.
520.cardName;Měňavice
520.cardText;{options|Získá +2/+0.|Získá +0/+2.|Získá schopnost {jump}.|Získá schoponost {taunt}.}, twice:\n- Získá +2/+0\n- Získá +0/+2\n- Získá schopnost {jump}\n- Získá schopnost {taunt}
521.cardName;Vrhač žab
521.cardText;{gift} - Zaútočí na libovolnou nepřátelskou bytost. Na náhodném místě vedle cíle vyvolá <b>Žábu</b> (2/2) se schopností {jump}.
522.cardName;Cesta do ráje
522.cardText;{options|Vytvoří {green}|Vytvoří {blue}|Vytvoří {red}|Vytvoří {yellow}} - Vytvoří speciální pevninu.\nPrvní bytost, která na ní bude vyvolána v tomto tahu, získá +2/+0.
523.cardName;Smaragdový salamandr
523.cardText;{gift} - Udělí 2 poškození přilehlým nepřátelským bytostem. Dá přilehlým přátelským bytostem +2/+2.
524.cardName;Nebeský mečoun
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Hejno karasů
525.cardText;{flying}\nMůže být vyvoláno vedle spojeneckých bytostí.\n{gift} - Vyvolá další <b>Hejno karasů</b> za každé spojenecké, které v této hře zemřelo.
526.cardName;Ochránce snů
526.cardText;{taunt}\n{gift} - Sníží cenu všech karet ve vaší ruce o {faeria|1}, poté je zamíchá do vašeho balíčku a doberete si zpět stejný počet nových.
527.cardName;Zdobná želva
527.cardText;{gift} - Líznete si kartu a její kopii. Stojí o {faeria|2} méně.
528.cardName;Mantí let
528.cardText;Když si líznete tuto kartu, získáte její kopii.\nVyvolejte <b>Mantu</b> (2/2) se schopnostmi {flying} a {charge|2}.
529.cardName;Zánebská tažná loď
529.cardText;{flying}, {dash|1}\nKdykoliv by měla opustit pevninu, vezme ji tato bytost s sebou.
530.cardName;Rakoanský náčelník
530.cardText;{dash|1}\nPřilehlé spojenecké bytosti mají +1/+0.
531.cardName;Nebeská sasanka
531.cardText;{flying}, {taunt}\nMůže být vyvolána kdekoliv.
532.cardName;Ulani, šamanka ze Zánebí
532.cardText;{gift} - Líznete si zelenou, modrou, červenou a žlutou kartu ze svého balíčku.
549.cardName;Drtič reality
549.cardText;{flying}\n{production} - Získá +0/+2.\nPokud má 10 či více životů, <b>hra spadne</b>.
550.cardName;Krystalová květina
550.cardText;Uvnitř je vězeň.
551.cardName;Krystalová květina
551.cardText;Uvnitř je vězeň.
552.cardName;Krystalová květina
552.cardText;Uvnitř je vězeň.
553.cardName;Létající manta
553.cardText;{flying}, {charge|2}
555.cardName;Zuřivý jak
556.cardName;Jsi vítěz!
556.cardText;Udělí 100 poškození vašemu nepříteli.
557.cardName;Císař Kaios Velký
557.cardText;{production} - Všem nepřátelským bytostem ubere -1/-0. Poté zničí všechny bytosti s útokem 0.
601.cardName;Laya, Paní smutku
601.cardText;{deathtouch}\n{last_words} - Vyvolá na Layině místě <b>Třpytivou sochu</b>.
602.cardName;Říšský drakonýr
602.cardText;{flying}, {charge|2}\n{corrupt} - Získá +2/+2.
603.cardName;Vyšinutá opice
603.cardText;{gift} - Vyprázdní všechny studny faerie a za každou získá +1/+1.
604.cardName;Říšský voják
604.cardText;{corrupt} - Ovládne toto území.
605.cardName;Zbloudilý průzkumník
605.cardText;{corrupt} - Líznete si kartu a získáte {faeria|1}.
606.cardName;Rytíř morové čepele
606.cardText;Poškození udělené této bytosti je zároveň uděleno vám.
607.cardName;Stínová hedváběnka
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - Líznete si ze svého balíčku 2 události.
608.cardName;Kaios, Zkažená mysl
608.cardText;{divine}\nKaiosův útok se vždy rovná jeho životu.\n{corrupt} - Vysaje 1 život ze VŠEHO.
609.cardName;Rybí přeháňka
609.cardText;Vyvolá na náhodných polích 6 <b>Rubínových rybek</b>. Každá rybka, která dopadne na pevninu, udělí 1 poškození přilehlým nepřátelům.
610.cardName;Létající piraňa
610.cardText;{flying}\nPokud zemře přilehlá bytost, získá tato {deathtouch} a {jump}.
611.cardName;Zrůdná hydra
611.cardText;{corrupt} - Vyvolá na všech přilehlých polích <b>Hlavy hydry</b> (2/1 s vlastností {haste}). Na konci tahu zemřou.
612.cardName;Posedlá vrba
612.cardText;{taunt}
613.cardName;Rozpadající se kanec
613.cardText;{dash|1}\n{corrupt} - Líznete si bytost s alespoň 5 životy, která je ve vašem balíčku nejvýše, a získá +2/+2.
614.cardName;Nekomata
614.cardText;{taunt}\n{corrupt} - Zdvojnásobí útok této bytosti.
615.cardName;Baldurion, Zlý mistr kovář
615.cardText;{protection}\n{corrupt} - Přidá do vaší ruky <B>Kladivo zkázy</b>.
616.cardName;Vzpurný skřítek
616.cardText;{last_words} - Udělí vám 2 poškození.
617.cardName;Spoušť
617.cardText;Udělí 9 poškození nepřátelské bytosti nebo budově.
618.cardName;Démonický losos
618.cardText;{haste}, {flying}, {charge|2}\nNemůže sklízet faerii.\nKdykoliv zaútočí na boha, získá +1/+1.
619.cardName;Krádež ducha
619.cardText;Vysajete 1 život z nepřátelské bytosti. Pokud ji to zabije, přidá do vaší ruky její kopii. Tato kopie je {wild}.
620.cardName;Solem
620.cardText;{flying}, {divine}\n{corrupt} - Zničí studnu.
622.cardName;Matka všech jaků
622.cardText;{gift} - Na přilehlých místech vyvolá 2 <b>Jačí stráže</b> (4/4 , vlastnosti {taunt} a {flying}).\nStojí o {faeria|1} méně za každého spojeneckého jaka, který za tuto hru zemřel.
623.cardName;Rakoanský šampion
623.cardText;{dash|2}\n{gift} - Získá +1/+1 za každého dalšího spojeneckého Rakoana ve hře.
624.cardName;Osiřelé fugu
624.cardText;Má +2/+0 a vlastnost {jump}, pokud ovládáte další šelmu.
625.cardName;Rapala, cáklá ryba
625.cardText;{aquatic}\n{gift} - Zaplní soupeřovu ruku <b>Rubínovými rybkami</b>. Hňup jeden.
626.cardName;Safírový jak
626.cardText;Kdykoliv spojenecký jak sklidí faerii z nepřátelské studny, přidá mu +2/+2.
627.cardName;Uštvat
627.cardText;Přidá spojenecké šelmě +2/+0. Ta poté zaútočí na libovolnou nepřátelskou bytost.
628.cardName;Smaragdový jak
628.cardText;{gift} - Vyvolá <b>Jačátko</b> (1/1 s vlastnostmi {taunt} a <b>Nemůže sklízet faerii</b>) na vámi ovládané prérii.
629.cardName;Majinata, duch Nesmrtelna
629.cardText;{protection}, {divine}\n{gift} - Přátelská bytost spolkne Majinatu a získá +5/+5, vlastnosti {flying} a {charge|2}.
630.cardName;Magmatický axolotl
640.cardName;Rakoakoptéra
640.cardText;{flying}, {dash|1}\n{gift} - Udělí 2 poškození přilehlým nepřátelským bytostem.
641.cardName;Rubínový jak
641.cardText;Kdykoliv spojenecký jak utrpí poškození, je 1 poškození uděleno protihráči.
642.cardName;Dračí duch
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Perutýn
643.cardText;{flying}, {deathtouch}
644.cardName;Topazový jak
644.cardText;Lze jej vyvolat vedle spojeneckých jaků. V takovém případě získá vlastnost {haste}.
645.cardName;Rakoanský válečný stoj
645.cardText;{charge|2}\n{gift} - Pokud chcete, {swallow} spojeneckého rakoana a získá +2/+0.
646.cardName;Rakoanský kanón
646.cardText;{gift} - Můžete obětovat jiného Rakoana, abyste udělili 3 poškození nepřátelské bytosti.
647.cardName;Rakoanský kejklíř
647.cardText;{gift} - Můžete přeměnit jiného přátelského rakoana na <b>Drakóna z duny</b> (4/4, {flying}, {charge|2} ) do začátku vašeho příštího tahu.
648.cardName;Rakoanské štíty
648.cardText;{last_words} - Na místě, kde zemřou, vyvolají Rakoana (1/1).
649.cardName;Rakoanský vojevůdce
649.cardText;{combat} - Přidá náhodnému Rakoanovi ve vaší ruce +1/+1.
650.cardName;Rakoanský verbíř
650.cardText;{gift} - Přidá do vaší ruky Rakoana (1/1). Stojí {faeria|0}.
653.cardName;Věž kleteb
653.cardText;{activate} - Ubere zvolené bytosti -1/-1. Udělí 1 poškození této budově.
654.cardName;Shozen, Požírač nebes
654.cardText;{flying}, {charge|3}\nPoprvé, kdy by Shozen zničil v souboji bytost, ji namísto toho spolkne a převezme nad ní kontrolu.
655.cardName;Říšská základna
655.cardText;Všechny spojenecké neutrální bytosti mají +1/+0.
656.cardName;Smrtící salva
656.cardText;Udělí bytosti 2 poškození. 5, pokud má tato bytost vlastnost {flying}.
658.cardName;Třpyt, postrach Zánebí
658.cardText;{flying}\n{gift} - V příštím tahu se nepřátelské bytosti nemohou hýbat.
659.cardName;Těkavý hroch
659.cardText;{combat} - Udělí 2 poškození všem přilehlým nepřátelům.
660.cardName;Krotitel šelem
660.cardText;{gift} - Sníží cenu náhodné šelmy ve vaší ruce o {faeria|5}.
661.cardName;Pašerácký kobold
661.cardText;{corrupt} - Vyvolá na náhodném přilehlém místě Seiferovo krmivo (4/3).
662.cardName;Hněv Ignův
662.cardText;Náhodně rozdělí {dynamic_number|0|0} poškození mezi nepřátele.\nDokud je ve vaší ruce nebo v balíčku, zvýší se toto číslo o jedna pokaždé, když si z kola moci zvolíte +{faeria|1}.
663.cardName;Uctívač Ignuse
663.cardText;{gift} - Smíte znovu použít kolo moci.\n{corrupt} - Smíte znovu použít kolo moci.
664.cardName;Topič
664.cardText;Kdykoliv si v kole moci zvolíte +{faeria|1}, získá Topič +1/+1.
665.cardName;Havěť ze Zkáznebí
665.cardText;{gift} - Zaútočí na vašeho protihráče.
666.cardName;Odporná zbobtnalice
666.cardText;{flying}\n{corrupt} - Přidá do vaší ruky <b>Odpornou zbobtnalici</b>.
667.cardName;Morový přízrak
667.cardText;{charge|2}\n{production} - Získá +1/+1, pokud má váš nepřítel v ruce 4 nebo více karet.
668.cardName;Přízračný prášil
668.cardText;{corrupt} - Zvýší cenu všech karet v soupeřově ruce o {faeria|1}.
669.cardName;Sup ze Zkáznebí
669.cardText;{flying}\n{gift} - Zničí bytost s 1 životem a vysaje její útok.
671.cardName;Hromový úhoř
671.cardText;{flying}\n{gift} - Smíte bytosti udělit 2 poškození. Pokud je ona bytost na oceánu, udělí jí 4.
676.cardName;Toulavý jak
676.cardText;{gift} - Vytvoří prérii.\n{dash|1}
677.cardName;Pasáček jaků
677.cardText;{gift} - Dvěma spojeneckým jakům přidá až do konce tahu +2/+0 a vlastnost {charge|2}.
678.cardName;Zánebský jak
678.cardText;{flying}\nPokud ovládáte 6 prérií, má +2/+2.
679.cardName;Nafouklá ropucha
679.cardText;{jump}\nVstoupí do hry se spolknutou nepřátelskou <b>Žábou</b> (2/2).
680.cardName;Přízrak odrazu
680.cardText;{gift} - Přemění nepřátelskou bytost na <b>uzardo karzířP</b> (5/3).
685.cardName;Kukla
685.cardText;{gift} - {swallow} spojeneckou bytost.\n{production} - Spolknutá bytost získá +1/+1.\n{activate} - Zničí tuto budovu.
686.cardName;Vyslanec zeleně
686.cardText;{last_words} - Všem bytostem ve vaší ruce přidá +1/+1.
692.cardName;Spasitel slabých
692.cardText;{gift} - Přidá jiné přátelské bytosti, jejíž útok je přesně 1, +2/+2 a vlastnost {divine}.
694.cardName;Hlava hydry
694.cardText;{haste}\nNa konci tahu zemře.
695.cardName;Jačí stráž
695.cardText;{flying}, {taunt}
696.cardName;Jačátko
696.cardText;{taunt}\nNemůže sklízet faerii.
697.cardName;Drakón z duny
697.cardText;{charge|2}, {flying}\nNemůže sklízet faerii.
698.cardName;uzardo karzířP
698.cardText;{gift} - Přemění jinou bytost na <b>Přízrak odrazu</b> (3/5).
699.cardName;Rakoan
9991.cardName;Spěchej
9992.cardName;Dej faerii
9992.cardText;Na náhodných místech vytvoří pevninu od každé barvy a získáte {faeria|100}.
9993.cardName;Zemři!
9993.cardText;Udělí 100 poškození.
9994.cardName;Hora
9995.cardName;Jezero
9996.cardName;Poušť
9997.cardName;Les
9998.cardName;Prérie
9999.cardName;Orb
682.cardName;Pán přílivu
682.cardText;{jump}\nMůže být vyvolán kdekoliv vedle spojeneckých tritónů. V takovém případě záská +1/+1.
670.cardName;Posedlá schránka
670.cardText;Pokud má na konci vašeho tahu váš protivník v ruce 4 či více karet, líznete si 1 kartu a vysajete ze svého protivníka 1 život.
675.cardName;Lamorožec
675.cardText;{combat} - Každý hráč si lízne kartu a získá 2 životy.
681.cardName;Tritónský taktik
681.cardText;{jump}\n{gift} - Za každého přilehlého tritóna získá +1/+0.
683.cardName;Pojízdná hostina
683.cardText;{dash|1}\nNa konci tahu tuto bytost spolkne náhodná přilehlá spojenecká bytost a získá +1/+1.
688.cardName;Kvetoucí kodama
688.cardText;{gift} - Vytvoří {green}{green}{green} na náhodných místech.
689.cardName;Zephyrský lišák
689.cardText;Kdykoliv tato bytost vstoupí do {green}, můžete ji teleportovat do {green}, který ovládáte.
691.cardName;Oslava vítězství
691.cardText;Až do konce hry všichni hráči získají v každém tahu {faeria|1} navíc.
9989.cardName;Získat územní nadvládu
9990.cardName;Získat nadvládu
657.cardText;{flying}\nKarty ve vaší ruce mají vlastnost {wild}.\n{gift} - Přidá do vaší ruky náhodného člena gaganské posádky. Ten bude stát {faeria|0}.
657.cardName;Gagana, Duhová ptakoloď
652.cardText;Kdykoliv bytost pod vaší nadvládou aktivuje vlastnost {corrupt}, vysajete 2 body života ze svého protivníka.
652.cardName;Zotročený kněží
9988.cardText;Přidá bytosti vlastnost {haste}.
9988.cardName;Výpad!
9987.cardText;{activate} - Líznete si kartu.
9987.cardName;Věž moudrosti
690.cardText;Kdykoliv Dwordia vstoupí do {green}, můžete jej teleportovat do {green}, který ovládáte. V takovém případě získá +1/+1.
690.cardName;Dwordia, náčelník kmene blyštivých lišek
687.cardText;{gift} - Další bytosti, kterou si líznete, přidá +2/+4.
687.cardName;Kněží Nesmrtelna
684.cardText;Tato bytost může sklízet hned po zahrání.\n{gift} - Můžete posunout pevninou, kde tato bytost stojí.
684.cardName;Korálový pulec
674.cardText;{gift} - Pokud je Ulani vaší jedinou bytostí, získá {taunt}, {protection} a {divine}.
674.cardName;Ulani, ochránkyně Zánebí
673.cardText;{gift} - Pokud již v balíčku nemáte žádné bytosti, zamíchá do něj <b>Třpyt, zánebskou vzducholoď</b> a 10 náhodných neutrálních bytostí. Všichni získají +2/+2.
673.cardName;Banon, kapitán Třpytu
9986.cardText;Zahodí jí karty z ruky
9986.cardName;Ukázat ruku AI
800.cardText;Líznete si kartu.\nPo zahrání tří <b>Map pokladů</b> namísto toho {discover} <b>Gaganský poklad</b>.\nPočet zahraných map: {dynamic_number|0|0}.
800.cardName;Mapa pokladů
749.cardText;Píp píp.
749.cardName;Mech
746.cardText;Píp cvak.
746.cardName;Mech
745.cardText;{taunt}, {divine}
745.cardName;Strážce
744.cardText;{taunt}, {divine}
744.cardName;Strážce
743.cardText;Vyvolá dva Strážce (5/5) s vlastnostmi {taunt} a {divine}.
743.cardName;Klíč Strážců
742.cardText;{discover} bytost, která získá +6/+6 a bude {wild}.
742.cardName;Klíč obrů
741.cardText;{options|{discover} zelenou bytost.|{discover} modrou bytost.|{discover} červenou bytost.|{discover} žlutou bytost.}\nZvolte si barvu. {discover} bytost dané barvy. Bude {wild} a bude o {faeria|3} levnější.
741.cardName;Klíč živlů
740.cardText;{divine},{flying},{dash|5}\nMusí být vyvoláno vedle spojenecké bytosti.
740.cardName;Kopí Strážců
739.cardText;Karty ve vaší ruce jsou o {faeria|1} levnější.
739.cardName;Zpodobnění poddajnosti
738.cardText;{flying}, {dash|5}\n{gift} - Naplní vaši ruku <b>Záblesky větru</b>. Každá z těchto karet bude {wild}.
738.cardName;Kouzelný koberec
737.cardText;{gift} - {swallow} spojeneckou bytost.\n{production} - Spolknutá bytost získá +4/+4.\n{activate} - Zničí tuto budovu.
737.cardName;Kuklokam
