ACCEPT;接受
REROLL;重抽
RESOLUTION;解析度：{0}
RUSH_TUTORIAL;快攻開局
SAVE;保存
SEARCH_MODE_CASUAL_BUTTON_TEXT;休閒模式
SEARCH_MODE_RANKED_BUTTON_TEXT;排名模式
SEARCH_TIME_ARENA_MODE_NAME;潘朵拉
SEARCH_TIME_CONSTRUCTED_MODE_NAME;構築對戰
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;到這裡查看最新的消息<u><link={0}>連結</link></u>
SERVER_INFO_MAINTENANCE_SCHEDULED;伺服器將預定於{0}進行維護
SERVER_INFO_MAINTENANCE_IN_PROGRESS;我們的技術人員正在維護伺服器。伺服器預計於{0}後上線。
SERVER_INFO_NEW_VERSION_CHANGELOG;到這裡查看最新版本說明<u><link={0}>連結</link></u>
SERVER_INFO_SERVER_IS_DOWN;伺服器關閉中
SERVER_IP;Ip伺服器
SETTING_ANIMATED_BACKGROUND;背景動畫：
SETTING_BUTTON_TEXT_EXIT;離開
SETTING_BUTTON_TEXT_OPTIONS;選項
SETTING_BUTTON_TEXT_PAUSE;暫停
SETTING_MUTE_IN_BACKGROUND;背景靜音
SETTING_PERMANENT_DECK_HAND_INFO;永遠顯示牌組/手牌張數
SETTING_POWER_SAVING_MODE;省電模式
SETTING_TEXT_AUDIO_TITLE;聲音設定
SETTING_TEXT_GAMEPLAY_TITLE;遊戲設定
SETTING_TEXT_VIDEO_TITLE;影像設定
SETTING_TOGGLE_TEXT_MUTE_EMOTES;禁音表情
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;顯示地形數量
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;顯示表情
SETTING_WINDOWED;視窗化：
SET_RECRUITER_NAME;招募一個朋友並成為他的推薦人則你們都能在Faeria的旅途中獲得很棒的獎勵！\n更多訊息請參照<link=faeraia.com/recruit-your-friends>faeria.com/recruit-your-friends</link>。
SHOP;點擊打開一個寶箱
SHOP_ANNUITY_DAYS_LEFT;剩餘{0}天
SHOP_INPUT_FIELD_HINT_COUPON;輸入你的兌換序號
SIGN_IN;登入
SIGN_OUT;登出
SOLO_COMPLETED;任務完成！
SPECTATORS_CANNOT_PAUSE;觀戰者無法暫停遊戲
SPECTATOR_JOINED_GAME;{0}正在觀戰你的遊戲
SPECTATOR_LEFT_GAME;觀戰者{0}停止觀戰
STOP_SPECTATING;停止觀戰
SURRENDER;投降
TOPBAR_BUTTON_PLAY;遊戲開始
TUTORIAL_DECK_CREATED;這是你的新牌組！
TUTORIAL_DECK_CREATED_BACK;按後退鈕來選擇你的遊戲模式
UPDATE_VERSION_OUTDATED;你的客戶端需要更新。
UPDATE_VERSION_TIP_IOS;*如果需求版本尚未於應用程式商店上架，你得等它上架後才能進行遊戲
USER_NAME_WELCOME;歡迎來到Faeria！\n你要怎麼稱呼？
USE_THIS_SET;使用預設牌組
USE_TIMEBANK;使用庫存時間：
WELCOME_BUTTON_TEXT_ENTER_GAME;登入
WELCOME_BUTTON_TEXT_EXIT;退出
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;官方網站
WELCOME_BUTTON_TEXT_STEAM_LOGIN;點擊任何地方以登入
WELCOME_BUTTON_TEXT_START_AS_GUEST;以遊客身分進入
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;我已有帳號
WELCOME_INPUT_FIELD_HINT_PASSWORD;密碼
WELCOME_INPUT_FIELD_HINT_SERVER_IP;伺服器Ip
WELCOME_INPUT_FIELD_HINT_USERNAME;帳號名稱
WELCOME_USE_ANOTHER_ACCOUNT;登出
WINNER;勝利者
WORLD_BOSS_OBJECTIVE_PROGRESS;擊敗3個魔王 ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;解鎖冠軍神座
WORLD_BOSS_OBJECTIVE_TEXT2;升級您的冠軍神座
WORLD_BOSS_OBJECTIVE_TITLE;世界事件
WORLD_BOSS_REWARD;魔王獎勵
WORLD_LOCATION;位置
XP;{0}經驗
YOU_PLAY_FIRST;由你先手
YOU_PLAY_SECOND;你是後手
CARD_WAS_PROMOTED_AS_DECK_COVER;這張卡被選為牌組封面。
CURRENT_DECK_COVER;目前牌組封面
PROMOTE_DECK_COVER;選為牌組封面
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;設定為牌組封面
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;瀏覽紀錄篇章
LORE_BOOK_EXPLANATION_TEXT;蒐集知識碎片，探索Faeria歷史中那些傳說與神話。
LORE_PAGE_ARTISTS;<b>美術圖</b>{0}
LORE_PAGE_NOT_AVAILABLE;你必須至少到達等級{0}才能夠解鎖紀錄篇章！
CO_OP_LOBBY;合作大廳
LOBBY_CRUCIBLE_RULES_TITLE;碰撞規則
LOBBY_DECK_FORMAT;牌組格式：
LOBBY_DECK_FORMAT_CLASSIC;經典
LOBBY_DECK_FORMAT_CRUCIBLE;碰撞
LOBBY_MINUTES_PER_GAME;每場遊戲分鐘數：
LOBBY_SECONDS_PER_TURN;每回合秒數：
LORE_BOOK_EMPTY_SECTION;無相關紀錄
LORE_PAGE_NOT_YET_AVAILABLE;這個知識篇章尚未更新
LOBBY_GO_TO_COLLECTION;前往收藏
LOBBY_START_OVER;重來
PROMPT_LOBBY_BACK_CONFIRMATION;你將會讓所有讓回到大廳設定畫面。確定繼續？
PROMPT_LOBBY_START_OVER_CONFIRMATION;這將會重設大廳分數並解鎖設定。確定繼續？
REGISTER_YOUR_DECKS;登錄你的牌組！
TOURNAMENT_DECKS_REGISTERED;牌組登錄成功！
LORE_BOOK_UNAVAILABLE_TOOTIP;等級{0}時解鎖
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;為我們在Steam上打個分數
HOME_CREDITS_BUTTON_TEXT;製作團隊
PROMPT_FRIEND_CALLED;一封信已寄給被你遺忘的氂牛。\n你可以用你們間喜愛的氂牛頻道來提醒他─他只需要登入！
PROMPT_FRIENDS_CALLED;一封信已寄給{0}隻被你遺忘的氂牛。\n你可以用你們間喜愛的氂牛頻道來提醒他們─他們只需要登入！
FRIEND_CALL_SEND;發送
FRIEND_CALL_NO_ELIGIBLE;你已經向所有朋友打過招呼了！
FRIENDLIST_CALL_FRIEND;向老朋友打招呼！
MAINMENU_TITLE_PUZZLES;謎題
SETTING_CLEAR_CACHE;清除快取
CACHE_CLEARED;在你重啟遊戲後這些將會生效
CACHE_CLEAR_FAIL_PERMISSION;操作失敗，試著以系統管理員身分啟動Faeria。
CACHE_CLEAR_FAIL_IN_USE;操作失敗，檔案正在使用中─重啟你的機器並再試一次。
XP_WITH_NEXT_LEVEL;{0}/{1}經驗值
SET_COSMETICS;自訂裝飾
PLAY_MENU_SOLO_DRAGONS_LAIR;龍之巢穴
MARKET_ITEM_SPECIAL_PROMO;特別促銷
MARKET_ITEM_COMPLETE_YOUR_SET;集齊你的組合！
DRAGON_TODAYS_CHALLENGES;今日挑戰
DRAGON_SOLO_MISSION;單人任務
DRAGON_REWARD;龍之財寶
DRAGON_CO_OP_MISSION;合作任務
APPLY;應用
MOUSE_PROMPT_CLICK_ANYWHERE;點選任意位置繼續
PLAY_MENU_SOLO_WORLDBOSS_INFO;活用您的牌組搭配技藝，挑戰高難度的首領關卡。
PLAY_MENU_SOLO_STANDARD_INFO;在各種任務包裡學習Faeria的基礎知識。
PLAY_MENU_SOLO_OVERSKY_INFO;合作戰役！與好友或AI盟友並肩作戰。
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;每日挑戰！每日都可以挑戰擊殺新的巨龍。此處包含單人與合作關卡。
MAINMENU_TITLE_SOLO_INFO;在單人挑戰與合作關卡裡探索Faeria的世界！
MAINMENU_TITLE_PUZZLES_INFO;完成這些極具挑戰性的謎題關卡，並從中學習實用的對戰技巧。
MAINMENU_TITLE_PANDORA_INFO;抽卡模式。嘗試最新卡牌的威力，抽取並組成您的專屬牌組。請盡可能生存下去！
MAINMENU_TITLE_BATTLE_INFO;經典模式。在休閒或排名模式中與其他玩家對戰，或者來一場AI練習賽。
MOUSE_HOME_LINKS_INFO;點選此處可閱讀官方部落格中的重要資訊。
DEFAULT_BUTTON_TEXT;預設
BACK_TO_WORLD_BOSSES;返回世界首領
BACK_TO_PUZZLES;返回謎題
BACK_TO_PANDORA;返回番朵拉
BACK_TO_OVERSKY;返回蒼空
BACK_TO_MISSIONS;返回任務
BACK_TO_DRAGONS_LAIR;返回龍之巢穴
BACK_TO_BATTLE;返回戰役
LORE_BOOK_TOGGLE_TEXT;知識之書
SHOW;顯示
INGAME_OPPONENT_DISCOVERING_CARD;您的對手正在發現卡牌。
INGAME_ALLY_DISCOVERING_CARD;您的盟友正在發現卡牌。
HIDE;隱藏
GEMS_INFO_POPUP_DESCRIPTION;寶石是一種促銷性質的貨幣，您現在只能透過一些特殊活動來獲取寶石。
GEMS_INFO_POPUP_TITLE;寶石簡介
SHORTCUT_TEXT_TOGGLE;切換
SHORTCUT_TEXT_MODIFY_SLIDER;修改滑塊
SHORTCUT_TEXT_CLOSE;關閉
SETTING_TEXT_LANGUAGE_TITLE;語言
SERVER_INFO_UNAVAILABLE;伺服器當前不可用
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0}已被禁言
YOUR_SUPPORT_ID;您的ID：
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;發生問題，需要重新啟動遊戲
MOUSE_PROMPT_CLICK_TO_CLOSE;點選關閉
LOADING_HERDING_YAKS;管理氂牛
LOADING_DOWNLOADING_CONTENT;下載內容包
LOADING_CHECKING_CONTENT;查閱內容包
GAMEPAD_PROMPT_CLICK_TO_CLOSE;按下 {GAMEPAD_ACTION_CANCEL}關閉
GAMEPAD_PROMPT_CLICK_ANYWHERE;按下 {GAMEPAD_ACTION_CONFIRM}繼續
GAMEPAD_HOME_LINKS_INFO;按下 {GAMEPAD_ACTION_CONFIRM}，可閱讀官方部落格裡的重要資訊。
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;有多名好友正在使用此用戶名。請改用好友列表的上下文菜單與此好友聊天。
GO_TO_STORE_BUTTON_TEXT;前往商店
CHAT_ERROR_MESSAGE_REFUSED;您的消息由於內容不當而被收件人的平臺自動拒絕。
CHAT_ERROR_SANITIZATION_ERROR;您的消息由於內容不當而被拒絕。
ID_COPIED_TO_CLIPBOARD;ID已複製到剪貼簿。
SPECIAL_LADDER_MAPS_EVENT_TITLE;特殊排名圖
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;未知玩家
PLAYER;玩家
NOT_ENOUGH_COINS;您沒有足夠的碎片。
NOT_ENOUGH_GEMS;您沒有足夠的寶石。
LADDER_RANKED_BUTTON;排名
LADDER_PANDORA_BUTTON;潘朵拉
HOME_LADDER_BUTTON_TEXT;天梯排名
COSMETIC_ITEM_NOT_OWNED;您還沒有此裝飾道具。
