ACCEPT;Accepter
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Passer le didacticiel
PROMPT_STEAM_CONNECTION_REQUIRED;Connexion Steam requise. Veuillez lancer Faeria à partir de Steam.
PROMPT_SURRENDER_CONFIRMATION;Êtes-vous sûr de vouloir abandonner ?
PROMPT_TEXT_NO;Non
PROMPT_TEXT_OK;OK
PROMPT_TEXT_YES;Oui
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;Le premier deck que vous enregistrez est celui que vous devrez utiliser de votre première partie jusqu'à votre première défaite. Voulez-vous continuer ?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Quitter un salon de tournoi avant d'avoir joué toutes les parties restantes vous fera perdre ces parties. Voulez-vous vraiment quitter le salon ?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Voulez-vous vraiment utiliser ces decks ? Une fois votre inscription finalisée, vous ne pourrez plus les modifier.
PROMPT_TRANSACTION_FAILED;Échec de la transaction
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Passer
PROMPT_USER_NAME_TITLE_TEXT;Nom du joueur
PROMPT_VICTORY;Victoire !
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Continuer
PUBLIC_ARENA_GAME_SEARCH;Recherche
PUBLIC_GAME_SEARCH;Recherche
QUEST_HINT_WILD_COST;Nécessite ce nombre (total) de terrains spéciaux.
QUEST_HOW_TO_UNLOCK_LANE;Atteignez le niveau {0} pour débloquer cette ligne.
QUEST_LANE_ACT_NAME;Pack de missions
QUEST_LANE_COMPLETED;Ligne terminée !
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Elite
QUEST_LOCKED_NAME;Mission verrouillée
QUEST_OPPONENT_LEVEL;Niv. {0}
QUEST_PACK_COMPLETED;Pack de missions terminé
QUEST_REQUIRED_LEVEL;Niveau {0}\nrequis.
QUEST_REWARD_EXPERIENCE_ABBREVIATION;EXP
QUEST_TYPE_CHALLENGE;Défi
QUEST_TYPE_EPIC;Mission Épique
QUEST_TYPE_EPIC_FORCED_DECK;Mission
QUEST_TYPE_INTRO;Mission
QUEST_TYPE_MYSTERY;Mission Mystère
QUEST_TYPE_PUZZLE;Puzzle
QUEST_TYPE_QUEST;Quête
QUEST_TYPE_SURVIVAL;Survie
RANK_DOWN;Classement en baisse
RANK_STAR_DEFEAT;Défaite
RANK_STAR_FIRST_WIN_OF_THE_DAY;Première victoire du jour !
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Vous avez vaincu un adversaire bien plus puissant !
RANK_STAR_VICTORY;Victoire
RANK_STAR_WIN_STREAK;Série de victoires !
RANK_UP;Classement en hausse
RECOVERY_CODE;Code de récupération
RECOVERY_STEAM;J'ai créé mon compte sur PC/macOS/Linux.
RECOVERY_SUPPORT;Les options ci-dessus n'ont pas fonctionné pour moi.
RECOVERY_VALIDATED;Mon compte Faeria est valide (J'ai fourni mon adresse e-mail)
RECRUITER;Recruteur
REFUSE;Décliner
REFUSE_FRIEND_REQUESTS;Refuser les demandes d'ami
REFUSE_FRIEND_SPECTATE;Refuser les spectateurs
REPLAY_BUTTON_TEXT;Mode Replay
REQUEST_CANCELED_BY_HOST;Demande annulée par l'hôte
REROLL;Relancer
RESOLUTION;Résolution : {0}
RUSH_TUTORIAL;Commencer une partie en rushant
SAVE;SAUVEGARDER
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casual
SEARCH_MODE_RANKED_BUTTON_TEXT;Classé
SEARCH_TIME_ARENA_MODE_NAME;Pandore
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Construit
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Suivez les dernières actualités <u><link={0}>ici</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;Une maintenance du serveur est prévue pour {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Nos techniyaks sont en train d'effectuer une maintenance du serveur. Normalement, nos serveurs seront de nouveaux fonctionnels vers {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Consultez les dernières notes de patch <u><link={0}>ici</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Serveur hors service.
SERVER_IP;Serveur IP
SETTING_ANIMATED_BACKGROUND;Fond animé :
SETTING_BUTTON_TEXT_EXIT;Quitter
SETTING_BUTTON_TEXT_OPTIONS;Options
SETTING_BUTTON_TEXT_PAUSE;Pause
SETTING_MUTE_IN_BACKGROUND;Muet en arrière-plan
SETTING_PERMANENT_DECK_HAND_INFO;Affichage deck/main permanent
SETTING_POWER_SAVING_MODE;Mode économie d'énergie
SETTING_TEXT_AUDIO_TITLE;Paramètres audio
SETTING_TEXT_GAMEPLAY_TITLE;Paramètres de jeu
SETTING_TEXT_VIDEO_TITLE;Paramètres vidéo
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Désactiver les emotes
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Afficher le nombre de territoires
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Réactiver les emotes
SETTING_WINDOWED;Fenêtré :
SET_RECRUITER_NAME;Ajoutez un ami en tant que recruteur pour recevoir chacun de fantastiques récompenses lors de votre aventure dans Faeria !\nPour plus d'informations, visitez <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Cliquez pour ouvrir la boîte
SHOP_ANNUITY_DAYS_LEFT;{0} jours restants
SHOP_INPUT_FIELD_HINT_COUPON;Saisissez votre code coupon ici
SIGN_IN;Connexion
SIGN_OUT;Déconnexion
SOLO_COMPLETED;Mission accomplie !
SPECTATORS_CANNOT_PAUSE;Les spectateurs ne peuvent pas mettre le jeu en pause.
SPECTATOR_JOINED_GAME;Nouveau spectateur : {0} a rejoint la partie.
SPECTATOR_LEFT_GAME;Le spectateur {0} a quitté la partie.
STOP_SPECTATING;Arrêter d'être spectateur
SURRENDER;Abandonner
TOPBAR_BUTTON_PLAY;JOUER
TUTORIAL_DECK_CREATED;Voici votre nouveau deck !
TUTORIAL_DECK_CREATED_BACK;Cliquez sur le bouton Retour pour choisir votre mode de jeu
UPDATE_VERSION_OUTDATED;Votre client requiert une mise à jour.
UPDATE_VERSION_TIP_IOS;Si la version requise n'est pas encore disponible sur votre App Store, vous devrez l'attendre avant de pouvoir jouer.
USER_NAME_WELCOME;Bienvenue dans Faeria !\nComment voulez-vous vous appeler ?
USE_THIS_SET;Utiliser une Formule
USE_TIMEBANK;Fixer une limite de temps :
WELCOME_BUTTON_TEXT_ENTER_GAME;Connexion
WELCOME_BUTTON_TEXT_EXIT;Quitter
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Page officielle
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Cliquez n'importe où pour vous connecter
WELCOME_BUTTON_TEXT_START_AS_GUEST;Commencer en tant qu'invité
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;J'ai déjà un compte
WELCOME_INPUT_FIELD_HINT_PASSWORD;Mot de passe
WELCOME_INPUT_FIELD_HINT_SERVER_IP;Serveur IP
WELCOME_INPUT_FIELD_HINT_USERNAME;Identifiant
WELCOME_USE_ANOTHER_ACCOUNT;Déconnexion
WINNER;Vainqueur
WORLD_BOSS_OBJECTIVE_PROGRESS;Venez à bout de 3 boss ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Débloque l'Orbe des Champions
WORLD_BOSS_OBJECTIVE_TEXT2;Améliore votre Orbe des Champions
WORLD_BOSS_OBJECTIVE_TITLE;Objectif de Monde
WORLD_BOSS_REWARD;Récompense de Boss
WORLD_LOCATION;Emplacement
XP;{0} exp
YOU_PLAY_FIRST;Vous jouez en premier
YOU_PLAY_SECOND;Vous jouez en deuxième
CARD_WAS_PROMOTED_AS_DECK_COVER;La carte a été choisie comme couverture du deck.
CURRENT_DECK_COVER;Couverture actuelle
PROMOTE_DECK_COVER;Choisir comme couverture du deck
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Choisir comme couverture du deck
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Voir la page d'histoire
LORE_BOOK_EXPLANATION_TEXT;Collectez des morceaux de récit, explorez les légendes et mystères de l'histoire de Faeria.
LORE_PAGE_ARTISTS;<b>Artistes</b> {0}
LORE_PAGE_NOT_AVAILABLE;Vous devez être au minimum niveau {0} pour accéder aux pages d'histoire
CO_OP_LOBBY;Salon de Co-op
LOBBY_CRUCIBLE_RULES_TITLE;Règles du Creuset
LOBBY_DECK_FORMAT;Format de deck
LOBBY_DECK_FORMAT_CLASSIC;Classique
LOBBY_DECK_FORMAT_CRUCIBLE;Creuset
LOBBY_MINUTES_PER_GAME;Minutes par partie :
LOBBY_SECONDS_PER_TURN;Secondes par tour :
LORE_BOOK_EMPTY_SECTION;Aucun résultat dans cette section
LORE_PAGE_NOT_YET_AVAILABLE;Cette page d'histoire n'est pas encore disponible
LOBBY_GO_TO_COLLECTION;Vers la collection
LOBBY_START_OVER;Recommencer
PROMPT_LOBBY_BACK_CONFIRMATION;Vous ramènerez tout le monde à l'écran de paramétrage du salon. Continuer ?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Cette action réinitialisera le score du salon et débloquera les paramètres. Continuer ?
REGISTER_YOUR_DECKS;Enregistrez vos decks !
TOURNAMENT_DECKS_REGISTERED;Decks enregistrés !
LORE_BOOK_UNAVAILABLE_TOOTIP;Débloqué au niveau {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Évaluez nous sur Steam
HOME_CREDITS_BUTTON_TEXT;Crédits
PROMPT_FRIEND_CALLED;Un email a été envoyé à votre yak perdu.\nVous pouvez également le contacter en utilisant votre moyen de communiyaktion préféré - il faut simplement qu'il se connecte !
PROMPT_FRIENDS_CALLED;Un email a été envoyé à chacun de vos {0} yaks perdus.\nVous pouvez également les contacter en utilisant votre moyen de communiyaktion préféré - il faut simplement qu'ils se connectent !
FRIEND_CALL_SEND;Envoyer
FRIEND_CALL_NO_ELIGIBLE;Vous avez déjà appelé tous vos amis!
FRIENDLIST_CALL_FRIEND;Appelez vos anciens amis !
MAINMENU_TITLE_PUZZLES;PUZZLES
SETTING_CLEAR_CACHE;Vider le cache
CACHE_CLEARED;Ceci prendra effet lorsque vous relancerez le jeu.
CACHE_CLEAR_FAIL_PERMISSION;L'opération a échoué, veuillez relancer Faeria en tant qu'Administrateur.
CACHE_CLEAR_FAIL_IN_USE;L'opération a échoué car le fichier est en cours d'utilisation. Veuillez redémarrer votre appareil et essayer à nouveau.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Choisir les cosmétiques
PLAY_MENU_SOLO_DRAGONS_LAIR;Antre du Dragon
MARKET_ITEM_SPECIAL_PROMO;Promo spéciale
MARKET_ITEM_COMPLETE_YOUR_SET;Complétez votre set !
DRAGON_TODAYS_CHALLENGES;Le défi du jour
DRAGON_SOLO_MISSION;Mission solo
DRAGON_REWARD;Récompense draconique
DRAGON_CO_OP_MISSION;Mission Co-op
APPLY;Appliquer
MOUSE_PROMPT_CLICK_ANYWHERE;Cliquez n'importe où pour continuer
PLAY_MENU_SOLO_WORLDBOSS_INFO;Des combats de boss de haute difficulté qui mettront à l'épreuve vos capacités de construction de deck.
PLAY_MENU_SOLO_STANDARD_INFO;Maîtrisez les bases de Faeria grâce à ces pack de missions variés.
PLAY_MENU_SOLO_OVERSKY_INFO;Campagne en coopération ! Rejoignez la bataille avec un ami ou un allié IA.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Défis quotidiens ! Revenez ici tous les jours pour vaincre de nouveaux dragons dans des batailles en solo ou en coopération.
MAINMENU_TITLE_SOLO_INFO;Découvrez le monde de Faeria dans ces défis en Solo et en Co-op !
MAINMENU_TITLE_PUZZLES_INFO;Complétez des puzzles complexes et apprenez quelques astuces pratiques en cours de route.
MAINMENU_TITLE_PANDORA_INFO;Mode draft. Essayez de nouvelles cartes et construisez un deck unique. Tenez bon aussi longtemps que vous le pouvez !
MAINMENU_TITLE_BATTLE_INFO;Mode de jeu classique. Rejoignez le mode multijoueur Classé ou Casual, ou bien entraînez-vous contre l'IA.
MOUSE_HOME_LINKS_INFO;Cliquez ici pour lire les nouveautés importantes sur notre blog officiel.
DEFAULT_BUTTON_TEXT;Par défaut
BACK_TO_WORLD_BOSSES;Retourner aux Boss du Monde
BACK_TO_PUZZLES;Retourner aux puzzles
BACK_TO_PANDORA;Retourner à Pandore
BACK_TO_OVERSKY;Retourner à Outreciel
BACK_TO_MISSIONS;Retourner aux missions
BACK_TO_DRAGONS_LAIR;Retourner à l'Antre du Dragon
BACK_TO_BATTLE;Retourner au combat
LORE_BOOK_TOGGLE_TEXT;Livre d'Histoires
SHOW;Afficher
INGAME_OPPONENT_DISCOVERING_CARD;Votre adversaire découvre une carte
INGAME_ALLY_DISCOVERING_CARD;Votre allié découvre une carte
HIDE;Masquer
GEMS_INFO_POPUP_DESCRIPTION;Les gemmes sont désormais une monnaie promotionnelle que vous pouvez obtenir seulement lors d'événements spéciaux.
GEMS_INFO_POPUP_TITLE;A propos des gemmes
SHORTCUT_TEXT_TOGGLE;Activer/Désactiver
SHORTCUT_TEXT_MODIFY_SLIDER;Modifier le curseur
SHORTCUT_TEXT_CLOSE;Fermer
SETTING_TEXT_LANGUAGE_TITLE;Langues
SERVER_INFO_UNAVAILABLE;Les serveurs ne sont pas disponibles pour l'instant
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} n'est pas autorisé(e) à discuter
YOUR_SUPPORT_ID;Votre identifiant :
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Un problème est survenu et le jeu doit être redémarré.
MOUSE_PROMPT_CLICK_TO_CLOSE;Cliquez pour fermer
LOADING_HERDING_YAKS;Regroupement des yaks
LOADING_DOWNLOADING_CONTENT;Téléchargement du contenu
LOADING_CHECKING_CONTENT;Vérification du contenu
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Appuyez sur {GAMEPAD_ACTION_CANCEL} pour fermer.
GAMEPAD_PROMPT_CLICK_ANYWHERE;Appuyez sur {GAMEPAD_ACTION_CONFIRM} pour continuer.
GAMEPAD_HOME_LINKS_INFO;Appuyez sur {GAMEPAD_ACTION_CONFIRM} pour lire les nouvelles importantes sur notre blog officiel.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Plusieurs amis utilisent ce nom d'utilisateur. Veuillez utiliser le menu contextuel de la liste d'amis pour discuter avec cette personne à la place.
GO_TO_STORE_BUTTON_TEXT;Vers la boutique
CHAT_ERROR_MESSAGE_REFUSED;Votre message a été automatiquement rejeté par la plate-forme du destinataire en raison de son contenu.
CHAT_ERROR_SANITIZATION_ERROR;Votre message a été rejeté en raison de son contenu.
ID_COPIED_TO_CLIPBOARD;Identifiant copié dans le presse-papiers.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Cartes spéciales du mode Classé
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;Joueur inconnu
PLAYER;Joueur
NOT_ENOUGH_COINS;Vous ne possédez pas assez de cristaux.
NOT_ENOUGH_GEMS;Vous ne possédez pas assez de gemmes.
LADDER_RANKED_BUTTON;Classé
LADDER_PANDORA_BUTTON;Pandore
HOME_LADDER_BUTTON_TEXT;Classement
COSMETIC_ITEM_NOT_OWNED;Vous ne possédez pas cet objet cosmétique
DOWNLOADED;Téléchargé
