1.cardName;Apprenti fermier
321.cardName;Dévoreur céleste
321.cardText;{flying}
322.cardName;Yak des prairies en colère
322.cardText;{haste}
323.cardName;Explorer
323.cardText;Gagnez {faeria|2} et créez une prairie.
324.cardName;Yak en colère
324.cardText;{haste}
325.cardName;Follet broussailleux
325.cardText;Gagne +1/+0 à chaque fois que vous créez une {green}.
328.cardName;Ostregoth, Main de l'Oubli
328.cardText;{flying},{haste},{charge|13}\nLes puits à Faeria sont vides.
329.cardName;Voleuse coupe-gorge
330.cardName;Cavalier sauvage
331.cardName;Sagesse
331.cardText;Piochez 2 cartes.
332.cardName;Prière curative
332.cardText;Gagnez 3 PV.
333.cardName;Me Not Playable
333.cardText;You can't play me.
334.cardName;Sagesse supérieure
334.cardText;Piochez CINQ cartes.
335.cardName;Frondeur rebelle
335.cardText;{gift} - Inflige 2 points de dégâts à votre adversaire.
336.cardName;Esprit du Nexus
336.cardText;{last_words} - Réduit la vie de son maître à 1 point.
337.cardName;Tempête de feu divin
337.cardText;Inflige 10 points de dégâts à TOUTES les créatures pathétiques de votre ennemi.
338.cardName;Force des marées
338.cardText;Déplace un territoire.
339.cardName;Vent impétueux
339.cardText;Déplace une créature alliée.
340.cardName;Guerrier des Sylandes
342.cardName;Kojin, Flamme Divine
342.cardText;{divine}\nKojin calme son maître Pyhros tant qu'il est en jeu.\n{production} - Kojin perd 1 PV.
350.cardName;Trois voeux
350.cardText;Vous gagnez 3 points de vie. Ajoute une copie des trois cartes du dessus de la pioche de votre adversaire, elles coûtent {faeria|1} de moins et sont {wild}. Vous ne pouvez souhaiter avoir plus de vœux.
351.cardName;Planeur rebelle
351.cardText;{flying}, {dash|2}\nNe peut pas récolter de faeria.
352.cardName;Radiance, Vaisseau Impérial
352.cardText;{flying}, {dash|3}\nLe coût de Radiance est égal à votre nombre de PV.\n{gift} - Gagnez 1 PV pour chaque carte dans votre main.
353.cardName;Bibliothèque interdite
353.cardText;{production} - Piochez une carte, vous gagnez {faeria|1} et recevez 2 points de dégâts.
354.cardName;Dévoreur de rêves
354.cardText;{dash|3}\n{gift} - Fixez les PV d'une divinité à 10.
355.cardName;Kodama sauvage
355.cardText;{jump}\nNe peut pas récolter de faeria.\nÀ chaque fois que cette créature attaque une divinité, vous gagnez 5 PV.
356.cardName;Chasseur de Dieux
356.cardText;{jump}\nNe peut attaquer que les divinités.\nNe peut pas récolter de faeria.
357.cardName;Incantation sanglante
357.cardText;Réduisez de {faeria|2} le coût d'une carte aléatoire de votre main, 4 fois. Infligez-vous 4 points de dégâts.
358.cardName;Feux des Enfers
358.cardText;Inflige 9 points de dégâts répartis aléatoirement entre les ennemis.
359.cardName;Jugement dernier
359.cardText;Vous tombez à {faeria|0}. Réduisez vos PV de moitié (arrondi à l'inférieur). Détruisez TOUTES les créatures et structures. Votre tour prend fin.
360.cardName;Moucheron têtu
360.cardText;{flying}\nNe peut pas récolter de faeria.\n{last_words} - Vous inflige 2 points de dégâts. Invoquez cette créature sur une case aléatoire.
361.cardName;Yak aux longues cornes
361.cardText;{last_words} - La prochaine créature que vous piochez gagne autant d'attaque que cette créature.
362.cardName;Le temps des légendes
362.cardText;Piochez la prochaine Légendaire de votre deck. S'il n'y en a plus, ajoute une Légendaire aléatoire à votre main. Elle devient {wild}.
363.cardName;Entraineur triton
363.cardText;{jump}\n{gift} - Donne +1/+1 à la prochaine créature avec {jump} que vous invoquez.
364.cardName;Voix de la vérité
364.cardText;{gift} - Vous pouvez restaurer le nombre de points d'attaque et les PV de base d'une créature.
365.cardName;Héraut de guerre
365.cardText;{combat} - Donne +1/+1 à la prochaine créature avec {combat} que vous invoquez.
366.cardName;Guide céleste
366.cardText;{flying}\nDonne {dash|2} et {flying} aux créatures alliées invoquées sur une case adjacente à cette créature.
367.cardName;Gardienne divine
367.cardText;{divine}\nQuand vous devriez subir des dégâts mortels, cette créature vous protège et est détruite à votre place.
368.cardName;Commandement de l'Empereur
368.cardText;Donne à une cible :\n- créature : -2/-1\n- structure : 3 points de dégâts\n- divinité : 4 PV
369.cardName;Illusion des grandeurs
369.cardText;{charge|2}\nTant que cette carte est dans votre deck ou votre main, elle gagne autant d'attaque et de points de vie que les créatures que vous invoquez et qui coûtent  {faeria|1} ou moins.
370.cardName;Tisseuse des Bois Enfouis
370.cardText;{gift} - Cette créature peut combattre une créature ennemie.
371.cardName;Dîner de Krog
371.cardText;Krog vous coûte {faeria|7} de moins à invoquer. Quand vous le faites, cette créature est détruite.\n{gift} - Si Krog est déjà mort ou est encore dans votre deck, piochez-le.
372.cardName;Sourire de Iona
372.cardText;Piochez les 2 prochaines créatures avec {flying} dans votre deck.
400.cardName;Éclat de Pandore
401.cardName;Pandore s'ouvre !
401.cardText;Pandore s'ouvre, les deux joueurs reçoivent un <b>Trésor</b> !
402.cardName;Trésor Trouvé !
402.cardText;Les deux joueurs reçoivent un <b>Trésor</b> !
403.cardName;Cristal obscur
403.cardText;Draine 4 PV à votre adversaire, inflige 3 points de dégâts à toutes les créatures ennemies. Piochez 2 cartes.
404.cardName;Corn'yak Corne-Brume
404.cardText;Invoque trois <b>Yaks des prairies en colère</b> 2/2 avec {haste}.
405.cardName;Arme astrale
405.cardText;{flying}\n{gift} - Détruit toutes les créatures, structures et terrains adjacents.
406.cardName;Ocarina
406.cardText;Rejouez après ce tour.
407.cardName;Lampe du génie
407.cardText;{options|Ajoute 3 cartes vertes aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes bleues aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes rouges aléatoires à votre main. Leur coût est réduit de {faeria|3}.|Ajoute 3 cartes jaunes aléatoires à votre main. Leur coût est réduit de {faeria|3}.}\nChoisissez une couleur. Ajoute 3 cartes aléatoires de cette couleur à votre main. Leur coût est réduit de {faeria|3}.
408.cardName;Urne de Gabria
408.cardText;Piochez 2 cartes et gagnez {faeria|2}.
409.cardName;Miroir d'Iona
409.cardText;Ajoute deux exemplaires du dernier <b>Trésor</b> joué par l'adversaire à votre main.
410.cardName;Golem Pierre-de-Sang
410.cardText;{production} - Remplit les puits de faeria.\nChaque fois que de la faeria est récoltée, inflige 1 point de dégâts à l'adversaire.
411.cardName;Calice du palais
411.cardText;Donne +6/+6 répartis aléatoirement entre les créatures alliées.
412.cardName;Tambour d'Eredon
412.cardText;Donne à toutes vos créatures +2/+2, peut-importe où elles se trouvent.
413.cardName;Attrape-nuages
413.cardText;Donne +1/+0, {flying}, et {jump} aux créatures alliées.
414.cardName;Anneau de domination
414.cardText;{options|Transforme un terrain en {green}. Vous en prenez le contrôle.|Transforme un terrain en {blue}. Vous en prenez le contrôle.|Transforme un terrain en {red}. Vous en prenez le contrôle.|Transforme un terrain en {yellow}. Vous en prenez le contrôle.}\nTransforme la couleur d'un terrain de votre choix. Vous en prenez le contrôle.
415.cardName;La Larme du Monde
415.cardText;Transforme une créature qui a attaqué une divinité durant ce tour en <b>Dévoreur Céleste</b> 10/10 avec {flying}.
416.cardName;Yak mécanique
416.cardText;{dash|2}
417.cardName;Automate de l'équinoxe
417.cardText;{gift} - Vous gagnez 6 PV.\n{last_words} - Inflige 6 points de dégâts à votre adversaire.
418.cardName;Rose de Magda
418.cardText;Prenez le contrôle d'une créature ennemie.
419.cardName;Théière d'Aurora
419.cardText;Change toutes les créatures alliées en 6/6
420.cardName;Pierre de bonne aventure
420.cardText;Glisse 3 <b>Trésors</b> aléatoires n'importe où dans votre deck.
421.cardName;Ressources Insoupçonnées
421.cardText;Donne +4/+4, {flying} et {charge|3} à une créature.
422.cardName;Gardien du Néant
422.cardText;{gift} - Détruit votre deck.
423.cardName;Dragon de Cristal
423.cardText;{flying}, {charge|3}
424.cardName;Rubis d'Explosion de Flammes
424.cardText;{options|Inflige 3 points de dégâts.|Inflige 3 points de dégâts à toutes les cibles.}\n- Inflige 3 points de dégâts.\n- Inflige 3 points de dégâts à toutes les cibles.
425.cardName;Marteau de la Destruction
425.cardText;Inflige 5 points de dégâts. Remet le <b>Marteau</b> n'importe où dans votre deck.
426.cardName;Ébranleur de Terrefeu
426.cardText;{gift} - Inflige 2 points de dégâts à tous les ennemis. Gagne +2/+2 pour chaque ennemi détruit.
427.cardName;Appel de la Mort
427.cardText;Détruit une créature. Son contrôleur gagne {faeria|1} égal à son coût et pioche 2 cartes.
428.cardName;Foudre en Bouteille
428.cardText;Inflige 6 points de dégâts à une créature et 3 points de dégâts à tous les ennemis adjacents.
429.cardName;Lame Dansante
429.cardText;{flying}, {jump}\nÀ la fin de votre tour, inflige 3 points de dégâts à tous les ennemis adjacents.
430.cardName;Faux de la Ruine
430.cardText;Détruit une créature. Invoque une <b>Ombre du Carnage</b> 6/1 à sa place.
431.cardName;Pie Sertie
431.cardText;{flying}, {haste}\nAjoute un <b>Trésor</b> aléatoire à votre main chaque fois que cette créature attaque une divinité.
432.cardName;Roue du Chaos
432.cardText;{options|Détruit 2 terrains inoccupés.|Détruit une créature à l'attaque inférieure ou égale à 5.|Gagnez 7 PV.}\n- Détruit 2 terrains inoccupés.\n- Détruit une créature à l'attaque inférieure ou égale à 5.\n- Gagnez 7 PV.
433.cardName;Médaillon d'Ulani
433.cardText;Choisit une créature alliée. Toutes vos créatures deviennent des copies de la créature choisie.
500.cardName;Singe savant
500.cardText;{taunt}\n{gift} - Lors du tour de votre adversaire, cette créature gagne +2/+2 à chaque fois qu'une créature ennemie récolte de la faeria.
501.cardName;Éclaireur intrépide
501.cardText;{gift} - Ajoute une carte <b>Explorer</b> à la main de chaque joueur.
502.cardName;Fleur de cristal
502.cardText;{gift} - {swallow} une créature.\nÀ la fin de votre tour, cette structure s'inflige 1 point de dégâts.
503.cardName;Yakkapulte
503.cardText;{ranged_attack}\nÀ chaque fois que cette créature attaque, invoquez un <b>Yak en colère</b> 2/2 sur un espace adjacent à sa cible.
504.cardName;Goki, Mineur Bienveillant
504.cardText;{gift} - Ajoute un <b>Trésor</b> aléatoire dans la main de votre allié.
505.cardName;Mobie, Célestacé Azuré
505.cardText;{flying}, {charge|3}\nNe peut pas récolter de faeria.\n{gift} - {swallow} a creature.
506.cardName;Poisson-bulle
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} une créature alliée. S'il ne peut pas, il meurt.
507.cardName;Empereur Kaios
507.cardText;{production} - Donne -1/-0 à toutes les créatures ennemies. Puis détruit toutes les créatures ennemies qui ont 0 d'attaque.
508.cardName;Graine du Paradis
508.cardText;{flying}, {dash|1}\n{gift} - {options|Quand cette créature récolte au dessus de l'océan, elle meurt et crée une {green}.|Quand cette créature récolte au dessus de l'océan, elle meurt et crée un {blue}.|Quand cette créature récolte au dessus de l'océan, elle meurt et crée une {red}.|Quand cette créature récolte au dessus de l'océan, elle meurt et crée un {yellow}.}\nQuand cette créature récolte au dessus de l'océan, elle meurt et crée un terrain de la couleur choisie.\n
509.cardName;L'Arbre d'Éternité
509.cardText;{production} - Vous gagnez 7 points de vie.\n Donne +7/+7 à une créature au hasard dans votre main.
510.cardName;Don des Rakoa
510.cardText;Donne +1/+1 à une créature, autant de fois qu'il y a de créatures alliées.
511.cardName;Biomancien curieux
511.cardText;{gift} - Piochez une créature non-bleue dans votre deck, autant de fois qu'il y a de créatures ennemies.
512.cardName;Fugoro, Marchand de Merveilles
512.cardText;{jump}\n{gift} - {options|Piochez une <b>Urne de Gabria</b>|Piochez un <b>Dragon de cristal</b>|Piochez un <b>Médaillon d'Ulani</b>}\n- Piochez une <b>Urne de Gabria</b>\n- Piochez un <b>Dragon de cristal</b>\n- Piochez un <b>Médaillon d'Ulani</b>
513.cardName;Fugu sauteur
513.cardText;{jump}\n{gift} - Gagne +3/+3 si vous contrôlez au moins 8 terrains spéciaux.
514.cardName;Crochet-grappin
514.cardText;Donne {ranged_attack} à une créature durant ce tour. Après son attaque, vous pouvez déplacer cette créature sur un espace adjacent à sa cible.
515.cardName;Fêtard Rakoan
515.cardText;{last_words} - Gagnez {faeria|1} pour chaque point d'attaque de cette créature.
516.cardName;CAP-10, Pirate du Ciel
516.cardText;{combat} - Piochez un <b>Don de l'acier</b> dans votre deck. S'il n'en contient pas, mélangez-en un dedans.
517.cardName;Saumon fulgurant
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nNe peut pas récolter de faeria.\nÀ la fin de votre tour, cette créature est détruite et vous piochez une carte.
518.cardName;Chevaucheur de Manta
518.cardText;{flying}\n{last_words} - Invoquez une <b>Manta</b> 2/2 avec {flying} et {charge|2} à l'endroit où il est mort.
519.cardName;Istanu, Lumière Éternelle
519.cardText;{flying}, {charge|3}\n{last_words} - Une créature alliée aléatoire devient le nouvel <b>Istanu</b>.
520.cardName;Poulpe évolutif
520.cardText;{options|Gagne +2/+0.|Gagne +0/+2.|Gagne {jump}.|Gagne {taunt}.}, deux fois au choix :\n- Gagne +2/+0\n- Gagne +0/+2\n- Gagne {jump}\n- Gagne {taunt}
521.cardName;Lanceur de grenouilles
521.cardText;{gift} - Combat une créature ennemie. Invoquez une <b>Grenouille</b> 2/2 avec {jump} sur un espace adjacent à sa cible.
522.cardName;Sentier du Paradis
522.cardText;{options|Crée une {green}|Crée un {blue}|Crée une {red}|Crée un {yellow}} - Crée un terrain spécial.\nLa première créature à être invoquée sur celui-ci lors de ce tour gagne +2/+0.
523.cardName;Salamandre d'émeraude
523.cardText;{gift} - Inflige 2 points de dégât aux créatures adjacentes. Donne +2/+2 aux créatures alliées adjacentes.
524.cardName;Espadon du Firmament
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Carpe envahissante
525.cardText;{flying}\nPeut être invoquée sur toute case adjacente à une créature alliée.\n{gift} Invoque une autre <b>Carpe envahissante</b> pour chaque carpe alliée morte durant la partie.
526.cardName;Veilleur des songes
526.cardText;{taunt}\n{gift} - Réduit le coût de toutes les cartes de votre main de {faeria|1}, puis les mélange à votre deck. Repiochez-en autant.
527.cardName;Tortue Coquibrille
527.cardText;{gift} - Piochez une carte et copiez-la. Les deux coûtent {faeria|2} de moins.
528.cardName;Envolée des Mantas
528.cardText;Quand vous piochez cette carte, copiez-la.\nInvoquez une <b>Manta</b> 2/2 avec {flying} et {charge|2}.
529.cardName;Remorqueur d'Outreciel
529.cardText;{flying}, {dash|1}\nQuand cette créature quitte un terrain, elle l'emmène avec elle.
530.cardName;Chef de clan Rakoan
530.cardText;{dash|1}\nLes créatures alliées adjacentes ont +1/+0.
531.cardName;Anémone céleste
531.cardText;{flying}, {taunt}\nPeut être invoquée n'importe où.
532.cardName;Ulani, Chamane d'Outreciel
532.cardText;{gift} - Piochez une carte verte, une carte bleue, une carte rouge et une carte jaune dans votre deck.
549.cardName;Destructeur de la réalité
549.cardText;{flying}\n{production} - Gagne +0/+2.\nQuand cette structure a 10 PV ou plus, <b>le jeu crashe</b>.
550.cardName;Fleur de cristal
550.cardText;Un prisonnier est enfermé à l'intérieur.
551.cardName;Fleur de cristal
551.cardText;Un prisonnier est enfermé à l'intérieur.
552.cardName;Fleur de cristal
552.cardText;Un prisonnier est enfermé à l'intérieur.
553.cardName;Manta volante
553.cardText;{flying}, {charge|2}
555.cardName;Yak en colère
556.cardName;Vous avez gagné !
556.cardText;Infligez 100 points de dégât à votre adversaire.
557.cardName;Empereur Kaïos le Grand
557.cardText;{production} - Donne -1/-0 à toutes les créatures ennemies, puis détruit toutes celles dont les points d'attaque sont tombés à zéro.
601.cardName;Laya, Dame des Peines
601.cardText;{deathtouch}\n{last_words} - Invoque une <b>Statue étincelante</b> à la place de Laya.
602.cardName;Drakonier impérial
602.cardText;{flying}, {charge|2}\n{corrupt} - Gagne +2/+2.
603.cardName;Singe aliéné
603.cardText;{gift} - Vide tous les puits de leur faeria. Cette créature gagne +1/+1 pour chaque puits ainsi vidé.
604.cardName;Soldat impérial
604.cardText;{corrupt} - Prenez le contrôle du terrain de cette créature.
605.cardName;Explorateur perdu
605.cardText;{corrupt} - Piochez une carte. Vous gagnez {faeria|1}.
606.cardName;Chevalier du Fléau
606.cardText;Les dégâts infligés à cette créature vous sont également infligés.
607.cardName;Faë d'Ombresoie
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - Piochez 2 évènements de votre deck.
608.cardName;Kaios, Génie Démentiel
608.cardText;{divine}\nLe nombre de points d'attaque de Kaios est toujours égal à ses PV.\n{corrupt} - Draine 1 PV à TOUTES les cibles.
609.cardName;Déluge de poissons
609.cardText;Invoquez 6 <b>Poisson-rubis</b> sur des cases aléatoires. Chaque poisson qui atteint un terrain inflige 1 point de dégâts aux ennemis adjacents.
610.cardName;Piranha volant
610.cardText;{flying}\nGagne {deathtouch} et {jump} dès qu'une créature adjacente meurt.
611.cardName;Hydre monstrueuse
611.cardText;{corrupt} - invoque une <b>Tête d'Hydre</b> 2/1 avec {haste} sur chaque terrain adjacent. Elles meurent à la fin du tour.
612.cardName;Saule hanté
612.cardText;{taunt}
613.cardName;Sanglier pourrissant
613.cardText;{dash|1}\n{corrupt} - Piochez la première créature avec 5 PV ou plus de votre deck. Elle gagne +2/+2.
614.cardName;Nekomata
614.cardText;{taunt}\n{corrupt} - Double le nombre de points d'attaque de cette créature.
615.cardName;Baldurion, Forgeron Maléfique
615.cardText;{protection}\n{corrupt} - Ajoute un <b>Marteau de la Destruction</b> à votre main.
616.cardName;Esprit haineux
616.cardText;{last_words} - Vous inflige 2 points de dégâts.
617.cardName;Dévastation
617.cardText;Inflige 9 points de dégâts à une créature ou structure ennemies.
618.cardName;Saumon démoniaque
618.cardText;{haste}, {flying}, {charge|2}\nNe peut pas récolter de faeria.\nÀ chaque fois que cette créature attaque une divinité, elle gagne +1/+1.
619.cardName;Vol d'essence
619.cardText;Draine 1 PV à une créature ennemie. Si elle meurt, ajoute une copie de cette créature à votre main. Elle devient {wild}.
620.cardName;Solem
620.cardText;{flying}, {divine}\n{corrupt} - Détruit un puits à faeria.
622.cardName;La Matriyark
622.cardText;{gift} - Invoque deux 4/4 <b>Yaks protecteurs</b> avec {taunt} et {flying} adjacents à la Matriyark.\nCoûte {faeria|1} de moins pour chaque yak allié mort durant cette partie.
623.cardName;Champion Rakoan
623.cardText;{dash|2}\n{gift} - Gagne +1/+1 pour chaque autre Rakoan allié en jeu.
624.cardName;Fugu orphelin
624.cardText;A +2/+0 et {jump} tant que vous contrôlez une autre bête.
625.cardName;Rapala, Fêlé du Bocal
625.cardText;{aquatic}\n{gift} - Remplit la main de votre adversaire avec des <b>Poisson rubis</b>. Quel idiot.
626.cardName;Yak Saphir
626.cardText;Quand un Yak allié récolte de la faeria depuis un puits ennemi, lui donne +2/+2.
627.cardName;Traque mortelle
627.cardText;Donne +2/+0 à une bête alliée puis la fait combattre une créature ennemie.
628.cardName;Yak Émeraude
628.cardText;{gift} - Invoque un <b>Bébé Yak</b> avec {taunt} et <b>Ne peut pas récolter de faeria</b> sur une de vos prairies.
629.cardName;Majinata, Esprit d'Éternité
629.cardText;{protection}, {divine}\n{gift} - Une créature alliée gobe Majinata et reçoit +5/+5, {flying} et {charge|2}.
630.cardName;Axolotl volcanique
640.cardName;Rakoakoptère
640.cardText;{flying}, {dash|1}\n{gift} - Inflige 2 points de dégâts aux créatures ennemies adjacentes.
641.cardName;Yak Rubis
641.cardText;À chaque fois qu'un Yak allié reçoit des dégâts, inflige 1 point de dégâts à votre adversaire.
642.cardName;Dragon spectral
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Rascasse
643.cardText;{flying}, {deathtouch}
644.cardName;Yak Topaze
644.cardText;Peut-être invoqué à côté des yaks alliés, et gagne alors {haste}.
645.cardName;Machine de guerre Rakoan
645.cardText;{charge|2}\n{gift} - Gagne +2/+0 s'il {swallow} un Rakoan allié.
646.cardName;Canonnier Rakoan
646.cardText;{gift} - Vous pouvez sacrifier un autre Rakoan. Si vous le faites, inflige 3 points de dégâts à une créature ennemie.
647.cardName;Illusionniste Rakoan
647.cardText;{gift} - Vous pouvez transformer un autre Rakoan allié en <b>Drakon des dunes</b> 4/4 avec {flying} et {charge|2} jusqu'au début de votre prochain tour.
648.cardName;Compagnons protecteurs Rakoan
648.cardText;{last_words} - Invoque un <b>Rakoan</b> 1/1 au même endroit.
649.cardName;Chef de guerre Rakoan
649.cardText;{combat} - Donne +1/+1 à un Rakoan aléatoire de votre main.
650.cardName;Recruteur Rakoan
650.cardText;{gift} - Ajoute un <b>Rakoan</b> 1/1 dans votre main. Il coûte {faeria|0}.
653.cardName;Tour maudite
653.cardText;{activate} - Donne -1/-1 à une créature. Cette structure s'inflige 1 point de dégâts.
654.cardName;Shozen, le Mange-Cieux
654.cardText;{flying}, {charge|3}\nGobe la première créature à qui Shozen porte un coup fatal, et vous en prenez le contrôle.
655.cardName;Avant-poste impérial
655.cardText;Toutes les créatures neutres alliées ont +1/+0.
656.cardName;Salve destructrice
656.cardText;Inflige 2 points de dégât à une créature. Si elle a {flying}, infligez-lui-en 5.
658.cardName;Radiance, Fléau d'Outreciel
658.cardText;{flying}\n{gift} - Les créatures ennemies ne peuvent plus se déplacer au prochain tour.
659.cardName;Hippo explosif
659.cardText;{combat} - Inflige 2 points de dégât à tous les ennemis adjacents.
660.cardName;Dresseur de bêtes
660.cardText;{gift} - Réduit le coût d'une Bête aléatoire de votre main de {faeria|5}.
661.cardName;Contrebandier Kobold
661.cardText;{corrupt} - Invoque un <b>Sbire de Seifer</b> 4/3 sur un terrain adjacent aléatoire.
662.cardName;Rage d'Ignus
662.cardText;Inflige {dynamic_number|0|0} points de dégâts répartis aléatoirement entre les ennemis.\nInflige +1 point de dégâts pour chaque fois où vous avez sélectionné +{faeria|1} dans la roue des pouvoirs durant la partie (tant que la carte est dans votre main ou dans votre deck).
663.cardName;Ritualiste Ignusi
663.cardText;{gift} - Réinitialise votre roue des pouvoirs.\n{corrupt} - Réinitialise votre roue des pouvoirs.
664.cardName;Glouton flamboyant
664.cardText;Gagne +1/+1 quand vous sélectionnez +{faeria|1} dans la roue des pouvoirs.
665.cardName;Vermine des Hautes-Landes
665.cardText;{gift} - Combat votre adversaire.
666.cardName;Mouche bouffie
666.cardText;{flying}\n{corrupt} - Ajoute une <b>Mouche bouffie</b> à votre main.
667.cardName;Engeance du Fléau
667.cardText;{charge|2}\n{production} - Si votre adversaire a 4 cartes ou plus en main, gagne +1/+1.
668.cardName;Esprit des sables torturé
668.cardText;{corrupt} - Augmente le coût de chaque carte dans la main de votre adversaire de {faeria|1}.
669.cardName;Vautour des Hautes-Landes
669.cardText;{flying}\n{gift} - Détruit une créature avec 1 PV et draine son attaque.
671.cardName;Anguille foudroyante
671.cardText;{flying}\n{gift} - Vous pouvez infliger 2 dégâts à une créature ennemie. Si elle est au-dessus de l'océan, lui en inflige 4 à la place.
676.cardName;Yak Vagabond
676.cardText;{gift} - Crée une prairie.\n{dash|1}
677.cardName;Gardienne de Yaks
677.cardText;{gift} - Donne +2/+0 et {charge|2} à 2 yaks alliés jusqu'à la fin du tour.
678.cardName;Yak d'Outreciel
678.cardText;{flying}\nA +2/+2 tant que vous avez 6 prairies.
679.cardName;Crapaud ballonné
679.cardText;{jump}\nEntre en jeu avec une <b>Grenouille</b> 2/2 ennemie avec {jump}, gobée.
680.cardName;Fantasmagorie miroitante
680.cardText;{gift} - Transforme une créature ennemie en <b>etnatiorim eirogamsatnaF</b> 5/3.
685.cardName;Chrysalide
685.cardText;{gift} - {swallow} une créature alliée.\n{production} - La créature gobée gagne +1/+1.\n{activate} - Détruisez cette structure.
686.cardName;Émissaire Verduralde
686.cardText;{last_words} - Donne +1/+1 à toutes les créatures de votre main.
692.cardName;Sauveur des humbles
692.cardText;{gift} - Donne +2/+2 et {divine} à une autre créature alliée avec exactement 1 point d'attaque.
694.cardName;Tête d'Hydre
694.cardText;{haste}\nMeurt à la fin du tour.
695.cardName;Yak protecteur
695.cardText;{flying}, {taunt}
696.cardName;Bébé Yak
696.cardText;{taunt}\nNe peut pas récolter de faeria.
697.cardName;Drakon des dunes
697.cardText;{charge|2}, {flying}\nNe peut pas récolter de faeria.
698.cardName;émroféD telfeR
698.cardText;{gift} - Transforme une créature alliée en <b>etnatiorim eirogamsatnaF</b> 3/5.
699.cardName;Rakoan
9991.cardName;Donne Célérité
9992.cardName;Encore plus de faeria
9992.cardText;Gagnez {faeria|100} et créez un territoire de chaque couleur de façon aléatoire.
9993.cardName;À mort !
9993.cardText;Inflige 100 points de dégâts.
9994.cardName;Montagne
9995.cardName;Lac
9996.cardName;Désert
9997.cardName;Forêt
9998.cardName;Prairie
9999.cardName;Orbe
682.cardName;Seigneur des marées
682.cardText;{jump}\nPeut être invoqué sur une case adjacente à un triton allié, et gagne alors +1/+1.
670.cardName;Souche hantée
670.cardText;À la fin de votre tour, si votre adversaire a 4 cartes ou plus dans sa main, vous piochez une carte et lui drainez un point de vie.
675.cardName;Lamacorne
675.cardText;{combat} - Chaque joueur pioche une carte et gagne 2 PV.
681.cardName;Tacticien Triton
681.cardText;{jump}\n{gift} - Gagne +1/+0 pour chaque triton allié adjacent.
683.cardName;Banquet animé
683.cardText;{dash|1}\nA la fin de votre tour, une créature adjacente aléatoire gobe cette créature et gagne +1/+1.
688.cardName;Kodama bourgeonnant
688.cardText;{gift} - Crée {green}{green}{green} aléatoirement.
689.cardName;Goupil Zéphyréen
689.cardText;À chaque fois que cette créature se déplace sur une {green}, vous pouvez la téléporter vers une {green} alliée.
691.cardName;Célébration de la Victoire
691.cardText;Chaque joueur gagne {faeria|1} de plus chaque tour durant le reste de la partie.
9989.cardName;Gagne Contrôle Terrain
9990.cardName;Gagne Contrôle
657.cardText;{flying}\nLes cartes de votre main sont {wild}.\n{gift} - Ajoute un équipier de Gagana aléatoire à votre main. Il coûte {faeria|0}.
657.cardName;Gagana, Oiseau Barque-en-Ciel
652.cardText;Chaque fois qu'une créature que vous contrôlez déclenche un effet de {corrupt}, vous drainez 2 PV à votre adversaire.
652.cardName;Prêtre asservi
9988.cardText;Donne {haste} à une créature.
9988.cardName;Chargez !
9987.cardText;{activate} - Pioche une carte.
9987.cardName;Tour de la sagesse
690.cardText;Lorsque Dwordia se déplace sur une {green}, vous pouvez la téléporter vers une {green} alliée. Il gagne alors +1/+1.
690.cardName;Dwordia, chef de la Tribu du Renard Argenté
687.cardText;{gift} - Donne +2/+4 à la prochaine créature que vous piochez.
687.cardName;Prêtre d'Éternité
684.cardText;Cette créature peut récolter de la faeria le tour où elle est jouée.\n{gift} - Vous pouvez déplacer le terrain de cette créature.
684.cardName;Têtard des coraux
674.cardText;{gift} - Gagne {taunt},{protection} et {divine} si Ulani est votre unique créature.
674.cardName;Ulani, Protecteur d'Outreciel
673.cardText;{gift} - Si vous n'avez plus de créatures dans votre deck, mélange <b>Radiance, Vaisseau Impérial</b> et 10 créatures neutres aléatoires dans votre deck. Elles gagnent +2/+2.
673.cardName;Banon, Capitaine du Radiance
9986.cardText;Défausser leur main
9986.cardName;Montrer la main de l'IA
800.cardText;Piochez une carte.\nAprès avoir joué trois <b>Cartes au Trésor</b>, {discover} un <b>Trésor de Gagana</b> à la place.\nCartes au Trésor jouées : {dynamic_number|0|0}.
800.cardName;Carte au Trésor
749.cardText;Bip bip.
749.cardName;Mecha
746.cardText;Bip boop.
746.cardName;Mecha
745.cardText;{taunt}, {divine}
745.cardName;Gardien
744.cardText;{taunt}, {divine}
744.cardName;Gardien
743.cardText;Invoque deux Gardiens +5/+5 avec {taunt} et {divine}.
743.cardName;Clé des Gardiens
742.cardText;{discover} une créature. Elle gagne +6/+6 et devient {wild}.
742.cardName;Clé des Géants
741.cardText;{options|{discover} une créature verte.|{discover} une créature bleue.|{discover} une créature rouge.|{discover} une créature jaune.}\nChoisissez une couleur. {discover} une créature de la couleur choisie. Elle devient {wild} et coûte {faeria|3} de moins.
741.cardName;Clé des Eléments
