ACCEPT;接受
SERVER_INFO_LAST_ANNOUNCEMENT;有最新的消息<u><link={0}>ici</link></u>。
SERVER_INFO_MAINTENANCE_SCHEDULED;服务器预定于{0}维护
SERVER_INFO_MAINTENANCE_IN_PROGRESS;我们的牦牛饲养员正在进行服务器维护。服务器会在大约在{0}重新上线
SERVER_INFO_NEW_VERSION_CHANGELOG;有最新的补丁说明<u><link={0}>ici</link></u>。
SERVER_INFO_SERVER_IS_DOWN;服务器关闭
SERVER_IP;Ip服务器
SETTING_ANIMATED_BACKGROUND;动画背景:
SETTING_BUTTON_TEXT_EXIT;退出
SETTING_BUTTON_TEXT_OPTIONS;选项
SETTING_BUTTON_TEXT_PAUSE;暂停
SETTING_MUTE_IN_BACKGROUND;背景静音
SETTING_PERMANENT_DECK_HAND_INFO;永远显示套牌/手牌信息
SETTING_POWER_SAVING_MODE;省电模式
SETTING_TEXT_AUDIO_TITLE;音量选项
SETTING_TEXT_GAMEPLAY_TITLE;游戏选项
SETTING_TEXT_VIDEO_TITLE;视频选项
SETTING_TOGGLE_TEXT_MUTE_EMOTES;无视表情
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;显示地块数目
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;显示表情
SETTING_WINDOWED;窗口化:
SET_RECRUITER_NAME;以招募人员的身份添加一位好友，你们两位在Faeria的旅途中都能获得惊喜的奖励！\n关于更多的信息 <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>。
SHOP;点击 打开一个宝箱
SHOP_ANNUITY_DAYS_LEFT;还有{0}天
SHOP_INPUT_FIELD_HINT_COUPON;输入你的代金券
SIGN_IN;登录
SIGN_OUT;登出
SOLO_COMPLETED;任务完成！
SPECTATORS_CANNOT_PAUSE;观看者不能暂停游戏
SPECTATOR_JOINED_GAME;{0}已经作为观察者加入
SPECTATOR_LEFT_GAME;观察者{0}离开了游戏
STOP_SPECTATING;停止观察
SURRENDER;投降
TOPBAR_BUTTON_PLAY;开始游戏
TUTORIAL_DECK_CREATED;这是你的新套牌！
TUTORIAL_DECK_CREATED_BACK;按后退按钮来选择你的游戏模式
UPDATE_VERSION_OUTDATED;你的客户端需要更新了。
UPDATE_VERSION_TIP_IOS;*如果需要版本在应用商店不存在的话，你需要等待。
USER_NAME_WELCOME;欢迎来玩Faeria！\n你要怎么称呼？
USE_THIS_SET;运用预设套牌
USE_TIMEBANK;使用时间限制
WELCOME_BUTTON_TEXT_ENTER_GAME;登录
WELCOME_BUTTON_TEXT_EXIT;退出
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;官网
WELCOME_BUTTON_TEXT_STEAM_LOGIN;点击 任何地方登录
WELCOME_BUTTON_TEXT_START_AS_GUEST;作为游客开始
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;我已经拥有了一个账户
WELCOME_INPUT_FIELD_HINT_PASSWORD;密码
WELCOME_INPUT_FIELD_HINT_SERVER_IP;服务器Ip
WELCOME_INPUT_FIELD_HINT_USERNAME;账号名
WELCOME_USE_ANOTHER_ACCOUNT;登出
WINNER;冠军
WORLD_BOSS_OBJECTIVE_PROGRESS;击败3个首领({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;解锁冠军神座
WORLD_BOSS_OBJECTIVE_TEXT2;升级你的冠军神座
WORLD_BOSS_OBJECTIVE_TITLE;世界任务
WORLD_BOSS_REWARD;首领奖励
WORLD_LOCATION;地点
XP;{0}经验
YOU_PLAY_FIRST;你是先手
YOU_PLAY_SECOND;你是后手
CARD_WAS_PROMOTED_AS_DECK_COVER;此卡被选为套牌封面。
CURRENT_DECK_COVER;目前的卡组封面。
PROMOTE_DECK_COVER;设定为卡组封面
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;设定为卡组封面
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;查看文献页面。
LORE_BOOK_EXPLANATION_TEXT;收集故事碎片，探索Faeria历史中的传奇与奥秘。
LORE_PAGE_ARTISTS;<b>画师</b> {0}
LORE_PAGE_NOT_AVAILABLE;你必须达到{0}级才能查看故事集。
CO_OP_LOBBY;合作大厅
LOBBY_CRUCIBLE_RULES_TITLE;试炼规则
LOBBY_DECK_FORMAT;卡组模式
LOBBY_DECK_FORMAT_CLASSIC;经典
LOBBY_DECK_FORMAT_CRUCIBLE;试炼
LOBBY_MINUTES_PER_GAME;每场比赛分钟数：
LOBBY_SECONDS_PER_TURN;每回合限时
LORE_BOOK_EMPTY_SECTION;区域没有结果
LORE_PAGE_NOT_YET_AVAILABLE;本故事页面尚不可用
LOBBY_GO_TO_COLLECTION;前往牌库
LOBBY_START_OVER;重新开始
PROMPT_LOBBY_BACK_CONFIRMATION;这将会使所有人回到大厅设定界面，继续吗？
PROMPT_LOBBY_START_OVER_CONFIRMATION;这将重置本大厅的记分并解锁设定功能，继续吗？
REGISTER_YOUR_DECKS;注册您的套牌！
TOURNAMENT_DECKS_REGISTERED;注册成功！
LORE_BOOK_UNAVAILABLE_TOOTIP;在级别{0}解锁
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;在Steam上为我们评分
HOME_CREDITS_BUTTON_TEXT;致谢名单
PROMPT_FRIEND_CALLED;一封邮件已经寄给了你失去的牦牛伙伴。\n你可以通过你喜欢的交牛平台联系他 - 他只需要登陆就行了！
PROMPT_FRIENDS_CALLED;一封邮件已经寄给了你失去的{0}位牦牛伙伴们。\n你可以通过你喜欢的交牛频道联系他们 - 他们只需要登陆就行了！
FRIEND_CALL_SEND;发送
FRIEND_CALL_NO_ELIGIBLE;你已经邀请过你所有的好友了！
FRIENDLIST_CALL_FRIEND;邀回你的好友！
MAINMENU_TITLE_PUZZLES;谜题
SETTING_CLEAR_CACHE;清除缓存
CACHE_CLEARED;该操作将在重启游戏后生效。
CACHE_CLEAR_FAIL_PERMISSION;操作失败，请尝试以管理员模式启动Faeria。
CACHE_CLEAR_FAIL_IN_USE;操作失败，文件正在使用 - 重启你的电脑再试一次。
XP_WITH_NEXT_LEVEL;{0}/{1}经验
SET_COSMETICS;饰品套装
PLAY_MENU_SOLO_DRAGONS_LAIR;巨龙巢穴
MARKET_ITEM_SPECIAL_PROMO;特别推荐
MARKET_ITEM_COMPLETE_YOUR_SET;集齐套装！
DRAGON_TODAYS_CHALLENGES;今日挑战
DRAGON_SOLO_MISSION;单人关卡
DRAGON_REWARD;巨龙的赏金
DRAGON_CO_OP_MISSION;合作关卡
APPLY;确定
MOUSE_PROMPT_CLICK_ANYWHERE;点击任意位置以继续
PLAY_MENU_SOLO_WORLDBOSS_INFO;活用你的卡组构筑技术，挑战高难度的boss关卡。
PLAY_MENU_SOLO_STANDARD_INFO;在各种任务包里学习Faeria对战技艺。
PLAY_MENU_SOLO_OVERSKY_INFO;合作战役！与好友或AI盟友并肩作战。
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;每日挑战！每天都可以来挑战新的巨龙。包含单人与合作关卡。
MAINMENU_TITLE_SOLO_INFO;在单人挑战与合作关卡里探索Faeria的世界！
MAINMENU_TITLE_PUZZLES_INFO;挑战谜题关卡，学习对战机谋。
MAINMENU_TITLE_PANDORA_INFO;轮抽模式。尝试最新单卡，抓取你的潘多拉套牌。看你能坚持到哪一关！
MAINMENU_TITLE_BATTLE_INFO;经典模式。在休闲或排名模式与其他玩家对战，或者来一场AI练习赛。
MOUSE_HOME_LINKS_INFO;点击这里进入官网，了解最新最重要的Faeria新闻。
DEFAULT_BUTTON_TEXT;默认
BACK_TO_WORLD_BOSSES;回到世界boss
BACK_TO_PUZZLES;回到谜题
BACK_TO_PANDORA;回到潘多拉
BACK_TO_OVERSKY;回到云巅
BACK_TO_MISSIONS;回到任务页面
BACK_TO_DRAGONS_LAIR;回到巨龙巢穴
BACK_TO_BATTLE;回到战场
LORE_BOOK_TOGGLE_TEXT;故事集
SHOW;显示
INGAME_OPPONENT_DISCOVERING_CARD;你的对手正在发现卡牌。
INGAME_ALLY_DISCOVERING_CARD;你的盟友正在发现卡牌。
HIDE;隐藏
GEMS_INFO_POPUP_DESCRIPTION;你现在只能通过一些特殊事件来获得宝石。
GEMS_INFO_POPUP_TITLE;关于宝石
SHORTCUT_TEXT_TOGGLE;切换
SHORTCUT_TEXT_MODIFY_SLIDER;修改滑块
SHORTCUT_TEXT_CLOSE;关闭
SETTING_TEXT_LANGUAGE_TITLE;语言
SERVER_INFO_UNAVAILABLE;服务器当前不可用
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;不允许{0}聊天
YOUR_SUPPORT_ID;你的id：
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;出现问题，需要重新启动游戏
MOUSE_PROMPT_CLICK_TO_CLOSE;点击以关闭
LOADING_HERDING_YAKS;放牧牦牛
LOADING_DOWNLOADING_CONTENT;正在下载内容
LOADING_CHECKING_CONTENT;正在检查内容
GAMEPAD_PROMPT_CLICK_TO_CLOSE;按{GAMEPAD_ACTION_CANCEL}以关闭
GAMEPAD_PROMPT_CLICK_ANYWHERE;按{GAMEPAD_ACTION_CONFIRM}以继续
GAMEPAD_HOME_LINKS_INFO;按{GAMEPAD_ACTION_CONFIRM}以阅读来自官方博客的要闻。
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;多个好友正使用该用户名。请转而使用好友列表上下文菜单与此人聊天。
GO_TO_STORE_BUTTON_TEXT;前往商店
CHAT_ERROR_MESSAGE_REFUSED;你的消息因包含的内容而自动被收件人的平台拒收。
CHAT_ERROR_SANITIZATION_ERROR;你的消息因包含的内容而被拒。
ID_COPIED_TO_CLIPBOARD;ID已复制到剪贴板。
SPECIAL_LADDER_MAPS_EVENT_TITLE;特殊天梯地图
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;未知玩家
PLAYER;玩家
NOT_ENOUGH_COINS;你的碎片不够。
NOT_ENOUGH_GEMS;你的宝石不够。
LADDER_RANKED_BUTTON;已排名
LADDER_PANDORA_BUTTON;潘多拉
HOME_LADDER_BUTTON_TEXT;天梯
COSMETIC_ITEM_NOT_OWNED;你没有该饰品
