1.cardName;农场男孩
368.cardText;给予目标:\n- 生物: -2/-1\n- 建筑: 3点伤害\n- 神明: 4点生命值
369.cardName;辉幻蜃像
369.cardText;{charge|2}\n每当你召唤一个消耗小于或等于{faeria|1}的生物，此生物获得召唤生物的攻击和生命(在套牌或手牌中)。
370.cardName;深林潜伏者
370.cardText;{gift} - 该生物可以与目标敌方生物交战。
371.cardName;克罗格的晚饭
371.cardText;你的克罗格费用减少 {faeria|7}。 当你召唤出克罗格时，摧毁此生物。\n{gift} - 若克罗格已死亡或者尚在你的套牌中，将其抽入至你的手牌。
372.cardName;伊欧娜的微笑
372.cardText;抽取牌堆顶端的2张{flying}生物。
400.cardName;潘多拉碎片
401.cardName;潘多拉觉醒
401.cardText;潘多拉大门已打开，双方玩家都将得到一个 <b>宝藏</b>！
402.cardName;找到宝藏了！
402.cardText;双方玩家都将得到一个 <b>宝藏</b>！\n抽一张卡。
403.cardName;黑暗水晶
403.cardText;从敌方神明吸取4点生命，对所有敌方生物造成3点伤害，抽2张卡。
404.cardName;牛角战号
404.cardText;召唤三头拥有{haste}的2/4<b>愤怒的草原牦牛</b>。
405.cardName;星际武器
405.cardText;{flying}\n{gift} - 摧毁所有相邻生物，建筑物以及地块。
406.cardName;時之笛
406.cardText;此回合结束后，获得额外一个回合。
407.cardName;神灯
407.cardText;{options|增加3张绿色随机卡到你的手牌，他们消耗减少{faeria|3}|增加3张蓝色随机卡到你的手牌，他们消耗减少{faeria|3}|增加3张红色随机卡到你的手牌，他们消耗减少{faeria|3}|增加3张黄色随机卡到你的手牌，他们消耗减少{faeria|3}}\n选择一种颜色，增加3张此颜色随机卡到你的手牌里，他们消耗减少{faeria|3}。
408.cardName;加百兰的骨灰瓮
408.cardText;抽2张卡并且获得{faeria|2}。
409.cardName;伊欧娜的镜子
409.cardText;添加2张敌方最后使用的 <b>宝藏</b>， 复制卡到你的手牌中。
410.cardName;血石魔像
410.cardText;{production} - 刷新所有灵泉。\n每当收集faeria时，对敌方神明造成1点伤害。
411.cardName;宫廷高脚杯
411.cardText;随机分散+6/+6到的友方生物身上。
412.cardName;艾瑞顿之鼓
412.cardText;给予你所有生物 +2/+2，不论他们在哪里。
413.cardName;吐云机器
413.cardText;友方生物拥有{flying}、{jump}和+1/+0。
414.cardName;领主之戒
414.cardText;{options|将一个地块转化成{green}，获得其控制权。|将一个地块转化成{blue}，获得其控制权。|将一个地块转化成{red}，获得其控制权。|将一个地块转化成{yellow}，获得其控制权。}\n根据你的选择转化一个地块的颜色。获得其控制权。
415.cardName;世界之泪
415.cardText;把一个攻击过神明的生物转化成一个带有{flying}的10/10 <b>天空吞噬者</b>。
416.cardName;发条牦牛
416.cardText;{dash|2}
417.cardName;天平机器
417.cardText;{gift} - 你获得6点生命。\n{last_words} - 对敌方神明造成6点伤害。
418.cardName;玛格妲的玫瑰
418.cardText;获得一个敌方生物的控制权。
419.cardName;奥罗拉的茶壶
419.cardText;将所有友方生物的数值转化为6/6.
420.cardName;幸运之石
420.cardText;洗入3张随机 <b>宝藏</b> 卡到你的套牌里。
421.cardName;神秘力量
421.cardText;给予一个生物 +4/+4， {flying}， 和 {charge|3}。
422.cardName;虚空守护者
422.cardText;{gift} - 摧毁你的套牌。
423.cardName;水晶龙
423.cardText;{flying}, {charge|3}
424.cardName;爆裂的红宝石
424.cardText;{options|造成3点伤害|对一切造成3点伤害}\n- 造成3点伤害。\n- 对一切造成3点伤害。
425.cardName;毁灭之锤
425.cardText;造成5点伤害，<b>毁灭之锤</b> 会重新洗入你的套牌。
426.cardName;火焰撼地器
426.cardText;{gift} - 对所有敌人造成2点伤害。每摧毁一个敌人，获得+2/+2。
427.cardName;死亡渴望
427.cardText;摧毁一个生物。它的控制者获得与其费用相等的 {faeria|1} 并抽两张卡。
428.cardName;瓶装闪电
428.cardText;对一个生物造成 6 点伤害并且对它相邻敌人造成 3 点伤害。
429.cardName;舞动之刃
429.cardText;{flying}, {jump}\n在你回合结束时，对临近的敌方造成3点伤害。
430.cardName;恶魔之镰
430.cardText;摧毁1个生物。在这个位置召唤一个 6/1 <b>杀戮恶影</b>。
431.cardName;镶饰之鹊
431.cardText;{flying}, {haste}\n每当此生物攻击神明，添加一张随机 <b>宝藏</b> 牌到你的手牌中。
432.cardName;混乱之轮
432.cardText;{options|摧毁2块空旷地块|摧毁一个小于或等于5攻击力的生物|获得7点生命}\n- 摧毁2块空旷地块。\n- 摧毁一个小于或等于5攻击力的生物。\n- 获得7点生命。
433.cardName;乌拉妮的奖章
433.cardText;选择一个友方生物。其他所有友方生物变成该生物的复制。
500.cardName;猴子精
500.cardText;{taunt}\n{gift} - 在你对手的下个回合，每当敌方生物收集faeria，此生物获得 +2/+2。
501.cardName;无畏探险者
501.cardText;{gift} - 添加一个 <b>探索</b> 卡牌到每个玩家手中。
502.cardName;水晶花
502.cardText;{gift} - {swallow} 一个生物。\n在你的回合结束时，对此建筑造成1点伤害。
503.cardName;投牛车
503.cardText;{ranged_attack}\n每当攻击，在被攻击目标周围随机的空位召唤一个 2/2 <b>愤怒的牦牛</b>。
504.cardName;呱呱，友善的矿工
504.cardText;{gift} - 为你的盟友手牌中增加一个随机宝藏。
505.cardName;莫比，蔚蓝天鲸
505.cardText;{flying}，{charge|3}\n无法收集 faeria。\n{gift} - {swallow} 一个生物。
506.cardName;气球鱼
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} 一个友方生物。如果不成功，则此生物死亡。
507.cardName;帝王凯欧思
507.cardText;{production} - 给予所有敌方生物 -1/-0。 然后摧毁所有0点攻击的敌方生物。
508.cardName;天堂之种
508.cardText;{flying}, {dash|1}\n{gift} - {options|当此生物在海洋上收集了faeria，自毁并且创造{green}|当此生物在海洋上收集了faeria，自毁并且创造{blue}|当此生物在海洋上收集了faeria，自毁并且创造{red}|当此生物在海洋上收集了faeria，自毁并且创造{yellow}}\n当此生物在海洋上收集faeria，自毁并且创造一块你所选颜色的地块。
509.cardName;永生之树
509.cardText;{production} - 给予7点生命。\n给予手牌中一个随机生物 +7/+7。
510.cardName;瑞寇的礼物
510.cardText;给予目标生物与友方生物数量相等的 +1/+1。
511.cardName;好奇的生物医师
511.cardText;{gift} - 地图上每有一个敌方生物，抽一张非蓝色生物牌。
512.cardName;福咕噜，不可思议的商人
512.cardText;{jump}\n{gift} - {options|抽一张 <b>加百兰的骨灰瓮</b>|抽一张 <b>水晶龙</b>|抽一张 <b>乌拉妮的奖章</b>}\n- 抽一张 <b>加百兰的骨灰瓮</b>\n- 抽一张 <b>水晶龙</b>\n- 抽一张 <b>乌拉妮的奖章</b>
513.cardName;跳跳蛙
513.cardText;{jump}\n{gift} - 如果你控制大于或等于8个特殊地块，此生物获得 +3/+3。
514.cardName;抓钩
514.cardText;本回合给予一个生物 {ranged_attack}。它攻击过后，你可以把它移动到被攻击目标相邻的地块。
515.cardName;瑞寇狂欢者
515.cardText;{last_words} - 获得与此生物的攻击力相等的 {faeria|1}
516.cardName;CAP-10, 天际海盗
516.cardText;{combat} - 抽一张 <b>金属赠礼</b>。如果没有，加一张到套牌。
517.cardName;闪光三文鱼
517.cardText;{divine}, {flying}, {haste}, {charge|2}\n不能收集faeria。\n在你回合结束，摧毁这个生物并且抽一张卡。
518.cardName;鹰鲂骑士
518.cardText;{flying}\n{last_words} - 在此生物死亡的地方，召唤一只2/2具有{flying}和{charge|2}的<b>鹰鲂</b>。
519.cardName;伊斯塔努，永恒之光
519.cardText;{flying}, {charge|3}\n{last_words} - 一个随机友方生物变成新的<b>伊斯塔努</b>。
520.cardName;变形章鱼
520.cardText;{options|获得 +2/+0。|获得 +0/+2。|获得 {jump}。|获得 {taunt}。}，两次:\n- 获得 +2/+0\n- 获得 +0/+2\n- 获得 {jump}\n- 获得 {taunt}
521.cardName;投蛙者
521.cardText;{gift} - 与目标敌方生物交战，在目标生物周围的随机空地上召唤一只2/2具有{jump}的<b>青蛙</b>。
522.cardName;天堂之路
522.cardText;{options|创造{green}|创造{blue}|创造{red}|创造{yellow}}\n- 创造一块特殊地块。\n本回合召唤在上面的生物获得+2/+0。
523.cardName;翡翠蝾螈
523.cardText;{gift} - 对周围敌方生物造成2点伤害。 给予周围友方生物 +2/+2。
524.cardName;云巅守护 剑鱼
524.cardText;{flying}， {taunt}， {dash|1}
525.cardName;蜂拥鲫鱼
525.cardText;{flying}\n可以召唤在友方生物周围。\n{gift} - 在这场游戏中，每死亡一只蜂拥鲫鱼，便召唤一只 <b>蜂拥鲫鱼</b>。
526.cardName;守梦人
526.cardText;{taunt}\n{gift} - 降低手牌中所有卡牌消耗 {faeria|1}， 然后把他们放回套牌，并且抽取同样牌数卡牌。
527.cardName;宝石壳龟
527.cardText;{gift} - 抽一张卡，然后复制它。并将它们的费用减少 {faeria|2}。
528.cardName;鹰鲂飞行小队
528.cardText;当你抽到这张卡时，复制它。\n召唤一个拥有{flying} 以及 {charge|2} 2/2 <b>鹰鲂</b>。
529.cardName;云巅拖船
529.cardText;{flying}, {dash|1}\n每当它要离开陆地，它会带着脚下陆地一块移动。
530.cardName;瑞寇酋长
530.cardText;{dash|1}\n相邻的友方生物+1/+0。
531.cardName;天空海葵
531.cardText;{flying}, {taunt}\n可以被召唤到任意地方。
532.cardName;乌拉妮，云巅萨满
532.cardText;{gift} - 抽一张绿卡，蓝卡，红卡和黄卡。
549.cardName;现实粉碎者
549.cardText;{flying}\n{production} -此建筑获得2点生命。\n当此建筑物拥有大于或等于10点生命时， <b>使游戏崩溃</b>。
550.cardName;水晶花
550.cardText;一个囚犯被囚禁在里面
551.cardName;水晶花
551.cardText;一个囚犯被囚禁在里面
552.cardName;水晶花
552.cardText;一个囚犯被囚禁在里面
553.cardName;飞天鹰鲂
553.cardText;{flying}， {charge|2}
555.cardName;愤怒牦牛
556.cardName;你是大赢家！
556.cardText;对你的对手造成100点伤害。
557.cardName;大帝王凯欧思
557.cardText;{production} - 给予所有地方生物-1/-0。 然后摧毁所有攻击力为0的敌方生物。
601.cardName;拉雅，悲怆之女
601.cardText;{deathtouch}\n{last_words} - 在拉雅的位置上召唤一座<b>闪烁雕像</b>。
602.cardName;帝国驭龙者
602.cardText;{flying}, {charge|2}\n{corrupt} - 获得+2/+2。
603.cardName;疯狂猴子
603.cardText;{gift} - 清空所有灵泉。获得与被清空的灵泉数量相等的+1/+1。
604.cardName;帝国突击兵
604.cardText;{corrupt} - 获得此生物所在地块的控制权。
605.cardName;失落探险者
605.cardText;{corrupt} -抽一张卡并获得 {faeria|1}.
606.cardName;腐刃骑士
606.cardText;当此生物受当伤害时，你也受到相等的伤害。
607.cardName;影丝仙灵
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - 从牌堆里抽取2张事件牌。
608.cardName;凯欧思，偏执主宰者
608.cardText;{divine}\n凯欧思的攻击力永远等同于其生命值。\n{corrupt} - 吸取<b>所有事物</b>1点生命。
609.cardName;鱼雨
609.cardText;于随机位置召唤6条<b>红宝石鱼</b>。 每条着落在陆地上的鱼将对其相邻的敌人造成1点伤害。
610.cardName;飞行食人鱼
610.cardText;{flying}\n当一个相邻的生物死亡时，此生物获得 {deathtouch} 和 {jump}。
611.cardName;残暴九头蛇
611.cardText;{corrupt} - 在每个相邻的地块上召唤拥有{haste} 的2/1<b>九头蛇之头</b>。它们在回合结束时死亡。
612.cardName;闹鬼垂柳树人
612.cardText;{taunt}
613.cardName;腐化野猪
613.cardText;{dash|1}\n{corrupt} - 抽取牌堆最顶端的具有5点或以上生命值的生物。给予其+2/+2。
614.cardName;猫又
614.cardText;{taunt}\n{corrupt} - 此生物的攻击力翻倍。
615.cardName;巴尔杜里翁，邪恶大铁匠
615.cardText;{protection}\n{corrupt} - 将一张<B>毁灭之锤</b>加入到你的手牌。
616.cardName;愤怒仙灵
616.cardText;{last_words} - 对自己造成2点伤害。
617.cardName;浩劫
617.cardText;对目标敌方生物或建筑造成9点伤害
618.cardName;魔化三文鱼
618.cardText;{haste}, {flying}, {charge|2}\n不能收集faeria\n每当此生物攻击神明，获得+1/+1。
619.cardName;灵魂盗窃
619.cardText;吸取目标敌方生物1点生命值。若目标因此死亡，将它复制并加入你的手牌，它的费用转化为{wild}。
620.cardName;所罗姆
620.cardText;{flying}, {divine}\n{corrupt} - 摧毁一座灵泉。
622.cardName;众牛之母
622.cardText;{gift} - 在众牛之母周围召唤两个具有{taunt}和{flying}的4/4<b>牦牛护卫</b>。\n在本场游戏中，每当友方牦牛死亡时此卡费用减少{faeria|1}。
623.cardName;瑞寇斗士
623.cardText;{dash|2}\n{gift} - 获得与场上的友方瑞寇数量相等的+1/+1。
624.cardName;孤儿蛙
624.cardText;当你控制另一个野兽时，此生物获得+2/+0和{jump}。
625.cardName;拉帕拉，蠢若木鱼
625.cardText;{aquatic}\n{gift} - 给对手的手牌塞满<b>红宝石鱼</b>。 真是太蠢了。
626.cardName;蓝宝石牦牛
626.cardText;每当一只友方牦牛在敌方灵泉收集faeria时，令其获得+2/+2。
627.cardName;追猎
627.cardText;给予一只友方野兽+2/+0。然后其与与目标敌方生物交战。
628.cardName;翡翠牦牛
628.cardText;{gift} - 在你的平原召唤一个拥有1/1{taunt}但<b>无法收集faeria</b>的<b>牦牛宝宝</b>。
629.cardName;玛基纳塔，永生之灵
629.cardText;{protection}，{divine}\n{gift} - 令目标友方生物吞噬玛基纳塔，给予目标生物+5/+5，{flying}和{charge|2}。
630.cardName;炎涌蝾螈
640.cardName;瑞寇直升机
640.cardText;{flying}, {dash|1}\n{gift} - 对周围敌方生物造成2点伤害。
641.cardName;红宝石牦牛
641.cardText;每当一个友方牦牛受到伤害，对敌方神明造成1点伤害。
642.cardName;幽灵龙
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;狮子鱼
643.cardText;{flying}, {deathtouch}
644.cardName;黄玉牦牛
644.cardText;可以在友方牦牛周围召唤此生物。若这么做，此生物获得{haste}。
645.cardName;瑞寇战争机器
645.cardText;{charge|2}\n{gift} - 此生物可以{swallow}另一个友方瑞寇以获得+2/+0。
646.cardName;瑞寇炮手
646.cardText;{gift} - 你可以牺牲另一只瑞寇。当你如此做，该生物对一个敌方生物造成3点伤害。
647.cardName;瑞寇幻术师
647.cardText;{gift} - 在你的下回合开始为止，你可将另一个友方瑞寇转化为一个拥有{flying}和{charge|2}的4/4<b>沙丘幼龙</b>。
648.cardName;瑞寇护盾牌队友
648.cardText;{last_words} - 在此生物死亡的位置召唤一个1/1瑞寇。
649.cardName;瑞寇领军者
649.cardText;{combat} - 随机给予你手中的一个瑞寇+1/+1。
650.cardName;瑞寇征募官
650.cardText;{gift} - 将一张1/1的瑞寇放入你的手牌。其费用为{faeria|0}。
653.cardName;诅咒之塔
653.cardText;{activate} - 给予一个生物-1/-1。 对此建筑造成1点伤害。
654.cardName;啸憎，天空吞噬者
654.cardText;{flying}， {charge|3}\n当啸憎首次将要通过战斗摧毁生物时，改为吞噬该生物，并获得其控制权。
655.cardName;帝国前哨站
655.cardText;所有友方中立生物拥有+1/+0。
656.cardName;毁灭截击
656.cardText;对目标生物造成2点伤害。 若目标是{flying}生物，则对其造成5点伤害。
658.cardName;光辉号，云巅之灾
658.cardText;{flying}\n{gift} - 下个回合，敌方生物无法移动。
659.cardName;爆裂河马
659.cardText;{combat} - 对所有相邻的敌人各造成2点伤害。
660.cardName;野兽训练师
660.cardText;{gift} - 将你手牌中的一张随机野兽的消耗减少{faeria|5}。
661.cardName;地精走私者
661.cardText;{corrupt} - 在一个随机相邻地块召唤一只4/3的<b>塞弗的死士</b>。
662.cardName;伊恩尼斯之怒
662.cardText;造成{dynamic_number|0|0}点伤害，随机分配给敌人。\n本局游戏中，你每从神力轮中选择+{faeria|1}，此牌的伤害增加1点（在手牌或套牌中生效）。
663.cardName;伊恩尼斯祭司
663.cardText;{gift} - 刷新你的神力轮。\n{corrupt} - 刷新你的神力轮。
664.cardName;燥火者
664.cardText;每当你从神力轮中选择+{faeria|1}时，此生物获得+1/+1。
665.cardName;荒空害虫
665.cardText;{gift} - 与敌方神明交战。
666.cardName;腐秽肿蝇
666.cardText;{flying}\n{corrupt} - 添加一张<b>腐秽肿蝇</b>到你的手牌。
667.cardName;枯芜幽鬼
667.cardText;{charge|2}\n{production} - 如果你的对手有4张或更多的手牌，此生物获得+1/+1。
668.cardName;携尘幻影
668.cardText;{corrupt} - 你对手的所有手牌消耗各增加{faeria|1}。
669.cardName;荒空秃鹰
669.cardText;{flying}\n{gift} - 摧毁一个生命值为1的生物，并吸取它的攻击力。
671.cardName;雷霆鳗鱼
671.cardText;{flying}\n{gift} - 你可以对目标生物造成2点伤害。如果该生物位于海洋上，则对它造成4点伤害。
676.cardName;游荡牦牛
676.cardText;{gift} - 创造一块平原。\n{dash|1}
677.cardName;牧牛女
677.cardText;{gift} - 给予两只友方牦牛+2/+0与{charge|2}直到回合结束。
678.cardName;云巅牦牛
678.cardText;{flying}\n当你控制六块平原时，获得+2/+2
679.cardName;肿胀蟾蜍
679.cardText;{jump}\n该生物与一只被它吞噬的敌方2/2<b>青蛙</b>一同入场。
680.cardName;窥镜幻灵
680.cardText;{gift} - 将一只敌方生物转化为5/3的<b>灵幻镜窥</b>。
685.cardName;茧
685.cardText;{gift} - {swallow}一个友方生物。\n{production} - 被吞噬的生物获得+1/+1。\n{activate} - 摧毁该建筑。
686.cardName;苍绿密使
686.cardText;{last_words} - 令你手牌中的所有生物获得+1/+1。
692.cardName;弱者的救星
692.cardText;{gift} - 给予另一只攻击力为1的友方生物+2/+2和{divine}。
694.cardName;九头蛇之头
694.cardText;{haste}\n在回合结束时死亡。
695.cardName;牦牛护卫
695.cardText;{flying}, {taunt}
696.cardName;牦牛宝宝
696.cardText;{taunt}\n不能收集faeria。
697.cardName;沙丘幼龙
697.cardText;{charge|2}, {flying}\n不能收集faeria。
698.cardName;灵幻镜窥
698.cardText;{gift} - 将一只除自身外的友方生物转化成3/5的<b>窥镜幻灵</b>。
699.cardName;瑞寇
9991.cardName;给予急速
9992.cardName;给我力量
9992.cardText;获得 {faeria|100} 并且每种颜色地块随机位置创造一块。
9993.cardName;你去死吧！
9993.cardText;造成100点伤害。
9994.cardName;火山
9995.cardName;湖泊
9996.cardName;沙漠
9997.cardName;森林
9998.cardName;草原
9999.cardName;神座
682.cardName;潮汐之主
682.cardText;{jump}\n可以召唤在友方崔顿周围。如果这样做，该生物获得+1/+1。
670.cardName;闹鬼枯木
670.cardText;在你的回合结束时，如果你的对手拥有4张或更多的手牌，抽一张牌并吸取敌方神明1点生命。
675.cardName;独角羊驼
675.cardText;{combat} - 每个玩家抽一张牌并获得2点生命。
681.cardName;崔顿策士
681.cardText;{jump}\n{gift} - 每有一只相邻的友方崔顿，该生物获得+1/+0
683.cardName;行走盛宴
683.cardText;{dash|1}\n在你的回合结束时，令一只随机相邻友方生物吞噬此生物，并获得+1/+1。
688.cardName;绽放木灵
688.cardText;{gift} - 随机创造{green}{green}{green}。
689.cardName;柔风灵狐
689.cardText;每当该生物移动到{green}上时，你可以将其传送到一块你控制的{green}上。
691.cardName;胜利庆典
691.cardText;每个玩家在本局游戏接下来的每一回合均获得额外{faeria|1}。
9989.cardName;获得地块控制权
9990.cardName;获得控制权
657.cardText;{flying}\n你手牌中的卡为{wild}。\n{gift} - 将一张随机的嘎嘎娜船员加入你的手牌中，其费用为{faeria|0}。
657.cardName;嘎嘎娜，彩虹鸟船
652.cardText;每当你控制的生物触发{corrupt}能力，吸取敌方神明2点生命。
652.cardName;被奴役的祭司
9988.cardText;给予一个生物{haste}。
9988.cardName;冲锋！
9987.cardText;{activate} - 抽一张牌。
9987.cardName;知识之塔
690.cardText;每当德沃迪亚移动到{green}上时，你可以将其传送到一块你控制的{green}上。若如此做，他获得+1/+1。
690.cardName;德沃迪亚，灵狐族长
687.cardText;{gift} - 给予你抽取的下一个生物+2/+4。
687.cardName;永生牧师
684.cardText;该生物可以在被打出的回合收集faeria。\n{gift} - 你可以移动该生物所在的地块。
684.cardName;珊瑚蝌蚪
674.cardText;{gift} - 如果乌拉妮是你唯一的生物，她获得{taunt}，{protection}和{divine}。
674.cardName;乌拉妮，云巅捍卫者
673.cardText;{gift} - 如果你的套牌中已没有生物剩余，将<b>光辉号，帝国无敌飞艇</b>与10只随机中立生物洗入你的套牌。它们获得+2/+2。
673.cardName;班农，光辉号舰长
9986.cardText;弃置他们的手牌
9986.cardName;显示AI手牌
800.cardText;抓一张牌。\n当你打出第三张<b>藏宝图</b>时，改为{discover}一张<b>嘎嘎娜的宝藏</b>。\n已打出{dynamic_number|0|0}张<b>藏宝图</b>。
800.cardName;藏宝图
749.cardText;哔哔哔哔
749.cardName;机人
746.cardText;哔哔嘟嘟
746.cardName;机人
745.cardText;{taunt}，{divine}
745.cardName;守卫者
744.cardText;{taunt}，{divine}
744.cardName;守卫者
743.cardText;召唤两只5/5具有{taunt}和{divine}的<b>守卫者</b>。
743.cardName;守卫者之钥
742.cardText;{discover}一张生物。它获得+6/+6并转化为{wild}。
742.cardName;巨人之钥
741.cardText;{options|{discover}一张绿色生物。|{discover}一张蓝色生物。|{discover}一张红色生物。|{discover}一张黄色生物。}\n选择一个颜色。{discover}一张该颜色的生物。它的消耗减少{faeria|3}并转化为{wild}。
741.cardName;元素之钥
740.cardText;{divine},{flying},{dash|5}\n可以召唤在任意位置。
740.cardName;守卫者之矛
739.cardText;你的手牌消耗减少{faeria|1}。
739.cardName;顺从虚影
738.cardText;{flying}，{dash|5}\n{gift} - 将你的手牌塞满<b>极速疾风</b>。它们转化为{wild}。
738.cardName;魔毯
737.cardText;{gift} - {swallow}一个友方生物。\n{production} - 被吞噬的生物获得+4/+4。\n{activate} - 摧毁该建筑。
737.cardName;水晶茧
736.cardText;{charge|3}，{flying}\n{gift} - 撕碎你牌组中所有的<b>藏宝图</b>。每撕碎一张，该生物获得+1/+1。\n可撕碎{dynamic_number|0|0}张。
736.cardName;远古石像鬼
735.cardText;{charge|5}，{flying}\n{last_words} - 对相邻所有敌人造成5点伤害。
735.cardName;泰瑞尔法球
734.cardText;{jump}\n对该生物临近的所有敌人造成3点伤害。
734.cardName;大副索洛科
733.cardText;{flying}，{jump}
733.cardName;掠翼船员
732.cardText;{discover}一张地块需求为4块及以上的卡牌，并将其转化为{wild}。
732.cardName;泰瑞尔探秘
731.cardText;{flying}，{dash|2}
731.cardName;行空机体
730.cardText;{discover}两张消耗为{faeria|7}及以上的非传奇卡牌。它们转化为{wild}。
730.cardName;水晶香料
729.cardText;给予一个生物+3/+3，{charge|3}和{flying}。本回合每死去一个友方生物，其消耗减少{faeria|3}。
729.cardName;灵魂香料
728.cardText;{discover}一张你对手牌库中的事件。将其转化为{wild}并令其消耗减少{faeria|2}。
728.cardName;坑蒙拐骗
727.cardText;{flying}\n{gift} - 将一张<b>藏宝图</b>置于你的牌库顶。\n{last_words} - 将阿雅纳放回你的手牌。
727.cardName;阿雅纳，嘎嘎娜之魂
726.cardText;{gift} - 将一张<b>藏宝图</b>洗入你的牌库。
726.cardName;阿玛伊地图商
724.cardText;{flying}\n{gift} - {discover}一张消耗{faeria|5}的非传奇卡牌。将2张你未挑选的卡牌放入对手的手牌。它们全部转换为{wild}。
724.cardName;阿玛伊商人
723.cardText;{dash|1}\n在你的回合结束时，如果该生物位于敌方地块，将2张<b>藏宝图</b>洗入你的牌库。
723.cardName;科尔丹冒险者
722.cardText;在你的回合结束时，令其他所有友方机人获得+1/+1，并令自身受到1点伤害。
722.cardName;废足，废料堆积体
721.cardText;所有友方机人对其相邻敌人造成2点伤害。
721.cardName;引爆
720.cardText;{combat} - 在随机相邻地块召唤一只4/2的<b>机人</b>。
720.cardName;碎件拼接体
719.cardText;{production} - 获得+3/+0。
719.cardName;不稳定锻体
717.cardText;{dash|1}\n在你的回合结束时，如果该生物位于敌方地块，则将你的一张手牌的消耗减少{faeria|1}。
717.cardName;食人魔冒险者
715.cardText;你可以将其召唤至友方非绿生物周围。
715.cardName;珍奇异宠
714.cardText;{discover}一张具有{taunt}的生物。它转化为{wild}并获得+0/+3。
714.cardName;寻求庇护
713.cardText;{jump}\n相邻友方野兽获得+2/+0。
713.cardName;野兽守护灵
712.cardText;{gift} - {discover}一张野兽。它转化为{wild}。
712.cardName;提基动物学家
711.cardText;{dash|1}\n在你的回合结束时，如果该生物位于敌方地块，则每有一只相邻友方生物，该生物获得+1/+1。
711.cardName;提基冒险家
710.cardText;{jump}\n每当你发现一张宝藏时，福咕噜获得+3/+3。
710.cardName;福咕噜，嘎嘎娜号船长
709.cardText;{jump}\n{gift} - 抓3张牌。如果其中有任意张<b>藏宝图</b>，则该生物获得+2/+2。
709.cardName;崔顿观星人
707.cardText;{gift} - 将1张<b>藏宝图</b>洗入你的牌库，抓一张牌。
707.cardName;星壳收藏家
706.cardText;将2张<b>藏宝图</b>洗入你的牌库，抓一张牌。
706.cardName;瓶中讯息
705.cardText;{jump}\n{gift} - 移动该生物。\n回合结束时，如果该生物位于敌方地块，则抓一张牌。
705.cardName;崔顿冒险家
704.cardText;{flying}\n{gift} - 将等于你手牌数量的<b>藏宝图</b>加入你的牌库。将你的手牌洗入牌库并抓取等量的牌。
704.cardName;嘎嘎娜，寻宝客
703.cardText;{flying}，{charge|2}\n{gift} - 如果你的牌组中没有相同的卡牌，则该生物获得{haste}与{protection}。\n{last_words} - 将<b>希莱斯忒</b>洗入你的牌库。
703.cardName;希莱斯忒，水晶巨龙
702.cardText;令一个友方生物获得若干次+1/+1，次数等同于其相邻敌人数量。
702.cardName;莎拉的奇计
701.cardText;在你的回合结束时，从你的牌库中检索一张<b>藏宝图</b>并将其置于牌库顶。如果你的牌库中没有<b>藏宝图</b>，则改为将一张<b>藏宝图</b>洗入你的牌库。
701.cardName;嘎嘎娜的罗盘
9985.cardText;播放所有全局动画
9985.cardName;全部动画化
