ACCEPT;Aceptar
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;El primer mazo que elijas será el primer mazo que DEBERÁS usar para el primer juego del match, hasta tu primera derrota. ¿Estás seguro de que quieres continuar?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Abandonar la sala del torneo antes de que todos los juegos estén completados hará que pierdas los juegos no acabados. Estas seguro de abandonar la sala?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;¿Seguro que quieres usar estos mazos? Una vez registrados, no podrás cambiarlos.
PROMPT_TRANSACTION_FAILED;Error de transacción
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Saltar
PROMPT_USER_NAME_TITLE_TEXT;Nombre de Jugador
PROMPT_VICTORY;¡Victoria!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Continuar
PUBLIC_ARENA_GAME_SEARCH;Buscando
PUBLIC_GAME_SEARCH;Buscando
QUEST_HINT_WILD_COST;Requiere esta cantidad de tierras especiales (total).
QUEST_HOW_TO_UNLOCK_LANE;Alcanza el nivel {0} para desbloquear este camino.
QUEST_LANE_ACT_NAME;Paquete de Misión
QUEST_LANE_COMPLETED;¡Camino Completado!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Salvaje
QUEST_LOCKED_NAME;Misión bloqueada
QUEST_OPPONENT_LEVEL;Nv. {0}
QUEST_PACK_COMPLETED;Paquete de Misión Completado
QUEST_REQUIRED_LEVEL;Requiere\nNivel {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;Exp
QUEST_TYPE_CHALLENGE;Desafío
QUEST_TYPE_EPIC;Misión Épica
QUEST_TYPE_EPIC_FORCED_DECK;Misión
QUEST_TYPE_INTRO;Misión
QUEST_TYPE_MYSTERY;Misión Misteriosa
QUEST_TYPE_PUZZLE;Rompecabezas
QUEST_TYPE_QUEST;Misión
QUEST_TYPE_SURVIVAL;Superviviencia
RANK_DOWN;Desciendes de Rango
RANK_STAR_DEFEAT;Derrota
RANK_STAR_FIRST_WIN_OF_THE_DAY;¡Primera victoria del día!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;¡Has derrotado a un oponente mucho más fuerte!
RANK_STAR_VICTORY;Victoria
RANK_STAR_WIN_STREAK;¡Racha!
RANK_UP;Subes de Rango
RECOVERY_CODE;Código de Recuperación
RECOVERY_STEAM;He creado mi cuenta en PC/macOS/Linux.
RECOVERY_SUPPORT;La(s) opción(es) anterior(es) no me ha(n) funcionado.
RECOVERY_VALIDATED;Mi cuenta de Faeria está validada (dí mi dirección de correo electrónico).
RECRUITER;Reclutador
REFUSE;Rechazar
REFUSE_FRIEND_REQUESTS;Rechazar solicitudes de amistad
REFUSE_FRIEND_SPECTATE;Rechazar espectadores
REPLAY_BUTTON_TEXT;Modo Repetición
REQUEST_CANCELED_BY_HOST;El anfitrión ha cancelado la solicitud.
REROLL;Cambiar
RESOLUTION;Resolución: {0}
RUSH_TUTORIAL;Apertura Agresiva
SAVE;GUARDAR
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casual
SEARCH_MODE_RANKED_BUTTON_TEXT;Clasificatoria
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Construido
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;<u><link={0}>Aquí</link></u> encontrarás los anuncios más recientes.
SERVER_INFO_MAINTENANCE_SCHEDULED;Un mantenimiendo del servidor está programado para {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Nuestros Yaknicos están haciendo un mantenimiento del servidor. Esperamos que los servidores estén disponibles alrededor de las {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;<u><link={0}>Aquí</link></u> encontrarás las notas de la versión más recientes.
SERVER_INFO_SERVER_IS_DOWN;El Servidor esta caido.
SERVER_IP;IP del servidor
SETTING_ANIMATED_BACKGROUND;Fondo Animado:
SETTING_BUTTON_TEXT_EXIT;Salir
SETTING_BUTTON_TEXT_OPTIONS;Opciones
SETTING_BUTTON_TEXT_PAUSE;Pausa
SETTING_MUTE_IN_BACKGROUND;Silenciar al minimizar
SETTING_PERMANENT_DECK_HAND_INFO;Información permanente de mazo/mano
SETTING_POWER_SAVING_MODE;Modo de ahorro de batería
SETTING_TEXT_AUDIO_TITLE;Ajustes de Sonido
SETTING_TEXT_GAMEPLAY_TITLE;Ajustes de Juego
SETTING_TEXT_VIDEO_TITLE;Ajustes de Video
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Silenciar emociones
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Mostrar cantidad de tierras
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Reactivar emociones
SETTING_WINDOWED;Ventana:
SET_RECRUITER_NAME;¡Añade a un amigo como reclutador y ambos recibiréis recompensas increíbles a través de vuestro viaje por Faeria!\nMás información en <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Click para Abrir la Caja
SHOP_ANNUITY_DAYS_LEFT;{0} días restantes
SHOP_INPUT_FIELD_HINT_COUPON;Introduce tu cupón aquí
SIGN_IN;Iniciar Sesión
SIGN_OUT;Cerrar Sesión
SOLO_COMPLETED;¡Misiones completadas!
SPECTATORS_CANNOT_PAUSE;Los espectadores no pueden pausar la partida.
SPECTATOR_JOINED_GAME;{0} se ha unido como espectador.
SPECTATOR_LEFT_GAME;El espectador {0} ha abandonado la partida.
STOP_SPECTATING;Dejar de observar
SURRENDER;Rendirse
TOPBAR_BUTTON_PLAY;JUGAR
TUTORIAL_DECK_CREATED;¡Este es tu nuevo mazo!
TUTORIAL_DECK_CREATED_BACK;Pulsa el botón Atrás para seleccionar el modo de juego.
UPDATE_VERSION_OUTDATED;Tu cliente necesita ser actualizado.
UPDATE_VERSION_TIP_IOS;*Si la versión requerida no está disponible en tu tienda de aplicaciones, necesitarás esperar antes de poder jugar.
USER_NAME_WELCOME;¡Bienvenido a Faeria!\n¿Cómo te llamarás?
USE_THIS_SET;Usar Plantilla
USE_TIMEBANK;Usar banco de tiempo:
WELCOME_BUTTON_TEXT_ENTER_GAME;Iniciar sesión
WELCOME_BUTTON_TEXT_EXIT;Salir
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Página Oficial
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Click en cualquier sitio para iniciar sesión.
WELCOME_BUTTON_TEXT_START_AS_GUEST;Comienza como invitado
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;Ya tengo una cuenta
WELCOME_INPUT_FIELD_HINT_PASSWORD;Contraseña
WELCOME_INPUT_FIELD_HINT_SERVER_IP;IP del servidor
WELCOME_INPUT_FIELD_HINT_USERNAME;Nombre de cuenta
WELCOME_USE_ANOTHER_ACCOUNT;Cerrar sesión
WINNER;Vencedor
WORLD_BOSS_OBJECTIVE_PROGRESS;Derrota 3 jefes ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Desbloquea el Orbe de Campeones
WORLD_BOSS_OBJECTIVE_TEXT2;Mejora tu Orbe de Campeones
WORLD_BOSS_OBJECTIVE_TITLE;Objetivo global
WORLD_BOSS_REWARD;Recompensa de jefe
WORLD_LOCATION;Ubicación
XP;{0} exp.
YOU_PLAY_FIRST;Juegas en primer lugar
YOU_PLAY_SECOND;Juegas en segundo lugar
CARD_WAS_PROMOTED_AS_DECK_COVER;La carta ha sido seleccionada como cubierta de mazo.
CURRENT_DECK_COVER;Cubierta de Mazo Actual
PROMOTE_DECK_COVER;Seleccionar como Cubierta de Mazo
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Usar como cubierta de mazo
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Mirar página de historia
LORE_BOOK_EXPLANATION_TEXT;Colecciona fragmentos de historia, explorando las leyendas y misterios de la historia de Faeria.
LORE_PAGE_ARTISTS;<b>Artistas</b> {0}
LORE_PAGE_NOT_AVAILABLE;Debes ser al menos nivel {0} para acceder a las Páginas de Historia
CO_OP_LOBBY;Sala Co-op
LOBBY_CRUCIBLE_RULES_TITLE;Reglas del Crisol
LOBBY_DECK_FORMAT;Formato del mazo:
LOBBY_DECK_FORMAT_CLASSIC;Clásico
LOBBY_DECK_FORMAT_CRUCIBLE;Crisol
LOBBY_MINUTES_PER_GAME;Minutos por juego:
LOBBY_SECONDS_PER_TURN;Segundos por turno:
LORE_BOOK_EMPTY_SECTION;No hay resultados en esta sección
LORE_PAGE_NOT_YET_AVAILABLE;Esta página de historia no está disponible todavía
LOBBY_GO_TO_COLLECTION;Ir a la colección
LOBBY_START_OVER;Comenzar de nuevo
PROMPT_LOBBY_BACK_CONFIRMATION;Mandarás a todos devuelta al menú de creación de sala. ¿Continuar?.
PROMPT_LOBBY_START_OVER_CONFIRMATION;Esto reiniciará los puntajes de la sala y desbloqueará los ajustes. ¿Continuar?.
REGISTER_YOUR_DECKS;¡Registra tus mazos!
TOURNAMENT_DECKS_REGISTERED;Mazos registrados!
LORE_BOOK_UNAVAILABLE_TOOTIP;Se desbloquea en el nivel {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Califícanos en Steam
HOME_CREDITS_BUTTON_TEXT;Créditos
PROMPT_FRIEND_CALLED;Un e-mail fue enviado a tu yak perdido.\n¡Puedes alcanzarlo en tu canal de yakmunicación favorito - Él solo necesita iniciar sesión!
PROMPT_FRIENDS_CALLED;Un e-mail fue enviado a cada uno de tus {0} yak perdidos.\n¡Puedes alcanzarlos en tu canal de yakmunicación favorito - Ellos solo necesitan iniciar sesión!
FRIEND_CALL_SEND;Enviar
FRIEND_CALL_NO_ELIGIBLE;!Ya has llamado a todos tus amigos!
FRIENDLIST_CALL_FRIEND;!Llama a viejos amigos!
MAINMENU_TITLE_PUZZLES;ROMPECABEZAS
SETTING_CLEAR_CACHE;Limpiar Caché
CACHE_CLEARED;Esto se hará efectivo luego de que reinicies el juego.
CACHE_CLEAR_FAIL_PERMISSION;Operación fallida, intenta iniciar Faeria como Administrador.
CACHE_CLEAR_FAIL_IN_USE;Operación fallida, el archivo está en uso - reinicia tu dispositivo e intenta de nuevo.
XP_WITH_NEXT_LEVEL;{0}/{1}exp.
SET_COSMETICS;Seleccionar cosméticos
PLAY_MENU_SOLO_DRAGONS_LAIR;Guarida del Dragón
MARKET_ITEM_SPECIAL_PROMO;Promoción especial
MARKET_ITEM_COMPLETE_YOUR_SET;¡Completa tu conjunto!
DRAGON_TODAYS_CHALLENGES;Desafíos del día
DRAGON_SOLO_MISSION;Misión Individual
DRAGON_REWARD;Recompensa dragón
DRAGON_CO_OP_MISSION;Misión Co-op
APPLY;Aplicar
MOUSE_PROMPT_CLICK_ANYWHERE;Haz click para continuar.
PLAY_MENU_SOLO_WORLDBOSS_INFO;Jefes de gran dificultad que pondrán a prueba tus habilidades para construir mazos.
PLAY_MENU_SOLO_STANDARD_INFO;Etrena tus habilidades en los paquetes de misiones.
PLAY_MENU_SOLO_OVERSKY_INFO;¡Campaña cooperativa! Únete a la batalla con un amigo o una IA aliada.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;¡Retos diarios! Vuelve aquí cada día para derrotar nuevos dragones. Peleas solo o con amigos.
MAINMENU_TITLE_SOLO_INFO;¡Descubre el mundo de Faeria en estos desafíos solo o con un amigo!
MAINMENU_TITLE_PUZZLES_INFO;Completa ingeniosos rompecabezas mientras aprendes unos cuantos trucos.
MAINMENU_TITLE_PANDORA_INFO;Modo reclutamiento. Prueba nuevas cartas y crea un mazo único. ¡Sobrevive todo el tiempo que puedas!
MAINMENU_TITLE_BATTLE_INFO;La experiencia clásica de Faeria. Juega partidas casuales o clasificatorias, o practica contra la IA.
MOUSE_HOME_LINKS_INFO;Pulsa aquí para leer noticias importantes de nuestro blog oficial.
DEFAULT_BUTTON_TEXT;Predeterminado
BACK_TO_WORLD_BOSSES;Volver a jefes del mundo
BACK_TO_PUZZLES;Volver a rompecabezas
BACK_TO_PANDORA;Volver a Pandora
BACK_TO_OVERSKY;Volver a oversky
BACK_TO_MISSIONS;Volver a misiones
BACK_TO_DRAGONS_LAIR;Volver a la Guarida de los Dragones
BACK_TO_BATTLE;Volver a batalla
LORE_BOOK_TOGGLE_TEXT;Libro de Historia
SHOW;Mostrar
INGAME_OPPONENT_DISCOVERING_CARD;Tu oponente está descubriendo una carta
INGAME_ALLY_DISCOVERING_CARD;Tu aliado está descubriendo una carta
HIDE;Esconder
GEMS_INFO_POPUP_DESCRIPTION;Las gemas son ahora una moneda de promoción que solo se podrán conseguir en eventos especiales.
GEMS_INFO_POPUP_TITLE;Sobre las gemas
SHORTCUT_TEXT_TOGGLE;Selector
SHORTCUT_TEXT_MODIFY_SLIDER;Barra de modificación
SHORTCUT_TEXT_CLOSE;Cerrar
SETTING_TEXT_LANGUAGE_TITLE;Idioma
SERVER_INFO_UNAVAILABLE;Actualmente los servidores no están disponibles
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} no está permitido usar el chat
YOUR_SUPPORT_ID;Tu id:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Ha ocurrido un problema y el juego necesita ser reiniciado
MOUSE_PROMPT_CLICK_TO_CLOSE;Pulsa para cerrar
LOADING_HERDING_YAKS;Pastoreando yaks
LOADING_DOWNLOADING_CONTENT;Bajando contenido
LOADING_CHECKING_CONTENT;Revisando contenido
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Pulsa {GAMEPAD_ACTION_CANCEL} para cerrar
GAMEPAD_PROMPT_CLICK_ANYWHERE;Pulsa {GAMEPAD_ACTION_CONFIRM} para continuar
GAMEPAD_HOME_LINKS_INFO;Pulsa el {GAMEPAD_ACTION_CONFIRM} para leer noticias importantes de nuestro blog oficial.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Múltiples amigos están usando este nombre de usuario. En su lugar, por favor usa el menú de contexto la lista de amigos para usar el chat con esta persona.
GO_TO_STORE_BUTTON_TEXT;Ve a la tienda
CHAT_ERROR_MESSAGE_REFUSED;Tu mensaje fue automáticamente rechazado por la plataforma del destinatario por su contenido.
CHAT_ERROR_SANITIZATION_ERROR;Tu mensaje fue rechazado por su contenido.
ID_COPIED_TO_CLIPBOARD;ID copiado al portapapeles.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Mapas de escalones especiales
PLAYER_PLATFORM_XBOX_LIVE;XBOX Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Cambiar
PLAYER_UNKNOWN_USER_NAME;Jugador Desconocido
PLAYER;Jugador
NOT_ENOUGH_COINS;No tienes suficientes fragmentos.
NOT_ENOUGH_GEMS;No tienes suficientes gemas.
LADDER_RANKED_BUTTON;Clasificación
LADDER_PANDORA_BUTTON;Pandora
LADDER_ARENA_DESCRIPTION;Top 64 jugadores con más puntos de Pandora
LADDER_RANKED_DESCRIPTION;Jugadores rango Dios por ELO
HOME_LADDER_BUTTON_TEXT;Escalón
COSMETIC_ITEM_NOT_OWNED;No posees este ítem cosmético.
SETTING_BUTTON_TEXT_CHANGE_PROFILE;Modificar perfil
DOWNLOADED;Descargado
PROMPT_LANGUAGE_CHANGED_PROMPT_SIGNOUT;Has cambiado el idioma del juego. Se va a cerrar la sesión.
