1.cardName;Granjero
328.cardName;Ostregoth, Mano del Olvido
328.cardText;{flying}, {haste}, {charge|13}\nLos pozos se secan y dejan de producir faeria.
329.cardName;Bandido Despiadado
330.cardName;Jinete Salvaje
331.cardName;Sabiduría
331.cardText;Roba 2 cartas.
332.cardName;Plegaria Sanadora
332.cardText;Ganas 3 de vida.
333.cardName;No soy jugable
333.cardText;No puedes jugarme.
334.cardName;Sabiduría Mayor
334.cardText;Roba CINCO cartas.
335.cardName;Lanzador Rebelde
335.cardText;{gift} - Inflige 2 de daño a tu oponente.
336.cardName;Espíritu del Nexo
336.cardText;{last_words} - Reduce la Vida de su maestro a 1.
337.cardName;Tormenta del Dios del Fuego
337.cardText;Inflige 10 de daño a TODAS las patéticas criaturas de tu enemigo.
338.cardName;Fuerza de la Marea
338.cardText;Mueve una tierra.
339.cardName;Viento Veloz
339.cardText;Mueve a una criatura amistosa.
340.cardName;Guerrero de Syland
342.cardName;Kojin, Llama Divina
342.cardText;{divine}\nKojin mantiene a su maestro Pyhros relajado mientras esta en juego.\n{production} - Kojin pierde 1 de vida.
350.cardName;Tres Deseos
350.cardText;Te curas 3 puntos de Vida. Copia las 3 cartas superiores del mazo de tu oponente. Cuestan {faeria|1} menos y son {wild}. No puedes desear más deseos.
351.cardName;Planeador Rebelde
351.cardText;{flying}, {dash|2}\nNo puede recolectar faeria.
352.cardName;Resplandor, Aeronave Imperial
352.cardText;{flying}, {dash|3}\nEl coste de Resplandor es igual a tu Vida.\n{gift} - Ganas 1 de Vida por cada carta en tu mano.
353.cardName;Biblioteca Prohibida
353.cardText;{production} - Roba una carta, gana {faeria|1}, y te infliges 2 de daño.
354.cardName;Saqueador de sueños
354.cardText;{dash|3}\n{gift} - Establece en 10 la vida de un dios.
355.cardName;Kodama Salvaje
355.cardText;{jump}\nNo puede recolectar faeria.\nCuando ataca a un dios, tú ganas 5 de Vida.
356.cardName;Cazador de Dioses
356.cardText;{jump}\nSolo puede atacar a dioses.\nNo puede recolectar faeria.
357.cardName;Canción de Sangre
357.cardText;Reduce en {faeria|2} el coste de una carta aleatoria de tu mano, cuatro veces. Te inflige 4 de daño.
358.cardName;Fuego Infernal
358.cardText;Inflige 9 de daño dividido de forma aleatoria entre todos los enemigos.
359.cardName;Juicio Final
359.cardText;Establece tu Faeria en {faeria|0}. Reduce tu Vida a la mitad (redondeando hacia abajo). Destruye TODAS las criaturas y estructuras. Finaliza el turno.
360.cardName;Gnat Molesto
360.cardText;{flying}\nNo puede recolectar faeria.\n{last_words} - Te inflige 2 de daño a ti mismo. Invoca esto en un espacio aleatorio.
361.cardName;Yak de Cuernos Largos
361.cardText;{last_words} -\nLa próxima criatura que robes gana Ataque igual al de esta criatura.
362.cardName;Hora de las Leyendas
362.cardText;Roba la primer legendaria de tu mazo. Si no hay legendarias para atender el llamado, agrega 1 legendaria aleatoria a tu mano. Se vuelve {wild}.
363.cardName;Entrenador Tritón
363.cardText;{jump}\n{gift} - Otorga +1/+1 a la siguiente criatura con {jump} que invoques.
364.cardName;Voz de la Verdad
364.cardText;{gift} - Puedes devolver a una criatura a sus valores originales de Ataque y Vida.
365.cardName;Heraldo de la Guerra
365.cardText;{combat} - Otorga +1/+1 a la siguiente criatura con {combat} que invoques.
366.cardName;Guía Mistral
366.cardText;{flying}\nOtorga a todas las criaturas invocadas adyacentemente a esta criatura {dash|2} y {flying} .
367.cardName;Guardiana Divina
367.cardText;{divine}\nCuando vayas a recibir daño letal, lo evita y en su lugar destruye esta criatura.
368.cardName;El Comando del Emperador
368.cardText;Otorga a un objetivo:\n- Criatura: -2/-1.\n- Estructura: 3 de daño.\n- Dios: 4 de Vida.
369.cardName;Ilusión de Grandeza
369.cardText;{charge|2}\nCada vez que invoques una criatura que cueste {faeria|1} o menos, esta gana Ataque y Vida igual a la de esa criatura (mientras esté en tu mano o mazo).
370.cardName;Acechador de los Bosques
370.cardText;{gift} - Puede luchar con una criatura enemiga.
371.cardName;Cena de Krog
371.cardText;Tu Krog cuesta {faeria|7} menos. Cuando invocas a Krog, destruye esto.\n{gift} - Si Krog ha muerto o está en tu mazo, róbalo.
372.cardName;Sonrisa de Iona
372.cardText;Roba las 2 primeras criaturas {flying} de tu mazo.
400.cardName;Fragmento de Pandora
401.cardName;¡Pandora Despierta!
401.cardText;Pandora se ha abierto, ¡ambos jugadores reciben un <b>Tesoro</b>!
402.cardName;¡Tesoro encontrado!
402.cardText;¡Ambos jugadores reciben un <b>Tesoro</b>!\nRoba una carta.
403.cardName;Cristal Oscuro
403.cardText;Drena 4 de vida a tu oponente, inflige 3 de daño a todas las criaturas enemigas y roba 2 cartas.
404.cardName;Cuerno de Guerra Yak
404.cardText;Invoca trés <b>Yaks del Prado Enfurecidos</b> 2/4 con {haste}.
405.cardName;Arma Astral
405.cardText;{flying}\n{gift} - Destruye todas las criaturas, estructuras y tierras adyacentes.
406.cardName;Ocarina
406.cardText;Tienes un turno adicional después de este.
407.cardName;Lámpara del Djinn
407.cardText;{options|Añade 3 cartas verdes aleatorias a tu mano. Cuestan {faeria|3} menos|Añade 3 cartas azules aleatorias a tu mano. Cuestan {faeria|3} menos|Añade 3 cartas rojas aleatorias a tu mano. Cuestan {faeria|3} menos|Añade 3 cartas amarillas aleatorias a tu mano. Cuestan {faeria|3} menos} un color.\nAñade 3 cartas aleatorias de ese color a tu mano. Cuestan {faeria|3} menos.
408.cardName;Urna de Gabria
408.cardText;Roba 2 cartas y gana {faeria|2}.
409.cardName;Espejo de Iona
409.cardText;Añade dos copias del último <b>Tesoro</b> jugado por tu oponente a tu mano.
410.cardName;Golem Rocasangrienta
410.cardText;{production} - Rellena todos los pozos de Faeria.\nCuando esta se recolecte, inflije 1 de daño a tu oponente.
411.cardName;Cáliz del Palacio
411.cardText;Da +6/+6 a las criaturas aliadas, distribuido al azar en 6 veces +1/+1.
412.cardName;Tambor de Eredon
412.cardText;Otorga a todas tus criaturas +2/+2 estén donde estén.
413.cardName;Creanubes
413.cardText;Las Criaturas amistosas obtienen +1/+0, {flying}, y {jump}.
414.cardName;Anillo de Dominio
414.cardText;{options|Transforma una tierra en un {green}. Ganas control de la misma.|Transforma una tierra en un {blue}. Ganas control de la misma.|Transforma una tierra en una {red}. Ganas control de la misma.|Transforma una tierra en un {yellow}. Ganas control de la misma.}\nTransforma una tierra en un color de tu elección. Ganas control de la misma.
415.cardName;Lágrima del Mundo
415.cardText;Transforma a una criatura que haya atacado a un dios este turno en un <b>Devoracielos</b> 10/10 con {flying}.
416.cardName;Yak de Relojería
416.cardText;{dash|2}
417.cardName;Autómata del Equinoccio
417.cardText;{gift} - Gana 6 de Vida.\n{last_words} - Inflige 6 de daño a tu oponente.
418.cardName;Rosa de Magda
418.cardText;Obtén el control de una criatura enemiga.
419.cardName;Tetera de Aurora
419.cardText;Cambia a todas las criaturas amistosas a 6/6.
420.cardName;Piedra de Justa Fortuna
420.cardText;Añade 3 <b>Tesoros</b> al azar a tu mazo.
421.cardName;Secreto de Fuerza
421.cardText;Otorga a una criatura +4/+4, {flying}, y {charge|3}.
422.cardName;Guardián del Vacío
422.cardText;{gift} - Destruye tu mazo.
423.cardName;Dragón de Cristal
423.cardText;{flying}, {charge|3}
424.cardName;Rubí de las Llamas Explosivas
424.cardText;{options|Inflige 3 de daño.|Inflige 3 de daño a todo.}\n- Inflige 3 de daño.\n- Inflige 3 de daño a todo.
425.cardName;Martillo de Destrucción
425.cardText;Inflige 5 de daño. Añade el <b>Martillo de la Destrucción</b> a tu mazo.
426.cardName;Tiemblafuegos
426.cardText;{gift} - Inflige 2 de daño a todos los enemigos. Por cada enemigo destruido, esto gana +2/+2.
427.cardName;Deseo Mortal
427.cardText;Destruye una criatura. Su dueño gana {faeria|1} igual a su costo y roba 2 cartas.
428.cardName;Relámpago Embotellado
428.cardText;Inflige 6 de daño a una criatura y 3 de daño a todos los enemigos adyacentes.
429.cardName;Espada Danzante
429.cardText;{flying}, {jump}\nAl final de tu turno, le inflige 3 de daño a todos los enemigos adyacentes a ella.
430.cardName;Guadaña Condenada
430.cardText;Destruye una criatura. Invoca una <b>Sombra asesina</b> de 6/1 en su lugar.
431.cardName;Urraca Enjoyada
431.cardText;{flying}, {haste}\nCuando esta criatura ataca al dios enemigo, añade un <b>Tesoro</b> aleatorio a tu mano.
432.cardName;Rueda del Caos
432.cardText;{options|Destruye 2 tierras sin ocupar.|Destruye una criatura de ataque 5 o inferior.|Gana 7 de vida.}\n- Destruye 2 tierras sin ocupar.\n- Destruye una criatura de ataque 5 o inferior.\n- Gana 7 de vida.
433.cardName;Medallón de Ulani
433.cardText;Elige una criatura amistosa. Todas tus otras criaturas se convierten en una copia de ella.
500.cardName;Mono Genio
500.cardText;{taunt}\n{gift} - En el turno siguiente de tu oponente, gana +2/+2 cuando una criatura enemiga recolecte faeria.
501.cardName;Explorador Intrépido
501.cardText;{gift} - Añade la carta <b>Explorar</b> a tu mano y la de tu oponente.
502.cardName;Flor de Cristal
502.cardText;{gift} - {swallow} una criatura.\nAl final de tu turno, recibe 1 de daño.
503.cardName;Yakkapulta
503.cardText;{ranged_attack}\nCuando esto ataca, invoca un <b>Yak Enfurecido</b> 2/2 en un espacio aleatorio adyacente al objetivo.
504.cardName;Goki, Minero Amistoso
504.cardText;{gift} - Añade un <b>Tesoro</b> aleatorio a la mano de tu aliado.
505.cardName;Mobie, Ballena Azul Celestial
505.cardText;{flying}, {charge|3}\nNo puede recolectar faeria.\n{gift} - {swallow} una criatura.
506.cardName;Pez Globo
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} una criatura amistosa. Si no puede, este muere.
507.cardName;Emperador Kaios
507.cardText;{production} - Resta 1 punto de Ataque a todas las criaturas enemigas. Luego destruye a aquellas que tengan 0 de Ataque.
508.cardName;Semilla del Paraíso
508.cardText;{flying}, {dash|1}\n{gift} - {options|Cuando esta criatura recolecta sobre el océano, muere y genera un {green}|Cuando esta criatura recolecta sobre el océano, muere y genera un {blue}|Cuando esta criatura recolecta sobre el océano, muere y genera una {red}|Cuando esta criatura recolecta sobre el océano, muere y genera un {yellow}}\nCuando esta criatura recolecta sobre el océano, muere y genera una tierra del color elegido.\n
509.cardName;El Árbol de la Vida Eterna
509.cardText;{production} - Ganas 7 de vida.\nOtorga +7/+7 a una criatura aleatoria en tu mano.
510.cardName;Obsequio de los Rakoa
510.cardText;Otorga a una criatura +1/+1 por cada criatura amistosa.
511.cardName;Biomante Curioso
511.cardText;{gift} - Por cada criatura enemiga, roba una criatura de tu mazo que no sea azul.
512.cardName;Fugoro, Comerciante de Maravillas
512.cardText;{jump}\n{gift} - {options|Obtén una <b>Urna de Gabria</b>.|Obtén un <b>Dragón de Cristal</b>.|Obtén un <b>Medallón de Ulani</b>.}\n- Obtén una <b>Urna de Gabria</b>.\n- Obtén un <b>Dragón de Cristal</b>.\n- Obtén un <b>Medallón de Ulani</b>.
513.cardName;Fugu Saltador
513.cardText;{jump}\n{gift} - Si controlás 8 o más tierras especiales, esta criatura gana +3/+3.
514.cardName;Gancho de Amarre
514.cardText;Otorga {ranged_attack} a una criatura este turno. Luego de que ataque, puedes moverla hacia una tierra adyacente al objetivo.
515.cardName;Parrandero Rakoan
515.cardText;{last_words} - Gana {faeria|1} igual al ataque de esta criatura.
516.cardName;CAP-10, Pirata del Cielo
516.cardText;{combat} - Roba un <b>Don de Acero</b> de tu mazo. Si no tienes ninguno, introduce uno en tu mazo.
517.cardName;Salmón Relámpago
517.cardText;{divine}, {flying}, {haste}, {charge|2}\nNo puede recolectar faeria.\nAl final de tu turno, destruye esta criatura y roba una carta.
518.cardName;Mantarraya
518.cardText;{flying}\n{last_words} - Invoca una <b>Manta</b> 2/2 con {flying} y {charge|2} en el lugar donde muera esta criatura.
519.cardName;Istanu, Luz Eterna
519.cardText;{flying}, {charge|3}\n{last_words} - Una criatura amistosa aleatoria se convierte en el nuevo <b>Istanu</b>.
520.cardName;Pulpo Metamórfico
520.cardText;{options|Gana +2/+0.|Gana +0/+2.|Gana {jump}.|Gana {taunt}.}, dos veces:\n- Gana +2/+0.\n- Gana +0/+2.\n- Gana {jump}.\n- Gana {taunt}.
521.cardName;Lanza-Ranas
521.cardText;{gift} - Lucha con una criatura enemiga. Invoca una <b>Rana</b> 2/2 con {jump} en un espacio aleatorio adyacente al objetivo.
522.cardName;Camino al Paraíso
522.cardText;{options|Crea un {green}|Crea un {blue}|Crea una {red}|Crea un {yellow}} - Crea una tierra especial.\nOtorga +2/+0 a la primera criatura invocada en ella este turno.
523.cardName;Salamandra Esmeralda
523.cardText;{gift} - Inflige 2 de daño a criaturas enemigas adyacentes. Otorga +2/+2 a criaturas amistosas adyacentes.
524.cardName;Pez Espada Guardián del Cielo
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Enjambre Carassius
525.cardText;{flying}\nPuede ser invocado adyacente a criaturas amistosas.\n{gift} - Invoca un <b>Enjambre Carassius</b> por cada uno amistoso que haya muerto durante esta partida.
526.cardName;Guardián de Sueños
526.cardText;{taunt}\n{gift} - Reduce el costo de todas las cartas en tu mano en {faeria|1}, luego introdúcelas en tu mazo y roba la misma cantidad.
527.cardName;Tortuga de Caparazón con Gemas
527.cardText;{gift} - Roba una carta y cópiala. Ambas cuestan {faeria|2} menos.
528.cardName;Vuelo de las Mantas
528.cardText;Cuando robas esta carta, la copias.\nInvoca una <b>Manta</b> 2/2 con {flying} y\n{charge|2}.
529.cardName;Barco de Remolque de Oversky
529.cardText;{flying}, {dash|1}\nCuando esto deje una tierra, la lleva consigo.
530.cardName;Jefe Rakoan
530.cardText;{dash|1}\nLas criaturas amistosas adyacentes tienen +1/+0.
531.cardName;Anémona del Cielo
531.cardText;{flying}, {taunt}\nPuede ser invocada en cualquier lugar.
532.cardName;Ulani, Chamán de Oversky
532.cardText;{gift} - Roba una carta verde, una azul, una roja y una amarilla de tu mazo.
549.cardName;Rompedor de la Realidad
549.cardText;{flying}\n{production} - Esto gana +0/+2.\nCuando esto tiene 10 de Vida o más, <b>hace fallar el juego</b>.
550.cardName;Flor de Cristal
550.cardText;Un prisionero está atrapado dentro.
551.cardName;Flor de Cristal
551.cardText;Un prisionero está atrapado dentro.
552.cardName;Flor de Cristal
552.cardText;Un prisionero está atrapado dentro.
553.cardName;Manta Voladora
553.cardText;{flying}, {charge|2}
555.cardName;Yak Enfurecido
556.cardName;¡Un ganador eres tu!
556.cardText;Inflige 100 de daño a tu oponente.
557.cardName;Emperador Kaios el Grande
557.cardText;{production} - Quita a todas las criaturas enemigas 1 punto de Ataque. Luego destruye a todas las criaturas enemigas cuyo Ataque sea 0.
601.cardName;Laya, Dama de las Penas
601.cardText;{deathtouch}\n{last_words} - Invoca una <b>Estatua Reluciente</b> en el lugar de Laya.
602.cardName;Jinete de Draco Imperial
602.cardText;{flying}, {charge|2}\n{corrupt} - Gana +2/+2.
603.cardName;Mono Trastornado
603.cardText;{gift} - Vacía todos los pozos de Faeria. Gana +1/+1 por cada pozo vaciado.
604.cardName;Soldado Imperial
604.cardText;{corrupt} - Gana el control de la tierra donde se encuentra esta criatura.
605.cardName;Explorador Perdido
605.cardText;{corrupt} - Roba una carta y gana {faeria|1}.
606.cardName;Caballero Espada de la Plaga
606.cardText;El daño recibido por esta criatura tambien se te inflige a tí.
607.cardName;Faerie de Seda de las Sombras
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - Roba 2 eventos de tu mazo.
608.cardName;Kaios, Supermente Demente
608.cardText;{divine}\nEl Ataque de Kaios siempre es igual a su Vida.\n{corrupt} - Drena 1 de Vida de TODO.
609.cardName;Lluvia de Peces
609.cardText;Invoca 6 <b>Peces Rubí</b> en espacios aleatorios. Cada pez que caiga en una tierra inflije 1 de daño a enemigos adyacentes.
610.cardName;Piraña Voladora
610.cardText;{flying}\nCuando una criatura adyacente muere, esta criatura gana {deathtouch} y {jump}.
611.cardName;Hydra Monstruosa
611.cardText;{corrupt} - Invoca una <b>Cabeza de Hydra</b> 2/1 con {haste} en cada tierra adyacente. Mueren al final del turno.
612.cardName;Sauce Embrujado
612.cardText;{taunt}
613.cardName;Jabalí Putrefacto
613.cardText;{dash|1}\n{corrupt} - Roba la primer criatura con 5 o más de Vida de tu mazo. Otórgale +2/+2.
614.cardName;Nekómata
614.cardText;{taunt}\n{corrupt} - Duplica el Ataque de esta criatura.
615.cardName;Baldurion, Armero del Mal
615.cardText;{protection}\n{corrupt} - Añade un <B>Martillo de Destrucción</b> a tu mano.
616.cardName;Duende Despechado
616.cardText;{last_words} - Te inflige 2 de daño a ti mismo.
617.cardName;Destrucción
617.cardText;Inflije 9 de daño a una criatura o estructura enemiga.
618.cardName;Salmón Demoníaco
618.cardText;{haste}, {flying}, {charge|2}\nNo puede recolectar faeria.\nCuando esto ataca a un dios, gana +1/+1.
619.cardName;Ladrón Espiritual
619.cardText;Drena 1 de vida a una criatura enemiga. Si la matas, añade una copia a tu mano. Se vuelve {wild}.
620.cardName;Solem
620.cardText;{flying}, {divine}\n{corrupt} - Destruye un pozo de faeria.
622.cardName;Madre de Todos los Yaks
622.cardText;{gift} - Invoca dos <b>Guardias Yak</b> 4/4 con {taunt} y {flying} adyacentes a esta criatura.\nCuesta {faeria|1} menos por cada Yak amistoso que haya muerto durante esta partida.
623.cardName;Campeón Rakoan
623.cardText;{dash|2}\n{gift} - Gana +1/+1 por cada otro Rakoan amistoso en juego.
624.cardName;Fugu Huérfano
624.cardText;Gana +2/+0 y {jump} mientras controles otra bestia.
625.cardName;Rapala, el Pez Estúpido
625.cardText;{aquatic}\n{gift} - Llena la mano de tu oponente con <b>Peces Rubí</b>. Que idiota.
626.cardName;Yak Zafiro
626.cardText;Cuando un Yak amistoso recolecta faeria de un pozo enemigo, le otorga +2/+2.
627.cardName;Cacería
627.cardText;Otorga a una bestia amistosa +2/+0. Luego esta lucha con una criatura enemiga.
628.cardName;Yak Esmeralda
628.cardText;{gift} - Invoca un <b>Bebe Yak</b> 1/1 con {taunt}. <b>No puede recolectar Faeria</b> en un prado que controles.
629.cardName;Majinata, Espíritu de la Vida Eterna
629.cardText;{protection}, {divine}\n{gift} - Una criatura amistosa devora a Majinata. Le otorga +5/+5, {flying} y {charge|2}.
630.cardName;Ajolote Oleada de Lava
640.cardName;Rakoakóptero
640.cardText;{flying}, {dash|1}\n{gift} - Inflige 2 de daño a criaturas enemigas adyacentes.
641.cardName;Yak Rubí
641.cardText;Cuando un Yak amistoso reciba daño, inflige 1 de daño a tu oponente.
642.cardName;Dragón Fantasma
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Pez León
643.cardText;{flying}, {deathtouch}
644.cardName;Yak Topacio
644.cardText;Puede ser invocado adyacente a Yaks amistosos. Si lo hace, gana {haste}.
645.cardName;Máquina de Guerra Rakoan
645.cardText;{charge|2}\n{gift} - Si {swallow} a otro Rakoan amistoso, gana +2/+0.
646.cardName;Cañonero Rakoan
646.cardText;{gift} - Puedes sacrificar otro Rakoan. Si lo haces, inflige 3 de daño a una criatura enemiga.
647.cardName;Ilusionista Rakoan
647.cardText;{gift} - Puedes transformar a otro Rakoan amistoso en un <b>Draco de las Dunas</b> 4/4 con {flying}, {charge|2} hasta el comienzo de tu próximo turno.
648.cardName;Compañeros Portaescudos Rakoan
648.cardText;{last_words} - Invoca un Rakoan 1/1 en el lugar donde muera esta criatura.
649.cardName;Lider de Guerra Rakoan
649.cardText;{combat} - Otorga +1/+1 a un Rakoan aleatorio de tu mano.
650.cardName;Reclutador Rakoan
650.cardText;{gift} - Agrega un Rakoan 1/1 a tu mano. Cuesta {faeria|0}.
653.cardName;Torre de Maldiciones
653.cardText;{activate} - Otorga -1/-1 a una criatura. Inflige 1 de daño a esta estructura.
654.cardName;Shozen, el Comecielos
654.cardText;{flying}, {charge|3}\nLa primera vez que Shozen destruya a una criatura en combate, en su lugar la devora y ganas control de la misma.
655.cardName;Puesto de Avanzada Imperial
655.cardText;Todas las criaturas neutrales amistosas tienen +1/+0.
656.cardName;Volea Destructiva
656.cardText;Inflije 2 de daño a una criatura. Si es una criatura con {flying}, inflije 5 de daño en su lugar.
658.cardName;Resplandor, Azote de Oversky
658.cardText;{flying}\n{gift} - Las criaturas enemigas no se pueden mover durante el próximo turno.
659.cardName;Hipopótamo Aliento de Lava
659.cardText;{combat} - Inflije 2 de daño a todos los enemigos adyacentes.
660.cardName;Entrenador de Bestias
660.cardText;{gift} - Reduce el coste de una Bestia aleatoria de tu mano en {faeria|5}.
661.cardName;Contrabandista Kobold
661.cardText;{corrupt} - Invoca un <b>Forraje de Seifer</b> 4/3 en una tierra adyacente aleatoria.
662.cardName;Ira de Ignus
662.cardText;Inflige {dynamic_number|0|0} de daño dividido aleatoriamente entre los enemigos. \nInflige +1 de daño por cada vez que has seleccionado +{faeria|1} de la rueda de poder en esta partida (mientras esté en tu mano o en el mazo).
663.cardName;Ritualista Ignusi
663.cardText;{gift} - Refresca tu rueda de poder.\n{corrupt} - Refresca tu rueda de poder.
664.cardName;Fogonero Ardiente
664.cardText;Cuando selecciones +{faeria|1} de la rueda de poder, esto gana +1/+1.
665.cardName;Alimaña del Cielo Estéril
665.cardText;{gift} - Esta criatura lucha con tu oponente.
666.cardName;Moscón Vil
666.cardText;{flying}\n{corrupt} - Añade un <b>Moscón Vil</b> a tu mano.
667.cardName;Espectro de la plaga
667.cardText;{charge|2}\n{production} - Si tu oponente tiene 4 o más cartas en su mano, esto gana +1/+1.
668.cardName;Sombra del Polvo
668.cardText;{corrupt} - Incrementa el costo de cada carta en la mano de tu oponente en {faeria|1}.
669.cardName;Buitre del Cielo Estéril
669.cardText;{flying}\n{gift} - Destruye una criatura con 1 de Vida y drena su Ataque.
671.cardName;Anguila Trueno
671.cardText;{flying}\n{gift} - Puedes infligir 2 de daño a una criatura. Si está en un espacio de océano, inflige 4 de daño en su lugar.
676.cardName;Yak Caminante
676.cardText;{gift} - Crea un prado.\n{dash|1}
677.cardName;Pastor de Yaks
677.cardText;{gift} - Otorga +2/+0 y {charge|2} a 2 yaks amistosos hasta el final del turno.
678.cardName;Yak del Oversky
678.cardText;{flying}\nTiene +2/+2 mientras controles 6 prados.
679.cardName;Sapo Hinchado
679.cardText;{jump}\nEsto entra al trablero con un enemigo 2/2 <b>Rana</b> con {jump} tragado.
680.cardName;Fantasma Espejado
680.cardText;{gift} - Transforma una criatura enemiga en un <b>odajepsE amsatnaF</b> 5/3.
685.cardName;Crisálida
685.cardText;{gift} - {swallow} una criatura amistosa.\n{production} - La criatura devorada gana +1/+1.\n{activate} - Destruye la crisálida.
686.cardName;Emisario Verduran
686.cardText;{last_words} - Otorga +1/+1 a todas las criaturas de tu mano.
692.cardName;Salvador de los Débiles
692.cardText;{gift} - Otorga +2/+2 y {divine} a otra criatura amistosa con exactamente 1 de Ataque.
694.cardName;Cabeza de Hydra
694.cardText;{haste}\nMuere al final del turno.
695.cardName;Guardia Yak
695.cardText;{flying}, {taunt}
696.cardName;Bebe Yak
696.cardText;{taunt}\nNo puede recolectar faeria.
697.cardName;Draco de las Dunas
697.cardText;{charge|2}, {flying}\nNo puede recolectar faeria.
698.cardName;odajepsE amsatnaF
698.cardText;{gift} - Transforma a otra criatura amistosa en un <b>Fantasma Espejado</b> 3/5.
699.cardName;Rakoan
9991.cardName;Otorga Prisa
9992.cardName;Dame faeria
9992.cardText;Gana {faeria|100} y crea una tierra de cada color al azar.
9993.cardName;Tu, ¡Muere!
9993.cardText;Inflige 100 de daño.
9994.cardName;Montaña
9995.cardName;Lago
9996.cardName;Desierto
9997.cardName;Bosque
9998.cardName;Prado
9999.cardName;Orbe
682.cardName;Señor de las Mareas
682.cardText;{jump}\nPuede ser invocado adyacente a tritones amistosos. Si lo hace, obtiene +1/+1.
670.cardName;Cascarón Embrujado
670.cardText;Al final de tu turno, si tu oponente tiene 4 cartas o más en la mano, robas una carta y robas 1 de vida de tu oponente.
675.cardName;Llamacornio
675.cardText;{combat} - Cada jugador roba una carta y gana 2 de Vida.
681.cardName;Tritón Estratega
681.cardText;{jump}\n{gift} - Gana +1/+0 por cada tritón amistoso adyacente.
683.cardName;Banquete Animado
683.cardText;{dash|1}\nAl final de tu turno, una criatura amistosa adyacente devora esto y gana +1/+1.
688.cardName;Kodama Floreciente
688.cardText;{gift} - Crea {green}{green}{green} de manera aleatoria.
689.cardName;Vulpino Céfiro
689.cardText;Cuando se mueva a un {green}, puedes teletransportarlo a un {green} amistoso.
691.cardName;Celebración de Victoria
691.cardText;Por el resto de la partida, cada jugador gana {faeria|1} por cada turno extra.
9989.cardName;Gana Control Tierra
9990.cardName;Gana Control
657.cardText;{flying}\nLas cartas en tu mano son {wild}.\n{gift} - Añade un miembro aleatorio de la crew del Gagana a tu mano. Cuesta {faeria|0}.
657.cardName;Gagana, Barco-Ave Arcoíris
652.cardText;Cuando una criatura que controles active su habilidad de {corrupt}, drenas 2 de Vida de tu oponente.
652.cardName;Sacerdote Esclavizado
9988.cardText;Otorga {haste} a una criatura.
9988.cardName;¡A la Carga!
9987.cardText;{activate} - Roba una carta.
9987.cardName;Torre de Sabiduría
690.cardText;Cuando Dwordia se mueva a un {green}, puedes teletransportarlo a un {green} amistoso. Si lo haces, gana +1/+1.
690.cardName;Dwordia, Jefe de la Tribu Zorros Radiantes
687.cardText;{gift} - Otorga +2/+4 a la siguiente criatura que robes.
687.cardName;Sacerdote de la Vida Eterna
684.cardText;Esta criatura puede recolectar faeria en el turno en que la juegas.\n{gift} - Puedes mover la tierra de esta criatura.
684.cardName;Renacuajo Coral
674.cardText;{gift} - Si Ulani es tu única criatura, gana {taunt}, {protection} y {divine}.
674.cardName;Ulani, Defensor del Oversky
673.cardText;{gift} - Si no tienes ninguna criatura restante en tu mazo, añade a <b>Resplandor, Aeronave Imperial</b> y 10 criaturas neutrales aleatorias a tu mazo. Todas ganan +2/+2.
673.cardName;Banon, Capitán del Resplandor
9986.cardText;Descartar su mano
9986.cardName;Mostrar la mano de la IA
800.cardText;Roba una carta.\nDespués de jugar tres <b>Mapas del Tesoro</b>, en su lugar {discover} un <b>Tesoro de Gagana</b>.\nMapas jugados:{dynamic_number|0|0}.
800.cardName;Mapa del Tesoro
749.cardText;Bip bip.
749.cardName;Mecha
746.cardText;Bip bop.
746.cardName;Mecha
745.cardText;{taunt}, {divine}
745.cardName;Guardián
744.cardText;{taunt}, {divine}
744.cardName;Guardián
743.cardText;Invoca dos Guardianes 5/5 con {taunt} y {divine}.
743.cardName;Llave de los Guardianes
742.cardText;{discover} una criatura. Gana +6/+6 y se vuelve {wild}.
742.cardName;Llave de los Gigantes
741.cardText;{options|{discover} una criatura verde.|{discover} una criatura azul.|{discover} una criatura roja.|{discover} una criatura amarilla.}\nEscoge un color. {discover} una criatura del mismo color. Se vuelve {wild} y cuesta {faeria|3} menos.
741.cardName;Llave de los Elementos
740.cardText;{divine}, {flying}, {dash|5}\nDebe ser invocado adyacente a una criatura amistosa.
740.cardName;Lanza de los Guardianes
739.cardText;Las cartas en tu mano cuestan {faeria|1} menos.
739.cardName;Simulacro de Obediencia
738.cardText;{flying}, {dash|5}\n{gift} - Llena tu mano de <b>Ráfagas</b>. Se vuelven {wild}.
738.cardName;Alfombra Mágica
737.cardText;{gift} - {swallow} una criatura amistosa.\n{production} - La criatura devorada gana +4/+4.\n{activate} - Destruye esto.
737.cardName;Cristálida
736.cardText;{charge|3}, {flying} {gift} - Destruye todos los <b>Mapas del Tesoro</b> de tu mazo y gana +1/+1 por cada uno.\nMapas destruidos:{dynamic_number|0|0}
736.cardName;Gárgola Antigua
735.cardText;{charge|5}, {flying}\n{last_words} Inflige 5 de daño a todos los enemigos adyacentes.
735.cardName;Globo Thyriano
