ACCEPT;Accept
SETTING_BUTTON_TEXT_OPTIONS;Options
SETTING_BUTTON_TEXT_PAUSE;Pause
SETTING_MUTE_IN_BACKGROUND;Mute in background
SETTING_PERMANENT_DECK_HAND_INFO;Permanent deck/hand information
SETTING_POWER_SAVING_MODE;Power saving mode
SETTING_TEXT_AUDIO_TITLE;Audio Settings
SETTING_TEXT_GAMEPLAY_TITLE;Gameplay Settings
SETTING_TEXT_VIDEO_TITLE;Video Settings
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Mute emotes
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Show land count
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Reactivate emotes
SETTING_WINDOWED;Windowed:
SET_RECRUITER_NAME;Add a friend as a recruiter so you can both receive some amazing rewards through your Faeria journey!\nMore information on <link="faeria.com/recruit-your-friends">faeria.com/recruit-your-friends</link>.
SHOP;Click to open Box
SHOP_ANNUITY_DAYS_LEFT;{0} days left
SHOP_INPUT_FIELD_HINT_COUPON;Type your coupon here
SIGN_IN;Sign in
SIGN_OUT;Sign Out
SOLO_COMPLETED;Missions completed!
SPECTATORS_CANNOT_PAUSE;Spectators can not pause the game.
SPECTATOR_JOINED_GAME;{0} has joined as a spectator.
SPECTATOR_LEFT_GAME;Spectator {0} left the game.
STOP_SPECTATING;Stop spectating
SURRENDER;Surrender
TOPBAR_BUTTON_PLAY;PLAY
TUTORIAL_DECK_CREATED;This is your new deck!
TUTORIAL_DECK_CREATED_BACK;Press the Back button to select your game mode
UPDATE_VERSION_OUTDATED;Your client needs to be updated.
UPDATE_VERSION_TIP_IOS;*If the required version is not available on your App Store, you will need to wait for it before you are able to play.
USER_NAME_WELCOME;Welcome to Faeria!\nWhat will your name be?
USE_THIS_SET;Use Formula
USE_TIMEBANK;Use time bank:
WELCOME_BUTTON_TEXT_ENTER_GAME;Login
WELCOME_BUTTON_TEXT_EXIT;Exit
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Official Page
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Click anywhere to sign in
WELCOME_BUTTON_TEXT_START_AS_GUEST;Start as guest
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;I already have an account
WELCOME_INPUT_FIELD_HINT_PASSWORD;Password
WELCOME_INPUT_FIELD_HINT_SERVER_IP;Server Ip
WELCOME_INPUT_FIELD_HINT_USERNAME;Account name
WELCOME_USE_ANOTHER_ACCOUNT;Log out
WINNER;Winner
WORLD_BOSS_OBJECTIVE_PROGRESS;Defeat 3 bosses ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Unlock the Orb of Champions
WORLD_BOSS_OBJECTIVE_TEXT2;Upgrade your Orb of Champions
WORLD_BOSS_OBJECTIVE_TITLE;World objective
WORLD_BOSS_REWARD;Boss reward
WORLD_LOCATION;Location
XP;{0} xp
YOU_PLAY_FIRST;You play first
YOU_PLAY_SECOND;You play second
CARD_WAS_PROMOTED_AS_DECK_COVER;The card was promoted as the deck cover.
CURRENT_DECK_COVER;Current Deck Cover
PROMOTE_DECK_COVER;Promote as Deck Cover
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Promote as Deck Cover
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;View Lore Page
LORE_BOOK_EXPLANATION_TEXT;Collect fragments of lore, exploring the legends and mysteries of Faeria's history.
LORE_PAGE_ARTISTS;<b>Artists</b> {0}
LORE_PAGE_NOT_AVAILABLE;You must be at least level {0} to access the Lore Pages
CO_OP_LOBBY;Co-op lobby
LOBBY_CRUCIBLE_RULES_TITLE;Crucible rules
LOBBY_DECK_FORMAT;Deck format:
LOBBY_DECK_FORMAT_CLASSIC;Classic
LOBBY_DECK_FORMAT_CRUCIBLE;Crucible
LOBBY_MINUTES_PER_GAME;Minutes per game:
LOBBY_SECONDS_PER_TURN;Seconds per turn:
LORE_BOOK_EMPTY_SECTION;No results in this section
LORE_PAGE_NOT_YET_AVAILABLE;This lore page is not yet available
LOBBY_GO_TO_COLLECTION;Go to collection
LOBBY_START_OVER;Start over
PROMPT_LOBBY_BACK_CONFIRMATION;You will bring everyone back to the lobby setup screen. Continue?
PROMPT_LOBBY_START_OVER_CONFIRMATION;This will reset the lobby scores and unlock the settings. Continue?
REGISTER_YOUR_DECKS;Register your decks!
TOURNAMENT_DECKS_REGISTERED;Decks registered!
LORE_BOOK_UNAVAILABLE_TOOTIP;Unlocks at level {0}
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Rate us on Steam
HOME_CREDITS_BUTTON_TEXT;Credits
PROMPT_FRIEND_CALLED;An email was sent to your lost yak.\nYou can reach out to him on your favourite communiyaktion channel too - he just needs to log in!
PROMPT_FRIENDS_CALLED;An email was sent to each of your {0} lost yaks.\nYou can reach out to them on your favourite communiyaktion channel too - they just need to log in!
FRIEND_CALL_SEND;Send
FRIEND_CALL_NO_ELIGIBLE;You have already called all your friends!
FRIEND_CALL_DESCRIPTION;Call your friends back to Faeria to experience all the new updates. Any friends that return get <sprite="icon_coin" index=0><b>{0}</b>, and you get <sprite="icon_coin" index=0><b>{0}</b> for each friend that returns.
FRIENDLIST_CALL_FRIEND;Call old friends!
MAINMENU_TITLE_PUZZLES;PUZZLES
SETTING_CLEAR_CACHE;Clear cache
CACHE_CLEARED;This will be effective after you restart the game.
CACHE_CLEAR_FAIL_PERMISSION;Operation failed, try launching Faeria as Administrator.
CACHE_CLEAR_FAIL_IN_USE;Operation failed, file is in use - restart your machine and try again.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Set cosmetics
PLAY_MENU_SOLO_DRAGONS_LAIR;Dragon's Lair
MARKET_ITEM_SPECIAL_PROMO;Special promo
MARKET_ITEM_COMPLETE_YOUR_SET;Complete your set!
DRAGON_TODAYS_CHALLENGES;Today's challenges
DRAGON_SOLO_MISSION;Solo mission
DRAGON_REWARD;Dragon reward
DRAGON_CO_OP_MISSION;Co-op mission
APPLY;Apply
MOUSE_PROMPT_CLICK_ANYWHERE;Click anywhere to continue
PROFILE_RANKINGS_INFO;Each month, compete in Battle and Pandora modes to earn exclusive card backs and more.\n\nFind out more at https://www.faeria.com/esport/home
PLAY_MENU_SOLO_WORLDBOSS_INFO;Highly difficult boss battles that will test your deck building abilities.
PLAY_MENU_SOLO_STANDARD_INFO;Master Faeria’s basics in a variety of mission packs.
PLAY_MENU_SOLO_OVERSKY_INFO;Co-op campaign! Join the battle with a friend or an AI ally.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Daily challenges! Return here daily to slay new dragons. Both solo and co-op battles.
MAINMENU_TITLE_SOLO_INFO;Discover the world of Faeria in these Solo and Co-op challenges!
MAINMENU_TITLE_PUZZLES_INFO;Complete challenging puzzles and learn some neat tricks along the way.
MAINMENU_TITLE_PANDORA_INFO;Draft mode. Try new cards and make a unique deck. Survive as long as you can!
MAINMENU_TITLE_BATTLE_INFO;Classic Faeria. Join Casual or Ranked multiplayer, or practice against the AI.
MOUSE_HOME_LINKS_INFO;Click here to read important news from our official blog.
DEFAULT_BUTTON_TEXT;Default
BACK_TO_WORLD_BOSSES;Back to world bosses
BACK_TO_PUZZLES;Back to puzzles
BACK_TO_PANDORA;Back to Pandora
BACK_TO_OVERSKY;Back to oversky
BACK_TO_MISSIONS;Back to missions
BACK_TO_DRAGONS_LAIR;Back to Dragon's Lair
BACK_TO_BATTLE;Back to battle
LORE_BOOK_TOGGLE_TEXT;Lore Book
SHOW;Show
INGAME_OPPONENT_DISCOVERING_CARD;Your opponent is discovering a card
INGAME_ALLY_DISCOVERING_CARD;Your ally is discovering a card
HIDE;Hide
GEMS_INFO_POPUP_DESCRIPTION;Gems are now a promotional currency that you can get only via special events.
GEMS_INFO_POPUP_TITLE;About gems
SHORTCUT_TEXT_TOGGLE;Toggle
SHORTCUT_TEXT_MODIFY_SLIDER;Modify Slider
SHORTCUT_TEXT_CLOSE;Close
SETTING_TEXT_LANGUAGE_TITLE;Language
SERVER_INFO_UNAVAILABLE;The servers are currently unavailable
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} is not allowed to chat
YOUR_SUPPORT_ID;Your id:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;A problem occured and the game needs to be restarted
MOUSE_PROMPT_CLICK_TO_CLOSE;Click to close
LOADING_HERDING_YAKS;Herding yaks
LOADING_DOWNLOADING_CONTENT;Downloading content
LOADING_CHECKING_CONTENT;Checking content
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Press {GAMEPAD_ACTION_CANCEL} to close
GAMEPAD_PROMPT_CLICK_ANYWHERE;Press {GAMEPAD_ACTION_CONFIRM} to continue
GAMEPAD_HOME_LINKS_INFO;Press {GAMEPAD_ACTION_CONFIRM} to read important news from our official blog.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Multiple friends are using this user name. Please use the friend list context menu to chat to this person instead.
GO_TO_STORE_BUTTON_TEXT;Go to store
CHAT_ERROR_MESSAGE_REFUSED;Your message was automatically rejected by the recipient's platform because of its content.
CHAT_ERROR_SANITIZATION_ERROR;Your message was rejected because of its content.
ID_COPIED_TO_CLIPBOARD;ID copied to clipboard.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Special ladder maps
PROMPT_SIGN_IN_CHANGED;SignIn status changed
PROMPT_GAMEPAD_DISCONNECTED;A gamepad was disconnected
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;PS4
PLAYER_PLATFORM_SWITCH;Switch
PLAYER_UNKNOWN_USER_NAME;Unknown player
PLAYER;Player
NOT_ENOUGH_COINS;You don't have enough shards.
NOT_ENOUGH_GEMS;You don't have enough gems.
LADDER_RANKED_BUTTON;Ranked
LADDER_PANDORA_BUTTON;Pandora
LADDER_ARENA_DESCRIPTION;Top 64 players sorted by Pandora points
LADDER_RANKED_DESCRIPTION;God rank players sorted by ELO
HOME_LADDER_BUTTON_TEXT;Ladder
COSMETIC_ITEM_NOT_OWNED;You don't own this cosmetic item
SETTING_BUTTON_TEXT_CHANGE_PROFILE;Change profile
DOWNLOADED;Downloaded
PROMPT_LANGUAGE_CHANGED_PROMPT_SIGNOUT;You changed the language of the game. You will be signed out
PROMPT_PUZZLE_IS_PART_OF_A_DLC;This puzzle is part of a DLC
SETTING_CROSS_PLATFORM_PLAY_ENABLED;Cross-Platform play enabled
PLAYER_REPORT_SENT;Player report sent
PLAYER_REPORT_REASON_UNSPORTSMANLIKE_CONDUCT;Unsportsmanlike Conduct
PLAYER_REPORT_REASON_THREATS;Threats
PLAYER_REPORT_REASON_OFFENSIVE_LANGUAGE;Offensive Language
PLAYER_REPORT_REASON_CHEATING;Cheating
PLAYER_REPORT_SELECT_THE_REASON;Why do you want to report this player?
PLAYER_REPORT_POPUP_TITLE;Report player
FRIENDLIST_REPORT_PLAYER;Report player
PROMPT_UPSELL_MUST_LOGOUT;You must reconnect to apply the changes.
PLATFORM_PS4_PROMPT_GAMEPAD_DISCONNECTED;A <nobr>DUALSHOCK®4 wireless controller</nobr> has been disconnected.
PLATFORM_SWITCH_PROMPT_GAMEPAD_DISCONNECTED;A Joy-Con™ has been disconnected.
PLATFORM_DEFAULT_PROMPT_GAMEPAD_DISCONNECTED;A controller has been disconnected.
PROMPT_TEXT_CANCEL;Cancel
PLATFORM_DEFAULT_PROMPT_DISPLAY_CONSOLE_WEB_BROWSER;You will be redirected to a website on the web browser.
PLATFORM_XBOX_LIVE_PROMPT_DISPLAY_CONSOLE_STORE;You will be redirected to the <nobr>Microsoft Store</nobr>.
PLATFORM_PS4_PROMPT_DISPLAY_CONSOLE_STORE;You will be redirected to the <nobr>PlayStation™Store</nobr>.
PLATFORM_SWITCH_PROMPT_DISPLAY_CONSOLE_STORE;You will be redirected to the <nobr>Nintendo eShop</nobr>.
PROMPT_KOTH_INVITE;You have been elected King of the Hill!\nDo you want to face the challenge?
PROMPT_KOTH_SAVE_DECK_CONFIRMATION;You won't be able to modify the deck after this.\nWould you like to continue?
PROMPT_KOTH_DROP_RUN_CONFIRMATION;Do you really want to drop the run?
PROMPT_KOTH_CANCEL_SEARCH_CONFIRMATION;Do you really want to leave the King of the Hill queue?
PROMPT_BIND_DISCORD_ACCOUNT_CONFIRMATION_TEXT;Join our Discord to link your account to Faeria and enable betting in King of the Hill mode!
PRIVATE_LOBBY_CLOSED;The lobby was closed.
