1.cardName;Bauernjunge
300.cardText;{deathtouch}\nDu musst eine andere Kreatur opfern, um diese Kreatur zu beschwören.
301.cardName;Schwur der Verwüstung
301.cardText;Opfere eine Kreatur. Beschwöre einen 6/3 <b>Reiter der Verwüstung</b> mit {charge|3} an ihrer Stelle.
302.cardName;Monströser Schaitan
302.cardText;{charge|2}\n Immer wenn eine verbündete Kreatur stirbt, absorbiert diese Kreatur ihren Angriff.
303.cardName;Iona, von allen geliebt
303.cardText;{flying}\nKann nicht angegriffen werden.
304.cardName;Dämonenschwinge
304.cardText;{flying}
305.cardName;Reiter der Verwüstung
305.cardText;{charge|3}
306.cardName;Seelenentzug
306.cardText;Entziehe einer Kreatur 2 Leben.
307.cardName;Erstickender Sandsturm
307.cardText;Zerstöre eine Kreatur mit 3 Angriff oder weniger.
308.cardName;Schicksalspforte, Tor zur Verwüstung
308.cardText;Wenn Schicksalspforte 13 oder mehr Leben hat, zerstöre sie und beschwöre <b>Ostregoth</b> an ihrer Position.\n{activate} - Opfere eine Kreatur, ziehe eine Karte und Schicksalspforte erhält +0/+2.
309.cardName;Sturmschütze
309.cardText;{ranged_attack}\nErhält jedes Mal, wenn du ein Ereignis spielst, +1/+0 für diesen Zug.
310.cardName;Sturmreiter
310.cardText;{charge|2}\nErhält jedes Mal, wenn du ein Ereignis spielst, +2/+0 für diesen Zug (Limit: +6/+0).
311.cardName;Oberstes Raubtier
311.cardText;{jump}\n{gift} – Erhält Angriff und Leben in Höhe des Angriffs und Lebens einer beliebigen anderen Kreatur.
312.cardName;Eisfels-Behemoth
312.cardText;{taunt}, {protection}
313.cardName;Zwillingsseelen-Geist
313.cardText;{flying}\nKann angrenzend zu einer verbündeten Kreatur beschworen werden.\n{gift} – Beschwöre einen weiteren <b>Zwillingsseelen-Geist</b>.
314.cardName;Splitterdornen-Bestie
314.cardText;{dash|2}\n{gift} - Verteile insgesamt 4 Schaden auf zufällige Gegner. Verteile insgesamt +4/+4 auf zufällige verbündete Kreaturen.
315.cardName;Seelenfresser
315.cardText;{flying}, {charge|3}\nWährend diese Karte in deinem Deck oder deiner Hand ist, erhält sie +1/+1 für jede verbündete Kreatur, die in diesem Spiel gestorben ist.
316.cardName;Flammengeißel-Gespenst
316.cardText;{flying}, {haste}, {charge|2}\n{combat} – Fügt deinem Gegner 3 Schaden zu.
317.cardName;Gabrianischer Soldat
317.cardText;{aquatic}, {charge|3}
318.cardName;Frosch
318.cardText;{jump}
319.cardName;Kartograph
319.cardText;{last_words} - Erschaffe {green}{blue}{red}{yellow} auf zufälligen Feldern.
321.cardName;Himmelsverschlinger
321.cardText;{flying}
322.cardName;Wilder Prärie-Yak
322.cardText;{haste}
323.cardName;Erkunden
323.cardText;Platziere eine Prärie und erhalte {faeria|2}.
324.cardName;Wilder Yak
324.cardText;{haste}
325.cardName;Dornen-Irrlicht
325.cardText;Dies erhält +1/+0, immer wenn du {green} erschaffst.
328.cardName;Ostregoth, Hand der Verwüstung
328.cardText;{flying}, {haste}, {charge|13}\nFaeria Brunnen sind leer.
329.cardName;Halsabschneider
330.cardName;Wilder Reiter
331.cardName;Weisheit
331.cardText;Ziehe zwei Karten.
332.cardName;Heilendes Gebet
332.cardText;Erhalte 3 Leben.
333.cardName;Ich nicht spielbar
333.cardText;Du kannst mich nicht spielen.
334.cardName;Größere Weisheit
334.cardText;Ziehe FÜNF Karten.
335.cardName;Rebellen-Schleuderer
335.cardText;{gift} – Fügt deinem Gegner 2 Schaden zu.
336.cardName;Geist des Nexus
336.cardText;{last_words} – Senkt das Leben seines Meisters auf 1.
337.cardName;Göttliches Feuer
337.cardText;Füge ALLEN mickrigen Kreaturen deines Feindes 10 Schaden zu.
338.cardName;Macht der Gezeiten
338.cardText;Bewege ein Land.
339.cardName;Reißender Wind
339.cardText;Bewege eine verbündete Kreatur.
340.cardName;Syland-Krieger
342.cardName;Kojin, Heilige Flamme
342.cardText;{divine}\nKojin beruhigt seinen Meister Pyhros, solange er im Spiel ist.\n{production} - Kojin verliert 1 Leben.
350.cardName;Drei Wünsche
350.cardText;Erhalte 3 Leben. Kopiere die obersten 3 Karten des Decks deines Gegners. Sie kosten {faeria|1} weniger und sind {wild}. Du kannst dir nicht mehr Wünsche wünschen.
351.cardName;Rebellengleiter
351.cardText;{flying}, {dash|2}\nKann kein Faeria sammeln.
352.cardName;Silberstrahl, Imperiales Luftschiff
352.cardText;{flying},{dash|3}\n Die Kosten für Silberstrahl sind gleich deines aktuellen Lebens.\n{gift} - Erhalte 1 Leben für jede Karte in deiner Hand.
353.cardName;Verbotene Bibliothek
353.cardText;{production} - Ziehe eine Karte und erhalte {faeria|1}. Füge dir selbst 2 Schaden zu.
354.cardName;Traumräuber
354.cardText;{dash|3}\n{gift} - Setze die Leben eines Gottes auf 10.
355.cardName;Ungezähmtes Kodama
355.cardText;{jump}\nKann kein Faeria sammeln.\nErhalte 5 Leben, wenn diese Kreatur einen Gott angreift.
356.cardName;Gottesjäger
356.cardText;{jump}\nKann nur Götter angreifen.\nKann kein Faeria sammeln.
357.cardName;Blutgesang
357.cardText;Reduziere vier mal die Kosten einer zufälligen Karte in deiner Hand um {faeria|2}. Du nimmst 4 Schaden.
358.cardName;Höllenfeuer
358.cardText;Verteile insgesamt 9 Schaden auf zufällige Gegner.
359.cardName;Weltuntergang
359.cardText;Dein Faeria-Vorrat wird auf {faeria|0} gesetzt. Halbiere deine Leben (abgerundet). Zerstöre ALLE Kreaturen und Strukturen. Beende den Zug.
360.cardName;Lästige Stechmücke
360.cardText;{flying}\nKann kein Faeria sammeln.\n{last_words} - Füge dir selbst 2 Schaden zu. Beschwöre diese Karte in einer zufälligen Position.
361.cardName;Langhorn-Yak
361.cardText;{last_words} - Die nächste Kreatur, die du ziehst, erhält Angriff in Höhe des Angriffs dieser Kreatur.
362.cardName;Zeitalter der Legenden
362.cardText;Ziehe die oberste Legende aus deinem Deck. Wenn keine Legenden deinem Ruf folgen können, nimm eine zufällige Legende auf die Hand. Sie wird {wild}.
363.cardName;Triton-Ausbilder
363.cardText;{jump}\n{gift} - Die nächste Kreatur mit {jump}, die du beschwörst, erhält +1/+1.
364.cardName;Stimme der Wahrheit
364.cardText;{gift} - Du kannst eine Kreatur auf ihren Originalen angriffs und verteidigungs-Wert zurücksetzen.
365.cardName;Vorbote des Krieges
365.cardText;{combat} - Die nächste von dir beschworene {combat} Kreatur erhält +1/+1.
366.cardName;Wolken-Wegweiser
366.cardText;{flying}\nVerbündete Kreaturen, die neben dieser Kreatur beschworen werden, erhalten {dash|2} und {flying}.
367.cardName;Heilige Wächterin
367.cardText;{divine}\n Wenn du tödlichen Schaden erleiden würdest, verhindere ihn und zerstöre stattdessen diese Kreatur.
368.cardName;Befehl des Imperators
368.cardText;Das Ziel erhält:\n- Kreatur: -2/-1\n- Struktur: 3 Schaden \n- Gott: 4 Leben
369.cardName;Illusion von Erhabenheit
369.cardText;{charge|2}\nJedes Mal, wenn du eine Kreatur beschwörst, die {faeria|1} oder weniger kostet, erhält diese Karte Angriff und Leben gleich den Werten jener Kreatur (solange sie in deiner Hand oder deinem Deck ist).
370.cardName;Düsterforst-Pirscher
370.cardText;{gift} - Dies kann eine gegnerische Kreatur bekämpfen.
371.cardName;Krogs Abendessen
371.cardText;Dein Krog kostet {faeria|7} weniger. Wenn du Krog beschwörst, zerstöre diese Kreatur. \n {gift} Wenn Krog gestorben ist oder in deinem Deck ist, ziehe ihn.
372.cardName;Ionas Lächeln
372.cardText;Ziehe die obersten 2 Kreaturen mit {flying} aus deinem Deck.
400.cardName;Splitter von Pandora
401.cardName;Pandora erwacht!
401.cardText;Pandora öffnet die Pforten, beide Spieler erhalten einen <b>Schatz</b>!
402.cardName;Schatz gefunden!
402.cardText;Beide Spieler erhalten einen <b>Schatz</b>!\nZiehe eine Karte.
403.cardName;Dunkler Kristall
403.cardText;Entziehe deinem Gegner 4 Leben, füge allen feindlichen Kreaturen 3 Schaden zu und ziehe 2 Karten.
404.cardName;Kriegshorn aus Yakbein
404.cardText;Beschwöre drei <b>Wilde Prärie-Yaks</b> mit {haste}.
405.cardName;Astral-Waffe
405.cardText;{flying}\n{gift} – Zerstöre alle angrenzenden Kreaturen, Bauwerke und Länder.
406.cardName;Okarina
406.cardText;Führe nach diesem Zug einen weiteren Zug durch.
407.cardName;Dschinnenlampe
407.cardText;{options|Nimm 3 zufällige grüne Karten auf deine Hand. Sie kosten {faeria|3} weniger.|Nimm 3 zufällige blaue Karten auf deine Hand. Sie kosten {faeria|3} weniger.|Nimm 3 zufällige rote Karten auf deine Hand. Sie kosten {faeria|3} weniger.|Nimm 3 zufällige gelbe Karten auf deine Hand. Sie kosten {faeria|3} weniger.}\nWähle eine Farbe. Nimm 3 zufällige Karten von dieser Farbe auf deine Hand. Sie kosten {faeria|3} weniger.
408.cardName;Urne aus Gabria
408.cardText;Ziehe 2 Karten und erhalte {faeria|2}.
409.cardName;Ionas Spiegel
409.cardText;Nimm zwei Exemplare des <b>Schatzes</b> auf deine Hand, den dein Gegner zuletzt gespielt hat.
410.cardName;Blutsteingolem
410.cardText;{production} - Fülle alle Faeria-Brunnen. \n Füge deinem Gegner immer 1 Schaden zu, wenn Faeria gesammelt wird.
411.cardName;Der Pokal mit dem Portal
411.cardText;Verteile insgesamt +6/+6 zufällig auf freundliche Kreaturen.
412.cardName;Eredons Trommel
412.cardText;All deine Kreaturen erhalten +2/+2, egal, wo sie sich befinden.
413.cardName;Wolkenmaschine
413.cardText;Verbündete Kreaturen haben +1/+0, {flying} und {jump}.
414.cardName;Ring der Herrschaft
414.cardText;{options|Verwandle ein Land in {green}. Du erhältst die Kontrolle darüber.|Verwandle ein Land in {blue}. Du erhältst die Kontrolle darüber.|Verwandle ein Land in {red}. Du erhältst die Kontrolle darüber.|Verwandle ein Land in {yellow}. Du erhältst die Kontrolle darüber.}\nVerwandle ein Land in ein Land deiner Wahl. Du erhältst die Kontrolle darüber.
415.cardName;Die Träne der Welt
415.cardText;Verwandle eine Kreatur, die in diesem Zug einen Gott angegriffen hat, in einen <b>Himmelsschlucker</b> mit 10/10 und {flying}.
416.cardName;Uhrwerk-Yak
416.cardText;{dash|2}
417.cardName;Equinox-Roboter
417.cardText;{gift} - Erhalte 6 Leben. \n {last_words} - Füge deinem Gegner 6 Schaden zu.
418.cardName;Magdas Rose
418.cardText;Erhalte die Kontrolle über eine feindliche Kreatur.
419.cardName;Auroras Teekessel
419.cardText;Setze alle verbündeten Kreaturen auf 6/6.
420.cardName;Stein des Glückssegens
420.cardText;Mische 3 zufällige <b>Schätze</b> in dein Deck.
421.cardName;Geheimnis der Stärke
421.cardText;Gib einer Kreatur +4/+4, {flying}, und {charge|3}.
422.cardName;Hüter der Leere
422.cardText;{gift} – Zerstört dein Deck.
423.cardName;Kristalldrache
423.cardText;{flying}, {charge|3}
424.cardName;Rubin der Flammenexplosion
424.cardText;{options|Füge 3 Schaden zu.|Füge allem 3 Schaden zu.}\n– Füge 3 Schaden zu.\n– Füge allem 3 Schaden zu.
425.cardName;Hammer der Zerstörung
425.cardText;Füge einem Ziel deiner Wahl 5 Schaden zu. Mische den <b>Hammer der Zerstörung</b> in deinen Kartenstapel.
426.cardName;Erdfeuerbrecher
426.cardText;{gift} Füge allen Gegnern 2 Schaden zu. Für jeden zerstörten Gegner erhält diese Kreatur +2/+2.
427.cardName;Des Todes Gier
427.cardText;Zerstöre eine Kreatur. Ihr Besitzer erhält {faeria|1} in Höhe ihrer Kosten und zieht 2 Karten.
428.cardName;Flaschenblitz
428.cardText;Füge einer Kreatur 6 Schaden und allen angrenzenden Gegnern 3 Schaden zu.
429.cardName;Tanzende Klinge
429.cardText;{flying}, {jump}\nFügt am Ende deines Zuges allen Gegnern auf angrenzenden Feldern 3 Schaden zu.
430.cardName;Sense des Untergangs
430.cardText;Zerstöre eine Kreatur. Beschwöre an ihrer Stelle ein 6/1 <b>Mörderisches Schattenwesen</b>.
431.cardName;Juwelenbesetzte Elster
431.cardText;{flying}, {haste}\n Immer wenn diese Kreatur einen Gott angreift, erhältst du einen zufälligen <b>Schatz</b> auf die Hand.
432.cardName;Rad des Chaos
432.cardText;{options|Zerstöre 2 unbesetzte Länder.|Zerstöre eine Kreatur mit 5 oder weniger Angriff.|Erhalte 7 Leben.}\n– Zerstöre 2 unbesetzte Länder.\n– Zerstöre eine Kreatur mit 5 oder weniger Angriff.\n– Erhalte 7 Leben.
433.cardName;Ulanis Medaillon
433.cardText;Wähle eine verbündete Kreatur. Alle anderen Kreaturen verwandeln sich in eine Kopie davon.
500.cardName;Affen-Meisterstratege
500.cardText;{taunt}\n{gift} - Erhält jedes Mal +2/+2, wenn eine gegnerische Kreatur während des nächsten Zuges deines Gegners Faeria sammelt.
501.cardName;Unerschrockener Entdecker
501.cardText;{gift} - Jeder Spieler bekommt ein <b>Erkunden</b> auf die Hand.
502.cardName;Kristallblume
502.cardText;{gift} - {swallow} eine Kreatur. \nErhält 1 Schaden am Ende deines Zuges.
503.cardName;Yakkapult
503.cardText;{ranged_attack}\nJedes Mal, wenn diese Kreatur angreift, beschwöre ein 2/2 <b>Wütendes Yak</b> auf einem zufällig ausgewählten, dem Ziel angrenzenden Feld.
504.cardName;Goki, Freundlicher Bergmann
504.cardText;{gift} - Füge der Hand deines Verbündeten einen zufälligen <b>Schatz</b> hinzu.
505.cardName;Mobie, Azurblauer Himmelswal
505.cardText;{flying}, {charge|3}\nKann kein Faeria sammeln.\n{gift} - {swallow}: Eine Kreatur.
506.cardName;Ballonfisch
506.cardText;{flying}, {dash|2}\n{gift} - {swallow} eine verbündete Kreatur. Wenn das nicht geht, stirbt der Ballonfisch.
507.cardName;Kaios, der Imperator
507.cardText;{production} - Alle gegnerischen Kreaturen erhalten -1/-0. Dann zerstöre alle gegnerischen Kreaturen mit 0 Angriff.
508.cardName;Samenkorn aus dem Paradies
508.cardText;{flying}, {dash|1}\n{gift} - {options|Wenn diese Kreatur über einem Ozean sammelt, stirbt sie und erschafft {green}|Wenn diese Kreatur über einem Ozean sammelt, stirbt sie und erschafft {blue}|Wenn diese Kreatur über einem Ozean sammelt, stirbt sie und erschafft {red}|Wenn diese Kreatur über einem Ozean sammelt, stirbt sie und erschafft {yellow}}\nWenn diese Kreatur über einem Ozean sammelt, stirbt sie und erschafft ein Land der gewählten Farbe.\n
509.cardName;Der Baum des Ewigen Lebens
509.cardText;{production} - Erhalte 7 Leben.\nEine zufällig ausgewählte Kreatur in deiner Hand erhält +7/+7.
510.cardName;Geschenk der Rakoa
510.cardText;Gib einer Kreatur +1/+1 für jede verbündete Kreatur.
511.cardName;Neugieriger Biomant
511.cardText;{gift} - Ziehe für jede gegnerische Kreatur eine nicht-blaue Kreatur aus deinem Deck.
512.cardName;Fugoro, Wunderhändler
512.cardText;{jump}\n{gift} - {options|Ziehe eine <b>Urne aus Gabria</b>|Ziehe einen <b>Kristalldrachen</b>|Ziehe <b>Ulanis Medaillon</b>}\n- Ziehe eine <b>Urne aus Gabria</b>\n- Ziehe einen <b>Kristalldrachen</b>\n- Ziehe <b>Ulanis Medaillon</b>
513.cardName;Hüpfender Fugu
513.cardText;{jump}\n{gift} - Erhält +3/+3, wenn du 8 oder mehr farbige Länder kontrollierst.
514.cardName;Enterhaken
514.cardText;Die Zielkreatur erhält {ranged_attack} bis zum Ende des Zuges. Nachdem sie angreift, kannst du sie auf ein Land neben der angegriffenen Kreatur bewegen.
515.cardName;Nachtschwärmer der Rakoan
515.cardText;{last_words} - Du erhältst {faeria|1} in Höhe des Angriffs dieser Kreatur.
516.cardName;CAP-10, Schrecken der Lüfte
516.cardText;{combat} - Ziehe ein <b>Geschenk des Stahls</b> aus deinem Deck. Wenn das nicht geht, mische eines hinein.
517.cardName;Lichtblitz-Lachs
517.cardText;{divine}, {flying}, {haste}, {charge|2}\n Kann kein Faeria sammeln. \nZerstöre diese Kreatur am Ende deines Zuges und ziehe eine Karte.
518.cardName;Manta-Reiter
518.cardText;{flying}\n{last_words} - Beschwöre einen 2/2 <b>Manta</b> mit {flying} und {charge|2} wo diese Kreatur gestorben ist.
519.cardName;Istanu, das Ewige Licht
519.cardText;{flying}, {charge|3}\n{last_words} - Eine zufällig ausgewählte verbündete Kreatur wird der neue <b>Istanu</b>.
520.cardName;Wandelbarer Oktopus
520.cardText;{options|Erhält +2/+0.|Erhält +0/+2.|Erhält {jump}.|Erhält {taunt}.}, zweimal:\n- Erhält +2/+0\n- Erhält +0/+2\n- Erhält {jump}\n- Erhält {taunt}
521.cardName;Frosch-Werfer
521.cardText;{gift} - Dies bekämpft eine gegnerische Kreatur. Beschwöre einen 2/2 <b>Frosch</b> mit {jump} auf einem zufälligen Feld, das an das Ziel angrenzt.
522.cardName;Weg ins Paradies
522.cardText;{options|Erschaffe {green}|Erschaffe {blue}|Erschaffe {red}|Erschaffe {yellow}} - Erschaffe ein Land der gewählten Farbe.\nDie erste Kreatur, die du in diesem Zug darauf beschwörst, erhält +2/+0.
523.cardName;Smaragdgrüner Salamander
523.cardText;{gift} - Füge angrenzenden gegnerischen Kreaturen 2 Schaden zu. Gib angrenzenden verbündeten Kreaturen +2/+2.
524.cardName;Himmelstrebender Schwertfisch
524.cardText;{flying}, {taunt}, {dash|1}
525.cardName;Karpfenschwarm
525.cardText;{flying}\n Kann neben verbündeten Kreaturen beschworen werden. \n {gift} Beschwöre einen <b>Karpfenschwarm </b> für jeden der in diesem Spiel gestorben ist.
526.cardName;Traumbewahrer
526.cardText;{taunt}\n{gift} - Reduziere die Kosten aller deiner Handkarten um {faeria|1}, dann mische sie in dein Deck und ziehe soviele Karten nach.
527.cardName;Edelsteinpanzer-Schildkröte
527.cardText;{gift} - Ziehe eine Karte und kopiere diese. Sie kosten {faeria|2} weniger.
528.cardName;Flug der Mantas
528.cardText;Wenn du diese Karte ziehst, kopiere sie.\nBeschwöre einen 2/2 <b>Manta</b> mit {flying} und {charge|2}.
529.cardName;Schleppkahn der Wolkenwelt
529.cardText;{flying}, {dash|1}\nJedes Mal, wenn diese Kreatur ein Land verlassen würde, nimmt sie stattdessen das Land bei seiner Bewegung mit.
530.cardName;Häuptling der Rakoan
530.cardText;{dash|1}\nBenachbarte verbündete Kreaturen haben +1/+0.
531.cardName;Wolkenrose
531.cardText;{flying}, {taunt}\nKann überall beschworen werden.
532.cardName;Ulani, Schamanin der Wolkenwelt
532.cardText;{gift} - Ziehe eine grüne, eine blaue, eine rote und eine gelbe Karte aus deinem Deck.
549.cardName;Realitätsbrecher
549.cardText;{flying}\n{production} - Erhalte +0/+2.\nWenn diese Karte 10 oder mehr leben hat, <b>bring das Spiel zum Absturz</b>.
550.cardName;Kristallblume
550.cardText;Ein Gefangener wird darin festgehalten.
551.cardName;Kristallblume
551.cardText;Ein Gefangener wird darin festgehalten.
552.cardName;Kristallblume
552.cardText;Ein Gefangener wird darin festgehalten.
553.cardName;Fliegender Manta
553.cardText;{flying}, {charge|2}
555.cardName;Wütendes Yak
556.cardName;Der Gewinner bist du!
556.cardText;Füge deinem Gegner 100 Schaden zu.
557.cardName;Imperator Kaios der Große
557.cardText;{production} - Alle gegnerischen Kreaturen erhalten -1/-0. Dann werden alle gegnerischen Kreaturen mit 0 Angriff zerstört.
601.cardName;Laya, Herrin des Leids
601.cardText;{deathtouch}\n{last_words} - Beschwöre eine <b>Schimmernde Statue</b> in Layas Position.
602.cardName;Imperialer Drachenreiter
602.cardText;{flying}, {charge|2}\n{corrupt} - Erhalte +2/+2.
603.cardName;Wahnsinniger Affe
603.cardText;{gift} - Leere alle Brunnen. Diese Kreatur erhält +1/+1 für jeden geleerten Brunnen.
604.cardName;Imperialer Sturmsoldat
604.cardText;{corrupt} - Übernehme die Kontrolle über dieses Land.
605.cardName;Verlaufener Erkunder
605.cardText;{corrupt} - Ziehe eine Karte und erhalte {faeria|1}
606.cardName;Pestklingen-Ritter
606.cardText;Schaden, den diese Kreatur erleidet, wird auch dir zugefügt.
607.cardName;Seidenschatten-Fee
607.cardText;{flying}, {charge|2}, {protection}\n{corrupt} - Ziehe 2 Ereignisse aus deinem Deck.
608.cardName;Kaios, Wahnsinniger Drahtzieher
608.cardText;{divine}\nKaios' Angriff ist immer so hoch wie sein Leben.\n{corrupt} - Entziehe ALLEM 1 Leben.
609.cardName;Fischregen
609.cardText;Beschwöre 6 <b>Rubinfische</b> auf zufälligen Feldern. Jeder Fisch, der ein Land trifft, fügt benachbarten Gegnern 1 Schaden zu.
610.cardName;Fliegender Piranha
610.cardText;{flying}\n Erhält {deathtouch} und {jump}, wenn eine benachbarte Kreatur stirbt.
611.cardName;Monströse Hydra
611.cardText;{corrupt} - Beschwöre einen 2/1 <b> Hydrakopf </b> mit {haste} auf jedem benachbarten Land. Sie sterben am Ende des Zuges.
612.cardName;Spukende Weide
612.cardText;{taunt}
613.cardName;Rottender Eber
613.cardText;{dash|1}\n{corrupt} - Ziehe die oberste Kreatur mit 5 oder mehr Leben aus deinem Deck. Sie erhält +2/+2.
614.cardName;Nekomata
614.cardText;{taunt} \n {corrupt} - Verdopple den Angriff dieser Kreatur.
615.cardName;Baldurion, Dunkler Meisterschmied
615.cardText;{protection}\n{corrupt} - Füge deiner Hand einen <b>Hammer der Zerstörung</b> hinzu.
616.cardName;Boshafte Elfe
616.cardText;{last_words} - Füge dir selbst 2 Schaden zu.
617.cardName;Verwüstung
617.cardText;Füge einer gegnerischen Kreatur oder Bauwerk 9 Schaden zu.
618.cardName;Dämonischer Lachs
618.cardText;{haste}, {flying}, {charge|2}\n Kann kein Faeria sammeln.\nWenn diese Kreatur einen Gott angreift, erhält sie +1/+1.
619.cardName;Seelenraub
619.cardText;Entziehe einer gegnerischen Kreatur 1 Leben. Wenn dies die Kreatur tötet, nimm eine Kopie von ihr auf die Hand. Sie ist {wild}.
620.cardName;Solem
620.cardText;{flying}, {divine}\n{corrupt} - Zerstöre einen Faeria-Brunnen.
622.cardName;Mutter aller Yaks
622.cardText;{gift} - Beschwöre zwei 4/4 <b>Yak Wächter</b> mit {taunt} und {flying} neben Mutter aller Yaks.\n Kostet {faeria|1} weniger für jeden verbündeten Yak der in diesem Spiel gestorben ist.
623.cardName;Champion der Rakoa
623.cardText;{dash|2}\n{gift}- Erhält +1/+1 für jeden anderen Rakoan auf dem Spielfeld.
624.cardName;Waisenfugu
624.cardText;Hat +2/+0 und {jump} solange du eine andere Bestie kontrollierst.
625.cardName;Rapala, der Dummfisch
625.cardText;{aquatic}\n{gift}- Fülle die Hand deines Gegners mit <b>Rubinfisch</b>. Was ein Idiot.
626.cardName;Saphiryak
626.cardText;Immer wenn ein verbündetes Yak Faeria von einem gegnerischen Brunnen sammelt erhält es +2/+2.
627.cardName;Erlegen
627.cardText;Gib einer verbündeten Bestie +2/+0. Dann bekämpft sie eine gegnerische Kreatur.
628.cardName;Smaragdtyak
628.cardText;{gift}- Beschwöre ein 1/1 <b>Baby Yak</b> mit {taunt} und <b> Kann kein Faeria sammeln</b> auf einer Prärie unter deiner Kontrolle.
629.cardName;Majinata, Geist des Ewigen Lebens
629.cardText;{protection}, {divine}\n{gift} - Eine verbündete Kreatur verschlingt Majinata. Sie erhält +5/+5, {flying} und {charge|2}.
630.cardName;Lavastrom Axolotl
640.cardName;Rakoakopter
640.cardText;{flying}, {dash|1}\n{gift} - Füge angrenzenden feindlichen Kreaturen 2 Schaden zu.
641.cardName;Rubinyak
641.cardText;Immer wenn ein verbündeter Yak schaden erleidet, füge deinem Gegner 1 Schaden zu.
642.cardName;Geisterdrache
642.cardText;{flying}, {charge|2}, {protection}
643.cardName;Löwenfisch
643.cardText;{flying}, {deathtouch}
644.cardName;Topazyak
644.cardText;Kann neben verbündeten Yaks beschworen werden. Wenn dies passiert, erhält diese Kreatur {haste}.
645.cardName;Rakoan Kriegsmaschine
645.cardText;{charge|2}\n{gift} - Diese Kreatur kann einen anderen verbündeten Rakoan {swallow} um +2/+0 zu erhalten.
646.cardName;Rakoan Kanonier
646.cardText;{gift} - Du kannst einen verbündeten Rakoan opfern. Falls du dies tust, füge einer gegnerischen Kreatur 3 Schaden zu.
647.cardName;Rakoan Illusionist
647.cardText;{gift} - Du kannst einen anderen Rakoan, bis zum Ende deines nächsten Zuges, in einen 4/4 {flying} {charge|2} <b>Dünendrache</b> verwandeln.
648.cardName;Rakoanische Schildbrüder
648.cardText;{last_words} - Beschwöre einen 1/1 Rakoaner an dieser Position.
649.cardName;Rakoan Truppführer
649.cardText;{combat} - Gib einem zufälligen Rakoan in deiner Hand +1/+1.
650.cardName;Rakoan Rekrutierer
650.cardText;{gift} - Füge deiner Hand einen 1/1 Rakoan hinzu. Er kostet {faeria|0}.
653.cardName;Turm der Flüche
653.cardText;{activate} - Gib einer Kreatur -1/-1. Füge diesem Bauwerk 1 Schaden zu.
654.cardName;Shozen, der Himmelsschlinger
654.cardText;{flying}, {charge|3}\n Wenn Shozen das erste mal eine Kreatur im Kampf zerstören würde, verschlingt er sie und du erhälst die kontrolle über die Kreatur.
655.cardName;Imperialer Außenposten
655.cardText;Alle verbündeten neutralen Kreaturen haben +1/+0
656.cardName;Zerstörerische Salve
656.cardText;Füge einer Kreatur 2 Schaden zu. Falls es eine {flying} Kreatur ist, füge ihr stattdessen 5 Schaden zu.
658.cardName;Silberstrahl, Geißel der Wolkenwelt
658.cardText;{flying}\n{gift} - Gegnerische Kreaturen können sich im nächsten Zug nicht bewegen.
659.cardName;Sprenghippo
659.cardText;{combat} - Füge allen anliegenden Gegnern 2 Schaden zu.
660.cardName;Bestien Trainer
660.cardText;{gift} - Eine zufällige Bestie in deiner Hand kostet {faeria|5} weniger.
661.cardName;Kobold Schmuggler
661.cardText;{corrupt} - Beschwöre einen 4/3 <b>Seifers Kanonenfutter</b> auf einem zufälligen anliegenden Land.
662.cardName;Zorn des Ignus
662.cardText;Verteile insgesamt {dynamic_number|0|0} Schaden auf zufällige Gegner. .\nFügt +1 Schaden für jedes mal, das du +{faeria|1} von dem Kraftrad gewählt hast, zu (während diese Karte in deinem Deck oder deiner Hand ist).
663.cardName;Ignusi Ritualist
663.cardText;{gift} - Lade das Kraftrad neu auf. \n{corrupt} - Lade das Kraftrad neu auf.
664.cardName;Flammenentfacher
664.cardText;Erhält +1/+1 jedes mal das du +{faeria|1} von dem Kraftrad wählst.
665.cardName;Wolkenödlands Pest
665.cardText;{gift} - Dies bekämpft deinen Gegner.
666.cardName;Aasige Blähfliege
666.cardText;{flying}\{corrupt} - Nimm eine <b>Aasige Blähfliege</b> auf die Hand.
667.cardName;Schandbrut Gespenst
667.cardText;{charge|2}\n{production} - Falls dein gegner 4 oder mehr Karten in der Hand hat, erhällt diese Kreatur +1/+1.
668.cardName;Sandsturm Geist
668.cardText;{corrupt} - Erhöhe die Kosten aller Karten in der gegnerischen Hand um {faeria|1}.
669.cardName;Wolkenödlands Geier
669.cardText;{flying}\n{gift} - Zerstöre eine kreatur mit 1 Leben und entziehe ihre Angriffskraft.
671.cardName;Donner Aal
671.cardText;{flying}\n {gift} - Du kannst einer Kreatur 2 Schaden zufügen. Falls Sie sich auf einem Ozeanfeld befindet, füge Ihr stattdessen 4 Schaden zu.
676.cardName;Wandernder Yak
676.cardText;{dash|1}\n{gift} - Erschaffe eine Prärie.
677.cardName;Yakhirtin
677.cardText;{gift} - Gib 2 verbündeten Yaks +2/+0 und {charge|2} bis zum Ende der Runde.
678.cardName;Himmelswelt Yak
678.cardText;{flying}\nHat +2/+2 solange du 6 Prärien kontrollierst.
679.cardName;Aufgeblähte Kröte
679.cardText;{jump}\nDiese Kreatur wird mit einem verschlungenen gegnerischen 2/2 <b>Frosch</b> beschworen.
680.cardName;Verzerrtes Trugbild
