ACCEPT;Annehmen
PROMPT_EMAIL_WELCOME;Bestätige deinen Account und erhalte 2 Kampf Truhen (8 Karten)!
PROMPT_EXIT_CONFIRMATION;Willst du wirklich das Spiel beenden?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Möchtest du die Spieleinladung annehmen?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Möchtest du diese Freundschaftsanfrage annehmen?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Möchtest du diesen Steam-Freundschaftsvorschlag annehmen?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Möchtest du diese Freundschaftsanfrage annehmen?
PROMPT_GAME_HAS_CRASHED;Das Spiel ist abgestürzt!
PROMPT_LOBBY_CANCEL_CONFIRMATION;Willst du den Privatbereich wirklich verlassen?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Bist du sicher, dass du den Privatbereich verlassen willst?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Deine Änderungen wurden nicht angewendet. Möchtest du sie verwerfen?
PROMPT_NEW_BINDING;Hast du schon einen Faeria-Account?
PROMPT_NO_DECK_FOUND;Du musst ein Deck erstellen, damit du spielen kannst
PROMPT_PASSWORD_CHANGE_SUCCESS;Das Passwort für den Account {0} wurde erfolgreich modifiziert.
PROMPT_REFUSED_INVITEE_PLAYING;Dein Freund spielt gerade.
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Dein Freund sucht bereits nach einer Partie.
PROMPT_RESET_PASSWORD;Setze dein Passwort zurück
PROMPT_SAVE_DECK_FIRST;Möchtest du die Änderungen an deinem Deck speichern?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Du kennst dich gut mit Kartenspielen aus, wie es scheint. Möchtest du das Tutorial überspringen?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Tutorial überspringen
PROMPT_STEAM_CONNECTION_REQUIRED;Eine Verbindung zu Steam wird benötigt. Bitte starte Faeria über Steam.
PROMPT_SURRENDER_CONFIRMATION;Bist du sicher, dass du aufgeben möchtest?
PROMPT_TEXT_NO;Nein
PROMPT_TEXT_OK;Ok
PROMPT_TEXT_YES;Ja
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;Das erste Deck, das du registrierst, MUSST du vom ersten Spiel einer Partie an verwenden, bist du das erste Mal verlierst. Bist du sicher, dass du fortfahren willst?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Wenn du den Turnier-Privatbereich verlässt, bevor alle verbleibenden Spiele abgeschlossen sind, verlierst du deine Spiele. Willst du das Turnier wirklich verlassen?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Bist du sicher, dass du diese Decks verwenden willst? Sobald du sie registriert hast, kannst du sie nicht mehr ändern.
PROMPT_TRANSACTION_FAILED;Transaktion fehlgeschlagen
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Überspringen
PROMPT_USER_NAME_TITLE_TEXT;Spielername
PROMPT_VICTORY;Sieg!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Fortsetzen
PUBLIC_ARENA_GAME_SEARCH;Wird gesucht
PUBLIC_GAME_SEARCH;Wird gesucht
QUEST_HINT_WILD_COST;Erfordert diese Anzahl von farbigen Ländern (insgesamt).
QUEST_HOW_TO_UNLOCK_LANE;Erreiche Stufe {0}, um diese Reihe freizuschalten.
QUEST_LANE_ACT_NAME;Missionspaket
QUEST_LANE_COMPLETED;Reihe abgeschlossen!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Unberechenbar
QUEST_LOCKED_NAME;Mission gesperrt
QUEST_OPPONENT_LEVEL;St. {0}
QUEST_PACK_COMPLETED;Missionspaket abgeschlossen
QUEST_REQUIRED_LEVEL;Erfordert\nStufe {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;Herausforderung
QUEST_TYPE_EPIC;Epische Mission
QUEST_TYPE_EPIC_FORCED_DECK;Mission
QUEST_TYPE_INTRO;Mission
QUEST_TYPE_MYSTERY;Mysteriöse Mission
QUEST_TYPE_PUZZLE;Aufgabe
QUEST_TYPE_QUEST;Quest
QUEST_TYPE_SURVIVAL;Überleben
RANK_DOWN;Rangverlust
RANK_STAR_DEFEAT;Niederlage
RANK_STAR_FIRST_WIN_OF_THE_DAY;Erster Sieg des Tages!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;Du hast einen deutlich stärkeren Gegner besiegt!
RANK_STAR_VICTORY;Sieg!
RANK_STAR_WIN_STREAK;Siegesserie!
RANK_UP;Rangaufstieg
RECOVERY_CODE;Wiederherstellungscode
RECOVERY_STEAM;Ich habe meinen Account am PC/macOS/Linux erstellt.
RECOVERY_SUPPORT;Die obigen Optionen haben für mich nicht funktioniert.
RECOVERY_VALIDATED;Mein Faeria-Account ist verifiziert (ich habe meine Emailadresse hinterlegt).
RECRUITER;Anwerber
REFUSE;Ablehnen
REFUSE_FRIEND_REQUESTS;Freundschaftsanfrage ablehnen
REFUSE_FRIEND_SPECTATE;Freund nicht zuschauen lassen
REPLAY_BUTTON_TEXT;Wiederholungsmodus
REQUEST_CANCELED_BY_HOST;Die Einladung wurde zurückgezogen.
REROLL;Neuer Versuch
RESOLUTION;Auflösung: {0}
RUSH_TUTORIAL;Die Rush-Eröffnung
SAVE;SPEICHERN
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casual
SEARCH_MODE_RANKED_BUTTON_TEXT;Rangliste
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Constructed
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Die neuesten Ankündigungen findest du <u><link={0}>hier</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;Eine Serverwartung ist für {0} geplant.
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Unsere Yakformatiker warten gerade unsere Server. Wir erwarten, dass die Server ungefähr um {0} wieder online sind.
SERVER_INFO_NEW_VERSION_CHANGELOG;Die neuesten Patchnotes findest du <u><link={0}>hier</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Server offline.
SERVER_IP;IP-Server
SETTING_ANIMATED_BACKGROUND;Animierter Hintergrund:
SETTING_BUTTON_TEXT_EXIT;Spiel Beenden
SETTING_BUTTON_TEXT_OPTIONS;Optionen
SETTING_BUTTON_TEXT_PAUSE;Pause
SETTING_MUTE_IN_BACKGROUND;Stumm schalten, wenn das Spiel im Hintergrund läuft
SETTING_PERMANENT_DECK_HAND_INFO;Informationen über Handkarten/Deck immer anzeigen
SETTING_POWER_SAVING_MODE;Energiesparmodus
SETTING_TEXT_AUDIO_TITLE;Audio-Einstellungen
SETTING_TEXT_GAMEPLAY_TITLE;Gameplay-Einstellungen
SETTING_TEXT_VIDEO_TITLE;Video-Einstellungen
SETTING_TOGGLE_TEXT_MUTE_EMOTES;Emotes ausblenden
SETTING_TOGGLE_TEXT_SHOW_LAND_COUNT;Anzahl der Länder anzeigen
SETTING_TOGGLE_TEXT_UNMUTE_EMOTES;Emotes wieder aktivieren
SETTING_WINDOWED;Fenstermodus:
SET_RECRUITER_NAME;Füge einen Freund als Anwerber hinzu und erhaltet beide fantastische Belohnungen auf eurer Reise durch Faeria!\nWeitere Informationen findest du unter <link=faeria.com/recruit-your-friends>faeria.com/recruit-your-friends</link>.
SHOP;Klicke um die Box zu öffnen
SHOP_ANNUITY_DAYS_LEFT;{0} Tage übrig
SHOP_INPUT_FIELD_HINT_COUPON;Gutscheincode hier eingeben
SIGN_IN;Ausloggen
SIGN_OUT;Abmelden
SOLO_COMPLETED;Missionen abgeschlossen!
SPECTATORS_CANNOT_PAUSE;Zuschauer können das Spiel nicht pausieren.
SPECTATOR_JOINED_GAME;{0} hat das Spiel als Zuschauer betreten.
SPECTATOR_LEFT_GAME;Zuschauer {0} hat das Spiel verlassen.
STOP_SPECTATING;Nicht mehr zuschauen
SURRENDER;Aufgeben
TOPBAR_BUTTON_PLAY;SPIELEN
TUTORIAL_DECK_CREATED;Das ist dein neues Deck!
TUTORIAL_DECK_CREATED_BACK;Drücke auf „Zurück“, um deinen Spielmodus zu wählen.
UPDATE_VERSION_OUTDATED;Dein Spiel muss aktualisiert werden.
UPDATE_VERSION_TIP_IOS;*Wenn die erforderliche Version nicht im App-Store verfügbar ist, musst du darauf warten, bevor du weiterspielen kannst.
USER_NAME_WELCOME;Willkommen bei Faeria!\nWie lautet dein Name?
USE_THIS_SET;Rezept verwenden
USE_TIMEBANK;Zeitbank benutzen:
WELCOME_BUTTON_TEXT_ENTER_GAME;Anmelden
WELCOME_BUTTON_TEXT_EXIT;Beenden
WELCOME_BUTTON_TEXT_OFFICIAL_PAGE;Offizielle Website
WELCOME_BUTTON_TEXT_STEAM_LOGIN;Klicke irgendwo um dich einzuloggen
WELCOME_BUTTON_TEXT_START_AS_GUEST;Als Gast anfangen
WELCOME_BUTTON_TEXT_START_AS_ACCOUNT;Ich habe bereits ein Benutzerkonto
WELCOME_INPUT_FIELD_HINT_PASSWORD;Passwort
WELCOME_INPUT_FIELD_HINT_SERVER_IP;Server-IP
WELCOME_INPUT_FIELD_HINT_USERNAME;Name des Accounts
WELCOME_USE_ANOTHER_ACCOUNT;Ausloggen
WINNER;Sieger
WORLD_BOSS_OBJECTIVE_PROGRESS;Besiege 3 Bosse ({0}/3)
WORLD_BOSS_OBJECTIVE_TEXT1;Schalte die Sphäre der Meister frei
WORLD_BOSS_OBJECTIVE_TEXT2;Verbessere deine Sphäre der Meister
WORLD_BOSS_OBJECTIVE_TITLE;Weltenziel
WORLD_BOSS_REWARD;Boss-Belohnung
WORLD_LOCATION;Ort
XP;{0} XP
YOU_PLAY_FIRST;Du bist zuerst dran.
YOU_PLAY_SECOND;Du bist als zweites dran.
CARD_WAS_PROMOTED_AS_DECK_COVER;Deckblatt erfolgreich aktualisiert.
CURRENT_DECK_COVER;Derzeitiges Deckblatt
PROMOTE_DECK_COVER;Als Deckblatt verwenden
CARD_ZOOM_PROMOTE_AS_DECK_COVER_BUTTON_TOOLTIP;Als Deckblatt verwenden
CARD_ZOOM_VIEW_LORE_PAGE_BUTTON_TOOLTIP;Geschichtsseite ansehen
LORE_BOOK_EXPLANATION_TEXT;Sammle Geschichtsfragmente und erforsche die Legenden und Mysterien der Welt von Faeria.
LORE_PAGE_ARTISTS;<b>Künstler</b> {0}
LORE_PAGE_NOT_AVAILABLE;Du musst mindestens Level {0} sein um Zugang zu den Geschichtsseiten zu haben.
CO_OP_LOBBY;Co-op Lobby
LOBBY_CRUCIBLE_RULES_TITLE;Schmelztiegel-Regeln
LOBBY_DECK_FORMAT;Deckformat:
LOBBY_DECK_FORMAT_CLASSIC;Klassisch
LOBBY_DECK_FORMAT_CRUCIBLE;Schmelztiegel
LOBBY_MINUTES_PER_GAME;Minuten pro Spiel:
LOBBY_SECONDS_PER_TURN;Sekunden pro Zug:
LORE_BOOK_EMPTY_SECTION;Keine Ergebnisse in diesem Abschnitt
LORE_PAGE_NOT_YET_AVAILABLE;Diese Geschichtsseite ist noch nicht verfügbar
LOBBY_GO_TO_COLLECTION;Zur Sammlung
LOBBY_START_OVER;Neustart
PROMPT_LOBBY_BACK_CONFIRMATION;Dies setzt jeden auf den Lobby Bildschirm zurück. Witer?
PROMPT_LOBBY_START_OVER_CONFIRMATION;Dies wird die Lobby zurücksetzen und die Optionen frei schalten. Weiter?
REGISTER_YOUR_DECKS;Registriere deine Decks!
TOURNAMENT_DECKS_REGISTERED;Decks registriert!
LORE_BOOK_UNAVAILABLE_TOOTIP;Schaltet auf Level {0} frei
CREDIT_RATE_US_ON_STEAM_BUTTON_TEXT;Bewerte uns auf Steam
HOME_CREDITS_BUTTON_TEXT;Beteiligte
PROMPT_FRIEND_CALLED;Eine E-Mail wurde an deinen verschollenen Yak gesendet. \nDu kannst ihn auch auf deinem bevorzugten Kommuniyaktions Kanal erreichen - sie müssen sich nur einloggen!
PROMPT_FRIENDS_CALLED;Eine E-Mail wurde an alle {0} verschollenen Yaks gesendet. \nDu kannst sie auch auf deinem bevorzugten Kommuniyaktions Kanal erreichen - sie müssen sich nur einloggen!
FRIEND_CALL_SEND;Senden
FRIEND_CALL_NO_ELIGIBLE;Du hast schon alle deine Freunde zurückgerufen!
FRIENDLIST_CALL_FRIEND;Rufe alte Freunde zurück!
MAINMENU_TITLE_PUZZLES;PUZZLES
SETTING_CLEAR_CACHE;Leere den Arbeitsspeicher
CACHE_CLEARED;Dies hat einen Effekt, sobald du das Spiel neustartest.
CACHE_CLEAR_FAIL_PERMISSION;Aktion fehlgeschlagen, versuche Faeria als Administrator auszuführen.
CACHE_CLEAR_FAIL_IN_USE;Aktion fehlgeschlagen, Datei wird bereits benutzt - starte dein Gerät neu und versuche es erneut.
XP_WITH_NEXT_LEVEL;{0}/{1}xp
SET_COSMETICS;Wähle kosmetische Gegenstände aus
PLAY_MENU_SOLO_DRAGONS_LAIR;Drachenhöhle
MARKET_ITEM_SPECIAL_PROMO;Sonderangebot
MARKET_ITEM_COMPLETE_YOUR_SET;Vervollständige dein Set!
DRAGON_TODAYS_CHALLENGES;Heutige Herausforderung
DRAGON_SOLO_MISSION;Solo Mission
DRAGON_REWARD;Drachenbelohnung
DRAGON_CO_OP_MISSION;Co-op Mission
APPLY;Anwenden
MOUSE_PROMPT_CLICK_ANYWHERE;Klicke irgendwohin um fortzufahren.
PLAY_MENU_SOLO_WORLDBOSS_INFO;Sehr schwierige Bosskämpfe die deine Deckbau-Fähigkeiten testen werden.
PLAY_MENU_SOLO_STANDARD_INFO;Meistere Faerias Grundlagen in einer vielzahl von Missionpaketen.
PLAY_MENU_SOLO_OVERSKY_INFO;Koop Kampagne! Schließ dich dem Kampf mit einem Freund oder KI-Verbündeten an.
PLAY_MENU_SOLO_DRAGONS_LAIR_INFO;Tägliche Herausforderungen! Komm täglich wieder um neue Drachen zu bekämpfen. Sowohl solo als auch Koop Schlachten.
MAINMENU_TITLE_SOLO_INFO;Entdecke die Welt von Faeria in diesen Solo- und Koop-Herausforderungen.
MAINMENU_TITLE_PUZZLES_INFO;Meistere herausfordende Puzzles und lerne einige hilfreiche Tricks auf dem Weg.
MAINMENU_TITLE_PANDORA_INFO;Draftmodus. Probiere neue Karten und erstelle ein einzigartiges Deck. Überlebe solange du kannst!
MAINMENU_TITLE_BATTLE_INFO;Klassisches Faeria. Spiele Casual oder Ranglistenspiele, oder übe gegen die KI.
MOUSE_HOME_LINKS_INFO;Klicke hier, um wichtige Neuigkeiten von unserem offiziellen Blog zu lesen.
DEFAULT_BUTTON_TEXT;Ursprünglich
BACK_TO_WORLD_BOSSES;Zurück zu den Weltenbossen
BACK_TO_PUZZLES;Zurück zu Puzzles
BACK_TO_PANDORA;Zurück zu Pandora
BACK_TO_OVERSKY;Zurück zur Wolkenwelt
BACK_TO_MISSIONS;Zurück zu Missionen
BACK_TO_DRAGONS_LAIR;Zurück zur Drachenhöhle
BACK_TO_BATTLE;Zurück zum Kampf
LORE_BOOK_TOGGLE_TEXT;Buch der Sagen
SHOW;Anzeigen
INGAME_OPPONENT_DISCOVERING_CARD;Dein gegner entdeckt gerade eine Karte
INGAME_ALLY_DISCOVERING_CARD;Dein Verbündeter entdeckt gerade eine Karte
HIDE;Verbergen
GEMS_INFO_POPUP_DESCRIPTION;Edelsteine sind nun eine Werberessource, welche du nur in besonderen Events erhalten kannst.
GEMS_INFO_POPUP_TITLE;Infos zu Edelsteinen
SHORTCUT_TEXT_TOGGLE;Umschalten
SHORTCUT_TEXT_MODIFY_SLIDER;Schieber anpassen
SHORTCUT_TEXT_CLOSE;Schließen
SETTING_TEXT_LANGUAGE_TITLE;Sprache
SERVER_INFO_UNAVAILABLE;Die Spielserver sind zurzeit unerreichbar
CHAT_ERROR_RECIPIENT_CANNOT_CHAT;{0} darf nicht chatten.
YOUR_SUPPORT_ID;Deine ID:
PROBLEM_OCCURED_AND_GAME_NEEDS_RESTART;Ein unerwartetes Problem ist aufgetreten. Bitte starte das Spiel neu.
MOUSE_PROMPT_CLICK_TO_CLOSE;Zum Schließen klicken.
LOADING_HERDING_YAKS;Yaks zusammentreiben
LOADING_DOWNLOADING_CONTENT;Lade Daten herunter
LOADING_CHECKING_CONTENT;Überprüfe Daten
GAMEPAD_PROMPT_CLICK_TO_CLOSE;Drücke auf {GAMEPAD_ACTION_CANCEL}, um zu schließen.
GAMEPAD_PROMPT_CLICK_ANYWHERE;Drücke auf {GAMEPAD_ACTION_CONFIRM}, um fortzufahren.
GAMEPAD_HOME_LINKS_INFO;Drücke auf {GAMEPAD_ACTION_CONFIRM}, um wichtige Nachrichten von unserem offiziellen Blog zu lesen.
CHAT_ERROR_MULTIPLE_FRIENDS_WITH_NAME;Diesen Benutzernamen verwenden mehrere Freunde. Verwende bitte das Kontextmenü Freundesliste, um stattdessen mit dieser Person zu chatten.
GO_TO_STORE_BUTTON_TEXT;Zum Shop
CHAT_ERROR_MESSAGE_REFUSED;Wegen ihrem Inhalt wurde deine Nachricht automatisch von der Plattform des Empfängers abgelehnt.
CHAT_ERROR_SANITIZATION_ERROR;Deine Nachricht wurde wegen ihrem Inhalt abgelehnt.
ID_COPIED_TO_CLIPBOARD;ID wurde in die Zwischenablage kopiert.
SPECIAL_LADDER_MAPS_EVENT_TITLE;Karten für Spezialleitern
PLAYER_PLATFORM_XBOX_LIVE;Xbox Live
PLAYER_PLATFORM_PS4;Switch
PLAYER_PLATFORM_SWITCH;#REF!
PLAYER_UNKNOWN_USER_NAME;Unbekannter Spieler
PLAYER;Spieler
NOT_ENOUGH_COINS;Du hast nicht genug Scherben.
NOT_ENOUGH_GEMS;Du hast nicht genug Juwelen.
LADDER_RANKED_BUTTON;Kompetitiv
LADDER_PANDORA_BUTTON;Pandora
LADDER_ARENA_DESCRIPTION;Die besten 64 Spieler sortiert nach Pandora Punkten
LADDER_RANKED_DESCRIPTION;Gott-Rang Spieler sortiert nach ELO
HOME_LADDER_BUTTON_TEXT;Leiter
COSMETIC_ITEM_NOT_OWNED;Dieser Kosmetikgegenstand gehört dir nicht.
SETTING_BUTTON_TEXT_CHANGE_PROFILE;Profil ändern
DOWNLOADED;Heruntergeladen
PROMPT_LANGUAGE_CHANGED_PROMPT_SIGNOUT;Die hast die Sprache des Spiels geändert. Du wirst nun ausgeloggt.
